"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA._T.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA._T.F._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.X1._X.N,BBFB1.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.X1._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z._T._X.N_FLAGS
1972-11,1192.532,,512.248,,-31.259,,-,Nothing exists,1800.557,,-1089.014,,352.476,,926.389,,327.194,,-901.107,,840.056,
1972-12,1662.364,,822.915,,-458.904,,-,Nothing exists,1791.718,,-493.365,,1588.338,,286.620,,472.669,,829.049,,74.026,
1973-01,506.143,,465.902,,93.547,,-,Nothing exists,806.902,,-860.208,,-1457.844,,115.411,,559.443,,-2132.698,,1963.987,
1973-02,15015.230,,364.443,,-267.260,,-,Nothing exists,-2158.791,,17076.838,,12848.292,,249.771,,605.906,,11992.615,,2166.938,
1973-03,7198.155,,472.821,,-119.575,,-,Nothing exists,-648.291,,7493.200,,5333.995,,209.625,,-238.984,,5363.354,,1864.160,
1973-04,-1674.493,,212.639,,-47.479,,-,Nothing exists,-869.292,,-970.361,,-2841.279,,342.793,,-212.702,,-2971.370,,1166.786,
1973-05,1100.417,,469.256,,-131.402,,-,Nothing exists,2443.709,,-1681.146,,-938.227,,388.374,,388.832,,-1715.433,,2038.644,
1973-06,1737.939,,338.594,,-180.931,,-,Nothing exists,-176.624,,1756.900,,1619.163,,916.335,,375.720,,327.108,,118.776,
1973-07,4441.739,,426.303,,67.978,,-,Nothing exists,-735.970,,4683.428,,2782.417,,555.549,,1130.064,,1096.804,,1659.322,
1973-08,-1001.915,,535.396,,-36.925,,-,Nothing exists,490.303,,-1990.689,,-997.241,,570.392,,715.930,,-2283.563,,-4.674,
1973-09,5987.899,,280.183,,-85.677,,-,Nothing exists,655.704,,5137.689,,3664.900,,386.014,,364.842,,2914.044,,2322.999,
1973-10,3297.803,,458.074,,8.164,,-,Nothing exists,3275.210,,-443.645,,815.556,,681.120,,1432.802,,-1298.366,,2482.247,
1973-11,1750.643,,349.346,,205.315,,-,Nothing exists,3970.027,,-2774.045,,425.939,,334.100,,454.509,,-362.670,,1324.704,
1973-12,-115.740,,943.118,,135.906,,-,Nothing exists,820.434,,-2015.198,,1316.398,,721.302,,-97.056,,692.152,,-1432.138,
1974-01,464.516,,415.962,,187.591,,-,Nothing exists,2718.673,,-2857.710,,-3328.316,,462.820,,-89.316,,-3701.820,,3792.832,
1974-02,5162.180,,421.365,,164.007,,-,Nothing exists,4948.323,,-371.515,,2429.932,,563.944,,282.847,,1583.141,,2732.248,
1974-03,5821.110,,484.776,,-69.274,,-,Nothing exists,3159.334,,2246.274,,2633.978,,223.563,,139.474,,2270.941,,3187.132,
1974-04,7813.908,,295.709,,66.921,,-,Nothing exists,5103.808,,2347.470,,4279.260,,344.467,,314.091,,3620.702,,3534.648,
1974-05,5192.872,,611.848,,30.279,,-,Nothing exists,2811.954,,1738.791,,2581.807,,560.772,,-5.821,,2026.856,,2611.065,
1974-06,2634.382,,296.147,,7.667,,-,Nothing exists,4141.061,,-1810.493,,-393.658,,423.073,,66.216,,-882.947,,3028.040,
1974-07,-2017.735,,585.509,,80.814,,-,Nothing exists,-1578.580,,-1105.478,,-2073.231,,328.017,,-404.077,,-1997.171,,55.496,
1974-08,-1378.823,,481.082,,129.994,,-,Nothing exists,655.998,,-2645.897,,-523.000,,385.041,,-691.253,,-216.788,,-855.823,
1974-09,4464.278,,465.075,,280.120,,-,Nothing exists,11001.335,,-7282.252,,2924.333,,423.984,,-350.470,,2850.819,,1539.945,
1974-10,3494.866,,451.474,,4.953,,-,Nothing exists,3741.923,,-703.484,,1192.986,,461.660,,-490.048,,1221.374,,2301.880,
1974-11,5701.796,,463.864,,155.490,,-,Nothing exists,3546.576,,1535.866,,2453.783,,358.782,,-336.142,,2431.143,,3248.013,
1974-12,5705.676,,714.324,,60.033,,-,Nothing exists,5948.050,,-1016.731,,4081.877,,1085.186,,-467.285,,3463.976,,1623.799,
1975-01,691.270,,832.125,,314.653,,-,Nothing exists,-1821.340,,1365.832,,-1867.076,,419.335,,-235.787,,-2050.624,,2558.346,
1975-02,6640.554,,663.805,,-35.114,,-,Nothing exists,4015.902,,1995.961,,3651.287,,264.712,,-175.301,,3561.876,,2989.267,
1975-03,3987.399,,354.711,,378.961,,-,Nothing exists,1151.525,,2102.202,,1984.823,,156.632,,56.306,,1771.885,,2002.576,
1975-04,3041.940,,555.135,,526.502,,-,Nothing exists,4804.530,,-2844.227,,954.785,,50.107,,-104.402,,1009.080,,2087.155,
1975-05,-780.496,,295.173,,241.311,,-,Nothing exists,-430.449,,-886.531,,-1952.141,,90.479,,203.464,,-2246.084,,1171.645,
1975-06,3939.903,,590.200,,451.333,,-,Nothing exists,3715.405,,-817.035,,2989.469,,270.785,,317.156,,2401.528,,950.434,
1975-07,263.845,,419.598,,216.258,,-,Nothing exists,1025.096,,-1397.107,,1447.799,,66.913,,-650.308,,2031.194,,-1183.954,
1975-08,2715.121,,408.879,,4.275,,-,Nothing exists,2928.374,,-626.407,,4044.040,,123.440,,67.665,,3852.935,,-1328.919,
1975-09,2121.771,,603.413,,28.898,,-,Nothing exists,1965.182,,-475.722,,3064.850,,143.552,,-411.178,,3332.476,,-943.079,
1975-10,4614.283,,633.537,,-112.896,,-,Nothing exists,3006.289,,1087.353,,4677.681,,-63.489,,-351.177,,5092.347,,-63.398,
1975-11,6776.199,,534.859,,211.945,,-,Nothing exists,6764.030,,-734.635,,4195.067,,184.480,,-42.004,,4052.591,,2581.132,
1975-12,4846.893,,445.083,,379.861,,-,Nothing exists,4789.298,,-767.349,,3911.552,,-65.749,,-9.985,,3987.286,,935.341,
1976-01,-2663.852,,550.110,,94.013,,-,Nothing exists,-2667.136,,-640.839,,-3331.502,,430.840,,563.857,,-4326.199,,667.650,
1976-02,6340.626,,641.542,,182.146,,-,Nothing exists,3583.279,,1933.659,,5776.519,,292.613,,202.550,,5281.356,,564.107,
1976-03,10466.094,,834.335,,187.054,,-,Nothing exists,2755.538,,6689.167,,6931.022,,478.445,,415.752,,6036.825,,3535.072,
1976-04,2473.970,,551.936,,187.391,,-,Nothing exists,2650.205,,-915.562,,798.865,,-86.853,,585.198,,300.520,,1675.105,
1976-05,1231.764,,642.049,,216.673,,-,Nothing exists,2208.143,,-1835.101,,-151.007,,249.385,,665.821,,-1066.213,,1382.771,
1976-06,3614.351,,676.003,,-84.161,,-,Nothing exists,4277.018,,-1254.509,,3518.968,,491.205,,-296.450,,3324.213,,95.383,
1976-07,-363.449,,1022.513,,-70.432,,-,Nothing exists,-239.065,,-1076.465,,293.275,,238.661,,379.283,,-324.669,,-656.724,
1976-08,2904.091,,456.694,,-153.549,,-,Nothing exists,-684.389,,3285.335,,4494.206,,168.486,,362.144,,3963.576,,-1590.115,
1976-09,6294.759,,518.205,,264.398,,-,Nothing exists,2442.382,,3069.774,,4310.050,,110.645,,995.779,,3203.626,,1984.709,
1976-10,8289.895,,403.726,,-321.116,,-,Nothing exists,6170.112,,2037.173,,5846.814,,74.915,,486.056,,5285.843,,2443.081,
1976-11,1499.593,,385.685,,68.904,,-,Nothing exists,3948.657,,-2903.653,,-377.198,,246.301,,498.271,,-1121.770,,1876.791,
1976-12,6968.184,,925.637,,310.873,,-,Nothing exists,5870.093,,-138.419,,6937.780,,626.362,,417.231,,5894.187,,30.404,
1977-01,-5989.974,,767.185,,468.898,,-,Nothing exists,-6810.977,,-415.080,,-7704.641,,164.940,,-20.022,,-7849.559,,1714.667,
1977-02,3168.251,,177.578,,-130.292,,-,Nothing exists,2939.024,,181.941,,1864.851,,-1.080,,-160.069,,2026.000,,1303.400,
1977-03,3325.653,,693.780,,150.082,,-,Nothing exists,2107.227,,374.564,,570.679,,94.764,,-138.349,,614.264,,2754.974,
1977-04,1338.121,,396.161,,818.034,,-,Nothing exists,940.676,,-816.750,,528.168,,106.347,,255.934,,165.887,,809.953,
1977-05,5140.529,,340.184,,746.336,,-,Nothing exists,4003.521,,50.488,,3478.107,,107.511,,338.855,,3031.741,,1662.422,
1977-06,4077.488,,490.914,,835.306,,-,Nothing exists,3456.704,,-705.436,,2056.750,,450.702,,-74.006,,1680.054,,2020.738,
1977-07,-12.175,,760.041,,28.541,,-,Nothing exists,-2910.776,,2110.019,,3579.841,,-97.053,,93.544,,3583.350,,-3592.016,
1977-08,-1066.237,,400.947,,422.611,,-,Nothing exists,-1657.324,,-232.471,,331.581,,427.717,,442.406,,-538.542,,-1397.818,
1977-09,3564.128,,565.329,,604.118,,-,Nothing exists,2240.338,,154.343,,3193.184,,212.753,,484.187,,2496.244,,370.944,
1977-10,7591.216,,568.310,,677.428,,-,Nothing exists,3931.658,,2413.820,,5316.833,,189.353,,188.224,,4939.256,,2274.383,
1977-11,8392.295,,369.888,,366.431,,-,Nothing exists,5156.923,,2499.053,,7492.313,,79.246,,238.934,,7174.133,,899.982,
1977-12,9560.559,,1064.865,,473.182,,-,Nothing exists,1963.447,,6059.065,,7037.679,,447.742,,539.050,,6050.887,,2522.880,
1978-01,-889.002,,655.074,,573.398,,-,Nothing exists,-4525.058,,2407.584,,-3451.937,,242.354,,1175.589,,-4869.880,,2562.935,
1978-02,6188.646,,452.672,,531.246,,-,Nothing exists,2951.311,,2253.417,,4894.489,,97.730,,177.628,,4619.131,,1294.157,
1978-03,3055.593,,533.601,,390.812,,-,Nothing exists,526.976,,1604.204,,981.975,,515.150,,522.276,,-55.451,,2073.618,
1978-04,-3330.162,,804.722,,685.663,,-,Nothing exists,-3020.715,,-1799.832,,-2148.268,,264.078,,82.491,,-2494.837,,-1181.894,
1978-05,3403.915,,700.397,,1504.032,,-,Nothing exists,3664.370,,-2464.884,,3171.186,,-6.676,,-98.671,,3276.533,,232.729,
1978-06,5935.119,,934.195,,-50.194,,-,Nothing exists,3940.684,,1110.434,,2284.163,,79.996,,-127.205,,2331.372,,3650.956,
1978-07,400.030,,818.075,,251.182,,-,Nothing exists,-3231.620,,2562.393,,1862.585,,734.837,,-461.806,,1589.554,,-1462.555,
1978-08,6564.858,,578.691,,169.042,,-,Nothing exists,2014.220,,3802.905,,5612.037,,120.665,,374.502,,5116.870,,952.821,
1978-09,4893.560,,399.054,,-171.360,,-,Nothing exists,1678.194,,2987.672,,4568.626,,377.522,,568.951,,3622.153,,324.934,
1978-10,11724.759,,779.206,,-668.609,,-,Nothing exists,3800.971,,7813.191,,8385.214,,122.073,,517.786,,7745.355,,3339.545,
1978-11,12505.643,,226.830,,315.693,,-,Nothing exists,5262.685,,6700.435,,8825.025,,-39.914,,1318.040,,7546.899,,3680.618,
1978-12,8783.430,,1802.054,,754.016,,-,Nothing exists,4003.328,,2224.032,,7648.403,,694.272,,-48.731,,7002.862,,1135.027,
1979-01,-4016.415,,788.009,,18.176,,-,Nothing exists,-2159.427,,-2663.173,,-4697.106,,101.669,,137.034,,-4935.809,,680.691,
1979-02,-1634.465,,743.961,,284.583,,-,Nothing exists,1142.161,,-3805.170,,-194.701,,248.934,,-272.093,,-171.542,,-1439.764,
1979-03,5576.391,,755.318,,140.260,,-,Nothing exists,6841.643,,-2160.830,,3534.812,,432.001,,-159.759,,3262.570,,2041.579,
1979-04,-311.159,,154.091,,214.934,,-,Nothing exists,600.496,,-1280.680,,169.352,,412.771,,-395.026,,151.607,,-480.511,
1979-05,3821.560,,579.011,,132.723,,-,Nothing exists,7860.153,,-4750.327,,3757.277,,253.586,,506.483,,2997.208,,64.283,
1979-06,5257.789,,837.163,,-287.754,,-,Nothing exists,2202.733,,2505.647,,7952.502,,81.507,,-303.034,,8174.029,,-2694.713,
1979-07,-502.366,,718.092,,257.487,,-,Nothing exists,-3229.980,,1752.035,,2298.046,,619.328,,1715.080,,-36.362,,-2800.412,
1979-08,1327.380,,837.184,,211.138,,-,Nothing exists,2868.654,,-2589.596,,4089.400,,365.399,,1262.637,,2461.364,,-2762.020,
1979-09,6963.542,,805.900,,-16.490,,-,Nothing exists,-1820.158,,7994.290,,9694.785,,211.376,,608.759,,8874.650,,-2731.243,
1979-10,3576.761,,1237.573,,202.991,,-,Nothing exists,1867.129,,269.068,,3193.924,,382.366,,117.554,,2694.004,,382.837,
1979-11,8929.617,,1117.050,,1985.529,,-,Nothing exists,12903.178,,-7076.140,,8688.956,,-116.901,,674.413,,8131.444,,240.661,
1979-12,965.138,,1279.941,,123.795,,-,Nothing exists,-5710.026,,5271.428,,4164.329,,189.290,,1172.851,,2802.188,,-3199.191,
1980-01,-4229.781,,833.580,,2324.046,,-,Nothing exists,-2825.327,,-4562.080,,-2582.088,,-49.770,,544.834,,-3077.152,,-1647.693,
1980-02,3428.162,,1485.719,,429.257,,-,Nothing exists,5438.809,,-3925.623,,5485.903,,206.136,,-685.781,,5965.548,,-2057.741,
1980-03,8522.173,,623.145,,360.587,,-,Nothing exists,9748.208,,-2209.767,,10586.738,,308.110,,-22.978,,10301.606,,-2064.565,
1980-04,6.073,,849.187,,586.070,,-,Nothing exists,5478.260,,-6907.444,,4393.842,,196.122,,166.540,,4031.180,,-4387.769,
1980-05,1248.237,,501.260,,123.712,,-,Nothing exists,1386.330,,-763.065,,1157.679,,-314.194,,209.872,,1262.001,,90.558,
1980-06,4228.470,,685.576,,526.626,,-,Nothing exists,1194.120,,1822.148,,4518.546,,116.361,,601.007,,3801.178,,-290.076,
1980-07,-1907.317,,667.254,,516.853,,-,Nothing exists,-4265.436,,1174.012,,1244.984,,-355.398,,280.107,,1320.275,,-3152.301,
1980-08,1432.631,,231.207,,-85.645,,-,Nothing exists,1108.251,,178.818,,7296.096,,33.770,,363.979,,6898.347,,-5863.465,
1980-09,339.163,,696.791,,485.746,,-,Nothing exists,1889.675,,-2733.049,,1665.676,,289.586,,-117.509,,1493.599,,-1326.513,
1980-10,3625.521,,940.820,,1090.419,,-,Nothing exists,5289.969,,-3695.687,,5599.521,,126.957,,-263.218,,5735.782,,-1974.000,
1980-11,9735.778,,920.048,,1156.463,,-,Nothing exists,8580.061,,-920.794,,9613.426,,258.901,,175.725,,9178.800,,122.352,
1980-12,4531.715,,901.015,,18.658,,-,Nothing exists,3763.932,,-151.890,,8491.116,,-192.315,,331.556,,8351.875,,-3959.401,
1981-01,-2718.705,,959.235,,502.865,,-,Nothing exists,-5385.193,,1204.388,,2993.728,,87.502,,-33.061,,2939.287,,-5712.433,
1981-02,2726.520,,988.410,,824.495,,-,Nothing exists,4900.943,,-3987.328,,6162.009,,-273.246,,-240.004,,6675.259,,-3435.489,
1981-03,19609.520,,727.393,,610.267,,-,Nothing exists,9688.365,,8583.495,,22265.878,,152.787,,1361.681,,20751.410,,-2656.358,
1981-04,4665.688,,734.028,,845.187,,-,Nothing exists,-200.042,,3286.515,,-518.051,,102.718,,191.703,,-812.472,,5183.739,
1981-05,7182.149,,778.253,,25.101,,-,Nothing exists,2745.715,,3633.080,,8623.338,,33.601,,240.081,,8349.656,,-1441.189,
1981-06,2654.308,,1688.528,,599.262,,-,Nothing exists,889.635,,-523.117,,5114.453,,1698.647,,191.272,,3224.534,,-2460.145,
1981-07,5022.689,,1052.371,,314.523,,-,Nothing exists,4961.437,,-1305.642,,8658.941,,-43.121,,790.372,,7911.690,,-3636.252,
1981-08,-3477.344,,1071.703,,389.573,,-,Nothing exists,-702.058,,-4236.562,,3614.666,,-21.487,,397.643,,3238.510,,-7092.010,
1981-09,3971.629,,344.159,,27.712,,-,Nothing exists,2401.604,,1198.154,,217.953,,34.215,,-62.389,,246.127,,3753.676,
1981-10,2577.942,,844.892,,491.545,,-,Nothing exists,8187.426,,-6945.921,,-1123.146,,-495.062,,-217.261,,-410.823,,3701.088,
1981-11,6535.895,,1204.981,,278.708,,-,Nothing exists,5658.337,,-606.131,,4765.809,,-33.220,,-1565.846,,6364.875,,1770.086,
1981-12,6639.414,,1218.645,,1024.637,,-,Nothing exists,5330.227,,-934.095,,2933.983,,-490.327,,57.123,,3367.187,,3705.431,
1982-01,-5757.938,,1161.267,,911.983,,-,Nothing exists,-5776.274,,-2054.914,,-1999.556,,299.686,,-744.567,,-1554.675,,-3758.382,
1982-02,7093.527,,598.087,,887.005,,-,Nothing exists,5144.935,,463.500,,6181.372,,268.747,,437.140,,5475.485,,912.155,
1982-03,7130.433,,630.570,,1982.242,,-,Nothing exists,3321.799,,1195.822,,2670.222,,21.735,,-85.247,,2733.734,,4460.211,
1982-04,3911.866,,828.722,,2141.205,,-,Nothing exists,-1395.655,,2337.594,,2111.658,,183.672,,-227.993,,2155.979,,1800.208,
1982-05,4411.398,,509.345,,1274.886,,-,Nothing exists,1315.335,,1311.832,,2372.609,,191.687,,234.483,,1946.439,,2038.789,
1982-06,3086.112,,882.380,,716.041,,-,Nothing exists,313.299,,1174.392,,4511.083,,41.395,,183.488,,4286.200,,-1424.971,
1982-07,-1753.729,,1303.990,,316.463,,-,Nothing exists,-1065.115,,-2309.067,,932.511,,343.309,,212.818,,376.384,,-2686.240,
1982-08,-1797.716,,601.053,,324.486,,-,Nothing exists,-2762.880,,39.625,,2679.447,,636.089,,828.835,,1214.523,,-4477.163,
1982-09,6120.247,,84.529,,315.807,,-,Nothing exists,5477.304,,242.607,,5131.784,,318.856,,601.219,,4211.709,,988.463,
1982-10,4376.055,,1173.051,,918.863,,-,Nothing exists,862.987,,1421.154,,4641.905,,210.772,,257.340,,4173.793,,-265.850,
1982-11,9819.885,,753.740,,837.550,,-,Nothing exists,5284.201,,2944.394,,5766.771,,368.755,,286.172,,5111.844,,4053.114,
1982-12,1527.874,,197.314,,397.250,,-,Nothing exists,-681.134,,1614.444,,-3108.241,,-1042.085,,1550.283,,-3616.439,,4636.115,
1983-01,-4680.583,,1168.167,,719.250,,-,Nothing exists,-8847.835,,2279.835,,-3101.395,,440.456,,893.014,,-4434.865,,-1579.188,
1983-02,5855.111,,792.670,,1060.473,,-,Nothing exists,117.919,,3884.049,,1782.566,,57.070,,-545.724,,2271.220,,4072.545,
1983-03,9236.374,,935.749,,1854.091,,-,Nothing exists,610.155,,5836.379,,2860.521,,947.963,,1053.933,,858.625,,6375.853,
1983-04,-6181.683,,723.521,,1835.712,,-,Nothing exists,3662.085,,-12403.001,,-4540.239,,310.394,,960.709,,-5811.342,,-1641.444,
1983-05,3403.304,,293.517,,973.925,,-,Nothing exists,2940.019,,-804.157,,2249.630,,548.110,,1166.279,,535.241,,1153.674,
1983-06,8842.782,,802.308,,491.430,,-,Nothing exists,9246.963,,-1697.919,,7782.776,,59.899,,483.924,,7238.953,,1060.006,
1983-07,-4304.758,,898.423,,401.617,,-,Nothing exists,-6502.047,,897.249,,-1992.531,,80.000,,921.129,,-2993.660,,-2312.227,
1983-08,-2729.761,,696.949,,-8.311,,-,Nothing exists,-678.872,,-2739.527,,-132.895,,312.657,,1907.922,,-2353.474,,-2596.866,
1983-09,10543.537,,1811.527,,619.258,,-,Nothing exists,8021.833,,90.919,,7142.097,,559.989,,3455.588,,3126.520,,3401.440,
1983-10,6596.158,,1018.061,,1439.982,,-,Nothing exists,1692.036,,2446.079,,5371.619,,-51.181,,2036.054,,3386.746,,1224.539,
1983-11,7077.390,,704.913,,525.897,,-,Nothing exists,5597.939,,248.641,,3114.284,,347.799,,1438.860,,1327.625,,3963.106,
1983-12,4821.850,,1225.550,,591.809,,-,Nothing exists,6402.308,,-3397.817,,2932.222,,762.199,,488.954,,1681.069,,1889.628,
1984-01,-2706.333,,389.434,,600.784,,-,Nothing exists,-3652.714,,-43.837,,-2922.800,,497.812,,2484.900,,-5905.512,,216.467,
1984-02,12645.258,,814.196,,10.693,,-,Nothing exists,7528.107,,4292.262,,7224.703,,143.004,,2011.256,,5070.443,,5420.555,
