"",BBNZ1.Q.DE.S.G.0034.A,BBNZ1.Q.DE.S.G.0034.A_FLAGS,BBNZ1.Q.DE.S.G.0335.A,BBNZ1.Q.DE.S.G.0335.A_FLAGS,BBNZ1.Q.DE.S.G.0036.A,BBNZ1.Q.DE.S.G.0036.A_FLAGS,BBNZ1.Q.DE.S.G.0336.A,BBNZ1.Q.DE.S.G.0336.A_FLAGS,BBNZ1.Q.DE.S.G.0342.A,BBNZ1.Q.DE.S.G.0342.A_FLAGS,BBNZ1.Q.DE.S.G.0303.A,BBNZ1.Q.DE.S.G.0303.A_FLAGS,BBNZ1.Q.DE.S.G.0325.A,BBNZ1.Q.DE.S.G.0325.A_FLAGS,BBNZ1.Q.DE.S.G.0326.A,BBNZ1.Q.DE.S.G.0326.A_FLAGS,BBNZ1.Q.DE.S.G.0327.A,BBNZ1.Q.DE.S.G.0327.A_FLAGS
1999-07,218.200,,72.829,,145.371,,78.430,,223.801,,104.478,,321.345,,31.972,,9.9,
1999-10,219.481,,73.515,,145.966,,79.134,,225.100,,107.091,,324.753,,32.683,,10.1,
2000-01,222.483,,72.734,,149.749,,77.525,,227.274,,104.205,,326.677,,31.422,,9.6,
2000-04,224.313,,73.667,,150.646,,78.400,,229.046,,105.408,,327.490,,30.474,,9.3,
2000-07,225.998,,74.021,,151.977,,78.638,,230.615,,102.504,,328.053,,30.153,,9.2,
2000-10,227.262,,74.537,,152.725,,79.969,,232.694,,101.010,,327.390,,30.160,,9.2,
2001-01,228.834,,73.508,,155.326,,80.811,,236.137,,110.191,,339.558,,33.702,,9.9,
2001-04,229.123,,73.474,,155.649,,81.572,,237.221,,110.655,,339.579,,33.521,,9.9,
2001-07,228.919,,73.132,,155.787,,82.511,,238.298,,109.978,,340.536,,34.064,,10.0,
2001-10,230.906,,73.611,,157.295,,83.439,,240.734,,108.770,,343.221,,34.904,,10.2,
2002-01,230.912,,74.395,,156.517,,84.179,,240.696,,103.430,,338.454,,33.173,,9.8,
2002-04,230.811,,74.481,,156.330,,84.064,,240.394,,104.599,,337.591,,33.816,,10.0,
2002-07,231.595,,74.094,,157.501,,85.729,,243.230,,104.913,,342.364,,35.166,,10.3,
2002-10,232.332,,74.232,,158.100,,85.463,,243.563,,105.221,,344.272,,35.255,,10.2,
2003-01,230.991,,75.813,,155.178,,86.360,,241.538,,110.825,,349.536,,38.699,,11.1,
2003-04,230.497,,76.174,,154.323,,86.919,,241.242,,109.924,,347.093,,36.122,,10.4,
2003-07,231.744,,75.429,,156.315,,87.343,,243.658,,111.887,,350.402,,37.056,,10.6,
2003-10,231.832,,75.276,,156.556,,88.219,,244.775,,108.351,,348.999,,35.424,,10.2,
2004-01,233.127,,74.661,,158.466,,88.011,,246.477,,112.211,,354.944,,38.856,,10.9,
2004-04,232.911,,73.414,,159.497,,87.023,,246.520,,111.657,,353.942,,37.566,,10.6,
2004-07,232.431,,73.315,,159.116,,87.287,,246.403,,112.948,,354.287,,37.555,,10.6,
2004-10,232.650,,73.178,,159.472,,87.293,,246.765,,115.324,,358.067,,37.017,,10.3,
2005-01,232.822,,73.621,,159.201,,87.285,,246.486,,115.757,,357.708,,37.633,,10.5,
2005-04,232.019,,72.811,,159.208,,87.638,,246.846,,116.792,,360.632,,36.902,,10.2,
2005-07,232.536,,73.459,,159.077,,87.340,,246.417,,119.961,,362.016,,38.148,,10.5,
2005-10,233.606,,74.414,,159.192,,87.375,,246.567,,124.412,,366.219,,40.114,,11.0,
2006-01,233.356,,75.348,,158.008,,87.222,,245.230,,124.614,,367.493,,38.433,,10.5,
2006-04,235.451,,75.757,,159.694,,87.530,,247.224,,126.651,,369.845,,39.229,,10.6,
2006-07,238.023,,76.475,,161.548,,86.813,,248.361,,127.740,,370.592,,39.237,,10.6,
2006-10,239.203,,77.485,,161.718,,86.056,,247.774,,137.873,,378.292,,41.182,,10.9,
2007-01,241.648,,78.215,,163.433,,86.063,,249.496,,130.198,,374.498,,41.674,,11.1,
2007-04,243.875,,79.436,,164.439,,86.208,,250.647,,130.157,,375.757,,39.594,,10.5,
2007-07,245.065,,80.062,,165.003,,86.438,,251.441,,132.720,,377.674,,39.320,,10.4,
2007-10,248.131,,81.180,,166.951,,86.502,,253.453,,138.461,,383.309,,41.045,,10.7,
2008-01,251.955,,82.176,,169.779,,86.328,,256.107,,135.471,,384.874,,43.062,,11.2,
2008-04,253.810,,83.523,,170.287,,86.987,,257.274,,140.211,,390.746,,44.433,,11.4,
2008-07,255.505,,84.215,,171.290,,86.859,,258.149,,140.105,,391.021,,43.518,,11.1,
2008-10,257.750,,85.732,,172.018,,87.521,,259.539,,131.875,,383.313,,38.114,,9.9,
2009-01,254.688,,84.843,,169.845,,89.373,,259.218,,132.306,,384.826,,39.714,,10.3,
2009-04,253.154,,82.956,,170.198,,92.998,,263.196,,129.856,,386.288,,40.414,,10.5,
2009-07,256.006,,83.596,,172.410,,94.322,,266.732,,122.284,,384.442,,40.172,,10.4,
2009-10,257.603,,84.049,,173.554,,94.256,,267.810,,120.939,,384.615,,39.484,,10.3,
2010-01,259.252,,82.532,,176.720,,94.437,,271.157,,123.820,,388.125,,40.759,,10.5,
2010-04,261.216,,82.462,,178.754,,94.528,,273.282,,124.629,,392.093,,40.690,,10.4,
2010-07,264.466,,84.332,,180.134,,93.199,,273.333,,125.846,,395.656,,40.597,,10.3,
2010-10,267.400,,85.551,,181.849,,93.744,,275.593,,128.532,,399.728,,40.349,,10.1,
2011-01,271.984,,87.875,,184.109,,93.114,,277.223,,129.021,,401.242,,39.834,,9.9,
2011-04,275.094,,89.098,,185.996,,92.553,,278.549,,132.929,,405.827,,40.849,,10.1,
2011-07,276.923,,89.836,,187.087,,92.741,,279.828,,133.374,,409.257,,41.390,,10.1,
2011-10,279.544,,90.292,,189.252,,92.669,,281.921,,136.457,,411.759,,41.074,,10.0,
2012-01,283.138,,91.662,,191.476,,93.325,,284.801,,137.007,,418.329,,41.328,,9.9,
2012-04,286.883,,93.043,,193.840,,94.119,,287.959,,132.653,,415.318,,40.707,,9.8,
2012-07,288.679,,94.276,,194.403,,94.511,,288.914,,133.693,,416.578,,40.592,,9.7,
2012-10,291.257,,94.841,,196.416,,94.816,,291.232,,133.307,,418.172,,38.404,,9.2,
2013-01,292.442,,94.982,,197.460,,95.310,,292.770,,130.717,,417.545,,37.434,,9.0,
2013-04,295.111,,96.142,,198.969,,96.162,,295.131,,134.725,,422.792,,40.075,,9.5,
2013-07,298.144,,97.261,,200.883,,96.196,,297.079,,135.410,,425.770,,40.062,,9.4,
2013-10,300.646,,98.605,,202.041,,96.210,,298.251,,132.726,,424.738,,39.490,,9.3,
2014-01,304.684,,99.348,,205.336,,97.440,,302.776,,130.308,,428.186,,40.866,,9.5,
2014-04,307.127,,99.954,,207.173,,97.391,,304.564,,132.260,,431.726,,43.089,,10.0,
2014-07,309.847,,101.418,,208.429,,98.690,,307.119,,135.546,,436.426,,43.344,,9.9,
2014-10,312.511,,102.965,,209.546,,100.500,,310.046,,134.239,,438.170,,43.310,,9.9,
2015-01,315.370,,103.988,,211.382,,101.590,,312.972,,132.239,,438.001,,42.202,,9.6,
2015-04,320.494,,105.322,,215.172,,102.048,,317.220,,131.522,,444.562,,45.986,,10.3,
2015-07,323.075,,106.010,,217.065,,102.559,,319.624,,136.739,,448.302,,45.331,,10.1,
2015-10,326.518,,106.846,,219.672,,104.261,,323.933,,134.889,,451.476,,45.853,,10.2,
2016-01,329.681,,108.934,,220.747,,104.564,,325.311,,136.008,,453.754,,46.301,,10.2,
2016-04,332.318,,109.101,,223.217,,105.915,,329.132,,138.381,,460.367,,46.996,,10.2,
2016-07,335.506,,111.019,,224.487,,107.704,,332.191,,137.950,,462.003,,47.430,,10.3,
2016-10,339.883,,112.043,,227.840,,108.035,,335.875,,139.193,,465.354,,47.036,,10.1,
2017-01,343.601,,113.875,,229.726,,109.351,,339.077,,142.752,,472.586,,50.823,,10.8,
2017-04,346.938,,115.494,,231.444,,110.036,,341.480,,141.099,,473.581,,49.969,,10.6,
2017-07,350.354,,116.429,,233.925,,110.730,,344.655,,144.317,,478.026,,50.217,,10.5,
2017-10,354.533,,117.100,,237.433,,111.636,,349.069,,143.756,,481.050,,51.768,,10.8,
2018-01,359.932,,119.579,,240.353,,112.232,,352.585,,149.417,,492.119,,56.698,,11.5,
2018-04,364.016,,121.679,,242.337,,112.980,,355.317,,148.540,,492.252,,55.878,,11.4,
2018-07,368.292,,122.794,,245.498,,114.023,,359.521,,144.083,,493.322,,55.799,,11.3,
2018-10,370.406,,122.342,,248.064,,115.065,,363.129,,146.161,,498.063,,55.325,,11.1,
2019-01,375.973,,123.610,,252.363,,116.172,,368.535,,141.419,,502.020,,56.480,,11.3,
2019-04,380.667,,126.210,,254.457,,117.947,,372.404,,143.477,,504.535,,53.958,,10.7,
2019-07,384.776,,126.810,,257.966,,119.564,,377.530,,138.148,,507.381,,53.925,,10.6,
2019-10,382.646,,125.428,,257.218,,120.738,,377.956,,140.610,,507.657,,54.317,,10.7,
2020-01,387.085,,127.386,,259.699,,122.700,,382.399,,143.601,,515.246,,67.622,,13.1,
2020-04,364.414,,119.563,,244.851,,131.076,,375.927,,127.080,,496.955,,100.899,,20.3,
2020-07,379.918,,123.428,,256.490,,131.846,,388.336,,129.485,,510.979,,74.474,,14.6,
2020-10,382.640,,122.341,,260.299,,133.164,,393.463,,127.001,,511.894,,84.100,,16.4,
2021-01,383.207,,124.839,,258.368,,134.195,,392.563,,129.266,,511.448,,97.092,,19.0,
2021-04,386.966,,125.046,,261.920,,134.995,,396.915,,127.723,,515.726,,86.495,,16.8,
2021-07,399.860,,129.232,,270.628,,130.657,,401.285,,134.993,,522.211,,61.976,,11.9,
2021-10,401.140,,127.845,,273.295,,131.675,,404.970,,136.769,,524.659,,65.495,,12.5,
"",Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,
