"",BBNZ1.Q.DE.Y.G.0108.A,BBNZ1.Q.DE.Y.G.0108.A_FLAGS,BBNZ1.Q.DE.Y.G.0103.A,BBNZ1.Q.DE.Y.G.0103.A_FLAGS,BBNZ1.Q.DE.S.G.0106.A,BBNZ1.Q.DE.S.G.0106.A_FLAGS,BBNZ1.Q.DE.Y.G.0152.A,BBNZ1.Q.DE.Y.G.0152.A_FLAGS,BBNZ1.Q.DE.Y.G.0155.A,BBNZ1.Q.DE.Y.G.0155.A_FLAGS,BBNZ1.Q.DE.Y.G.0161.A,BBNZ1.Q.DE.Y.G.0161.A_FLAGS,BBNZ1.Q.DE.Y.G.0112.A,BBNZ1.Q.DE.Y.G.0112.A_FLAGS,BBNZ1.Q.DE.Y.G.0110.A,BBNZ1.Q.DE.Y.G.0110.A_FLAGS,BBNZ1.Q.DE.Y.G.0111.A,BBNZ1.Q.DE.Y.G.0111.A_FLAGS,BBNZ1.Q.DE.Y.G.0151.A,BBNZ1.Q.DE.Y.G.0151.A_FLAGS,BBNZ1.Q.DE.Y.G.0156.A,BBNZ1.Q.DE.Y.G.0156.A_FLAGS,BBNZ1.Q.DE.Y.G.0157.A,BBNZ1.Q.DE.Y.G.0157.A_FLAGS,BBNZ1.Q.DE.Y.G.0158.A,BBNZ1.Q.DE.Y.G.0158.A_FLAGS,BBNZ1.Q.DE.Y.G.0165.A,BBNZ1.Q.DE.Y.G.0165.A_FLAGS,BBNZ1.Q.DE.Y.G.0166.A,BBNZ1.Q.DE.Y.G.0166.A_FLAGS,BBNZ1.Q.DE.Y.G.0167.A,BBNZ1.Q.DE.Y.G.0167.A_FLAGS,BBNZ1.Q.DE.Y.G.0168.A,BBNZ1.Q.DE.Y.G.0168.A_FLAGS,BBNZ1.Q.DE.Y.G.0169.A,BBNZ1.Q.DE.Y.G.0169.A_FLAGS,BBNZ1.Q.DE.Y.G.0170.A,BBNZ1.Q.DE.Y.G.0170.A_FLAGS,BBNZ1.Q.DE.Y.G.0172.A,BBNZ1.Q.DE.Y.G.0172.A_FLAGS,BBNZ1.Q.DE.Y.G.0173.A,BBNZ1.Q.DE.Y.G.0173.A_FLAGS,BBNZ1.Q.DE.Y.G.0174.A,BBNZ1.Q.DE.Y.G.0174.A_FLAGS,BBNZ1.Q.DE.Y.G.0175.A,BBNZ1.Q.DE.Y.G.0175.A_FLAGS,BBNZ1.Q.DE.Y.G.0176.A,BBNZ1.Q.DE.Y.G.0176.A_FLAGS,BBNZ1.Q.DE.Y.G.0177.A,BBNZ1.Q.DE.Y.G.0177.A_FLAGS,BBNZ1.Q.DE.Y.G.0178.A,BBNZ1.Q.DE.Y.G.0178.A_FLAGS
1997-01,482.098,,274.063,,95.461,,34.896,,61.164,,3.099,,1.998,,117.501,,115.503,,109.475,,35.307,,25.857,,13.415,,11.643,,1.710,,7.640,,0.235,,7.405,,2.293,,97.832,,33.186,,53.524,,35.072,,18.452,,11.122,,62.760,
1997-04,484.458,,274.463,,95.734,,34.952,,63.142,,2.714,,4.759,,121.572,,116.813,,111.547,,36.517,,26.625,,13.453,,11.975,,1.673,,8.043,,0.237,,7.806,,2.259,,99.572,,33.279,,55.099,,36.280,,18.819,,11.194,,63.292,
1997-07,486.654,,275.983,,94.564,,35.106,,62.926,,4.573,,6.904,,128.667,,121.763,,111.534,,36.336,,26.590,,13.502,,11.704,,1.594,,7.899,,0.233,,7.666,,2.211,,99.830,,33.512,,55.027,,36.103,,18.924,,11.291,,63.727,
1997-10,488.927,,278.754,,93.819,,36.384,,62.687,,3.730,,7.766,,131.112,,123.346,,112.624,,36.072,,26.615,,13.553,,10.647,,1.547,,7.025,,0.230,,6.795,,2.075,,101.977,,34.837,,55.662,,35.842,,19.820,,11.478,,66.135,
1998-01,495.583,,277.988,,95.718,,37.950,,63.327,,6.386,,6.239,,133.126,,126.887,,115.491,,36.714,,26.613,,14.214,,11.694,,1.805,,7.630,,0.217,,7.413,,2.259,,103.797,,36.145,,55.697,,36.497,,19.200,,11.955,,67.300,
1998-04,495.417,,277.625,,96.526,,38.367,,61.344,,7.162,,6.425,,134.803,,128.378,,114.104,,35.933,,25.411,,14.393,,11.700,,1.691,,7.760,,0.208,,7.552,,2.249,,102.404,,36.676,,53.584,,35.725,,17.859,,12.144,,66.679,
1998-07,498.725,,281.605,,96.336,,38.681,,61.583,,5.995,,5.965,,132.836,,126.871,,114.789,,36.124,,25.459,,14.525,,11.909,,1.719,,7.904,,0.206,,7.698,,2.286,,102.880,,36.962,,53.679,,35.918,,17.761,,12.239,,66.962,
1998-10,498.229,,283.952,,96.137,,39.155,,59.927,,4.424,,5.837,,129.911,,124.074,,113.716,,35.234,,24.693,,14.634,,11.123,,1.731,,7.098,,0.200,,6.898,,2.294,,102.593,,37.424,,52.829,,35.034,,17.795,,12.340,,67.559,
1999-01,508.192,,287.122,,98.615,,40.375,,60.999,,5.651,,1.475,,129.945,,128.470,,116.804,,35.694,,25.305,,15.430,,12.468,,1.865,,8.396,,0.194,,8.202,,2.207,,104.336,,38.510,,52.603,,35.500,,17.103,,13.223,,68.836,
1999-04,507.443,,289.298,,98.901,,40.206,,61.501,,1.921,,3.285,,136.746,,133.461,,117.323,,36.124,,25.377,,15.616,,12.267,,1.894,,8.102,,0.193,,7.909,,2.271,,105.056,,38.312,,53.399,,35.931,,17.468,,13.345,,69.125,
1999-07,513.341,,288.999,,99.977,,40.793,,62.521,,5.368,,2.293,,140.587,,138.294,,118.997,,36.798,,25.723,,15.683,,12.058,,1.993,,7.779,,0.192,,7.587,,2.286,,106.939,,38.800,,54.742,,36.606,,18.136,,13.397,,70.333,
1999-10,515.135,,290.521,,98.888,,41.049,,61.746,,7.070,,3.524,,144.663,,141.139,,118.656,,36.176,,25.570,,15.861,,12.191,,1.943,,7.845,,0.191,,7.654,,2.403,,106.465,,39.106,,53.901,,35.985,,17.916,,13.458,,70.480,
2000-01,521.053,,294.140,,100.916,,43.273,,62.033,,4.677,,3.394,,152.847,,149.453,,121.320,,36.079,,25.954,,16.014,,12.340,,1.813,,8.193,,0.192,,8.001,,2.334,,108.980,,41.460,,53.840,,35.887,,17.953,,13.680,,73.093,
2000-04,524.363,,296.819,,100.003,,44.897,,60.800,,5.809,,3.407,,159.741,,156.334,,121.732,,35.683,,25.117,,16.035,,11.994,,1.772,,7.921,,0.187,,7.734,,2.301,,109.738,,43.125,,52.879,,35.496,,17.383,,13.734,,74.242,
2000-07,529.781,,298.131,,100.105,,46.554,,59.990,,8.829,,-0.630,,163.915,,164.545,,122.716,,35.167,,24.823,,16.172,,12.194,,1.844,,7.983,,0.183,,7.800,,2.367,,110.522,,44.710,,52.007,,34.984,,17.023,,13.805,,75.538,
