"",BBNZ1.Q.DE.S.H.0931.A,BBNZ1.Q.DE.S.H.0931.A_FLAGS,BBNZ1.Q.DE.S.H.0933.A,BBNZ1.Q.DE.S.H.0933.A_FLAGS,BBNZ1.Q.DE.S.H.0934.A,BBNZ1.Q.DE.S.H.0934.A_FLAGS,BBNZ1.Q.DE.S.H.0948.A,BBNZ1.Q.DE.S.H.0948.A_FLAGS,BBNZ1.Q.DE.S.H.0939.A,BBNZ1.Q.DE.S.H.0939.A_FLAGS,BBNZ1.Q.DE.S.H.0940.A,BBNZ1.Q.DE.S.H.0940.A_FLAGS,BBNZ1.Q.DE.S.H.0938.A,BBNZ1.Q.DE.S.H.0938.A_FLAGS,BBNZ1.Q.DE.S.H.0949.A,BBNZ1.Q.DE.S.H.0949.A_FLAGS
2015-04,100.94,,100.37,,100.70,,99.88,,100.07,,97.93,,99.38,,100.39,
2015-07,99.27,,100.39,,99.65,,100.27,,100.69,,100.70,,100.66,,99.86,
2015-10,99.25,,99.67,,100.45,,99.39,,101.56,,99.03,,101.34,,100.10,
2016-01,99.38,,101.64,,102.14,,101.34,,104.72,,105.10,,101.03,,101.14,
2016-04,95.62,,97.34,,100.82,,100.33,,106.56,,102.13,,99.33,,98.97,
2016-07,98.24,,101.54,,102.02,,99.55,,106.40,,103.66,,100.34,,100.62,
2016-10,99.08,,102.98,,102.59,,102.25,,103.85,,105.79,,102.39,,101.64,
2017-01,96.49,,102.18,,101.75,,99.97,,97.75,,105.71,,103.94,,100.27,
2017-04,97.52,,103.87,,103.04,,101.41,,96.60,,111.21,,105.09,,101.39,
2017-07,96.56,,104.33,,102.95,,101.42,,95.52,,108.20,,105.44,,101.06,
2017-10,96.65,,105.36,,103.28,,101.30,,99.86,,110.95,,105.68,,101.60,
2018-01,97.57,,105.01,,104.20,,99.27,,102.62,,111.51,,106.19,,102.24,
2018-04,97.88,,105.11,,104.67,,100.37,,104.25,,112.52,,106.03,,102.69,
2018-07,100.59,,107.07,,107.19,,102.44,,106.16,,117.32,,109.14,,105.26,
2018-10,101.55,,107.36,,105.94,,101.99,,104.42,,118.87,,108.60,,105.15,
2019-01,101.60,,107.66,,105.23,,104.22,,104.93,,117.28,,109.61,,105.39,
2019-04,103.82,,111.21,,106.30,,105.20,,105.24,,118.91,,112.34,,107.22,
2019-07,105.85,,109.84,,106.19,,105.87,,104.72,,117.73,,112.28,,107.87,
2019-10,105.06,,113.33,,107.04,,105.64,,104.52,,117.61,,112.91,,107.96,
2020-01,106.50,,105.16,,105.28,,107.86,,105.45,,119.64,,114.71,,107.90,
2020-04,120.72,,108.70,,113.21,,109.12,,103.19,,115.72,,121.23,,113.96,
2020-07,110.10,,115.02,,104.49,,107.69,,103.38,,120.03,,118.05,,109.55,
2020-10,103.42,,102.98,,105.01,,107.86,,105.76,,120.76,,118.77,,106.89,
2021-01,106.43,,112.42,,105.49,,111.58,,107.39,,124.42,,120.30,,109.22,
2021-04,104.88,,111.07,,106.32,,115.34,,104.58,,122.14,,117.04,,108.62,
2021-07,111.35,,116.33,,105.09,,114.77,,106.74,,127.41,,116.32,,111.31,
2021-10,108.96,,118.11,,105.19,,114.85,,108.06,,130.47,,118.82,,111.19,
2022-01,111.34,,115.73,,105.02,,116.64,,105.91,,130.25,,119.20,,111.82,
"",Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,
