"",BBK01.DU7503,BBK01.DU7503_FLAGS,BBK01.DU7516,BBK01.DU7516_FLAGS
2002-02,71.7,,65.9,
2002-03,71.8,,66.1,
2002-04,72.0,,66.3,
2002-05,73.1,,68.8,
2002-06,72.8,,67.7,
2002-07,98.1,,102.6,
2002-08,72.8,,67.5,
2002-09,72.9,,67.5,
2002-10,73.0,,67.7,
2002-11,119.4,,108.9,
2002-12,73.5,,67.8,
2003-01,73.3,,67.8,
2003-02,73.3,,67.8,
2003-03,74.2,,67.8,
2003-04,74.2,,69.3,
2003-05,74.1,,69.1,
2003-06,74.4,,69.7,
2003-07,99.4,,103.7,
2003-08,74.5,,69.5,
2003-09,74.8,,70.7,
2003-10,74.4,,69.5,
2003-11,119.6,,111.8,
2003-12,74.6,,69.6,
2004-01,74.5,,69.7,
2004-02,74.6,,69.7,
2004-03,75.2,,71.4,
2004-04,75.2,,70.3,
2004-05,75.3,,71.1,
2004-06,75.1,,70.4,
2004-07,99.3,,105.6,
2004-08,75.3,,70.6,
2004-09,75.4,,70.6,
2004-10,76.0,,72.5,
2004-11,117.9,,113.5,
2004-12,75.5,,70.6,
2005-01,75.3,,70.6,
2005-02,75.4,,70.7,
2005-03,76.4,,73.6,
2005-04,76.5,,71.8,
2005-05,75.8,,72.0,
2005-06,75.8,,72.0,
2005-07,100.1,,107.5,
2005-08,76.1,,72.2,
2005-09,76.3,,72.2,
2005-10,77.0,,73.6,
2005-11,118.2,,115.8,
2005-12,76.4,,72.4,
2006-01,76.2,,72.1,
2006-02,76.9,,74.3,
2006-03,76.6,,73.6,
2006-04,78.1,,73.6,
2006-05,76.9,,74.2,
2006-06,76.3,,72.4,
2006-07,99.1,,107.8,
2006-08,76.5,,72.4,
2006-09,76.5,,72.3,
2006-10,76.7,,72.7,
2006-11,119.0,,116.3,
2006-12,78.5,,74.9,
2007-01,77.1,,72.6,
2007-02,76.6,,72.5,
2007-03,76.6,,72.6,
2007-04,78.6,,72.6,
2007-05,79.2,,79.1,
2007-06,77.7,,75.4,
2007-07,100.4,,111.2,
2007-08,77.8,,74.6,
2007-09,78.3,,74.6,
2007-10,77.7,,74.7,
2007-11,120.2,,119.7,
2007-12,79.5,,74.7,
2008-01,78.6,,74.7,
2008-02,78.7,,75.0,
2008-03,78.8,,75.0,
2008-04,80.0,,75.5,
2008-05,79.9,,76.9,
2008-06,79.8,,76.5,
2008-07,102.8,,113.5,
2008-08,81.1,,77.7,
2008-09,80.3,,76.5,
2008-10,80.0,,76.5,
2008-11,123.2,,122.8,
2008-12,83.8,,83.7,
2009-01,81.3,,76.6,
2009-02,80.5,,77.3,
2009-03,81.0,,77.3,
2009-04,82.0,,77.5,
2009-05,81.9,,80.0,
2009-06,81.7,,78.7,
2009-07,104.5,,116.4,
2009-08,81.6,,78.8,
2009-09,82.5,,81.0,
2009-10,81.9,,79.1,
2009-11,125.3,,126.7,
2009-12,83.2,,78.9,
2010-01,82.4,,79.2,
2010-02,82.4,,79.4,
2010-03,82.6,,79.1,
2010-04,83.8,,79.4,
2010-05,83.5,,82.2,
2010-06,83.6,,82.1,
2010-07,105.5,,117.0,
2010-08,82.9,,79.4,
2010-09,82.9,,79.5,
2010-10,83.1,,79.5,
2010-11,126.6,,127.7,
2010-12,84.9,,81.8,
2011-01,84.4,,79.8,
2011-02,83.2,,79.8,
2011-03,83.8,,79.9,
2011-04,85.4,,80.8,
2011-05,84.7,,82.8,
2011-06,84.2,,81.4,
2011-07,107.2,,120.0,
2011-08,84.7,,81.5,
2011-09,84.6,,81.8,
2011-10,84.6,,81.7,
2011-11,129.0,,130.9,
2011-12,86.1,,81.8,
2012-01,85.3,,81.9,
2012-02,85.3,,81.9,
2012-03,85.6,,82.0,
2012-04,86.7,,82.0,
2012-05,87.6,,87.3,
2012-06,86.6,,83.9,
2012-07,110.4,,123.7,
2012-08,86.9,,84.5,
2012-09,87.0,,84.6,
2012-10,87.1,,84.6,
2012-11,132.7,,135.5,
2012-12,88.8,,84.8,
2013-01,87.8,,84.8,
2013-02,87.8,,84.8,
2013-03,87.9,,84.9,
2013-04,88.7,,85.0,
2013-05,89.2,,88.9,
2013-06,88.3,,85.5,
2013-07,113.1,,128.0,
2013-08,89.6,,87.2,
2013-09,89.2,,87.0,
2013-10,89.3,,87.1,
2013-11,135.8,,139.2,
2013-12,91.0,,87.3,
2014-01,91.2,,87.2,
2014-02,89.9,,87.3,
2014-03,90.4,,87.6,
2014-04,91.2,,87.7,
2014-05,92.2,,91.8,
2014-06,91.4,,89.2,
2014-07,116.2,,131.1,
2014-08,92.0,,89.4,
2014-09,91.8,,89.5,
2014-10,92.3,,89.5,
2014-11,140.1,,143.1,
2014-12,93.8,,89.5,
2015-01,92.3,,89.6,
2015-02,92.3,,89.6,
2015-03,93.2,,91.7,
2015-04,93.7,,91.4,
2015-05,94.1,,94.4,
2015-06,93.5,,92.0,
2015-07,119.1,,134.7,
2015-08,94.0,,92.1,
2015-09,94.1,,92.2,
2015-10,94.6,,92.2,
2015-11,143.4,,147.9,
2015-12,95.7,,92.3,
2016-01,94.3,,92.4,
2016-02,94.3,,92.2,
2016-03,94.7,,92.3,
2016-04,95.5,,92.3,
2016-05,95.7,,94.3,
2016-06,96.0,,94.8,
2016-07,121.7,,138.0,
2016-08,96.2,,94.8,
2016-09,96.3,,95.0,
2016-10,96.8,,95.0,
2016-11,146.8,,151.9,
2016-12,98.2,,95.0,
2017-01,97.0,,95.0,
2017-02,97.0,,95.1,
2017-03,97.1,,95.1,
2017-04,98.1,,96.2,
2017-05,98.0,,97.3,
2017-06,97.8,,96.4,
2017-07,124.1,,140.4,
2017-08,98.2,,96.6,
2017-09,98.4,,96.8,
2017-10,98.8,,97.0,
2017-11,149.3,,155.4,
2017-12,100.2,,97.0,
2018-01,99.1,,97.3,
2018-02,99.2,,97.4,
2018-03,100.0,,98.7,
2018-04,101.0,,99.5,
2018-05,102.0,,101.8,
2018-06,101.0,,100.4,
2018-07,128.3,,147.0,
2018-08,101.1,,100.5,
2018-09,101.1,,100.5,
2018-10,101.3,,100.8,
2018-11,154.2,,163.5,
2018-12,103.2,,101.1,
2019-01,102.1,,101.2,
2019-02,102.5,,101.2,
2019-03,102.2,,101.3,
2019-04,103.3,,101.3,
2019-05,103.4,,103.4,
2019-06,103.6,,103.5,
2019-07,137.2,,168.3,
2019-08,103.7,,102.4,
2019-09,103.6,,101.8,
2019-10,103.7,,101.8,
2019-11,157.6,,163.9,
2019-12,105.5,,101.8,
2020-01,104.5,,102.3,
2020-02,104.6,,102.2,
2020-03,104.6,,102.0,
2020-04,105.2,,101.9,
2020-05,105.5,,104.1,
2020-06,105.0,,102.0,
2020-07,139.4,,170.1,
2020-08,105.4,,103.0,
2020-09,105.2,,102.3,
2020-10,105.3,,102.5,
2020-11,160.7,,166.7,
2020-12,109.9,,102.5,
2021-01,106.0,,102.8,
2021-02,106.0,,102.8,
2021-03,106.1,,102.8,
2021-04,107.1,,103.3,
2021-05,106.7,,103.6,
2021-06,109.2,,111.4,
2021-07,139.2,,165.6,
2021-08,107.2,,104.1,
2021-09,107.0,,103.5,
2021-10,108.8,,109.0,
2021-11,163.4,,168.2,
2021-12,109.5,,103.8,
2022-01,108.3,,106.0,
