"",BBFB1.M.Y.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS,BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.IM.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.SD.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.SD.S.A.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.A.W1.A.C.A15.A,BBDA1.M.DE.Y.EX.S.A.W1.A.C.A15.A_FLAGS,BBDA1.M.DE.Y.IM.S.A.W1.A.C.A15.A,BBDA1.M.DE.Y.IM.S.A.W1.A.C.A15.A_FLAGS,BBDA1.M.DE.Y.SD.S.A.W1.A.C.A15.A,BBDA1.M.DE.Y.SD.S.A.W1.A.C.A15.A_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.C.G1___ERG._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.G1___ERG._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.D.G1___ERG._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.G1___ERG._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.C.G2._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.G2._Z._Z._Z._T._X.N_FLAGS
2006-06,67.76,,57.15,,10.61,,71.97,,61.25,,10.72,,,,,,,,-4.53,,-4.22,,0.23,
2006-07,69.24,,56.79,,12.45,,74.17,,61.37,,12.80,,,,,,,,-5.22,,-4.67,,0.19,
2006-08,68.51,,55.06,,13.45,,73.00,,59.92,,13.08,,,,,,,,-4.77,,-4.92,,0.22,
2006-09,73.78,,59.16,,14.62,,77.91,,63.77,,14.14,,,,,,,,-5.16,,-4.70,,0.97,
2006-10,76.11,,59.05,,17.06,,80.19,,63.62,,16.57,,,,,,,,-5.22,,-4.71,,1.07,
2006-11,75.46,,59.52,,15.94,,80.92,,64.39,,16.53,,,,,,,,-5.65,,-4.99,,0.10,
2006-12,75.81,,59.78,,16.03,,79.51,,64.91,,14.60,,,,,,,,-5.37,,-5.21,,1.58,
2007-01,74.58,,57.23,,17.35,,78.13,,61.03,,17.10,,,,,,,,-3.99,,-3.93,,0.37,
2007-02,75.47,,61.31,,14.16,,78.97,,65.22,,13.75,,,,,,,,-4.15,,-4.00,,0.55,
2007-03,74.52,,59.40,,15.12,,77.32,,62.86,,14.46,,,,,,,,-4.00,,-3.56,,1.14,
2007-04,77.36,,60.19,,17.17,,80.86,,64.18,,16.68,,,,,,,,-4.03,,-4.08,,0.46,
2007-05,76.31,,59.72,,16.59,,79.55,,62.97,,16.58,,,,,,,,-3.92,,-3.34,,0.59,
2007-06,76.81,,61.03,,15.78,,80.10,,64.96,,15.14,,,,,,,,-3.86,,-4.02,,0.47,
2007-07,76.78,,59.63,,17.15,,80.46,,63.20,,17.26,,,,,,,,-4.02,,-3.67,,0.26,
2007-08,78.60,,61.54,,17.06,,81.69,,65.30,,16.39,,,,,,,,-3.95,,-3.89,,0.52,
2007-09,80.12,,61.33,,18.79,,82.41,,64.41,,18.00,,,,,,,,-3.61,,-3.23,,1.24,
2007-10,78.28,,60.65,,17.63,,82.42,,65.01,,17.41,,,,,,,,-4.33,,-4.46,,0.08,
2007-11,80.36,,61.59,,18.77,,83.17,,65.38,,17.79,,,,,,,,-3.98,,-3.98,,1.05,
2007-12,81.43,,63.86,,17.57,,84.05,,67.89,,16.16,,,,,,,,-3.78,,-4.17,,1.08,
2008-01,81.55,,62.05,,19.50,,85.00,,66.04,,18.96,,90.42,,67.14,,23.28,,-4.36,,-4.13,,0.74,
2008-02,79.83,,63.18,,16.65,,83.27,,66.37,,16.89,,88.28,,66.47,,21.81,,-4.41,,-3.35,,0.80,
2008-03,80.13,,63.02,,17.11,,83.17,,66.41,,16.76,,89.09,,67.03,,22.06,,-4.12,,-3.51,,0.92,
2008-04,80.42,,62.61,,17.81,,83.76,,66.50,,17.27,,88.85,,65.98,,22.87,,-4.38,,-4.11,,0.85,
2008-05,79.17,,63.66,,15.51,,82.30,,66.88,,15.42,,86.85,,65.47,,21.38,,-3.58,,-3.35,,0.33,
2008-06,80.38,,63.34,,17.04,,83.04,,66.48,,16.56,,88.49,,63.53,,24.96,,-3.55,,-3.29,,0.74,
2008-07,79.94,,65.88,,14.06,,83.16,,69.58,,13.58,,87.03,,66.84,,20.19,,-3.81,,-3.84,,0.43,
2008-08,80.68,,65.95,,14.73,,83.58,,69.11,,14.46,,87.65,,66.23,,21.42,,-3.61,,-3.28,,0.57,
2008-09,79.19,,65.59,,13.60,,81.73,,69.17,,12.55,,86.26,,66.91,,19.35,,-3.78,,-3.74,,1.06,
2008-10,80.40,,64.36,,16.04,,82.78,,67.54,,15.24,,86.91,,66.77,,20.14,,-3.69,,-3.59,,1.14,
2008-11,72.29,,63.16,,9.13,,75.76,,66.04,,9.72,,79.73,,66.52,,13.21,,-4.19,,-3.39,,0.46,
2008-12,71.67,,60.13,,11.54,,73.11,,64.02,,9.09,,77.57,,65.40,,12.17,,-3.97,,-4.16,,2.37,
2009-01,65.76,,55.41,,10.35,,67.86,,57.73,,10.13,,72.58,,62.06,,10.52,,-2.79,,-2.77,,0.60,
2009-02,63.15,,54.08,,9.07,,65.64,,56.28,,9.37,,70.36,,60.26,,10.10,,-2.97,,-2.76,,0.34,
2009-03,60.39,,52.12,,8.27,,64.11,,55.18,,8.94,,70.48,,60.59,,9.89,,-4.56,,-3.64,,0.64,
2009-04,62.31,,51.66,,10.65,,64.75,,54.29,,10.46,,69.73,,58.88,,10.85,,-3.49,,-3.11,,0.92,
2009-05,59.87,,48.90,,10.97,,63.22,,51.78,,11.44,,68.41,,56.74,,11.67,,-4.09,,-3.12,,0.42,
2009-06,61.57,,49.91,,11.66,,65.02,,53.03,,11.98,,71.14,,57.30,,13.84,,-4.28,,-3.24,,0.60,
2009-07,65.09,,50.29,,14.80,,67.99,,53.26,,14.73,,73.89,,58.71,,15.18,,-3.76,,-3.27,,0.65,
2009-08,63.28,,51.70,,11.58,,66.74,,55.05,,11.69,,72.32,,59.37,,12.95,,-4.32,,-3.46,,0.69,
2009-09,64.19,,54.64,,9.55,,67.11,,57.89,,9.22,,73.19,,63.16,,10.03,,-3.93,,-3.44,,0.77,
2009-10,64.46,,52.06,,12.40,,67.37,,56.03,,11.34,,72.65,,60.36,,12.29,,-4.25,,-4.07,,1.14,
2009-11,67.00,,52.78,,14.22,,69.72,,54.95,,14.77,,75.11,,58.46,,16.65,,-3.24,,-2.33,,0.40,
2009-12,70.96,,54.90,,16.06,,71.67,,58.07,,13.60,,76.72,,60.34,,16.38,,-3.43,,-3.32,,2.49,
2010-01,66.18,,54.32,,11.86,,69.98,,57.99,,11.99,,74.47,,61.51,,12.96,,-4.70,,-4.10,,0.65,
2010-02,68.68,,54.05,,14.63,,72.01,,58.06,,13.95,,76.49,,60.88,,15.61,,-4.98,,-4.38,,1.19,
2010-03,72.15,,60.48,,11.67,,75.75,,63.64,,12.10,,81.82,,66.76,,15.06,,-4.62,,-3.68,,0.54,
2010-04,72.50,,58.87,,13.63,,75.52,,62.21,,13.31,,79.33,,62.91,,16.42,,-4.51,,-3.86,,1.01,
2010-05,76.48,,64.89,,11.59,,79.37,,67.91,,11.45,,83.27,,68.78,,14.49,,-4.31,,-4.22,,0.92,
2010-06,77.03,,65.51,,11.52,,80.40,,69.32,,11.08,,84.96,,68.94,,16.02,,-4.91,,-4.74,,0.91,
2010-07,77.17,,63.70,,13.47,,80.89,,67.92,,12.98,,84.41,,67.84,,16.57,,-5.39,,-4.68,,1.15,
2010-08,76.94,,64.95,,11.99,,79.80,,68.22,,11.58,,83.50,,67.93,,15.57,,-4.31,,-3.80,,0.93,
2010-09,79.12,,64.44,,14.68,,81.31,,67.70,,13.61,,84.96,,67.50,,17.46,,-4.06,,-3.72,,1.34,
2010-10,80.08,,65.01,,15.07,,82.64,,68.35,,14.29,,85.49,,67.94,,17.55,,-4.38,,-3.74,,1.19,
2010-11,80.99,,67.61,,13.38,,83.74,,71.41,,12.33,,86.70,,70.16,,16.54,,-4.98,,-4.47,,1.47,
2010-12,80.93,,66.89,,14.04,,83.40,,70.70,,12.69,,85.90,,67.58,,18.32,,-4.46,,-4.38,,1.25,
2011-01,82.32,,68.37,,13.95,,84.98,,71.32,,13.66,,86.73,,69.01,,17.72,,-4.43,,-3.39,,1.32,
2011-02,82.90,,69.90,,13.00,,85.90,,73.38,,12.52,,87.51,,70.15,,17.36,,-4.33,,-3.98,,0.97,
2011-03,85.76,,71.14,,14.62,,88.51,,73.83,,14.67,,91.26,,70.41,,20.85,,-4.44,,-3.18,,1.07,
2011-04,84.98,,72.86,,12.12,,87.48,,75.48,,12.00,,88.44,,70.85,,17.59,,-3.94,,-2.95,,1.02,
2011-05,84.00,,70.65,,13.35,,87.26,,74.36,,12.90,,89.49,,71.38,,18.11,,-4.92,,-4.14,,1.04,
2011-06,86.05,,74.03,,12.02,,88.64,,76.41,,12.23,,90.20,,72.11,,18.09,,-3.84,,-3.06,,0.87,
2011-07,85.21,,72.86,,12.35,,87.83,,76.36,,11.47,,88.63,,71.89,,16.74,,-4.91,,-4.14,,1.73,
2011-08,86.63,,72.77,,13.86,,89.16,,75.88,,13.28,,90.90,,72.24,,18.66,,-4.62,,-4.16,,1.28,
2011-09,86.64,,72.03,,14.61,,89.76,,75.65,,14.11,,91.44,,71.57,,19.87,,-5.40,,-4.32,,1.31,
2011-10,84.97,,73.12,,11.85,,88.78,,76.55,,12.23,,89.22,,72.02,,17.20,,-5.05,,-4.28,,0.52,
2011-11,87.15,,71.73,,15.42,,90.01,,75.44,,14.57,,90.91,,70.54,,20.37,,-4.72,,-4.40,,1.08,
2011-12,85.32,,72.07,,13.25,,87.15,,74.77,,12.38,,88.17,,69.45,,18.72,,-3.77,,-3.38,,1.17,
2012-01,87.61,,69.89,,17.72,,89.42,,72.49,,16.93,,90.03,,67.80,,22.23,,-3.89,,-3.28,,1.46,
2012-02,89.60,,72.81,,16.79,,90.69,,75.14,,15.54,,90.88,,69.59,,21.29,,-3.50,,-2.92,,1.88,
2012-03,88.35,,73.89,,14.46,,89.97,,75.84,,14.13,,90.78,,70.14,,20.64,,-3.64,,-2.52,,1.33,
2012-04,87.28,,71.16,,16.12,,90.00,,74.11,,15.89,,89.63,,68.10,,21.53,,-4.47,,-3.41,,1.09,
2012-05,90.63,,73.86,,16.77,,93.02,,76.61,,16.41,,93.23,,71.43,,21.80,,-4.63,,-3.33,,1.57,
2012-06,90.03,,73.06,,16.97,,91.93,,75.41,,16.52,,92.34,,70.15,,22.19,,-4.38,,-3.04,,1.69,
2012-07,90.19,,72.66,,17.53,,92.34,,75.35,,16.99,,92.36,,70.04,,22.32,,-4.37,,-3.48,,1.66,
2012-08,91.22,,72.37,,18.85,,93.62,,75.41,,18.20,,93.70,,69.60,,24.10,,-4.46,,-3.70,,1.43,
2012-09,89.70,,73.09,,16.61,,91.89,,75.56,,16.34,,91.35,,69.65,,21.70,,-4.24,,-3.13,,1.42,
2012-10,90.07,,74.68,,15.39,,91.74,,76.63,,15.11,,91.37,,71.44,,19.93,,-3.53,,-2.63,,1.15,
2012-11,86.84,,70.66,,16.18,,89.20,,73.62,,15.58,,88.75,,68.22,,20.53,,-4.34,,-3.59,,1.30,
2012-12,90.20,,72.72,,17.48,,91.65,,74.82,,16.84,,90.74,,69.19,,21.55,,-3.52,,-2.62,,1.44,
2013-01,88.98,,71.66,,17.32,,90.68,,74.17,,16.51,,91.10,,70.11,,20.99,,-4.29,,-3.53,,1.61,
2013-02,88.07,,71.47,,16.60,,90.44,,72.90,,17.55,,90.37,,68.51,,21.86,,-4.39,,-2.26,,1.22,
2013-03,90.17,,70.83,,19.34,,91.46,,73.60,,17.86,,91.45,,69.12,,22.33,,-4.07,,-3.63,,1.76,
2013-04,89.14,,71.32,,17.82,,90.49,,73.82,,16.68,,91.22,,70.33,,20.89,,-3.94,,-3.41,,1.75,
2013-05,88.61,,71.53,,17.08,,90.16,,75.13,,15.03,,90.60,,71.83,,18.77,,-3.48,,-4.57,,1.31,
2013-06,88.43,,72.65,,15.78,,90.86,,74.87,,15.99,,91.56,,71.13,,20.43,,-5.09,,-3.18,,2.08,
2013-07,87.77,,73.11,,14.66,,89.05,,74.30,,14.75,,90.08,,71.00,,19.08,,-3.42,,-2.10,,1.42,
2013-08,90.31,,74.84,,15.47,,90.99,,75.41,,15.59,,91.68,,71.83,,19.85,,-3.10,,-1.27,,1.75,
2013-09,90.25,,72.80,,17.45,,91.77,,73.59,,18.18,,92.32,,69.83,,22.49,,-3.82,,-1.68,,1.65,
2013-10,90.47,,73.03,,17.44,,92.24,,75.41,,16.82,,92.92,,72.41,,20.51,,-4.01,,-3.44,,1.62,
2013-11,92.08,,73.23,,18.85,,92.72,,74.97,,17.75,,93.08,,71.40,,21.68,,-3.54,,-2.91,,2.27,
2013-12,92.17,,73.91,,18.26,,92.45,,75.06,,17.39,,92.93,,71.36,,21.57,,-3.53,,-2.01,,2.36,
2014-01,92.37,,73.27,,19.10,,93.47,,75.52,,17.95,,94.53,,72.92,,21.61,,-3.75,,-3.04,,1.93,
2014-02,91.01,,74.28,,16.73,,92.73,,76.24,,16.48,,93.58,,73.65,,19.93,,-3.96,,-2.94,,1.49,
2014-03,89.04,,72.29,,16.75,,90.48,,75.66,,14.82,,91.55,,73.47,,18.08,,-3.73,,-4.00,,1.63,
2014-04,91.52,,73.67,,17.85,,92.67,,75.54,,17.13,,93.80,,73.56,,20.24,,-3.68,,-2.68,,1.95,
2014-05,90.17,,72.92,,17.25,,91.24,,73.55,,17.70,,92.40,,71.80,,20.60,,-3.74,,-1.34,,1.86,
2014-06,92.10,,74.75,,17.35,,93.87,,77.75,,16.12,,94.33,,74.71,,19.62,,-4.09,,-3.74,,1.55,
2014-07,94.29,,74.04,,20.25,,96.19,,75.03,,21.16,,97.25,,72.95,,24.30,,-4.07,,-1.68,,1.45,
2014-08,90.93,,73.61,,17.32,,92.69,,75.62,,17.07,,92.85,,73.21,,19.64,,-4.38,,-2.87,,1.74,
2014-09,94.09,,75.75,,18.34,,95.87,,77.98,,17.88,,96.71,,75.42,,21.29,,-4.24,,-2.87,,1.76,
2014-10,95.76,,74.77,,20.99,,96.38,,76.12,,20.26,,96.79,,74.16,,22.63,,-3.87,,-2.12,,2.50,
2014-11,93.03,,75.20,,17.83,,94.50,,76.79,,17.71,,94.68,,74.65,,20.03,,-3.61,,-2.72,,1.48,
2014-12,96.78,,74.88,,21.90,,97.96,,76.71,,21.25,,98.84,,76.15,,22.69,,-4.05,,-2.94,,2.13,
2015-01,94.38,,74.13,,20.25,,96.55,,76.09,,20.46,,96.94,,76.55,,20.39,,-4.35,,-3.00,,1.62,
2015-02,95.68,,75.81,,19.87,,98.15,,77.88,,20.26,,98.25,,77.57,,20.68,,-4.94,,-3.34,,1.82,
2015-03,96.62,,76.70,,19.92,,98.02,,79.24,,18.78,,97.63,,78.22,,19.41,,-3.73,,-3.32,,1.78,
2015-04,96.85,,76.79,,20.06,,99.92,,78.89,,21.03,,99.32,,77.50,,21.82,,-5.98,,-2.93,,2.34,
2015-05,99.98,,77.43,,22.55,,101.77,,79.72,,22.05,,101.36,,78.39,,22.97,,-5.09,,-3.04,,2.60,
2015-06,98.21,,76.59,,21.62,,100.15,,79.42,,20.73,,99.85,,78.32,,21.53,,-4.65,,-3.79,,2.00,
2015-07,100.38,,78.99,,21.39,,102.80,,80.27,,22.52,,102.39,,79.55,,22.84,,-5.56,,-2.74,,2.13,
2015-08,94.97,,76.09,,18.88,,97.21,,78.88,,18.33,,97.21,,79.20,,18.01,,-4.75,,-3.88,,1.73,
2015-09,97.76,,77.31,,20.45,,99.71,,81.21,,18.50,,100.01,,82.11,,17.90,,-4.78,,-5.12,,1.97,
2015-10,96.00,,74.67,,21.33,,98.89,,78.54,,20.36,,99.19,,79.57,,19.62,,-5.63,,-4.73,,1.88,
2015-11,97.18,,76.70,,20.48,,98.93,,79.33,,19.60,,99.13,,80.62,,18.51,,-4.43,,-3.52,,1.88,
2015-12,94.71,,75.17,,19.54,,97.52,,77.78,,19.74,,98.11,,79.94,,18.17,,-4.66,,-3.72,,0.96,
2016-01,95.49,,76.10,,19.39,,98.52,,79.14,,19.37,,99.52,,82.61,,16.91,,-4.81,,-3.96,,1.18,
2016-02,96.34,,76.11,,20.23,,98.23,,79.46,,18.77,,99.73,,83.73,,16.00,,-4.80,,-3.98,,2.37,
2016-03,97.41,,75.00,,22.41,,100.01,,77.64,,22.36,,101.53,,81.38,,20.15,,-5.73,,-3.59,,2.24,
2016-04,98.80,,74.53,,24.27,,100.33,,76.96,,23.37,,101.96,,80.76,,21.20,,-5.21,,-3.31,,2.44,
2016-05,96.88,,74.44,,22.44,,98.81,,77.33,,21.48,,100.21,,80.64,,19.57,,-4.96,,-3.67,,2.00,
2016-06,97.51,,76.54,,20.97,,98.85,,78.37,,20.47,,100.05,,81.13,,18.92,,-4.56,,-2.84,,2.16,
2016-07,97.18,,76.21,,20.97,,98.55,,78.65,,19.90,,99.65,,81.25,,18.40,,-4.23,,-3.68,,1.60,
2016-08,98.48,,78.12,,20.36,,100.63,,80.01,,20.62,,101.75,,82.65,,19.10,,-5.29,,-2.86,,2.10,
2016-09,98.28,,77.88,,20.40,,99.98,,79.90,,20.08,,100.89,,82.46,,18.43,,-4.25,,-2.92,,1.60,
2016-10,99.24,,78.43,,20.81,,101.07,,80.70,,20.37,,101.58,,82.52,,19.06,,-4.44,,-3.14,,1.93,
2016-11,101.19,,80.05,,21.14,,102.49,,81.87,,20.62,,102.59,,83.12,,19.47,,-4.46,,-2.84,,2.26,
2016-12,96.56,,80.02,,16.54,,100.06,,81.65,,18.42,,99.56,,81.49,,18.07,,-6.07,,-3.07,,1.80,
2017-01,101.43,,82.36,,19.07,,102.86,,84.02,,18.84,,102.04,,83.35,,18.69,,-4.29,,-3.19,,1.84,
2017-02,103.43,,81.28,,22.15,,105.31,,84.19,,21.13,,104.37,,83.11,,21.26,,-4.93,,-4.07,,2.37,
2017-03,101.97,,82.32,,19.65,,103.96,,84.99,,18.97,,103.13,,84.32,,18.81,,-5.15,,-4.30,,2.01,
2017-04,105.22,,83.74,,21.48,,107.12,,86.56,,20.56,,106.06,,86.04,,20.02,,-4.92,,-3.84,,2.11,
2017-05,104.80,,84.64,,20.16,,106.66,,86.29,,20.36,,105.92,,86.55,,19.37,,-5.11,,-2.86,,2.33,
2017-06,104.35,,81.64,,22.71,,105.58,,84.29,,21.29,,105.05,,85.23,,19.82,,-4.15,,-3.58,,2.31,
2017-07,104.49,,83.46,,21.03,,106.03,,86.11,,19.92,,105.61,,87.33,,18.28,,-4.45,,-4.10,,2.07,
2017-08,106.29,,84.18,,22.11,,108.31,,86.44,,21.86,,107.99,,87.58,,20.41,,-5.48,,-3.46,,2.67,
2017-09,106.28,,83.55,,22.73,,108.07,,86.03,,22.04,,107.53,,86.55,,20.98,,-4.27,,-3.43,,1.77,
2017-10,106.06,,84.51,,21.55,,107.68,,87.19,,20.48,,106.83,,87.10,,19.73,,-4.37,,-3.63,,2.05,
2017-11,108.67,,85.80,,22.87,,110.51,,88.10,,22.41,,109.42,,87.40,,22.02,,-4.67,,-3.31,,2.29,
2017-12,107.46,,86.25,,21.21,,110.58,,88.86,,21.72,,109.38,,87.89,,21.49,,-5.11,,-3.55,,1.40,
2018-01,108.46,,87.12,,21.34,,109.99,,89.17,,20.81,,108.69,,87.94,,20.75,,-4.52,,-2.92,,2.38,
2018-02,106.68,,86.52,,20.16,,107.59,,88.39,,19.20,,106.52,,87.78,,18.74,,-3.51,,-2.55,,2.07,
2018-03,107.24,,85.63,,21.61,,108.79,,87.14,,21.65,,107.71,,86.62,,21.09,,-3.53,,-2.48,,1.29,
2018-04,108.32,,87.49,,20.83,,110.04,,89.59,,20.45,,108.74,,88.62,,20.12,,-4.69,,-2.94,,2.33,
2018-05,109.06,,87.43,,21.63,,111.16,,90.32,,20.84,,109.30,,87.95,,21.35,,-4.08,,-3.67,,1.40,
2018-06,109.68,,89.33,,20.35,,111.21,,91.36,,19.85,,109.14,,88.53,,20.61,,-4.70,,-2.98,,2.45,
2018-07,108.13,,92.97,,15.16,,110.53,,94.75,,15.79,,108.26,,91.72,,16.54,,-4.15,,-3.05,,1.18,
2018-08,108.58,,90.23,,18.35,,110.94,,91.82,,19.12,,108.23,,88.71,,19.52,,-4.40,,-2.74,,1.31,
2018-09,107.49,,91.27,,16.22,,110.59,,93.09,,17.51,,107.79,,89.51,,18.28,,-5.31,,-2.85,,1.40,
2018-10,108.71,,92.01,,16.70,,110.38,,92.87,,17.51,,107.37,,88.45,,18.92,,-4.21,,-2.20,,1.61,
2018-11,105.95,,90.90,,15.05,,110.24,,91.44,,18.80,,107.45,,88.01,,19.44,,-6.14,,-1.63,,1.22,
2018-12,108.68,,90.97,,17.71,,112.50,,92.38,,20.12,,109.97,,90.04,,19.93,,-5.89,,-2.22,,1.31,
2019-01,110.34,,92.70,,17.64,,111.75,,93.74,,18.01,,109.24,,91.63,,17.61,,-4.65,,-2.14,,2.59,
2019-02,108.01,,91.26,,16.75,,110.27,,92.80,,17.48,,107.90,,90.71,,17.19,,-4.48,,-2.42,,1.50,
2019-03,111.22,,91.22,,20.00,,112.09,,92.54,,19.56,,109.46,,90.46,,19.00,,-4.33,,-2.25,,2.29,
2019-04,108.01,,90.88,,17.13,,109.74,,91.80,,17.95,,107.27,,89.56,,17.71,,-4.71,,-1.90,,2.21,
2019-05,107.38,,89.75,,17.63,,110.24,,91.15,,19.10,,107.76,,89.01,,18.75,,-4.96,,-2.16,,1.26,
2019-06,109.83,,91.86,,17.97,,111.68,,93.26,,18.42,,109.28,,92.06,,17.22,,-4.42,,-2.11,,1.61,
2019-07,108.84,,90.45,,18.39,,110.92,,91.78,,19.14,,108.32,,90.87,,17.45,,-5.10,,-2.29,,1.78,
2019-08,108.97,,89.63,,19.34,,110.64,,91.17,,19.47,,108.05,,90.63,,17.42,,-4.00,,-2.49,,1.13,
2019-09,110.63,,92.19,,18.44,,112.15,,93.07,,19.07,,109.31,,91.79,,17.52,,-5.30,,-2.30,,2.21,
2019-10,110.14,,91.33,,18.81,,112.76,,92.83,,19.93,,110.01,,91.73,,18.28,,-5.58,,-2.56,,1.72,
2019-11,107.55,,90.12,,17.43,,110.72,,92.07,,18.64,,107.91,,90.62,,17.29,,-5.67,,-3.13,,1.54,
2019-12,108.99,,90.28,,18.71,,111.36,,91.42,,19.95,,108.43,,89.72,,18.71,,-5.93,,-2.57,,2.72,
2020-01,109.16,,91.56,,17.60,,110.70,,93.28,,17.42,,107.79,,92.08,,15.71,,-4.60,,-3.19,,1.95,
2020-02,110.09,,90.41,,19.68,,111.93,,91.52,,20.41,,109.09,,91.25,,17.84,,-5.12,,-2.66,,1.71,
2020-03,97.62,,85.23,,12.39,,98.97,,86.14,,12.83,,97.22,,89.08,,8.14,,-4.68,,-3.64,,1.63,
2020-04,74.47,,69.60,,4.87,,75.96,,71.94,,4.01,,74.99,,75.81,,-0.82,,-4.79,,-4.50,,1.38,
2020-05,82.09,,72.65,,9.44,,82.90,,74.87,,8.03,,82.00,,78.64,,3.36,,-3.29,,-3.37,,0.95,
2020-06,92.91,,78.59,,14.32,,94.79,,80.34,,14.45,,93.76,,83.77,,9.99,,-4.78,,-2.95,,1.68,
2020-07,97.07,,78.80,,18.27,,99.25,,81.57,,17.67,,98.17,,84.53,,13.64,,-4.77,,-4.49,,1.17,
2020-08,100.81,,83.59,,17.22,,102.03,,86.71,,15.32,,100.72,,89.67,,11.05,,-4.31,,-4.32,,1.23,
2020-09,102.90,,84.79,,18.11,,104.78,,88.05,,16.73,,103.23,,90.87,,12.36,,-4.66,,-4.42,,0.66,
2020-10,102.43,,83.98,,18.45,,104.94,,86.91,,18.03,,103.29,,89.32,,13.97,,-4.59,,-4.20,,0.89,
2020-11,105.04,,87.35,,17.69,,107.03,,90.99,,16.05,,104.93,,93.04,,11.89,,-4.73,,-5.25,,1.30,
2020-12,106.43,,86.89,,19.54,,107.69,,90.45,,17.24,,105.48,,91.83,,13.65,,-4.72,,-5.16,,2.11,
2021-01,106.49,,86.21,,20.28,,108.72,,88.64,,20.09,,105.76,,88.46,,17.30,,-4.46,,-4.07,,0.92,
2021-02,106.97,,89.62,,17.35,,109.05,,91.86,,17.19,,105.57,,90.32,,15.25,,-4.46,,-4.02,,1.23,
2021-03,110.93,,94.97,,15.96,,111.53,,97.09,,14.45,,107.34,,93.90,,13.44,,-5.01,,-4.58,,2.73,
2021-04,110.99,,94.06,,16.93,,111.96,,95.90,,16.06,,106.93,,91.68,,15.25,,-4.51,,-4.43,,1.74,
2021-05,113.17,,97.34,,15.83,,112.60,,99.20,,13.40,,106.83,,93.15,,13.68,,-4.40,,-4.25,,3.42,
2021-06,112.40,,97.69,,14.71,,113.50,,100.04,,13.46,,106.87,,92.29,,14.58,,-4.62,,-4.50,,1.94,
2021-07,113.54,,95.77,,17.77,,114.93,,97.79,,17.14,,106.81,,88.18,,18.63,,-4.18,,-3.73,,1.53,
2021-08,111.63,,96.14,,15.49,,113.41,,99.06,,14.34,,104.43,,87.98,,16.45,,-4.40,,-5.12,,1.50,
2021-09,112.51,,98.40,,14.11,,112.70,,100.01,,12.69,,102.83,,87.65,,15.18,,-3.39,,-3.37,,1.83,
2021-10,116.55,,101.73,,14.82,,117.16,,104.61,,12.54,,105.36,,88.28,,17.08,,-3.54,,-4.58,,1.76,
2021-11,119.98,,106.12,,13.86,,119.22,,108.63,,10.59,,106.35,,89.11,,17.24,,-3.10,,-4.38,,2.37,
2021-12,121.98,,110.59,,11.39,,120.80,,113.25,,7.55,,106.71,,92.75,,13.96,,-2.29,,-4.44,,2.25,
2022-01,115.28,,104.61,,10.67,,117.34,,108.90,,8.44,,102.03,,85.68,,16.35,,-5.37,,-5.97,,2.09,
2022-02,123.85,,110.03,,13.82,,124.77,,115.39,,9.38,,107.38,,89.80,,17.58,,-5.56,,-7.28,,3.44,
2022-03,119.69,,116.84,,2.85,,120.98,,119.13,,1.85,,100.32,,87.85,,12.47,,-5.49,,-4.26,,2.76,
2022-04,123.34,Provisional value,119.21,Provisional value,4.13,Provisional value,126.43,,123.37,,3.06,,104.06,,89.46,,14.60,,-6.85,Provisional value,-6.68,Provisional value,2.89,Provisional value
