"",BBDA1.M.DE.N.EX.S.A.FR.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.FR.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.GB.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.GB.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.NO.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.NO.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.US.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.US.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.CN.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.CN.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.KR.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.KR.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.IM.S.A.NO.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.NO.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.IM.S.A.KR.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.KR.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.U2.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.U2.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.IM.S.A.U2.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.U2.A.V.ABA.A_FLAGS
"","German foreign trade: exports / At current prices, flows / Aggregate / all goods / France / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / United Kingdom / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / Norway / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / United States / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / China / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / Korea, Republic of / Unadjusted figure",,"German foreign trade: imports / At current prices, flows / Aggregate / all goods / Norway / Unadjusted figure",,"German foreign trade: imports / At current prices, flows / Aggregate / all goods / Korea, Republic of / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / Euro area (Member States and Institutions of the Euro area) changing composition / Unadjusted figure",,"German foreign trade: imports / At current prices, flows / Aggregate / all goods / Euro area (Member States and Institutions of the Euro area) changing composition / Unadjusted figure",
unit,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,
unit multiplier,thousand,,thousand,,thousand,,thousand,,thousand,,thousand,,thousand,,thousand,,thousand,,thousand,
last update,2022-06-13 13:18:58,,2022-06-13 13:18:58,,2022-06-13 13:18:59,,2022-06-13 13:19:09,,2022-06-13 13:18:52,,2022-06-13 13:18:59,,2022-06-13 13:19:20,,2022-06-13 13:19:19,,2022-06-13 13:19:08,,2022-06-13 13:19:29,
1997-03,7715239,,5932314,,698499,,5991559,,593561,,785909,,1263249,,456499,,32459863,,29020758,
1997-04,7447611,,6302578,,670290,,6722391,,783237,,877040,,1089210,,572366,,31817228,,28081565,
1997-05,7998393,,5991006,,622900,,5788060,,819181,,724040,,1231644,,500927,,32592283,,29604757,
1997-06,8410606,,6695440,,690680,,6285332,,768513,,759094,,1319286,,504976,,35082933,,31185127,
1997-07,8188694,,7027705,,604429,,7019029,,977934,,864451,,1263561,,576318,,33786763,,31021957,
1997-08,6391400,,6043039,,524886,,5503832,,781080,,673414,,1367080,,561210,,28137952,,26322706,
1997-09,8009966,,6180289,,647976,,7383685,,1061943,,827338,,1221093,,616576,,33570582,,28340383,
1997-10,8467996,,6624862,,763967,,7430295,,1015957,,768943,,1528217,,615403,,35907249,,32036407,
1997-11,8671376,,6717383,,678891,,6740002,,1336702,,722715,,1322237,,499888,,35359698,,31124654,
1997-12,7997574,,6213866,,688595,,6941958,,1068988,,822138,,1293899,,532437,,33906161,,29760417,
1998-01,8355275,,6336666,,548066,,6360720,,718488,,468776,,1377387,,566404,,34601513,,31937650,
1998-02,8703529,,6781258,,628847,,7028228,,786731,,375491,,1167600,,672073,,36036628,,30250082,
1998-03,8904454,,6682880,,783367,,8350268,,940211,,515038,,1204405,,589573,,36816745,,31284725,
1998-04,9573541,,7386786,,693413,,7805674,,1029823,,420653,,1145163,,631760,,39358388,,35014399,
1998-05,8337948,,6203132,,741219,,7124390,,975494,,380394,,1175674,,440342,,35052819,,30157056,
1998-06,9672730,,7359588,,685524,,7318956,,1061156,,357892,,1027031,,570575,,38797561,,33781622,
1998-07,9227648,,7718925,,721878,,8330494,,1087371,,397891,,1110576,,471709,,38220032,,33408537,
1998-08,7014972,,6307191,,640476,,6421434,,1031711,,455340,,755261,,558395,,29490466,,27343576,
1998-09,8536318,,6173747,,776825,,7441700,,1071249,,377863,,1183295,,614479,,35121975,,29124360,
1998-10,9911524,,6868488,,761645,,7973267,,1055124,,373444,,997974,,575084,,39717688,,32788765,
1998-11,9475114,,6810051,,770884,,7901456,,916013,,430292,,982270,,609699,,38167036,,31202693,
1998-12,8188152,,6726992,,770983,,7694116,,1226983,,476443,,1055757,,512269,,33580712,,31654263,
1999-01,4552737,,3108380,,270596,,3300643,,428875,,190795,,492142,,336776,,17575821,,14756849,
1999-02,4955526,,3431620,,291364,,3529274,,508141,,204285,,460450,,317913,,19048372,,15544686,
1999-03,4710744,,3785761,,363795,,4377228,,592639,,262625,,491650,,315046,,19716011,,17380177,
1999-04,4891509,,3536625,,301672,,4477243,,500063,,231826,,553701,,311593,,19680681,,16339838,
1999-05,4656982,,3351502,,288968,,3848958,,623417,,255932,,495467,,307359,,19117555,,17117145,
1999-06,5453467,,3543338,,373122,,4399494,,619047,,262542,,438861,,327089,,21371915,,17614590,
1999-07,4925902,,3709651,,322879,,4958865,,694029,,307548,,533307,,374529,,19529483,,16765791,
1999-08,4321818,,3511638,,270547,,3941519,,540704,,292662,,563267,,335322,,17837744,,16451682,
1999-09,4887702,,3731385,,343856,,4155871,,596077,,291588,,619067,,384920,,19742304,,15738689,
1999-10,4920007,,3737255,,354557,,4567870,,511478,,268603,,733632,,364296,,20635052,,17234313,
1999-11,5369849,,4156833,,370028,,5009973,,650574,,315335,,726368,,366074,,22751682,,18266875,
1999-12,4931450,,3520211,,352318,,4858505,,683883,,350266,,862932,,367872,,19903882,,16912023,
2000-01,5145518,,3558881,,291924,,4040020,,540359,,293955,,875292,,371990,,20557645,,16736380,
2000-02,5397068,,4217428,,329895,,4948739,,570663,,338293,,658659,,368410,,21671454,,16540044,
2000-03,5606405,,4324853,,402715,,5606604,,780231,,374283,,821341,,437568,,24135181,,19549039,
2000-04,5406530,,3870550,,322205,,4344320,,596899,,297333,,770181,,403961,,21898908,,17209258,
2000-05,5969943,,4366900,,376329,,5586358,,843018,,372164,,817824,,564805,,23749823,,19985373,
2000-06,5450109,,4120904,,383237,,5026624,,737734,,360847,,643093,,526173,,22679057,,18030093,
2000-07,5631237,,3974537,,309455,,5461652,,719098,,391337,,924550,,451060,,22457223,,18532265,
2000-08,4825128,,3893222,,347446,,5049749,,851420,,424062,,748713,,509432,,19897019,,18197025,
2000-09,5450915,,3898868,,373109,,4772196,,844662,,356527,,982683,,552390,,22095213,,17847266,
2000-10,6540805,,4488373,,408973,,5939670,,961166,,393268,,792991,,557880,,25767504,,20911721,
2000-11,6672352,,4775730,,395761,,5867017,,972730,,479765,,1395067,,667217,,25865123,,21781404,
2000-12,5321832,,3886402,,348220,,5121270,,1040796,,434665,,1172209,,471586,,22350279,,20470488,
2001-01,6099855,,4124805,,338027,,6048509,,837543,,373803,,1110222,,453895,,24039440,,18625909,
2001-02,6076085,,4493296,,371095,,5331693,,769857,,329254,,918182,,385794,,24456020,,19281128,
2001-03,6032423,,4431619,,430136,,6015533,,1043174,,406845,,999388,,430067,,25042404,,19333620,
2001-04,6272760,,4477757,,348855,,5542167,,984636,,355917,,1072262,,395092,,24693337,,20303314,
2001-05,5460042,,4468192,,395697,,5852842,,1057564,,408062,,896905,,390599,,23911031,,20338368,
2001-06,5903476,,4185908,,557711,,5832832,,926481,,424833,,763210,,363676,,24240091,,20147922,
2001-07,5967644,,4664736,,360653,,6354791,,1056732,,399789,,1070768,,348193,,24184501,,19828969,
2001-08,5251376,,4437492,,601817,,5548342,,1216238,,386214,,628122,,370963,,21658677,,17435646,
2001-09,5391646,,4312787,,356322,,5043564,,942795,,334448,,924039,,372596,,21955920,,18058959,
2001-10,6121531,,4643785,,409395,,6144007,,1137541,,402609,,1094478,,520964,,25196847,,20086749,
2001-11,6070546,,4539738,,423054,,5294627,,1131590,,396494,,1127957,,431143,,24431652,,19945371,
2001-12,4953163,,3983681,,309428,,4815021,,1013973,,388321,,948849,,434078,,21184966,,17159001,
2002-01,5580528,,4226608,,333511,,5372056,,1087380,,445204,,905436,,391881,,22774300,,16753765,
2002-02,5732787,,4473761,,372548,,5404533,,984304,,418301,,909200,,361855,,22972521,,18227213,
2002-03,5979174,,4571285,,345993,,5947969,,1140738,,480532,,700890,,455190,,23856783,,17758310,
2002-04,6266673,,4465814,,357676,,5928142,,1217920,,472845,,1154887,,389167,,25205199,,19109848,
2002-05,5154329,,3943294,,364184,,5204474,,1004440,,486115,,987228,,348551,,22171391,,16826332,
2002-06,6025666,,4507845,,416097,,5475573,,1197665,,484690,,999543,,344604,,25601730,,19850184,
2002-07,5727507,,4503562,,448853,,6543689,,1270377,,493393,,903783,,358647,,24081146,,18665678,
2002-08,5101530,,4853827,,377840,,5711394,,1444869,,461615,,553200,,388013,,21371098,,17143190,
2002-09,5600634,,4835089,,410130,,5685989,,1273445,,432275,,1022077,,392311,,23547539,,18845511,
2002-10,6000839,,4608173,,446782,,6302215,,1292515,,463436,,1294411,,401276,,25667715,,19671503,
2002-11,6140578,,4721743,,415054,,5844075,,1304739,,487424,,1090553,,495365,,26382831,,19551350,
2002-12,5410587,,4049860,,331605,,4843040,,1352340,,464568,,1357328,,386354,,22812732,,18784032,
2003-01,5582978,,4682922,,370739,,5491455,,1382269,,470720,,887667,,452558,,23444341,,17801608,
2003-02,5643665,,4909389,,356567,,5357802,,1291828,,454894,,1310000,,442962,,24221777,,18493183,
2003-03,6218694,,4973415,,345704,,5147665,,1330033,,417370,,1250136,,475471,,26501064,,19983801,
2003-04,5827618,,4301682,,365009,,5033767,,1476837,,432318,,746357,,406341,,24631403,,19155566,
2003-05,5495176,,4279201,,376951,,5235623,,1526590,,483209,,1576059,,409612,,24135113,,18916417,
2003-06,5835295,,4238249,,371023,,4826511,,1572515,,464516,,1001612,,441518,,24644539,,19049880,
