実質原系列,,,,,,,,,,,,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円)
"Real, Original Series",,,,,,,,,,,,,,,,,,,,,,,,(Billions of Chained (2015) Yen)
,家計最終消費支出（再掲）,,,,,,,,,形態別総固定資本形成,,,,,総資本形成,,,財貨・サービス,,,,,,
1996/ 1- 3.,"62,925.7 ","1,617.8 ",68.3 ,"61,885.7 ","2,234.3 ","5,427.2 ","19,627.2 ","36,368.1 ",,"8,047.5 ","17,101.0 ","1,982.6 ","8,177.7 ","5,618.3 ","37,388.5 ","-2,950.9 ",,"-4,278.4 ","10,058.9 ","8,310.2 ","1,812.1 ","14,337.3 ","10,076.6 ","4,032.1 "
4- 6.,"62,556.0 ","1,423.0 ",75.1 ,"61,600.9 ","2,017.4 ","4,871.7 ","20,831.9 ","36,224.3 ",,"8,458.0 ","13,874.3 ","1,545.9 ","7,321.6 ","4,776.0 ","37,676.5 ","2,359.7 ",,"-4,740.9 ","9,978.7 ","8,306.0 ","1,719.8 ","14,719.6 ","10,588.6 ","3,909.4 "
7- 9.,"64,751.5 ","1,782.7 ",87.1 ,"63,651.1 ","2,295.5 ","5,193.3 ","20,973.0 ","37,144.5 ",,"9,367.4 ","15,269.8 ","1,725.9 ","8,193.2 ","5,225.9 ","39,159.0 ",-53.9 ,,"-4,438.4 ","10,506.9 ","8,756.0 ","1,798.0 ","14,945.2 ","10,558.0 ","4,152.0 "
10-12.,"66,053.0 ","1,585.5 ",88.6 ,"65,021.8 ","2,427.8 ","5,259.6 ","22,175.8 ","37,093.3 ",,"9,437.5 ","18,482.9 ","1,697.7 ","7,645.3 ","5,104.5 ","44,128.2 ","3,128.4 ",,"-3,967.4 ","11,300.5 ","9,424.9 ","1,924.1 ","15,267.9 ","10,813.8 ","4,215.3 "
1997/ 1- 3.,"65,364.3 ","1,432.1 ",91.5 ,"64,412.2 ","2,562.4 ","5,609.9 ","20,040.5 ","37,592.0 ",,"8,610.1 ","15,060.8 ","2,116.3 ","9,217.9 ","6,053.0 ","37,317.1 ","-3,686.0 ",,"-3,983.6 ","11,117.6 ","9,167.6 ","2,028.9 ","15,101.2 ","10,715.0 ","4,151.1 "
4- 6.,"62,509.7 ","1,306.0 ",89.0 ,"61,631.7 ","2,063.3 ","4,739.7 ","20,060.6 ","36,919.6 ",,"7,928.5 ","12,805.2 ","1,546.7 ","7,591.2 ","4,960.7 ","36,786.8 ","2,357.4 ",,"-3,256.0 ","11,506.5 ","9,654.4 ","1,882.8 ","14,762.5 ","10,584.2 ","3,953.9 "
7- 9.,"64,728.4 ","1,566.9 ",98.2 ,"63,727.0 ","2,207.6 ","4,963.9 ","20,783.5 ","37,872.2 ",,"7,962.3 ","15,086.6 ","1,551.8 ","8,310.1 ","5,548.7 ","38,680.8 ",645.1 ,,"-3,310.6 ","11,633.3 ","9,797.2 ","1,855.6 ","14,943.9 ","10,604.0 ","4,107.2 "
10-12.,"65,131.5 ","1,269.1 ",96.4 ,"64,267.7 ","2,231.2 ","4,878.7 ","21,510.0 ","37,830.5 ",,"7,544.0 ","18,671.6 ","1,497.7 ","7,574.3 ","5,280.0 ","42,925.9 ","3,537.1 ",,"-2,539.6 ","12,226.0 ","10,216.0 ","2,054.9 ","14,765.6 ","10,518.0 ","4,019.6 "
1998/ 1- 3.,"63,485.8 ","1,126.7 ",82.0 ,"62,694.4 ","2,174.6 ","5,220.4 ","19,677.8 ","37,565.0 ",,"6,886.9 ","15,196.6 ","1,688.3 ","8,844.3 ","6,357.5 ","36,061.6 ","-2,830.9 ",,"-2,983.7 ","11,379.5 ","9,422.3 ","2,025.1 ","14,363.2 ","10,214.8 ","3,925.7 "
4- 6.,"62,264.8 ","1,048.7 ",91.8 ,"61,530.6 ","1,861.1 ","4,574.0 ","20,384.7 ","37,217.6 ",,"6,833.7 ","12,632.7 ","1,150.0 ","6,998.2 ","5,401.7 ","34,830.5 ","2,324.3 ",,"-2,553.2 ","11,083.3 ","9,324.7 ","1,780.2 ","13,636.5 ","9,563.9 ","3,855.6 "
7- 9.,"64,670.3 ","1,279.2 ",105.6 ,"63,817.5 ","2,110.7 ","4,782.9 ","21,224.7 ","38,013.2 ",,"7,129.4 ","14,889.0 ","1,361.8 ","7,739.4 ","5,843.9 ","35,785.2 ",-703.2 ,,"-2,410.0 ","11,409.6 ","9,572.6 ","1,867.7 ","13,819.7 ","9,726.1 ","3,875.3 "
10-12.,"65,048.1 ","1,247.9 ",78.0 ,"64,184.5 ","2,197.4 ","4,859.8 ","21,717.3 ","37,661.9 ",,"6,890.7 ","19,315.7 ","1,222.8 ","6,913.2 ","5,472.4 ","41,442.7 ","2,954.2 ",,"-2,216.2 ","11,484.4 ","9,728.0 ","1,759.6 ","13,700.6 ","9,708.0 ","3,779.3 "
1999/ 1- 3.,"63,930.4 ","1,241.0 ",68.2 ,"63,063.3 ","2,293.1 ","4,711.0 ","19,847.7 ","38,033.8 ",,"6,408.9 ","15,336.3 ","1,827.2 ","8,585.4 ","6,562.5 ","34,027.3 ","-4,792.2 ",,"-2,807.1 ","11,014.3 ","9,265.1 ","1,770.8 ","13,821.5 ","9,909.6 ","3,708.9 "
4- 6.,"62,858.6 ","1,162.5 ",81.2 ,"62,051.4 ","1,989.6 ","4,221.5 ","20,750.0 ","37,475.0 ",,"6,903.3 ","12,847.8 ","1,212.8 ","6,777.0 ","5,309.1 ","33,617.4 ","1,096.3 ",,"-2,931.2 ","11,053.5 ","9,366.6 ","1,689.9 ","13,984.7 ","10,079.6 ","3,705.6 "
7- 9.,"65,177.5 ","1,618.3 ",72.7 ,"64,087.7 ","2,232.8 ","4,419.4 ","21,137.6 ","38,445.6 ",,"7,396.1 ","14,369.2 ","1,367.8 ","7,582.5 ","5,930.2 ","34,722.0 ","-1,519.3 ",,"-2,699.5 ","11,836.7 ","10,186.3 ","1,610.6 ","14,536.2 ","10,360.2 ","3,957.5 "
10-12.,"65,805.0 ","1,379.2 ",64.3 ,"64,845.8 ","2,301.4 ","4,422.3 ","22,037.5 ","38,276.9 ",,"6,970.4 ","17,479.8 ","1,302.8 ","7,220.3 ","5,562.2 ","39,043.3 ","1,511.4 ",,"-2,873.3 ","12,359.8 ","10,567.8 ","1,770.8 ","15,233.1 ","11,082.1 ","3,944.9 "
2000/ 1- 3.,"65,210.8 ","1,224.1 ",59.1 ,"64,331.6 ","2,535.9 ","4,671.8 ","19,997.4 ","38,674.0 ",,"6,625.9 ","14,743.4 ","1,848.4 ","8,993.6 ","6,825.3 ","34,912.2 ","-4,309.1 ",,"-2,359.1 ","12,500.8 ","10,614.5 ","1,881.3 ","14,859.9 ","11,057.9 ","3,626.8 "
4- 6.,"63,941.3 ","1,190.9 ",66.0 ,"63,091.7 ","2,202.4 ","4,108.4 ","20,661.5 ","38,213.8 ",,"6,854.3 ","12,237.8 ","1,342.3 ","6,754.6 ","5,345.4 ","34,431.6 ","2,491.8 ",,"-2,532.8 ","12,840.8 ","11,041.1 ","1,767.3 ","15,373.6 ","11,585.0 ","3,621.9 "
7- 9.,"65,868.5 ","1,441.4 ",70.4 ,"64,882.6 ","2,486.6 ","4,238.4 ","21,167.5 ","38,805.9 ",,"7,159.3 ","14,199.8 ","1,540.7 ","7,834.2 ","6,297.6 ","35,745.4 ",-922.2 ,,"-2,539.2 ","13,380.0 ","11,472.6 ","1,880.6 ","15,919.2 ","11,931.7 ","3,807.6 "
10-12.,"67,189.3 ","1,283.0 ",71.2 ,"66,279.5 ","2,695.3 ","4,554.0 ","21,880.0 ","38,803.9 ",,"7,176.6 ","17,067.1 ","1,446.8 ","7,554.2 ","5,700.6 ","40,440.6 ","2,491.2 ",,"-3,360.5 ","13,567.9 ","11,599.7 ","1,948.1 ","16,928.4 ","12,979.5 ","3,786.2 "
2001/ 1- 3.,"66,540.1 ","1,136.4 ",67.1 ,"65,701.7 ","3,001.3 ","4,635.2 ","20,344.4 ","38,740.5 ",,"6,783.9 ","15,453.2 ","1,886.7 ","9,317.3 ","7,203.8 ","37,334.9 ","-3,384.5 ",,"-3,832.5 ","12,614.6 ","10,612.0 ","2,011.0 ","16,447.1 ","12,529.5 ","3,750.2 "
4- 6.,"65,868.2 ","1,064.6 ",75.6 ,"65,077.6 ","2,693.5 ","4,103.9 ","20,990.3 ","38,811.1 ",,"6,453.9 ","11,279.8 ","1,535.3 ","7,162.5 ","5,688.9 ","34,475.2 ","2,722.2 ",,"-3,980.8 ","12,079.0 ","10,202.7 ","1,877.5 ","16,059.8 ","12,019.1 ","3,857.3 "
7- 9.,"67,371.5 ","1,246.6 ",67.6 ,"66,477.1 ","2,723.8 ","4,284.8 ","21,623.3 ","39,460.7 ",,"6,869.9 ","13,293.0 ","1,614.0 ","7,635.7 ","6,659.3 ","34,586.5 ","-1,212.8 ",,"-3,579.3 ","12,062.8 ","10,175.5 ","1,890.4 ","15,642.0 ","11,617.6 ","3,838.6 "
10-12.,"67,834.2 ",757.6 ,67.1 ,"67,191.5 ","2,841.7 ","4,563.9 ","22,143.9 ","39,184.5 ",,"6,805.3 ","15,520.8 ","1,339.6 ","6,847.4 ","5,916.6 ","37,553.2 ","2,044.1 ",,"-3,601.3 ","12,064.5 ","10,162.8 ","1,906.9 ","15,665.8 ","12,058.2 ","3,462.5 "
2002/ 1- 3.,"67,283.5 ",896.8 ,70.6 ,"66,574.7 ","3,121.0 ","4,445.1 ","20,446.0 ","39,534.6 ",,"6,338.5 ","14,101.0 ","1,849.3 ","7,995.0 ","7,417.3 ","32,889.0 ","-4,807.9 ",,"-3,059.5 ","12,199.0 ","10,187.9 ","2,028.7 ","15,258.5 ","11,526.8 ","3,565.4 "
4- 6.,"66,803.2 ","1,031.9 ",74.7 ,"66,028.1 ","2,718.2 ","3,803.9 ","21,624.2 ","39,471.9 ",,"6,359.0 ","10,547.7 ","1,369.4 ","6,236.1 ","5,885.0 ","31,533.5 ","1,554.2 ",,"-2,682.6 ","13,026.1 ","10,966.2 ","2,066.5 ","15,708.7 ","11,660.4 ","3,852.7 "
7- 9.,"68,315.6 ","1,245.6 ",72.0 ,"67,412.3 ","2,966.1 ","4,049.4 ","21,793.4 ","39,963.1 ",,"6,821.9 ","12,240.6 ","1,665.2 ","7,152.7 ","6,771.8 ","33,457.7 ",-911.1 ,,"-2,955.3 ","13,332.9 ","11,322.1 ","2,004.0 ","16,288.2 ","12,191.2 ","3,908.9 "
10-12.,"68,749.0 ","1,130.5 ",69.7 ,"67,908.5 ","3,020.1 ","4,304.9 ","22,415.2 ","39,559.4 ",,"6,662.2 ","14,755.8 ","1,551.7 ","6,653.5 ","6,150.1 ","37,210.0 ","2,295.5 ",,"-2,945.8 ","14,115.9 ","12,038.9 ","2,063.1 ","17,061.7 ","12,868.2 ","4,009.7 "
2003/ 1- 3.,"68,044.2 ","1,157.4 ",158.5 ,"67,268.1 ","3,285.2 ","4,135.9 ","20,581.1 ","40,120.5 ",,"6,209.9 ","13,242.0 ","1,908.6 ","8,062.9 ","7,508.9 ","33,022.2 ","-3,955.6 ",,"-2,741.1 ","13,844.0 ","11,404.5 ","2,473.4 ","16,585.1 ","12,516.9 ","3,890.0 "
4- 6.,"66,833.4 ",691.8 ,132.1 ,"66,324.8 ","3,161.7 ","3,651.6 ","21,312.6 ","39,261.8 ",,"6,212.9 ","10,160.3 ","1,656.6 ","6,538.7 ","6,002.6 ","32,149.0 ","1,931.7 ",,"-2,221.7 ","13,800.2 ","11,667.9 ","2,132.0 ","16,021.9 ","12,828.2 ","3,120.7 "
7- 9.,"68,089.0 ","1,133.7 ",201.3 ,"67,363.7 ","3,217.1 ","3,876.7 ","21,233.8 ","40,057.5 ",,"6,829.1 ","11,452.2 ","1,801.8 ","7,164.6 ","6,777.1 ","33,791.9 ",49.3 ,,"-2,023.5 ","14,478.5 ","12,238.0 ","2,241.6 ","16,502.0 ","12,845.2 ","3,531.5 "
10-12.,"69,664.7 ","1,258.9 ",178.9 ,"68,835.4 ","3,402.0 ","4,125.9 ","22,483.0 ","39,864.6 ",,"6,694.2 ","13,829.5 ","1,593.1 ","7,194.5 ","6,365.3 ","36,830.0 ","1,776.7 ",,"-1,767.7 ","15,623.3 ","13,351.4 ","2,257.1 ","17,391.0 ","13,491.7 ","3,760.7 "
2004/ 1- 3.,"68,896.2 ","1,204.3 ",185.9 ,"68,110.3 ","3,716.8 ","4,025.3 ","20,884.8 ","40,019.0 ",,"6,326.1 ","12,381.3 ","2,082.1 ","8,571.8 ","7,611.4 ","34,041.5 ","-2,999.9 ",,"-1,477.2 ","15,855.5 ","13,281.2 ","2,586.7 ","17,332.7 ","13,536.7 ","3,672.1 "
4- 6.,"67,773.9 ","1,213.5 ",219.0 ,"67,016.1 ","3,269.9 ","3,520.4 ","21,255.7 ","39,926.8 ",,"6,411.1 ","9,372.4 ","1,607.7 ","6,836.1 ","6,159.0 ","32,373.0 ","2,257.0 ",,"-1,296.9 ","16,274.3 ","13,775.0 ","2,498.9 ","17,571.1 ","13,537.4 ","3,878.5 "
7- 9.,"69,600.8 ","1,415.3 ",232.8 ,"68,722.9 ","3,500.9 ","3,660.7 ","21,772.2 ","40,637.6 ",,"6,954.4 ","10,949.6 ","1,868.9 ","7,656.6 ","6,775.8 ","34,281.5 ",269.0 ,,"-1,493.2 ","16,611.3 ","14,001.8 ","2,615.3 ","18,104.5 ","13,963.9 ","3,983.3 "
10-12.,"69,914.5 ","1,363.5 ",197.7 ,"69,035.5 ","3,493.8 ","3,932.6 ","22,221.8 ","40,312.6 ",,"6,925.6 ","13,020.8 ","1,565.0 ","7,618.7 ","6,446.0 ","37,516.8 ","2,409.6 ",,"-1,843.4 ","17,303.5 ","14,564.7 ","2,746.9 ","19,146.9 ","14,964.8 ","4,047.6 "
2005/ 1- 3.,"69,505.2 ","1,243.5 ",206.1 ,"68,711.0 ","3,811.2 ","3,979.8 ","20,454.0 ","40,922.1 ",,"6,373.0 ","12,017.9 ","2,198.1 ","9,416.6 ","7,807.0 ","34,780.6 ","-3,102.3 ",,"-1,868.6 ","16,594.6 ","13,950.6 ","2,652.8 ","18,463.2 ","14,464.9 ","3,874.8 "
4- 6.,"68,765.8 ","1,119.7 ",240.7 ,"68,084.8 ","3,528.8 ","3,512.5 ","21,205.3 ","40,579.2 ",,"6,262.1 ","9,253.3 ","1,732.1 ","7,665.7 ","6,350.3 ","33,294.3 ","2,154.7 ",,"-1,541.9 ","17,145.2 ","14,542.1 ","2,601.1 ","18,687.1 ","14,769.6 ","3,812.7 "
7- 9.,"70,631.8 ","1,259.5 ",267.1 ,"69,881.8 ","3,747.4 ","3,748.6 ","21,438.4 ","41,573.1 ",,"6,890.2 ","10,803.6 ","1,998.3 ","8,733.6 ","7,149.3 ","35,477.3 ",-56.2 ,,"-1,461.6 ","17,919.1 ","15,230.9 ","2,683.2 ","19,380.7 ","15,262.3 ","3,999.9 "
10-12.,"71,492.9 ","1,109.5 ",248.4 ,"70,819.6 ","3,741.3 ","4,102.3 ","22,391.3 ","41,352.9 ",,"6,947.7 ","12,649.1 ","1,719.8 ","8,140.6 ","6,603.1 ","37,689.6 ","1,891.3 ",,-826.6 ,"19,087.8 ","16,223.2 ","2,859.6 ","19,914.5 ","15,880.6 ","3,941.4 "
2006/ 1- 3.,"70,946.7 ",791.7 ,160.2 ,"70,411.8 ","4,123.7 ","4,093.7 ","20,713.1 ","41,790.1 ",,"6,447.9 ","11,920.6 ","2,251.8 ","9,977.6 ","7,906.8 ","35,332.4 ","-3,224.4 ",,-787.9 ,"18,938.3 ","15,886.1 ","3,063.2 ","19,726.1 ","15,882.7 ","3,765.2 "
4- 6.,"69,543.7 ",784.3 ,188.6 ,"69,044.7 ","3,618.8 ","3,685.3 ","20,996.1 ","41,396.8 ",,"6,346.5 ","9,137.2 ","1,687.0 ","7,921.5 ","6,505.2 ","33,239.2 ","1,685.3 ",,-851.5 ,"18,983.7 ","16,204.9 ","2,769.2 ","19,835.2 ","15,815.7 ","3,921.9 "
7- 9.,"70,175.5 ",859.6 ,195.4 ,"69,631.1 ","3,542.7 ","3,900.0 ","20,693.2 ","42,170.3 ",,"6,853.3 ","10,083.3 ","1,918.6 ","8,784.4 ","7,144.2 ","34,682.2 ",-86.0 ,,-328.7 ,"19,651.4 ","16,799.1 ","2,840.6 ","19,980.1 ","15,916.6 ","3,962.3 "
10-12.,"72,236.1 ",786.8 ,185.9 ,"71,729.7 ","4,047.5 ","4,277.9 ","21,716.8 ","42,181.7 ",,"6,849.1 ","12,021.0 ","1,789.4 ","8,723.6 ","6,784.1 ","37,901.5 ","1,861.3 ",,-35.6 ,"20,464.5 ","17,496.6 ","2,955.4 ","20,500.2 ","16,401.5 ","4,002.0 "
2007/ 1- 3.,"71,464.6 ",758.6 ,191.9 ,"70,986.7 ","4,283.8 ","4,124.4 ","19,991.5 ","42,764.4 ",,"6,342.0 ","11,282.7 ","2,191.3 ","10,765.5 ","8,152.8 ","36,393.7 ","-2,429.9 ",,162.8 ,"20,333.6 ","17,144.6 ","3,193.5 ","20,170.9 ","16,106.8 ","3,967.6 "
4- 6.,"70,475.2 ",694.3 ,202.8 ,"70,058.0 ","3,787.3 ","3,771.8 ","20,711.5 ","42,303.0 ",,"6,132.4 ","8,541.1 ","1,639.6 ","8,193.8 ","6,679.2 ","33,152.7 ","1,891.1 ",,187.2 ,"20,483.5 ","17,360.6 ","3,121.0 ","20,296.2 ","15,938.2 ","4,244.8 "
7- 9.,"71,037.3 ",805.3 ,228.2 ,"70,559.2 ","3,677.6 ","3,865.4 ","20,710.9 ","42,888.2 ",,"6,056.8 ","9,406.8 ","1,767.0 ","9,098.0 ","7,274.1 ","33,842.1 ",139.5 ,,"1,097.8 ","21,399.3 ","18,254.3 ","3,135.0 ","20,301.4 ","16,011.9 ","4,181.1 "
10-12.,"72,204.8 ",749.8 ,212.4 ,"71,752.6 ","4,092.4 ","4,138.3 ","21,632.6 ","42,358.9 ",,"5,437.6 ","11,170.1 ","1,794.1 ","8,819.2 ","6,839.6 ","36,523.5 ","2,380.4 ",,"1,522.7 ","22,613.3 ","19,435.5 ","3,157.9 ","21,090.6 ","16,885.5 ","4,108.5 "
2008/ 1- 3.,"71,707.8 ",763.9 ,211.3 ,"71,242.9 ","4,513.5 ","4,127.2 ","20,351.3 ","42,404.0 ",,"5,285.0 ","10,798.6 ","2,145.9 ","10,710.6 ","8,119.8 ","34,695.7 ","-2,415.4 ",,"1,653.6 ","22,496.3 ","19,147.5 ","3,341.5 ","20,842.8 ","16,581.2 ","4,159.4 "
4- 6.,"69,310.7 ",659.6 ,223.9 ,"68,945.6 ","3,936.4 ","3,655.8 ","20,529.5 ","41,239.6 ",,"5,370.0 ","7,772.7 ","1,630.6 ","8,170.2 ","6,723.3 ","32,443.4 ","2,563.6 ",,"1,646.9 ","21,697.9 ","18,495.2 ","3,194.7 ","20,050.9 ","16,025.0 ","3,932.5 "
7- 9.,"70,510.9 ",724.1 ,226.1 ,"70,094.6 ","4,207.6 ","3,831.8 ","20,471.4 ","41,874.2 ",,"5,895.7 ","8,664.7 ","1,779.2 ","9,011.5 ","7,220.6 ","32,338.4 ",-333.0 ,,"1,829.8 ","22,183.8 ","18,990.1 ","3,180.6 ","20,354.0 ","16,367.7 ","3,897.5 "
10-12.,"70,418.1 ",803.1 ,191.8 ,"69,905.0 ","4,155.4 ","3,928.8 ","20,527.9 ","41,610.0 ",,"5,910.4 ","10,406.6 ","1,511.2 ","8,212.0 ","6,862.9 ","36,374.1 ","3,314.3 ",,"-1,412.7 ","19,798.7 ","16,686.8 ","3,114.1 ","21,211.4 ","16,903.2 ","4,204.6 "
2009/ 1- 3.,"68,991.0 ",706.7 ,185.4 ,"68,548.9 ","4,101.0 ","4,032.0 ","19,409.5 ","41,256.6 ",,"5,134.7 ","10,265.8 ","1,567.8 ","9,043.4 ","7,918.1 ","30,231.3 ","-3,598.1 ",,"-2,930.9 ","14,418.1 ","11,417.6 ","3,012.9 ","17,349.0 ","13,524.9 ","3,743.0 "
4- 6.,"68,215.2 ",562.5 ,190.2 ,"67,890.3 ","3,718.5 ","3,520.9 ","20,123.2 ","40,946.7 ",,"4,513.7 ","8,289.8 ","1,203.9 ","6,306.3 ","6,423.0 ","27,164.6 ",365.9 ,,-968.6 ,"15,458.1 ","12,654.8 ","2,808.1 ","16,426.7 ","12,633.4 ","3,720.8 "
7- 9.,"70,245.6 ",741.0 ,220.1 ,"69,810.5 ","4,403.1 ","3,646.4 ","20,278.6 ","41,682.5 ",,"4,505.9 ","8,576.5 ","1,425.8 ","7,366.5 ","6,731.5 ","26,832.0 ","-1,752.3 ",,-246.3 ,"17,304.8 ","14,470.4 ","2,832.6 ","17,551.1 ","13,893.1 ","3,578.1 "
10-12.,"71,694.3 ",678.2 ,223.3 ,"71,308.7 ","4,882.0 ","3,806.6 ","21,216.7 ","41,519.4 ",,"4,445.3 ","9,968.7 ","1,560.5 ","7,037.6 ","6,614.7 ","29,933.0 ",227.7 ,,543.8 ,"18,845.3 ","16,052.6 ","2,783.2 ","18,301.5 ","14,575.6 ","3,648.3 "
2010/ 1- 3.,"70,803.5 ",689.5 ,232.7 ,"70,420.1 ","5,243.5 ","3,765.2 ","20,015.7 ","41,336.6 ",,"4,462.8 ","10,247.5 ","1,858.6 ","8,521.6 ","7,467.0 ","29,062.9 ","-3,592.4 ",,"1,121.6 ","19,482.6 ","16,333.9 ","3,144.7 ","18,361.0 ","14,617.5 ","3,674.7 "
4- 6.,"69,773.3 ",675.6 ,260.6 ,"69,427.7 ","4,540.1 ","3,398.7 ","20,668.0 ","41,018.5 ",,"4,290.8 ","7,163.8 ","1,505.9 ","6,612.4 ","6,273.8 ","27,059.1 ","1,172.1 ",,"1,172.7 ","20,266.3 ","17,267.0 ","2,983.3 ","19,093.6 ","15,159.3 ","3,865.5 "
7- 9.,"72,633.9 ",866.6 ,283.6 ,"72,173.3 ","5,414.2 ","3,572.9 ","21,414.8 ","41,804.8 ",,"4,655.0 ","8,337.7 ","1,525.4 ","7,600.2 ","6,759.3 ","29,314.6 ",411.9 ,,"1,388.2 ","21,186.9 ","18,015.8 ","3,154.4 ","19,798.8 ","15,898.4 ","3,848.0 "
10-12.,"72,310.2 ",758.2 ,237.3 ,"71,880.1 ","5,574.2 ","3,735.3 ","20,970.4 ","41,570.9 ",,"4,917.3 ","9,873.5 ","1,434.1 ","7,228.2 ","6,572.1 ","32,044.3 ","2,029.2 ",,"1,272.2 ","21,505.0 ","18,432.9 ","3,050.3 ","20,232.8 ","16,320.0 ","3,864.9 "
2011/ 1- 3.,"69,823.7 ",722.9 ,207.2 ,"69,393.5 ","5,076.6 ","3,697.6 ","19,821.8 ","40,784.4 ",,"4,858.1 ","10,944.1 ","1,465.1 ","8,572.4 ","7,318.8 ","30,745.3 ","-2,356.5 ",,839.1 ,"20,875.2 ","17,426.2 ","3,442.5 ","20,036.1 ","16,111.9 ","3,870.6 "
