Ⅲ.雇用者報酬,,,,,,,,,,,,,,,,,,
Compensation of Employees,,,,,,,,,,,,,,,,,,(単位:10億円、%)
名　　　　　目,,,,,,,,,,実　　　　　質(2015暦年連鎖価格),,,,,,,,
Nominal,,,,,,,,,,Real (Chained (2015) Yen),,,,,,,,
,,四半期・原系列,,四半期・季節調整系列,,年度 、 暦年,,,,,,四半期・原系列,,四半期・季節調整系列,,年度 、 暦年,,
,,Original series,,Seasonally adjusted series,,"Fiscal Year, Calendar Year",,,,,,Original series,,Seasonally adjusted series,,"Fiscal Year, Calendar Year",,
,,実数,(**),実数,(***),,実数,(**),,,,実数,(**),実数,(***),,実数,(**)
,,billion yen,(**),billion yen,(***),,billion yen,(**),,,,billion yen,(**),billion yen,(***),,billion yen,(**)
,4-6.,"65,367.8 ",0.2 ,"252,008.0 ",0.1 ,1999/1-12.,"269,252.2 ",-1.9 ,,,4-6.,"67,377.1 ",0.9 ,"260,947.9 ",0.4 ,1999/1-12.,"251,067.5 ",-1.3 
,7-9.,"59,538.3 ",-0.2 ,"250,786.2 ",-0.5 ,2000/1-12.,"269,889.6 ",0.2 ,,,7-9.,"61,697.0 ",-0.3 ,"259,959.9 ",-0.4 ,2000/1-12.,"254,505.0 ",1.4 
,10-12.,"72,634.4 ",0.6 ,"252,137.3 ",0.5 ,2001/1-12.,"266,603.6 ",-1.2 ,,,10-12.,"75,117.8 ",0.6 ,"260,831.0 ",0.3 ,2001/1-12.,"255,041.4 ",0.2 
2012/,1-3.,"54,436.5 ",0.7 ,"253,182.3 ",0.4 ,2002/1-12.,"257,433.1 ",-3.4 ,,2012/,1-3.,"56,436.0 ",0.6 ,"261,289.8 ",0.2 ,2002/1-12.,"250,420.8 ",-1.8 
,4-6.,"65,229.0 ",-0.2 ,"251,176.3 ",-0.8 ,2003/1-12.,"255,180.0 ",-0.9 ,,,4-6.,"67,378.8 ",0.0 ,"260,416.6 ",-0.3 ,2003/1-12.,"251,161.6 ",0.3 
,7-9.,"59,793.2 ",0.4 ,"251,901.3 ",0.3 ,2004/1-12.,"255,963.4 ",0.3 ,,,7-9.,"62,479.5 ",1.3 ,"263,226.4 ",1.1 ,2004/1-12.,"253,475.8 ",0.9 
,10-12.,"72,191.4 ",-0.6 ,"250,746.2 ",-0.5 ,2005/1-12.,"260,594.3 ",1.8 ,,,10-12.,"75,029.6 ",-0.1 ,"260,800.6 ",-0.9 ,2005/1-12.,"259,830.4 ",2.5 
2013/,1-3.,"54,217.4 ",-0.4 ,"252,370.3 ",0.6 ,2006/1-12.,"265,191.6 ",1.8 ,,2013/,1-3.,"56,631.2 ",0.3 ,"262,533.4 ",0.7 ,2006/1-12.,"264,733.5 ",1.9 
,4-6.,"65,991.4 ",1.2 ,"253,853.3 ",0.6 ,2007/1-12.,"266,616.2 ",0.5 ,,,4-6.,"68,460.7 ",1.6 ,"264,183.7 ",0.6 ,2007/1-12.,"267,283.8 ",1.0 
,7-9.,"59,933.0 ",0.2 ,"252,557.3 ",-0.5 ,2008/1-12.,"266,805.9 ",0.1 ,,,7-9.,"62,143.6 ",-0.5 ,"261,861.1 ",-0.9 ,2008/1-12.,"265,108.9 ",-0.8 
,10-12.,"73,191.2 ",1.4 ,"254,058.7 ",0.6 ,2009/1-12.,"253,797.8 ",-4.9 ,,,10-12.,"75,243.8 ",0.3 ,"261,592.6 ",-0.1 ,2009/1-12.,"258,263.4 ",-2.6 
2014/,1-3.,"54,589.4 ",0.7 ,"254,415.4 ",0.1 ,2010/1-12.,"251,175.0 ",-1.0 ,,2014/,1-3.,"56,299.8 ",-0.6 ,"261,291.5 ",-0.1 ,2010/1-12.,"259,218.5 ",0.4 
,4-6.,"66,969.4 ",1.5 ,"257,694.1 ",1.3 ,2011/1-12.,"251,584.0 ",0.2 ,,,4-6.,"66,942.3 ",-2.2 ,"258,389.6 ",-1.1 ,2011/1-12.,"260,303.4 ",0.4 
,7-9.,"61,406.2 ",2.5 ,"258,546.2 ",0.3 ,2012/1-12.,"251,650.1 ",0.0 ,,,7-9.,"61,537.0 ",-1.0 ,"258,912.1 ",0.2 ,2012/1-12.,"261,323.8 ",0.4 
,10-12.,"74,555.7 ",1.9 ,"258,674.4 ",0.0 ,2013/1-12.,"253,333.1 ",0.7 ,,,10-12.,"74,505.7 ",-1.0 ,"259,145.3 ",0.1 ,2013/1-12.,"262,479.3 ",0.4 
2015/,1-3.,"55,504.0 ",1.7 ,"258,849.3 ",0.1 ,2014/1-12.,"257,520.7 ",1.7 ,,2015/,1-3.,"55,954.4 ",-0.6 ,"259,732.4 ",0.2 ,2014/1-12.,"259,284.8 ",-1.2 
,4-6.,"67,254.4 ",0.4 ,"259,035.2 ",0.1 ,2015/1-12.,"260,613.9 ",1.2 ,,,4-6.,"66,936.8 ",-0.0 ,"258,645.7 ",-0.4 ,2015/1-12.,"260,496.1 ",0.5 
,7-9.,"62,090.7 ",1.1 ,"261,170.1 ",0.8 ,2016/1-12.,"267,401.2 ",2.6 ,,,7-9.,"62,069.8 ",0.9 ,"260,773.4 ",0.8 ,2016/1-12.,"268,075.5 ",2.9 
,10-12.,"75,764.9 ",1.6 ,"262,761.6 ",0.6 ,2017/1-12.,"272,101.5 ",1.8 ,,,10-12.,"75,535.1 ",1.4 ,"262,758.1 ",0.8 ,2017/1-12.,"271,423.3 ",1.2 
2016/,1-3.,"56,893.5 ",2.5 ,"265,512.3 ",1.0 ,2018/1-12.,"281,350.2 ",3.4 ,,2016/,1-3.,"57,447.1 ",2.7 ,"266,677.9 ",1.5 ,2018/1-12.,"278,325.2 ",2.5 
,4-6.,"68,897.9 ",2.4 ,"265,497.9 ",-0.0 ,2019/1-12.,"286,892.4 ",2.0 ,,,4-6.,"68,879.8 ",2.9 ,"266,322.4 ",-0.1 ,2019/1-12.,"282,010.2 ",1.3 
,7-9.,"63,783.8 ",2.7 ,"268,128.7 ",1.0 ,2020/1-12.,"282,465.6 ",-1.5 ,,,7-9.,"64,196.0 ",3.4 ,"269,325.4 ",1.1 ,2020/1-12.,"276,509.4 ",-2.0 
,10-12.,"77,826.0 ",2.7 ,"269,751.0 ",0.6 ,,,,,,10-12.,"77,552.5 ",2.7 ,"269,723.9 ",0.1 ,,,
2017/,1-3.,"57,743.6 ",1.5 ,"269,944.9 ",0.1 ,,,,,2017/,1-3.,"58,044.8 ",1.0 ,"270,093.5 ",0.1 ,,,
,4-6.,"70,184.9 ",1.9 ,"270,164.8 ",0.1 ,,,,,,4-6.,"69,930.2 ",1.5 ,"270,088.4 ",-0.0 ,,,
,7-9.,"65,003.1 ",1.9 ,"273,347.1 ",1.2 ,,,,,,7-9.,"65,076.3 ",1.4 ,"273,019.5 ",1.1 ,,,
,10-12.,"79,169.8 ",1.7 ,"274,243.1 ",0.3 ,,,,,,10-12.,"78,372.0 ",1.1 ,"272,446.8 ",-0.2 ,,,
2018/,1-3.,"59,352.5 ",2.8 ,"278,196.1 ",1.4 ,,,,,2018/,1-3.,"58,982.3 ",1.6 ,"275,342.3 ",1.1 ,,,
,4-6.,"73,136.1 ",4.2 ,"280,864.0 ",1.0 ,,,,,,4-6.,"72,484.8 ",3.7 ,"279,212.9 ",1.4 ,,,
,7-9.,"66,927.9 ",3.0 ,"281,786.0 ",0.3 ,,,,,,7-9.,"66,358.5 ",2.0 ,"278,632.7 ",-0.2 ,,,
,10-12.,"81,933.6 ",3.5 ,"283,543.0 ",0.6 ,,,,,,10-12.,"80,499.6 ",2.7 ,"279,643.7 ",0.4 ,,,
2019/,1-3.,"60,463.0 ",1.9 ,"284,209.6 ",0.2 ,,,,,2019/,1-3.,"59,935.6 ",1.6 ,"280,739.6 ",0.4 ,,,
,4-6.,"74,664.8 ",2.1 ,"286,061.4 ",0.7 ,,,,,,4-6.,"73,466.5 ",1.4 ,"282,192.9 ",0.5 ,,,
,7-9.,"68,142.6 ",1.8 ,"287,140.7 ",0.4 ,,,,,,7-9.,"67,344.5 ",1.5 ,"282,951.2 ",0.3 ,,,
,10-12.,"83,622.0 ",2.1 ,"289,303.6 ",0.8 ,,,,,,10-12.,"81,263.6 ",0.9 ,"282,271.4 ",-0.2 ,,,
2020/,1-3.,"61,541.9 ",1.8 ,"289,825.9 ",0.2 ,,,,,2020/,1-3.,"60,354.5 ",0.7 ,"283,166.5 ",0.3 ,,,
,4-6.,"72,917.1 ",-2.3 ,"278,891.5 ",-3.8 ,,,,,,4-6.,"71,202.5 ",-3.1 ,"272,844.4 ",-3.6 ,,,
,7-9.,"66,574.2 ",-2.3 ,"280,653.8 ",0.6 ,,,,,,7-9.,"65,302.5 ",-3.0 ,"274,485.5 ",0.6 ,,,
,10-12.,"81,432.5 ",-2.6 ,"281,743.8 ",0.4 ,,,,,,10-12.,"79,649.9 ",-2.0 ,"276,724.8 ",0.8 ,,,
,,,,,,,,,,,,,,,,,,
＊＊前年同期比、前年比　Year-over-Year Percent Change / Annual Percent Change　　＊＊＊前期比　Quarter-to-Quarter Percent Change,,,,,,,,,,,,,,,,,,
使用上の注意,,,,,,,,,,,,,,,,,,
　・ 季節調整系列については、毎回1994年1-3月期まで遡及して改定されることから、最新の速報を利用されたい。,,,,,,,,,,,,,,,,,,
　・ 実質値については、名目雇用者報酬を家計最終消費支出（除く持ち家の帰属家賃及びFISIM）デフレーターで除して算出した参考値。,,,,,,,,,,,,,,,,,,
