Date;433 - Broad National Consumer Price Index (IPCA) - Monthly % var.;4449 - Broad National Consumer Price Index (IPCA) - Administred prices - Monthly % var.;11428 - Broad national consumer price index (IPCA) - non monitored prices - Monthly % var.;13522 - National consumer price index (IPCA) - in 12 months - %
05/1997;0.41 ;1.66 ;0.18 ;7.71
06/1997;0.54 ;2.97 ;0.10 ;7.02
07/1997;0.22 ;0.97 ;0.08 ;6.08
08/1997;-0.02 ;0.59 ;-0.14 ;5.59
09/1997;0.06 ;0.30 ;0.01 ;5.50
10/1997;0.23 ;0.05 ;0.27 ;5.42
11/1997;0.17 ;1.06 ;0.00 ;5.27
12/1997;0.43 ;1.28 ;0.27 ;5.22
01/1998;0.71 ;0.86 ;0.68 ;4.73
02/1998;0.46 ;0.65 ;0.42 ;4.69
03/1998;0.34 ;0.11 ;0.38 ;4.52
04/1998;0.24 ;0.39 ;0.21 ;3.85
05/1998;0.50 ;0.20 ;0.56 ;3.95
06/1998;0.02 ;-0.07 ;0.04 ;3.41
07/1998;-0.12 ;0.26 ;-0.19 ;3.06
08/1998;-0.51 ;-0.80 ;-0.45 ;2.55
09/1998;-0.22 ;-0.11 ;-0.24 ;2.27
10/1998;0.02 ;-0.15 ;0.05 ;2.05
11/1998;-0.12 ;-0.03 ;-0.14 ;1.76
12/1998;0.33 ;1.90 ;0.02 ;1.65
01/1999;0.70 ;1.19 ;0.60 ;1.65
02/1999;1.05 ;1.63 ;0.93 ;2.24
03/1999;1.10 ;1.41 ;1.04 ;3.02
04/1999;0.56 ;1.49 ;0.37 ;3.35
05/1999;0.30 ;0.68 ;0.22 ;3.14
06/1999;0.19 ;1.62 ;-0.10 ;3.32
07/1999;1.09 ;5.83 ;0.10 ;4.57
08/1999;0.56 ;1.55 ;0.24 ;5.69
09/1999;0.31 ;0.55 ;0.23 ;6.25
10/1999;1.19 ;0.75 ;1.34 ;7.50
11/1999;0.95 ;1.86 ;0.65 ;8.65
12/1999;0.60 ;0.67 ;0.58 ;8.94
01/2000;0.62 ;0.54 ;0.65 ;8.85
02/2000;0.13 ;-0.15 ;0.22 ;7.86
03/2000;0.22 ;1.22 ;-0.11 ;6.92
04/2000;0.42 ;0.05 ;0.54 ;6.77
05/2000;0.01 ;0.26 ;-0.07 ;6.47
06/2000;0.23 ;0.19 ;0.24 ;6.51
07/2000;1.61 ;4.23 ;0.74 ;7.06
08/2000;1.31 ;2.63 ;0.86 ;7.86
09/2000;0.23 ;-0.03 ;0.32 ;7.77
10/2000;0.14 ;-0.03 ;0.20 ;6.65
11/2000;0.32 ;1.07 ;0.06 ;5.99
12/2000;0.59 ;2.32 ;-0.02 ;5.97
01/2001;0.57 ;0.84 ;0.48 ;5.92
02/2001;0.46 ;0.58 ;0.42 ;6.27
03/2001;0.38 ;0.02 ;0.51 ;6.44
04/2001;0.58 ;-0.06 ;0.81 ;6.61
05/2001;0.41 ;0.42 ;0.41 ;7.04
06/2001;0.52 ;1.51 ;0.17 ;7.35
07/2001;1.33 ;3.40 ;0.58 ;7.05
08/2001;0.70 ;0.96 ;0.60 ;6.41
09/2001;0.28 ;0.45 ;0.22 ;6.46
10/2001;0.83 ;1.15 ;0.71 ;7.19
11/2001;0.71 ;0.55 ;0.77 ;7.61
12/2001;0.65 ;0.51 ;0.70 ;7.67
01/2002;0.52 ;0.36 ;0.58 ;7.62
02/2002;0.36 ;-0.38 ;0.63 ;7.51
03/2002;0.60 ;1.21 ;0.38 ;7.75
04/2002;0.80 ;2.16 ;0.29 ;7.98
05/2002;0.21 ;0.30 ;0.18 ;7.77
06/2002;0.42 ;1.14 ;0.15 ;7.66
07/2002;1.19 ;2.56 ;0.67 ;7.51
08/2002;0.65 ;0.15 ;0.84 ;7.46
09/2002;0.72 ;-0.07 ;1.03 ;7.93
10/2002;1.31 ;1.18 ;1.36 ;8.45
11/2002;3.02 ;4.29 ;2.53 ;10.93
12/2002;2.10 ;1.53 ;2.32 ;12.53
01/2003;2.25 ;3.83 ;1.64 ;14.47
02/2003;1.57 ;2.71 ;1.12 ;15.85
03/2003;1.23 ;1.08 ;1.29 ;16.57
04/2003;0.97 ;1.21 ;0.87 ;16.77
05/2003;0.61 ;0.81 ;0.53 ;17.24
06/2003;-0.15 ;-1.02 ;0.20 ;16.57
07/2003;0.20 ;0.73 ;-0.01 ;15.43
08/2003;0.34 ;0.86 ;0.13 ;15.07
09/2003;0.78 ;1.44 ;0.52 ;15.14
10/2003;0.29 ;0.07 ;0.38 ;13.98
11/2003;0.34 ;0.36 ;0.33 ;11.02
12/2003;0.52 ;0.47 ;0.54 ;9.30
01/2004;0.76 ;0.84 ;0.73 ;7.71
02/2004;0.61 ;0.26 ;0.75 ;6.69
03/2004;0.47 ;-0.07 ;0.69 ;5.89
04/2004;0.37 ;0.32 ;0.39 ;5.26
05/2004;0.51 ;0.35 ;0.57 ;5.15
06/2004;0.71 ;1.03 ;0.58 ;6.06
07/2004;0.91 ;1.89 ;0.52 ;6.81
08/2004;0.69 ;0.92 ;0.60 ;7.18
09/2004;0.33 ;0.59 ;0.22 ;6.70
10/2004;0.44 ;0.80 ;0.29 ;6.86
11/2004;0.69 ;1.41 ;0.39 ;7.24
12/2004;0.86 ;1.43 ;0.62 ;7.60
01/2005;0.58 ;0.51 ;0.61 ;7.41
02/2005;0.59 ;0.16 ;0.77 ;7.39
03/2005;0.61 ;1.29 ;0.33 ;7.54
04/2005;0.87 ;1.14 ;0.76 ;8.07
05/2005;0.49 ;0.25 ;0.59 ;8.05
06/2005;-0.02 ;-0.16 ;0.04 ;7.27
07/2005;0.25 ;0.84 ;0.00 ;6.57
08/2005;0.17 ;0.69 ;-0.05 ;6.02
09/2005;0.35 ;0.92 ;0.10 ;6.04
10/2005;0.75 ;1.62 ;0.38 ;6.36
11/2005;0.55 ;0.85 ;0.42 ;6.22
12/2005;0.36 ;0.53 ;0.29 ;5.69
01/2006;0.59 ;0.58 ;0.60 ;5.70
02/2006;0.41 ;0.42 ;0.40 ;5.51
03/2006;0.43 ;0.68 ;0.31 ;5.32
04/2006;0.21 ;0.54 ;0.04 ;4.63
05/2006;0.10 ;0.45 ;-0.08 ;4.23
06/2006;-0.21 ;0.06 ;-0.35 ;4.03
07/2006;0.19 ;0.33 ;0.13 ;3.97
08/2006;0.05 ;-0.03 ;0.09 ;3.84
09/2006;0.21 ;0.22 ;0.21 ;3.70
10/2006;0.33 ;0.12 ;0.43 ;3.26
11/2006;0.31 ;0.00 ;0.45 ;3.02
12/2006;0.48 ;0.83 ;0.32 ;3.14
01/2007;0.44 ;0.27 ;0.52 ;2.99
02/2007;0.44 ;0.12 ;0.59 ;3.02
03/2007;0.37 ;0.21 ;0.44 ;2.96
04/2007;0.25 ;0.39 ;0.19 ;3.00
05/2007;0.28 ;0.35 ;0.25 ;3.18
06/2007;0.28 ;-0.05 ;0.43 ;3.69
07/2007;0.24 ;-0.22 ;0.45 ;3.74
08/2007;0.47 ;0.12 ;0.62 ;4.18
09/2007;0.18 ;-0.04 ;0.28 ;4.15
10/2007;0.30 ;0.05 ;0.41 ;4.12
11/2007;0.38 ;0.26 ;0.43 ;4.19
12/2007;0.74 ;0.18 ;0.98 ;4.46
01/2008;0.54 ;0.20 ;0.69 ;4.56
02/2008;0.49 ;0.10 ;0.66 ;4.61
03/2008;0.48 ;0.47 ;0.48 ;4.73
04/2008;0.55 ;0.15 ;0.72 ;5.04
05/2008;0.79 ;0.26 ;1.02 ;5.58
06/2008;0.74 ;0.22 ;0.96 ;6.06
07/2008;0.53 ;0.60 ;0.50 ;6.37
08/2008;0.28 ;0.35 ;0.25 ;6.17
09/2008;0.26 ;0.17 ;0.30 ;6.25
10/2008;0.45 ;0.24 ;0.54 ;6.41
11/2008;0.36 ;0.18 ;0.44 ;6.39
12/2008;0.28 ;0.29 ;0.28 ;5.90
01/2009;0.48 ;0.75 ;0.37 ;5.84
02/2009;0.55 ;0.28 ;0.67 ;5.90
03/2009;0.20 ;0.14 ;0.23 ;5.61
04/2009;0.48 ;0.51 ;0.47 ;5.53
05/2009;0.47 ;0.30 ;0.54 ;5.20
06/2009;0.36 ;0.23 ;0.42 ;4.80
07/2009;0.24 ;0.57 ;0.10 ;4.50
08/2009;0.15 ;0.16 ;0.15 ;4.36
09/2009;0.24 ;0.37 ;0.18 ;4.34
10/2009;0.28 ;0.42 ;0.22 ;4.17
11/2009;0.41 ;0.40 ;0.42 ;4.22
12/2009;0.37 ;0.51 ;0.31 ;4.31
01/2010;0.75 ;0.83 ;0.72 ;4.59
02/2010;0.78 ;0.42 ;0.93 ;4.83
03/2010;0.52 ;-0.14 ;0.80 ;5.17
04/2010;0.57 ;0.14 ;0.75 ;5.26
05/2010;0.43 ;0.33 ;0.47 ;5.22
06/2010;0.00 ;0.12 ;-0.05 ;4.84
07/2010;0.01 ;0.32 ;-0.12 ;4.60
08/2010;0.04 ;-0.01 ;0.06 ;4.49
09/2010;0.45 ;0.19 ;0.56 ;4.70
10/2010;0.75 ;0.30 ;0.94 ;5.20
11/2010;0.83 ;0.33 ;1.04 ;5.63
12/2010;0.63 ;0.26 ;0.78 ;5.91
01/2011;0.83 ;0.94 ;0.79 ;5.99
02/2011;0.80 ;0.47 ;0.93 ;6.01
03/2011;0.79 ;1.05 ;0.68 ;6.30
04/2011;0.77 ;1.29 ;0.56 ;6.51
05/2011;0.47 ;0.55 ;0.44 ;6.55
06/2011;0.15 ;-0.12 ;0.26 ;6.71
07/2011;0.16 ;0.29 ;0.11 ;6.87
08/2011;0.37 ;0.03 ;0.51 ;7.23
09/2011;0.53 ;0.62 ;0.49 ;7.31
10/2011;0.43 ;0.46 ;0.42 ;6.97
11/2011;0.52 ;0.27 ;0.62 ;6.64
12/2011;0.50 ;0.19 ;0.63 ;6.50
01/2012;0.56 ;0.47 ;0.59 ;6.22
02/2012;0.45 ;0.26 ;0.51 ;5.85
