"",BBFB1.Q.Y.DE.W1.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS,BBFB1.Q.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS,BBFB1.Q.Y.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
1994-07,-14.57,,22.29,,-20.81,,-0.12,,-15.93,
1994-10,-14.49,,20.60,,-20.84,,1.44,,-15.69,
1995-01,-12.25,,23.06,,-21.53,,-0.59,,-13.19,
1995-04,-12.69,,23.47,,-21.32,,-0.06,,-14.78,
1995-07,-10.36,,25.77,,-21.26,,-0.89,,-13.98,
1995-10,-11.48,,27.49,,-20.55,,-2.08,,-16.34,
1996-01,-7.33,,24.92,,-21.69,,3.25,,-13.81,
1996-04,-12.27,,25.64,,-21.85,,0.44,,-16.50,
1996-07,-4.86,,31.84,,-22.39,,-3.04,,-11.27,
1996-10,-1.95,,32.70,,-22.38,,1.82,,-14.09,
1997-01,-13.87,,25.65,,-23.06,,-0.92,,-15.54,
1997-04,-7.43,,31.88,,-23.24,,-2.21,,-13.86,
1997-07,-1.78,,36.09,,-21.82,,-1.05,,-15.00,
1997-10,3.35,,39.12,,-22.05,,-1.50,,-12.22,
1998-01,-9.77,,31.84,,-20.97,,-2.54,,-18.10,
1998-04,-5.66,,35.26,,-23.26,,-6.65,,-11.01,
1998-07,-7.33,,35.19,,-23.17,,-5.51,,-13.84,
1998-10,-8.08,,36.90,,-24.33,,-6.26,,-14.39,
1999-01,-10.12,,14.21,,-13.28,,-4.51,,-6.54,
1999-04,-5.04,,16.80,,-14.09,,-1.75,,-6.00,
1999-07,-8.27,,16.42,,-13.76,,-3.79,,-7.14,
1999-10,-7.03,,20.23,,-15.36,,-4.98,,-6.92,
2000-01,-6.72,,16.78,,-14.23,,-1.79,,-7.48,
2000-04,-7.75,,17.20,,-14.65,,-2.70,,-7.60,
2000-07,-13.14,,14.37,,-15.11,,-5.73,,-6.67,
2000-10,-11.80,,15.70,,-16.20,,-3.16,,-8.14,
2001-01,-7.17,,22.55,,-17.46,,-4.67,,-7.59,
2001-04,-7.20,,21.46,,-16.82,,-3.50,,-8.34,
2001-07,-0.51,,26.14,,-16.91,,-3.96,,-5.78,
2001-10,6.52,,31.78,,-14.17,,-3.74,,-7.35,
2002-01,6.84,,34.03,,-13.95,,-5.87,,-7.37,
2002-04,6.65,,34.01,,-12.77,,-5.20,,-9.39,
2002-07,13.95,,37.58,,-11.79,,-6.01,,-5.83,
2002-10,14.15,,37.63,,-10.28,,-6.60,,-6.60,
2003-01,1.80,,28.05,,-13.30,,-5.95,,-7.00,
2003-04,4.09,,30.04,,-11.36,,-5.91,,-8.68,
2003-07,11.94,,37.77,,-11.62,,-5.26,,-8.95,
2003-10,13.02,,35.27,,-10.90,,-4.74,,-6.61,
2004-01,21.18,,37.50,,-10.27,,1.25,,-7.30,
2004-04,28.59,,43.08,,-9.70,,3.42,,-8.21,
2004-07,24.19,,35.48,,-7.51,,4.75,,-8.53,
2004-10,25.81,,35.09,,-8.46,,4.85,,-5.67,
2005-01,27.43,,41.94,,-8.86,,3.12,,-8.77,
2005-04,24.63,,37.30,,-10.23,,5.52,,-7.96,
2005-07,28.97,,40.93,,-8.96,,5.00,,-8.00,
2005-10,24.61,,35.36,,-9.94,,5.22,,-6.03,
2006-01,27.99,,36.13,,-9.81,,8.27,,-6.60,
2006-04,32.19,,35.33,,-6.88,,11.00,,-7.26,
2006-07,34.53,,40.51,,-7.47,,10.67,,-9.18,
2006-10,42.97,,49.06,,-8.12,,9.68,,-7.65,
2007-01,40.07,,46.61,,-8.48,,10.50,,-8.56,
2007-04,44.56,,49.61,,-7.14,,9.83,,-7.74,
2007-07,44.43,,52.98,,-7.96,,8.12,,-8.71,
2007-10,43.88,,53.99,,-9.02,,7.92,,-9.01,
2008-01,41.92,,50.97,,-6.93,,5.85,,-7.97,
2008-04,39.69,,51.20,,-8.62,,5.34,,-8.23,
2008-07,32.64,,41.96,,-7.40,,6.70,,-8.62,
2008-10,28.92,,38.30,,-5.84,,7.49,,-11.03,
2009-01,26.54,,25.96,,-4.09,,12.42,,-7.75,
2009-04,33.08,,33.77,,-4.14,,11.96,,-8.51,
2009-07,38.38,,35.68,,-4.42,,15.48,,-8.36,
2009-10,42.49,,44.01,,-4.34,,14.91,,-12.09,
2010-01,34.07,,36.61,,-5.17,,12.06,,-9.43,
2010-04,33.60,,37.30,,-7.04,,12.28,,-8.94,
2010-07,34.49,,39.90,,-6.08,,11.58,,-10.91,
2010-10,38.92,,43.65,,-7.21,,13.05,,-10.57,
2011-01,39.73,,40.18,,-6.68,,15.33,,-9.10,
2011-04,38.54,,38.02,,-8.05,,17.06,,-8.49,
2011-07,42.16,,40.65,,-8.00,,18.92,,-9.41,
2011-10,43.70,,41.21,,-6.72,,17.80,,-8.59,
2012-01,45.68,,48.01,,-7.83,,15.80,,-10.30,
2012-04,49.42,,50.19,,-7.13,,15.92,,-9.56,
2012-07,52.11,,53.06,,-8.03,,16.01,,-8.93,
2012-10,48.54,,49.25,,-6.64,,16.23,,-10.30,
2013-01,42.93,,52.48,,-11.08,,12.60,,-11.07,
2013-04,45.40,,50.98,,-10.20,,16.07,,-11.45,
2013-07,43.54,,47.70,,-8.57,,14.38,,-9.97,
2013-10,52.84,,54.57,,-8.82,,16.18,,-9.09,
2014-01,49.13,,52.10,,-6.13,,13.36,,-10.20,
2014-04,48.49,,52.63,,-5.71,,13.82,,-12.25,
2014-07,55.93,,56.01,,-6.77,,14.96,,-8.27,
2014-10,59.47,,60.64,,-6.63,,15.05,,-9.59,
2015-01,61.14,,59.78,,-4.22,,17.19,,-11.61,
2015-04,63.55,,64.42,,-4.06,,13.40,,-10.21,
2015-07,68.72,,60.86,,-4.75,,20.07,,-7.46,
2015-10,68.05,,61.17,,-5.70,,19.56,,-6.98,
2016-01,67.47,,61.73,,-4.81,,19.88,,-9.33,
2016-04,70.09,,68.05,,-6.11,,17.03,,-8.88,
2016-07,62.51,,61.76,,-5.15,,18.33,,-12.43,
2016-10,62.35,,57.96,,-4.01,,19.30,,-10.90,
2017-01,62.99,,61.12,,-5.11,,17.63,,-10.65,
2017-04,56.35,,64.68,,-7.41,,16.95,,-17.87,
2017-07,67.40,,65.64,,-5.52,,19.15,,-11.87,
2017-10,67.35,,64.64,,-6.09,,20.28,,-11.48,
2018-01,72.23,,64.21,,-4.19,,23.20,,-10.99,
2018-04,74.10,,63.82,,-4.40,,25.57,,-10.89,
2018-07,61.04,,50.21,,-4.59,,28.37,,-12.95,
2018-10,59.98,,48.81,,-4.34,,29.58,,-14.07,
2019-01,68.23,,55.59,,-4.00,,28.88,,-12.24,
2019-04,65.83,,53.49,,-4.58,,29.28,,-12.36,
2019-07,66.66,,55.61,,-4.53,,28.55,,-12.97,
2019-10,63.96,,54.03,,-6.52,,26.94,,-10.49,
2020-01,58.42,,51.02,,-6.00,,24.22,,-10.82,
2020-04,42.14,,29.00,,4.82,,22.40,,-14.08,
2020-07,61.32,,53.42,,-1.36,,20.24,,-10.98,
2020-10,66.50,,53.58,,5.15,,22.97,,-15.20,
2021-01,68.06,,54.55,,4.35,,24.99,,-15.83,
2021-04,62.05,,46.88,,3.64,,25.45,,-13.92,
2021-07,55.87,,43.23,,-2.99,,27.60,,-11.97,
