"",BBFB1.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.D76._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D76._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D61._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D61._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
1980-11,185.362,,1118.339,,-932.976,,113.129,,84.418,,608.174,,254.521,,156.381,,-495.045,,72.233,,510.164,,306.775,,306.775,,11.852,,-437.931,
1980-12,217.716,,1323.424,,-1105.708,,129.022,,68.306,,702.053,,186.673,,138.725,,-573.031,,88.693,,621.370,,409.034,,409.034,,11.537,,-532.677,
1981-01,170.035,,1397.332,,-1227.297,,88.525,,54.709,,924.020,,389.869,,163.531,,-835.495,,81.511,,473.312,,281.211,,281.211,,11.305,,-391.801,
1981-02,147.241,,1507.806,,-1360.565,,68.467,,45.283,,1059.421,,672.595,,139.870,,-990.954,,78.774,,448.385,,281.211,,281.211,,11.039,,-369.610,
1981-03,178.858,,800.521,,-621.663,,103.782,,76.842,,352.815,,-,Nothing exists,147.449,,-249.033,,75.076,,447.706,,281.211,,281.211,,10.465,,-372.630,
1981-04,169.472,,1191.853,,-1022.381,,89.845,,48.447,,703.313,,348.373,,147.645,,-613.468,,79.627,,488.540,,306.775,,306.775,,11.280,,-408.913,
1981-05,168.642,,1208.949,,-1040.307,,84.470,,43.452,,706.376,,347.559,,161.245,,-621.906,,84.172,,502.573,,332.340,,332.340,,11.377,,-418.401,
1981-06,280.834,,1290.704,,-1009.870,,197.624,,169.286,,777.140,,347.552,,159.231,,-579.516,,83.210,,513.564,,332.340,,332.340,,11.212,,-430.354,
1981-07,250.338,,1518.039,,-1267.702,,154.430,,121.383,,851.019,,346.852,,151.644,,-696.589,,95.908,,667.021,,460.163,,460.163,,12.290,,-571.113,
1981-08,131.790,,1505.913,,-1374.124,,48.980,,22.527,,768.272,,411.194,,167.982,,-719.292,,82.810,,737.641,,536.856,,536.856,,12.752,,-654.831,
1981-09,166.384,,1191.932,,-1025.549,,76.840,,49.512,,661.099,,345.465,,136.522,,-584.260,,89.544,,530.833,,357.904,,357.904,,11.044,,-441.289,
1981-10,178.065,,1259.159,,-1081.093,,84.631,,54.436,,724.947,,367.184,,138.850,,-640.317,,93.435,,534.211,,332.340,,332.340,,13.164,,-440.777,
1981-11,189.072,,1244.149,,-1055.077,,100.936,,66.634,,710.630,,325.498,,166.838,,-609.695,,88.136,,533.519,,332.340,,332.340,,13.222,,-445.383,
1981-12,267.047,,1088.878,,-821.831,,146.000,,117.226,,490.346,,-152.759,,148.818,,-344.346,,121.047,,598.533,,383.469,,383.469,,12.509,,-477.485,
1982-01,194.795,,1306.711,,-1111.916,,104.471,,53.280,,826.381,,342.047,,173.340,,-721.910,,90.324,,480.330,,281.211,,281.211,,14.203,,-390.006,
1982-02,187.918,,1229.368,,-1041.450,,95.448,,69.388,,739.934,,353.963,,140.270,,-644.485,,92.470,,489.434,,281.211,,281.211,,13.134,,-396.964,
1982-03,217.655,,1268.303,,-1050.648,,112.078,,85.413,,763.180,,348.727,,157.978,,-651.103,,105.578,,505.123,,281.211,,281.211,,12.943,,-399.545,
1982-04,187.495,,1305.686,,-1118.191,,86.998,,51.766,,786.015,,343.263,,156.862,,-699.016,,100.496,,519.671,,306.775,,306.775,,14.341,,-419.174,
1982-05,171.429,,1229.207,,-1057.778,,80.178,,49.262,,692.277,,340.610,,162.513,,-612.099,,91.251,,536.930,,332.340,,332.340,,16.735,,-445.679,
1982-06,296.021,,1274.654,,-978.634,,192.457,,165.319,,752.376,,339.061,,142.287,,-559.919,,103.564,,522.278,,332.340,,332.340,,14.600,,-418.714,
1982-07,280.330,,1522.098,,-1241.768,,173.188,,131.090,,826.566,,335.637,,180.447,,-653.377,,107.141,,695.532,,460.163,,460.163,,15.496,,-588.391,
1982-08,133.745,,1441.450,,-1307.705,,37.010,,10.818,,696.211,,327.481,,156.784,,-659.200,,96.734,,745.239,,536.856,,536.856,,15.113,,-648.505,
1982-09,233.773,,1236.047,,-1002.274,,102.459,,61.642,,697.095,,336.028,,179.701,,-594.636,,131.314,,538.951,,357.904,,357.904,,14.433,,-407.638,
1982-10,195.957,,1615.438,,-1419.481,,71.206,,35.939,,1096.604,,669.559,,149.840,,-1025.398,,124.751,,518.834,,332.340,,332.340,,17.184,,-394.083,
1982-11,206.807,,970.323,,-763.516,,106.447,,72.676,,425.013,,-,Nothing exists,168.748,,-318.567,,100.360,,545.310,,332.340,,332.340,,14.888,,-444.949,
1982-12,272.006,,1457.627,,-1185.621,,163.400,,115.677,,860.309,,332.894,,138.074,,-696.909,,108.606,,597.318,,383.469,,383.469,,15.389,,-488.713,
1983-01,192.641,,1320.695,,-1128.054,,89.208,,54.719,,844.301,,288.398,,172.211,,-755.093,,103.433,,476.394,,281.211,,281.211,,14.536,,-372.961,
1983-02,198.147,,1121.504,,-923.358,,89.043,,61.838,,654.399,,311.470,,145.517,,-565.356,,109.104,,467.106,,281.211,,281.211,,13.453,,-358.001,
1983-03,225.122,,1209.001,,-983.878,,109.833,,83.257,,723.434,,344.530,,171.212,,-613.601,,115.289,,485.567,,281.211,,281.211,,12.700,,-370.278,
1983-04,378.060,,1309.329,,-931.268,,277.767,,23.150,,784.160,,310.575,,157.994,,-506.393,,100.293,,525.169,,306.775,,306.775,,19.186,,-424.875,
1983-05,184.406,,1193.233,,-1008.827,,95.210,,69.578,,664.632,,309.969,,172.381,,-569.422,,89.195,,528.601,,332.340,,332.340,,15.518,,-439.405,
1983-06,251.625,,1426.220,,-1174.595,,159.314,,128.318,,831.804,,309.898,,151.362,,-672.490,,92.311,,594.415,,357.904,,357.904,,16.137,,-502.104,
1983-07,200.162,,1488.542,,-1288.380,,88.608,,50.464,,801.214,,311.233,,196.563,,-712.605,,111.554,,687.329,,460.163,,460.163,,17.192,,-575.775,
1983-08,192.025,,1378.044,,-1186.019,,73.609,,41.393,,657.238,,352.813,,150.232,,-583.629,,118.416,,720.806,,536.856,,536.856,,15.990,,-602.390,
1983-09,202.424,,1256.664,,-1054.240,,88.328,,59.602,,696.970,,312.215,,180.282,,-608.641,,114.096,,559.694,,357.904,,357.904,,16.209,,-445.599,
1983-10,152.173,,1303.727,,-1151.554,,40.532,,3.091,,775.663,,311.594,,160.470,,-735.131,,111.641,,528.064,,332.340,,332.340,,16.844,,-416.423,
1983-11,256.386,,2131.390,,-1875.004,,137.789,,106.856,,1579.374,,1141.161,,183.260,,-1441.585,,118.597,,552.016,,332.340,,332.340,,17.068,,-433.419,
1983-12,448.420,,1554.192,,-1105.772,,325.687,,182.441,,910.338,,386.236,,165.865,,-584.651,,122.733,,643.854,,383.469,,383.469,,17.884,,-521.121,
1984-01,161.363,,1425.290,,-1263.926,,46.943,,4.333,,900.933,,388.544,,186.368,,-853.990,,114.420,,524.356,,306.775,,306.775,,15.608,,-409.936,
1984-02,241.734,,1784.060,,-1542.326,,142.248,,117.411,,1270.548,,816.922,,179.453,,-1128.300,,99.487,,513.513,,306.775,,306.775,,14.302,,-414.026,
1984-03,169.582,,1039.358,,-869.776,,48.569,,24.955,,484.532,,-,Nothing exists,216.032,,-435.963,,121.013,,554.826,,332.340,,332.340,,15.559,,-433.813,
1984-04,136.503,,1436.305,,-1299.802,,42.123,,9.514,,887.544,,398.478,,201.627,,-845.421,,94.380,,548.760,,357.904,,357.904,,18.027,,-454.380,
1984-05,217.872,,1352.312,,-1134.440,,94.121,,68.854,,790.252,,398.171,,200.334,,-696.131,,123.752,,562.061,,357.904,,357.904,,16.855,,-438.309,
1984-06,298.366,,1652.615,,-1354.249,,192.080,,167.090,,1058.938,,399.804,,217.955,,-866.859,,106.287,,593.677,,383.469,,383.469,,16.828,,-487.390,
1984-07,196.930,,1604.896,,-1407.966,,60.579,,34.980,,927.822,,399.013,,269.542,,-867.243,,136.351,,677.074,,460.163,,460.163,,17.658,,-540.723,
1984-08,196.403,,1599.816,,-1403.413,,56.308,,30.196,,853.515,,433.158,,234.272,,-797.207,,140.096,,746.302,,536.856,,536.856,,17.191,,-606.206,
1984-09,193.703,,1547.563,,-1353.860,,83.766,,53.498,,942.834,,399.604,,302.333,,-859.069,,109.937,,604.728,,409.034,,409.034,,17.695,,-494.791,
1984-10,142.829,,1607.753,,-1464.924,,4.216,,-30.423,,1017.178,,400.821,,356.037,,-1012.962,,138.614,,590.575,,383.469,,383.469,,17.880,,-451.962,
1984-11,449.490,,1683.794,,-1234.303,,323.429,,76.231,,1103.590,,412.438,,407.213,,-780.161,,126.062,,580.204,,357.904,,357.904,,18.415,,-454.142,
1984-12,284.834,,1875.830,,-1590.997,,167.646,,137.431,,1188.237,,399.317,,375.942,,-1020.590,,117.187,,687.594,,409.034,,409.034,,18.825,,-570.406,
1985-01,204.704,,1557.285,,-1352.581,,87.084,,14.659,,1048.471,,399.489,,302.632,,-961.387,,117.620,,508.814,,281.211,,281.211,,18.709,,-391.194,
1985-02,177.552,,1434.509,,-1256.957,,46.782,,23.477,,945.265,,397.877,,234.276,,-898.482,,130.770,,489.244,,281.211,,281.211,,22.157,,-358.474,
1985-03,181.204,,1411.299,,-1230.095,,59.202,,32.011,,882.132,,398.229,,228.387,,-822.930,,122.002,,529.167,,281.211,,281.211,,18.398,,-407.164,
1985-04,169.638,,1472.786,,-1303.148,,35.451,,10.069,,930.062,,398.530,,211.067,,-894.611,,134.188,,542.725,,306.775,,306.775,,20.762,,-408.537,
1985-05,219.994,,1418.993,,-1198.999,,98.841,,69.896,,817.580,,400.391,,197.540,,-718.739,,121.152,,601.413,,332.340,,332.340,,18.848,,-480.261,
1985-06,364.197,,1681.689,,-1317.492,,228.162,,200.364,,1091.810,,401.141,,213.338,,-863.648,,136.035,,589.879,,357.904,,357.904,,18.601,,-453.844,
1985-07,235.703,,1640.010,,-1404.307,,93.843,,59.987,,981.328,,569.023,,190.558,,-887.486,,141.860,,658.681,,434.598,,434.598,,19.254,,-516.821,
1985-08,200.177,,1411.393,,-1211.216,,65.984,,38.626,,784.385,,384.106,,200.716,,-718.401,,134.193,,627.008,,409.034,,409.034,,19.678,,-492.815,
1985-09,225.701,,1433.221,,-1207.521,,99.312,,22.339,,855.145,,421.867,,223.112,,-755.833,,126.389,,578.076,,357.904,,357.904,,18.788,,-451.688,
1985-10,311.986,,1464.519,,-1152.533,,151.025,,107.702,,895.007,,422.506,,209.876,,-743.982,,160.961,,569.512,,306.775,,306.775,,18.363,,-408.551,
1985-11,210.685,,1393.345,,-1182.660,,87.892,,36.930,,866.544,,419.658,,193.577,,-778.652,,122.794,,526.801,,306.775,,306.775,,19.617,,-404.008,
1985-12,313.894,,1668.976,,-1355.082,,180.491,,126.392,,955.421,,418.864,,193.606,,-774.930,,133.403,,713.554,,409.034,,409.034,,18.913,,-580.152,
1986-01,156.580,,1730.478,,-1573.898,,35.589,,11.257,,1168.414,,660.163,,187.472,,-1132.825,,120.991,,562.063,,306.775,,306.775,,18.088,,-441.073,
1986-02,200.121,,1424.135,,-1224.014,,75.803,,51.803,,891.588,,381.210,,184.366,,-815.785,,124.318,,532.547,,306.775,,306.775,,17.022,,-408.229,
1986-03,277.927,,1504.705,,-1226.779,,166.500,,135.406,,927.261,,514.740,,193.464,,-760.761,,111.426,,577.444,,332.340,,332.340,,16.366,,-466.018,
1986-04,163.376,,1492.511,,-1329.135,,25.263,,-3.686,,958.998,,453.998,,179.398,,-933.735,,138.112,,533.513,,281.211,,281.211,,21.148,,-395.400,
1986-05,240.816,,1492.777,,-1251.961,,121.053,,83.695,,904.054,,497.720,,211.172,,-783.001,,119.763,,588.723,,332.340,,332.340,,20.006,,-468.959,
1986-06,558.998,,1589.442,,-1030.444,,405.159,,322.522,,1030.869,,496.867,,194.627,,-625.709,,153.839,,558.573,,306.775,,306.775,,20.322,,-404.735,
1986-07,250.354,,1642.733,,-1392.379,,130.381,,61.959,,1018.767,,496.215,,210.374,,-888.386,,119.972,,623.965,,357.904,,357.904,,21.110,,-503.993,
1986-08,202.823,,1723.085,,-1520.262,,66.190,,40.104,,1081.437,,732.268,,170.611,,-1015.246,,136.633,,641.649,,383.469,,383.469,,20.118,,-505.016,
1986-09,252.215,,1528.745,,-1276.530,,89.995,,61.817,,919.317,,552.969,,187.768,,-829.322,,162.220,,609.428,,306.775,,306.775,,19.594,,-447.208,
1986-10,150.107,,1556.279,,-1406.172,,8.431,,-25.002,,1027.864,,550.510,,210.708,,-1019.434,,141.676,,528.415,,306.775,,306.775,,21.110,,-386.738,
1986-11,229.435,,1520.132,,-1290.697,,97.970,,60.403,,1021.588,,545.620,,206.577,,-923.618,,131.465,,498.544,,255.646,,255.646,,21.621,,-367.078,
1986-12,402.981,,1635.066,,-1232.085,,285.391,,209.789,,1060.447,,548.568,,165.645,,-775.056,,117.590,,574.618,,332.340,,332.340,,20.535,,-457.028,
1987-01,223.516,,1731.499,,-1507.982,,107.671,,39.806,,1213.076,,546.794,,216.490,,-1105.405,,115.845,,518.422,,306.775,,306.775,,21.153,,-402.577,
1987-02,154.281,,2092.000,,-1937.719,,48.493,,26.031,,1583.389,,1114.676,,176.242,,-1534.895,,105.788,,508.612,,306.775,,306.775,,18.264,,-402.824,
1987-03,186.261,,969.019,,-782.759,,74.268,,50.285,,427.471,,-,Nothing exists,194.299,,-353.202,,111.992,,541.549,,332.340,,332.340,,19.658,,-429.556,
1987-04,155.576,,1495.557,,-1339.980,,57.976,,27.268,,1019.323,,555.132,,193.531,,-961.347,,97.601,,476.234,,281.211,,281.211,,21.851,,-378.634,
1987-05,242.639,,1542.423,,-1299.784,,140.945,,115.276,,984.167,,556.095,,201.038,,-843.222,,101.694,,558.257,,332.340,,332.340,,22.376,,-456.563,
1987-06,458.640,,1562.575,,-1103.935,,351.458,,248.552,,1021.408,,555.651,,180.798,,-669.949,,107.181,,541.167,,332.340,,332.340,,22.570,,-433.986,
1987-07,306.241,,1768.730,,-1462.490,,188.334,,159.372,,1166.443,,555.712,,231.646,,-978.109,,117.906,,602.287,,357.904,,357.904,,23.124,,-484.381,
1987-08,133.114,,1339.265,,-1206.150,,34.248,,7.550,,794.276,,386.766,,182.922,,-760.028,,98.866,,544.989,,332.340,,332.340,,22.613,,-446.123,
1987-09,145.065,,1508.500,,-1363.435,,36.931,,7.990,,984.268,,570.201,,206.829,,-947.337,,108.134,,524.232,,306.775,,306.775,,22.214,,-416.099,
1987-10,290.654,,1586.933,,-1296.279,,168.478,,134.743,,1072.626,,570.577,,208.024,,-904.149,,122.176,,514.306,,281.211,,281.211,,23.980,,-392.131,
1987-11,244.809,,1565.981,,-1321.172,,139.228,,93.184,,1045.895,,570.723,,193.371,,-906.667,,105.581,,520.086,,281.211,,281.211,,23.200,,-414.505,
1987-12,280.810,,1708.867,,-1428.057,,151.125,,118.634,,1141.935,,564.819,,214.381,,-990.811,,129.686,,566.932,,306.775,,306.775,,23.510,,-437.246,
1988-01,384.629,,1652.386,,-1267.757,,294.073,,248.334,,1124.386,,567.053,,231.180,,-830.313,,90.556,,528.001,,306.775,,306.775,,22.324,,-437.444,
1988-02,144.102,,1557.174,,-1413.072,,43.430,,17.627,,1038.475,,568.194,,187.838,,-995.045,,100.672,,518.699,,306.775,,306.775,,23.516,,-418.027,
1988-03,133.624,,1601.762,,-1468.139,,19.829,,-4.399,,988.560,,567.911,,206.997,,-968.730,,113.794,,613.203,,332.340,,332.340,,21.209,,-499.408,
1988-04,215.188,,1604.961,,-1389.773,,112.376,,84.705,,1046.491,,569.013,,202.336,,-934.115,,102.812,,558.470,,306.775,,306.775,,25.604,,-455.658,
1988-05,202.587,,1561.024,,-1358.437,,99.992,,67.002,,1003.891,,570.649,,200.346,,-903.900,,102.595,,557.132,,332.340,,332.340,,25.413,,-454.537,
1988-06,535.352,,1625.595,,-1090.243,,429.996,,334.029,,992.241,,571.897,,198.909,,-562.244,,105.356,,633.354,,332.340,,332.340,,25.327,,-527.998,
1988-07,608.008,,1977.114,,-1369.106,,488.256,,344.311,,1362.303,,600.983,,239.246,,-874.047,,119.752,,614.811,,332.340,,332.340,,24.430,,-495.059,
1988-08,134.324,,1881.246,,-1746.922,,19.294,,-18.938,,1295.610,,878.418,,203.405,,-1276.316,,115.030,,585.636,,332.340,,332.340,,24.935,,-470.605,
1988-09,127.252,,1558.394,,-1431.142,,36.045,,8.833,,1011.480,,608.265,,208.753,,-975.435,,91.207,,546.914,,306.775,,306.775,,25.105,,-455.707,
1988-10,280.515,,2307.079,,-2026.565,,165.509,,129.693,,1724.379,,1211.368,,219.388,,-1558.870,,115.005,,582.700,,281.211,,281.211,,25.502,,-467.695,
1988-11,185.108,,2466.959,,-2281.851,,89.876,,60.235,,1936.233,,1419.766,,208.292,,-1846.357,,95.232,,530.726,,281.211,,281.211,,26.457,,-435.494,
1988-12,547.675,,2178.375,,-1630.701,,415.892,,341.925,,1446.460,,733.643,,210.693,,-1030.568,,131.783,,731.915,,357.904,,357.904,,26.889,,-600.132,
1989-01,246.288,,1846.829,,-1600.541,,149.165,,24.628,,1240.267,,624.113,,217.326,,-1091.102,,97.123,,606.562,,332.340,,332.340,,23.608,,-509.439,
1989-02,187.663,,1933.707,,-1746.044,,60.803,,36.583,,1293.948,,749.829,,199.526,,-1233.145,,126.860,,639.759,,332.340,,332.340,,25.353,,-512.899,
1989-03,356.724,,1817.137,,-1460.413,,135.169,,109.363,,1176.139,,686.908,,210.978,,-1040.970,,221.555,,640.998,,357.904,,357.904,,25.102,,-419.443,
1989-04,157.354,,1819.315,,-1661.960,,50.700,,23.695,,1192.017,,686.908,,220.776,,-1141.317,,106.654,,627.297,,306.775,,306.775,,28.321,,-520.643,
1989-05,263.656,,1770.932,,-1507.275,,107.354,,79.559,,1141.104,,687.190,,200.950,,-1033.749,,156.302,,629.828,,332.340,,332.340,,27.509,,-473.526,
1989-06,696.136,,1844.402,,-1148.265,,563.301,,403.368,,1175.512,,686.965,,216.474,,-612.211,,132.835,,668.889,,332.340,,332.340,,27.798,,-536.054,
1989-07,301.286,,2071.164,,-1769.878,,163.896,,133.994,,1398.784,,686.965,,233.883,,-1234.888,,137.390,,672.380,,306.775,,306.775,,29.921,,-534.990,
1989-08,167.932,,1737.120,,-1569.188,,57.720,,29.670,,1132.887,,686.965,,219.022,,-1075.167,,110.212,,604.233,,332.340,,332.340,,29.948,,-494.021,
1989-09,325.322,,1732.925,,-1407.603,,78.625,,50.729,,1151.975,,686.965,,219.542,,-1073.350,,246.697,,580.950,,306.775,,306.775,,28.028,,-334.253,
1989-10,417.362,,1859.264,,-1441.901,,56.098,,18.780,,1265.824,,687.610,,230.573,,-1209.726,,361.265,,593.440,,281.211,,281.211,,29.373,,-232.175,
1989-11,175.800,,1828.492,,-1652.692,,53.948,,22.794,,1235.583,,686.965,,224.493,,-1181.635,,121.852,,592.908,,255.646,,255.646,,29.281,,-471.057,
1989-12,363.373,,1985.293,,-1621.920,,214.941,,154.862,,1239.016,,624.782,,222.865,,-1024.075,,148.432,,746.277,,357.904,,357.904,,29.127,,-597.845,
1990-01,500.565,,2089.074,,-1588.508,,256.765,,157.131,,1459.059,,633.713,,229.127,,-1202.294,,243.800,,630.015,,265.872,,265.872,,33.863,,-386.215,
1990-02,313.472,,1769.769,,-1456.297,,201.672,,163.035,,1162.413,,656.871,,210.169,,-960.741,,111.800,,607.356,,291.436,,291.436,,32.172,,-495.556,
1990-03,387.968,,1909.812,,-1521.843,,218.782,,180.368,,1201.565,,645.292,,228.704,,-982.783,,169.186,,708.247,,317.001,,317.001,,36.317,,-539.061,
1990-04,247.362,,1841.759,,-1594.397,,118.918,,76.760,,1188.816,,649.589,,226.164,,-1069.898,,128.444,,652.943,,289.391,,289.391,,34.192,,-524.499,
1990-05,308.659,,1833.282,,-1524.622,,147.671,,105.944,,1159.722,,645.292,,224.866,,-1012.051,,160.988,,673.560,,314.956,,314.956,,33.539,,-512.571,
1990-06,636.389,,2027.762,,-1391.372,,471.518,,429.913,,1368.872,,645.292,,232.949,,-897.354,,164.871,,658.890,,314.956,,314.956,,34.155,,-494.019,
1990-07,551.437,,2102.723,,-1551.286,,399.940,,351.225,,1413.609,,645.292,,247.097,,-1013.668,,151.497,,689.114,,318.535,,318.535,,35.110,,-537.617,
1990-08,231.124,,1565.889,,-1334.765,,78.660,,30.129,,915.872,,349.241,,242.545,,-837.211,,152.464,,650.017,,292.970,,292.970,,34.716,,-497.553,
1990-09,250.246,,1840.152,,-1589.906,,101.041,,52.510,,1176.064,,608.233,,229.995,,-1075.023,,149.205,,664.088,,318.535,,318.535,,34.940,,-514.883,
1990-10,290.897,,1927.445,,-1636.548,,124.943,,44.042,,1206.335,,583.586,,234.094,,-1081.393,,165.954,,721.110,,312.399,,312.399,,40.356,,-555.156,
1990-11,327.010,,2139.284,,-1812.274,,172.372,,110.728,,1531.139,,608.233,,250.496,,-1358.767,,154.638,,608.144,,261.270,,261.270,,41.321,,-453.507,
1990-12,419.439,,2173.031,,-1753.592,,277.402,,201.777,,1446.564,,600.456,,254.742,,-1169.162,,142.037,,726.467,,312.399,,312.399,,40.757,,-584.430,
1991-01,1198.034,,3222.637,,-2024.603,,280.201,,91.136,,1964.255,,923.383,,252.498,,-1684.054,,917.833,,1258.382,,167.192,,167.192,,38.243,,-340.549,
1991-02,968.686,,5036.844,,-4068.158,,79.189,,3.608,,3750.871,,942.018,,232.247,,-3671.682,,889.497,,1285.973,,218.322,,218.322,,37.451,,-396.477,
1991-03,1049.108,,6315.514,,-5266.406,,139.874,,90.774,,4979.377,,932.700,,240.729,,-4839.503,,909.233,,1336.137,,243.886,,243.886,,35.334,,-426.903,
1991-04,1041.695,,3038.069,,-1996.374,,134.929,,65.116,,1643.040,,932.700,,239.309,,-1508.111,,906.766,,1395.029,,293.482,,293.482,,38.444,,-488.263,
1991-05,1115.776,,2956.906,,-1841.129,,199.031,,128.828,,1535.830,,932.701,,226.303,,-1336.800,,916.746,,1421.075,,293.482,,293.482,,38.903,,-504.330,
1991-06,1292.677,,3014.353,,-1721.677,,404.210,,313.359,,1600.426,,929.512,,258.535,,-1196.215,,888.466,,1413.928,,293.482,,293.482,,36.451,,-525.461,
1991-07,1238.389,,3315.211,,-2076.822,,303.120,,198.068,,1788.269,,932.169,,265.492,,-1485.149,,935.269,,1526.943,,326.716,,326.716,,35.686,,-591.674,
1991-08,1061.391,,3253.102,,-2191.711,,128.320,,30.311,,1829.447,,932.169,,249.278,,-1701.127,,933.071,,1423.655,,275.586,,275.586,,37.617,,-490.585,
1991-09,1052.804,,3007.820,,-1955.017,,155.705,,-69.402,,1555.401,,932.169,,251.687,,-1399.696,,897.099,,1452.419,,301.151,,301.151,,35.058,,-555.320,
1991-10,1011.976,,3264.314,,-2252.338,,80.731,,6.677,,1762.509,,932.169,,262.952,,-1681.778,,931.245,,1501.805,,308.309,,308.309,,40.493,,-570.560,
1991-11,1060.832,,3029.846,,-1969.013,,141.397,,65.711,,1578.121,,932.169,,260.091,,-1436.724,,919.435,,1451.724,,282.744,,282.744,,40.589,,-532.289,
1991-12,1273.827,,4066.879,,-2793.052,,341.703,,212.188,,2559.046,,1601.812,,230.864,,-2217.343,,932.124,,1507.833,,282.744,,282.744,,46.855,,-575.709,
1992-01,1295.959,,3546.374,,-2250.415,,341.106,,146.349,,2064.734,,1139.928,,261.768,,-1723.628,,954.853,,1481.640,,257.691,,257.691,,41.712,,-526.787,
1992-02,856.129,,3675.552,,-2819.422,,-88.944,,-162.876,,2192.000,,1212.030,,255.556,,-2280.944,,945.073,,1483.552,,257.691,,257.691,,41.928,,-538.478,
1992-03,1178.358,,3393.087,,-2214.729,,225.418,,70.590,,1858.324,,1184.565,,256.059,,-1632.906,,952.940,,1534.763,,308.820,,308.820,,40.570,,-581.823,
1992-04,1218.335,,3477.193,,-2258.857,,253.389,,39.901,,1922.214,,1175.979,,255.285,,-1668.825,,964.946,,1554.979,,283.256,,283.256,,39.713,,-590.032,
1992-05,1298.455,,3019.893,,-1721.438,,314.819,,195.237,,1520.393,,871.349,,268.251,,-1205.574,,983.636,,1499.500,,257.691,,257.691,,42.274,,-515.864,
1992-06,1346.360,,3269.537,,-1923.177,,384.331,,272.699,,1749.153,,1112.381,,241.321,,-1364.822,,962.029,,1520.384,,283.256,,283.256,,38.218,,-558.355,
1992-07,1453.732,,3894.952,,-2441.220,,427.624,,276.042,,2230.880,,1112.381,,284.177,,-1803.256,,1026.108,,1664.072,,322.625,,322.625,,42.381,,-637.964,
1992-08,1362.349,,3367.664,,-2005.315,,183.102,,63.738,,1774.774,,1112.381,,259.454,,-1591.672,,1179.247,,1592.890,,297.061,,297.061,,41.341,,-413.643,
1992-09,1307.340,,3247.869,,-1940.530,,283.617,,159.631,,1662.840,,1112.381,,252.335,,-1379.223,,1023.722,,1585.029,,271.496,,271.496,,39.225,,-561.306,
1992-10,1166.902,,3575.029,,-2408.127,,107.656,,18.691,,1851.237,,1118.384,,271.360,,-1743.581,,1059.246,,1723.792,,322.625,,322.625,,46.383,,-664.545,
1992-11,1416.408,,2942.587,,-1526.179,,339.761,,123.745,,1353.157,,622.348,,262.119,,-1013.396,,1076.648,,1589.430,,220.367,,220.367,,45.766,,-512.782,
