"",BBSIS.M.I.UMR.RD.EUR.A.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.A.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.S122.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.S122.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.MFISX.B.X100.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.MFISX.B.X100.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.MFISX.B.A150.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.MFISX.B.A150.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.MFISP.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.MFISP.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.MFISX.B.X401.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.MFISX.B.X401.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.X2000.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.X2000.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.S13.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.S13.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.S1311.B.A604.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.S1311.B.A604.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.S1312.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.S1312.B.A.A.R.A.A._Z._Z.A_FLAGS
1956-03,6.2,,6.2,,6.0,,5.8,,7.3,,-,Nothing exists,,,-,Nothing exists,,,,
1956-04,6.2,,6.2,,6.1,,6.1,,7.3,,-,Nothing exists,,,-,Nothing exists,,,,
1956-05,6.2,,6.2,,6.1,,6.1,,7.4,,-,Nothing exists,,,6.4,,,,,
1956-06,6.3,,6.2,,6.2,,6.1,,7.5,,-,Nothing exists,,,6.8,,,,,
1956-07,6.3,,6.2,,6.2,,6.1,,7.5,,-,Nothing exists,,,6.8,,,,,
1956-08,6.4,,6.3,,6.2,,6.2,,8.2,,-,Nothing exists,,,6.8,,,,,
1956-09,6.5,,6.4,,6.3,,6.2,,8.4,,-,Nothing exists,,,7.0,,,,,
1956-10,6.5,,6.4,,6.3,,6.2,,8.3,,-,Nothing exists,,,7.0,,,,,
1956-11,6.6,,6.5,,6.4,,6.3,,8.4,,-,Nothing exists,,,7.2,,,,,
1956-12,6.7,,6.5,,6.4,,6.4,,8.7,,-,Nothing exists,,,7.3,,,,,
1957-01,6.8,,6.6,,6.5,,6.4,,8.6,,-,Nothing exists,8.1,,7.3,,,,,
1957-02,6.9,,6.6,,6.5,,6.5,,8.8,,-,Nothing exists,8.1,,7.4,,,,,
1957-03,7.0,,6.7,,6.6,,6.5,,8.6,,-,Nothing exists,8.1,,7.5,,,,,
1957-04,7.0,,6.8,,6.7,,6.6,,8.5,,-,Nothing exists,8.0,,7.4,,,,,
1957-05,7.0,,6.8,,6.8,,6.6,,8.4,,-,Nothing exists,8.0,,7.4,,,,,
1957-06,7.0,,6.8,,6.8,,6.6,,8.4,,-,Nothing exists,8.0,,7.4,,,,,
1957-07,7.0,,6.8,,6.8,,6.6,,8.4,,-,Nothing exists,7.9,,7.5,,,,,
1957-08,7.1,,6.9,,6.8,,6.7,,8.3,,-,Nothing exists,7.8,,7.6,,,,,
1957-09,7.1,,6.9,,6.9,,6.7,,8.2,,-,Nothing exists,7.7,,7.6,,,,,
1957-10,7.2,,6.9,,6.9,,6.7,,7.9,,-,Nothing exists,7.8,,7.7,,,,,
1957-11,7.2,,6.9,,6.9,,6.7,,7.9,,-,Nothing exists,7.8,,7.7,,,,,
1957-12,7.2,,6.9,,6.9,,6.8,,7.7,,-,Nothing exists,7.8,,7.7,,,,,
1958-01,7.1,,6.9,,6.9,,6.8,,7.8,,-,Nothing exists,7.6,,7.5,,,,,
1958-02,7.1,,6.9,,6.8,,6.9,,7.6,,-,Nothing exists,7.5,,7.5,,,,,
1958-03,7.1,,6.9,,6.8,,6.9,,7.4,,-,Nothing exists,7.3,,7.4,,,,,
1958-04,7.0,,6.9,,6.8,,6.8,,7.3,,-,Nothing exists,7.2,,7.4,,,,,
1958-05,7.0,,6.8,,6.8,,6.8,,7.2,,-,Nothing exists,7.2,,7.3,,,,,
1958-06,6.9,,6.7,,6.7,,6.8,,6.9,,-,Nothing exists,7.1,,7.1,,,,,
1958-07,6.5,,6.5,,6.4,,6.5,,6.6,,-,Nothing exists,6.7,,6.7,,,,,
1958-08,6.4,,6.3,,6.3,,6.3,,6.1,,-,Nothing exists,6.5,,6.5,,,,,
1958-09,6.2,,6.1,,6.0,,6.2,,6.0,,-,Nothing exists,6.3,,6.2,,,,,
1958-10,6.1,,6.1,,6.0,,6.1,,6.1,,-,Nothing exists,6.2,,6.0,,,,,
1958-11,6.0,,6.0,,6.0,,6.1,,6.0,,-,Nothing exists,6.0,,5.9,,,,,
1958-12,6.0,,6.0,,6.0,,6.1,,5.9,,-,Nothing exists,6.0,,5.9,,,,,
1959-01,5.8,,5.8,,5.8,,5.9,,5.6,,-,Nothing exists,5.7,,5.8,,,,,
1959-02,5.7,,5.8,,5.8,,5.8,,5.5,,-,Nothing exists,5.7,,5.6,,,,,
1959-03,5.7,,5.8,,5.8,,5.8,,5.6,,-,Nothing exists,5.8,,5.6,,,,,
1959-04,5.7,,5.8,,5.8,,5.8,,5.6,,-,Nothing exists,5.8,,5.6,,,,,
1959-05,5.8,,5.8,,5.8,,5.8,,5.7,,-,Nothing exists,5.9,,5.7,,,,,
1959-06,5.8,,5.8,,5.8,,5.8,,5.8,,-,Nothing exists,5.9,,5.7,,,,,
1959-07,5.7,,5.7,,5.8,,5.7,,5.6,,-,Nothing exists,5.7,,5.6,,,,,
1959-08,5.7,,5.7,,5.8,,5.7,,5.6,,-,Nothing exists,5.6,,5.5,,,,,
1959-09,5.8,,5.8,,5.8,,5.8,,5.7,,-,Nothing exists,5.8,,5.8,,,,,
1959-10,5.9,,5.9,,5.9,,5.9,,5.9,,-,Nothing exists,5.9,,6.0,,,,,
1959-11,5.9,,5.9,,5.9,,5.9,,5.8,,-,Nothing exists,5.9,,6.1,,,,,
1959-12,6.0,,5.9,,5.9,,6.0,,5.9,,-,Nothing exists,6.2,,6.2,,,,,
1960-01,6.2,,6.1,,6.0,,6.1,,6.2,,-,Nothing exists,6.5,,6.5,,,,,
1960-02,6.2,,6.2,,6.2,,6.2,,6.2,,-,Nothing exists,6.2,,6.4,,.,No value available,,
1960-03,6.2,,6.2,,6.2,,6.2,,6.2,,-,Nothing exists,6.1,,6.4,,6.30,,,
1960-04,6.2,,6.2,,6.2,,6.2,,6.2,,-,Nothing exists,6.0,,6.4,,6.30,,,
1960-05,6.2,,6.2,,6.2,,6.2,,6.1,,-,Nothing exists,6.2,,6.4,,6.40,,,
1960-06,6.4,,6.3,,6.3,,6.4,,6.3,,-,Nothing exists,6.5,,6.6,,6.50,,,
1960-07,6.6,,6.5,,6.5,,6.6,,6.4,,-,Nothing exists,6.5,,6.7,,6.50,,,
1960-08,6.5,,6.5,,6.5,,6.6,,6.3,,-,Nothing exists,6.2,,6.5,,6.40,,,
1960-09,6.4,,6.5,,6.4,,6.5,,6.4,,-,Nothing exists,6.3,,6.5,,6.40,,,
1960-10,6.4,,6.4,,6.4,,6.5,,6.2,,-,Nothing exists,6.1,,6.3,,6.20,,,
1960-11,6.2,,6.3,,6.3,,6.4,,6.2,,-,Nothing exists,6.0,,6.2,,6.00,,,
1960-12,6.2,,6.3,,6.2,,6.4,,6.2,,-,Nothing exists,6.1,,6.2,,6.00,,,
1961-01,6.1,,6.2,,6.2,,6.3,,6.1,,-,Nothing exists,5.8,,6.1,,6.00,,,
1961-02,6.1,,6.2,,6.2,,6.3,,6.2,,-,Nothing exists,5.7,,6.0,,5.90,,,
1961-03,6.0,,6.1,,6.1,,6.1,,6.1,,-,Nothing exists,5.8,,5.9,,5.80,,,
1961-04,5.8,,5.9,,5.9,,5.9,,5.9,,-,Nothing exists,5.7,,5.7,,5.60,,,
1961-05,5.7,,5.8,,5.8,,5.8,,5.7,,-,Nothing exists,5.6,,5.6,,5.50,,,
1961-06,5.7,,5.8,,5.8,,5.8,,5.7,,-,Nothing exists,5.6,,5.6,,5.60,,,
1961-07,5.8,,5.8,,5.8,,5.8,,5.8,,-,Nothing exists,5.8,,5.7,,5.70,,,
1961-08,5.9,,5.9,,5.9,,5.9,,5.9,,-,Nothing exists,6.0,,5.9,,5.90,,,
1961-09,6.0,,6.0,,6.0,,6.0,,6.1,,-,Nothing exists,6.3,,6.0,,6.00,,,
1961-10,6.0,,6.0,,6.0,,6.0,,6.0,,-,Nothing exists,6.1,,6.0,,6.00,,,
1961-11,6.0,,6.0,,6.0,,6.0,,6.0,,-,Nothing exists,6.1,,6.0,,6.00,,,
1961-12,6.0,,6.0,,6.0,,6.0,,6.1,,-,Nothing exists,6.2,,6.0,,6.00,,,
1962-01,5.9,,6.0,,6.0,,6.0,,6.0,,-,Nothing exists,5.9,,5.9,,5.90,,,
1962-02,5.9,,6.0,,6.0,,6.0,,5.9,,-,Nothing exists,5.8,,5.7,,5.80,,,
1962-03,5.8,,5.9,,5.9,,6.0,,5.9,,-,Nothing exists,5.7,,5.6,,5.70,,,
1962-04,5.8,,5.9,,5.9,,5.9,,5.8,,-,Nothing exists,5.7,,5.6,,5.60,,,
1962-05,5.9,,5.9,,5.9,,6.0,,5.9,,-,Nothing exists,5.8,,5.8,,5.80,,,
1962-06,6.0,,6.0,,6.0,,6.1,,6.0,,-,Nothing exists,6.1,,5.9,,6.00,,,
1962-07,6.0,,6.0,,6.0,,6.1,,6.0,,-,Nothing exists,6.0,,5.9,,6.10,,,
1962-08,6.1,,6.1,,6.1,,6.1,,6.1,,-,Nothing exists,6.1,,6.0,,6.10,,,
1962-09,6.1,,6.1,,6.1,,6.1,,6.1,,-,Nothing exists,6.1,,6.0,,6.10,,,
1962-10,6.2,,6.1,,6.1,,6.2,,6.2,,-,Nothing exists,6.3,,6.2,,6.10,,,
1962-11,6.2,,6.2,,6.2,,6.2,,6.2,,-,Nothing exists,6.4,,6.2,,6.10,,,
1962-12,6.2,,6.2,,6.2,,6.2,,6.1,,-,Nothing exists,6.3,,6.1,,6.10,,,
1963-01,6.1,,6.1,,6.1,,6.1,,6.1,,-,Nothing exists,6.1,,6.0,,6.10,,,
1963-02,6.1,,6.1,,6.1,,6.1,,6.0,,-,Nothing exists,6.0,,6.0,,6.00,,,
1963-03,6.1,,6.1,,6.1,,6.1,,6.0,,-,Nothing exists,6.0,,6.0,,6.00,,,
1963-04,6.1,,6.1,,6.1,,6.1,,6.0,,-,Nothing exists,6.0,,6.0,,6.00,,,
1963-05,6.1,,6.1,,6.1,,6.1,,6.1,,-,Nothing exists,6.1,,6.1,,6.00,,,
1963-06,6.1,,6.1,,6.1,,6.2,,6.1,,-,Nothing exists,6.1,,6.1,,6.00,,,
1963-07,6.1,,6.2,,6.1,,6.2,,6.1,,-,Nothing exists,6.1,,6.1,,6.00,,,
1963-08,6.1,,6.2,,6.1,,6.2,,6.0,,-,Nothing exists,6.1,,6.1,,6.00,,,
1963-09,6.1,,6.2,,6.2,,6.2,,6.1,,-,Nothing exists,6.0,,6.1,,6.00,,,
1963-10,6.1,,6.2,,6.2,,6.2,,6.1,,-,Nothing exists,5.9,,6.1,,6.00,,,
1963-11,6.1,,6.2,,6.2,,6.2,,6.1,,-,Nothing exists,5.9,,6.0,,6.00,,,
1963-12,6.1,,6.1,,6.1,,6.2,,6.1,,-,Nothing exists,6.0,,6.0,,6.00,,,
1964-01,6.0,,6.1,,6.1,,6.1,,6.0,,-,Nothing exists,5.9,,5.9,,5.90,,,
1964-02,6.0,,6.0,,6.0,,6.1,,6.0,,-,Nothing exists,5.9,,5.9,,5.80,,,
1964-03,6.0,,6.1,,6.0,,6.1,,6.0,,-,Nothing exists,6.0,,6.0,,5.90,,,
1964-04,6.1,,6.1,,6.1,,6.1,,6.1,,-,Nothing exists,6.2,,6.2,,6.10,,,
1964-05,6.2,,6.1,,6.1,,6.1,,6.1,,-,Nothing exists,6.3,,6.3,,6.20,,,
1964-06,6.2,,6.2,,6.2,,6.2,,6.2,,-,Nothing exists,6.4,,6.3,,6.30,,,
1964-07,6.3,,6.2,,6.2,,6.2,,6.2,,-,Nothing exists,6.3,,6.3,,6.30,,,
1964-08,6.3,,6.2,,6.2,,6.2,,6.2,,-,Nothing exists,6.3,,6.3,,6.30,,,
1964-09,6.3,,6.3,,6.2,,6.3,,6.2,,-,Nothing exists,6.3,,6.4,,6.30,,,
1964-10,6.3,,6.3,,6.3,,6.3,,6.2,,-,Nothing exists,6.3,,6.4,,6.30,,,
1964-11,6.3,,6.3,,6.3,,6.3,,6.2,,-,Nothing exists,6.3,,6.4,,6.30,,,
1964-12,6.3,,6.3,,6.3,,6.3,,6.2,,-,Nothing exists,6.3,,6.4,,6.40,,,
1965-01,6.3,,6.3,,6.3,,6.3,,6.2,,-,Nothing exists,6.3,,6.4,,6.40,,,
1965-02,6.4,,6.3,,6.3,,6.3,,6.3,,-,Nothing exists,6.4,,6.5,,6.50,,,
1965-03,6.4,,6.4,,6.4,,6.4,,6.3,,-,Nothing exists,6.5,,6.5,,6.50,,,
1965-04,6.5,,6.4,,6.4,,6.4,,6.3,,-,Nothing exists,6.6,,6.6,,6.60,,,
1965-05,6.7,,6.6,,6.6,,6.6,,6.5,,-,Nothing exists,6.9,,6.9,,6.90,,,
1965-06,6.8,,6.7,,6.7,,6.7,,6.7,,-,Nothing exists,7.0,,7.1,,7.00,,,
1965-07,6.9,,6.8,,6.8,,6.8,,6.7,,-,Nothing exists,7.1,,7.2,,7.10,,,
1965-08,7.0,,6.9,,6.9,,6.9,,6.8,,-,Nothing exists,7.2,,7.3,,7.20,,,
1965-09,7.1,,7.0,,7.0,,7.0,,6.9,,-,Nothing exists,7.3,,7.4,,7.30,,,
1965-10,7.2,,7.1,,7.1,,7.1,,6.9,,-,Nothing exists,7.3,,7.5,,7.40,,,
1965-11,7.3,,7.1,,7.1,,7.2,,7.0,,-,Nothing exists,7.4,,7.5,,7.40,,,
1965-12,7.4,,7.2,,7.2,,7.2,,7.0,,-,Nothing exists,7.6,,7.7,,7.60,,,
1966-01,7.3,,7.2,,7.2,,7.2,,7.0,,-,Nothing exists,7.5,,7.6,,7.50,,,
1966-02,7.3,,7.2,,7.2,,7.2,,7.0,,-,Nothing exists,7.5,,7.6,,7.50,,,
1966-03,7.4,,7.3,,7.4,,7.2,,7.1,,-,Nothing exists,7.6,,7.7,,7.70,,,
1966-04,7.6,,7.3,,7.4,,7.4,,7.2,,-,Nothing exists,7.9,,8.0,,8.00,,,
1966-05,7.7,,7.5,,7.6,,7.5,,7.3,,-,Nothing exists,8.0,,8.2,,8.00,,,
1966-06,7.9,,7.7,,7.7,,7.7,,7.5,,-,Nothing exists,8.2,,8.4,,8.20,,,
1966-07,8.1,,7.9,,8.0,,8.0,,7.7,,-,Nothing exists,8.3,,8.6,,8.30,,,
1966-08,8.1,,8.0,,8.0,,8.0,,7.7,,-,Nothing exists,8.2,,8.6,,8.30,,,
1966-09,8.1,,8.0,,8.0,,8.0,,7.7,,-,Nothing exists,8.2,,8.5,,8.20,,,
1966-10,8.0,,7.8,,7.8,,7.9,,7.6,,-,Nothing exists,8.1,,8.4,,8.00,,,
1966-11,7.9,,7.8,,7.9,,7.9,,7.5,,-,Nothing exists,8.1,,8.2,,7.90,,,
1966-12,7.6,,7.5,,7.5,,7.6,,7.4,,-,Nothing exists,7.8,,7.7,,7.60,,,
1967-01,7.4,,7.3,,7.3,,7.3,,7.4,,-,Nothing exists,7.6,,7.5,,7.40,,,
1967-02,7.3,,7.2,,7.2,,7.3,,7.3,,-,Nothing exists,7.5,,7.4,,7.30,,,
1967-03,7.2,,7.1,,7.1,,7.2,,7.2,,-,Nothing exists,7.4,,7.2,,7.10,,,
1967-04,6.9,,6.8,,6.8,,6.9,,6.9,,-,Nothing exists,7.1,,6.9,,6.80,,,
1967-05,6.8,,6.8,,6.8,,6.8,,6.8,,-,Nothing exists,7.1,,6.9,,6.80,,,
1967-06,6.9,,6.8,,6.8,,6.9,,6.9,,-,Nothing exists,7.1,,6.9,,6.80,,,
1967-07,6.9,,6.9,,6.9,,6.9,,6.9,,6.7,,7.1,,6.9,,6.80,,,
1967-08,6.9,,7.0,,7.0,,7.0,,6.9,,6.6,,7.1,,6.8,,6.70,,,
1967-09,6.9,,7.0,,7.0,,7.0,,6.9,,6.6,,7.0,,6.7,,6.60,,,
1967-10,6.9,,7.0,,7.0,,7.0,,6.9,,6.6,,7.1,,6.7,,6.60,,,
1967-11,7.0,,7.0,,7.1,,7.1,,6.9,,6.6,,7.1,,6.8,,6.60,,,
1967-12,7.0,,7.0,,7.1,,7.1,,6.9,,6.5,,7.1,,6.8,,6.60,,,
1968-01,6.9,,7.0,,7.1,,7.1,,6.8,,6.4,,7.0,,6.7,,6.60,,,
1968-02,7.0,,7.0,,7.1,,7.1,,6.8,,6.4,,7.0,,6.7,,6.60,,,
1968-03,7.0,,7.0,,7.1,,7.1,,6.8,,6.4,,6.9,,6.7,,6.60,,,
1968-04,6.9,,7.0,,7.0,,7.0,,6.8,,6.4,,6.9,,6.6,,6.50,,,
1968-05,6.7,,6.8,,6.9,,6.9,,6.6,,6.3,,6.7,,6.4,,6.30,,,
1968-06,6.7,,6.8,,6.8,,6.9,,6.6,,6.3,,6.7,,6.4,,6.30,,,
1968-07,6.7,,6.8,,6.8,,6.8,,6.6,,6.2,,6.6,,6.4,,6.30,,,
1968-08,6.6,,6.7,,6.7,,6.7,,6.5,,6.2,,6.5,,6.3,,6.30,,,
1968-09,6.5,,6.6,,6.6,,6.7,,6.5,,6.2,,6.5,,6.3,,6.20,,,
1968-10,6.5,,6.6,,6.6,,6.7,,6.5,,6.2,,6.5,,6.3,,6.20,,,
1968-11,6.6,,6.6,,6.7,,6.7,,6.5,,6.2,,6.6,,6.3,,6.20,,,
1968-12,6.5,,6.6,,6.7,,6.7,,6.5,,6.2,,6.5,,6.3,,6.20,,,
1969-01,6.5,,6.6,,6.6,,6.6,,6.4,,6.1,,6.5,,6.3,,6.20,,,
1969-02,6.5,,6.6,,6.6,,6.6,,6.4,,6.1,,6.5,,6.3,,6.20,,,
1969-03,6.6,,6.7,,6.7,,6.7,,6.5,,6.2,,6.7,,6.4,,6.30,,,
1969-04,6.7,,6.8,,6.8,,6.8,,6.6,,6.3,,6.8,,6.5,,6.40,,,
1969-05,6.8,,6.9,,6.9,,6.9,,6.7,,6.4,,6.7,,6.5,,6.40,,,
1969-06,6.9,,7.0,,7.0,,7.0,,6.8,,6.6,,7.0,,6.7,,6.60,,,
1969-07,7.1,,7.1,,7.2,,7.1,,7.0,,6.9,,7.2,,6.9,,6.90,,,
1969-08,7.1,,7.2,,7.2,,7.2,,7.1,,7.1,,7.1,,6.9,,6.90,,,
1969-09,7.2,,7.2,,7.3,,7.2,,7.2,,7.2,,7.3,,7.2,,7.10,,,
1969-10,7.3,,7.3,,7.3,,7.3,,7.3,,7.4,,7.4,,7.4,,7.30,,,
1969-11,7.3,,7.3,,7.3,,7.3,,7.3,,7.3,,7.4,,7.4,,7.30,,,
1969-12,7.4,,7.3,,7.3,,7.3,,7.5,,7.5,,7.8,,7.6,,7.60,,,
1970-01,7.5,,7.4,,7.4,,7.4,,7.6,,7.6,,7.8,,7.6,,7.60,,,
1970-02,7.6,,7.5,,7.5,,7.5,,7.7,,7.7,,7.8,,7.8,,7.70,,,
1970-03,7.9,,7.8,,7.8,,7.8,,7.9,,8.0,,8.2,,8.1,,8.10,,,
1970-04,8.0,,7.9,,7.9,,7.9,,8.0,,8.2,,8.2,,8.1,,8.10,,,
1970-05,8.2,,8.1,,8.1,,8.1,,8.1,,8.4,,8.7,,8.4,,8.40,,,
1970-06,8.6,,8.5,,8.5,,8.5,,8.4,,8.8,,9.0,,8.7,,8.70,,,
1970-07,8.6,,8.5,,8.5,,8.5,,8.5,,8.9,,8.8,,8.7,,8.60,,,
1970-08,8.4,,8.4,,8.4,,8.4,,8.4,,8.7,,8.5,,8.4,,8.40,,,
1970-09,8.4,,8.4,,8.4,,8.4,,8.4,,8.6,,8.6,,8.5,,8.40,,,
1970-10,8.5,,8.5,,8.5,,8.4,,8.6,,8.8,,8.9,,8.7,,8.60,,,
1970-11,8.6,,8.5,,8.5,,8.5,,8.6,,8.9,,8.9,,8.6,,8.60,,,
1970-12,8.3,,8.3,,8.3,comment,8.3,,8.3,,8.4,,8.4,,8.2,,8.20,,,
1971-01,7.9,,7.9,,7.9,,7.9,,7.8,,7.9,,7.8,,7.7,,7.70,,,
1971-02,7.9,,7.9,,8.0,,7.9,,7.8,,7.9,,7.8,,7.7,,7.70,,,
1971-03,8.0,,8.0,,8.1,,8.0,,7.9,,7.9,,8.0,,7.9,,7.90,,,
1971-04,8.0,,8.1,,8.1,,8.1,,7.9,,8.0,,8.0,,7.9,,7.90,,,
1971-05,8.1,,8.2,,8.2,,8.1,,8.0,,8.0,,8.1,,8.0,,8.00,,,
1971-06,8.3,,8.3,,8.4,,8.3,,8.2,,8.2,,8.3,,8.2,,8.10,,,
1971-07,8.5,,8.5,,8.6,,8.5,,8.3,,8.5,,8.5,,8.3,,8.30,,,
1971-08,8.5,,8.6,,8.6,,8.5,,8.3,,8.5,,8.5,,8.3,,8.20,,,
1971-09,8.4,,8.5,,8.6,,8.5,,8.2,,8.4,,8.3,,8.1,,8.00,,,
1971-10,8.3,,8.3,,8.4,,8.3,,8.1,,8.2,,8.2,,8.0,,7.90,,,
1971-11,8.2,,8.2,,8.3,,8.2,,8.0,,8.1,,8.2,,7.9,,7.90,,,
1971-12,8.1,,8.2,,8.2,,8.1,,8.0,,8.0,,8.2,,7.9,,7.90,,,
1972-01,7.9,,7.9,,8.0,,7.9,,7.8,,7.7,,7.9,,7.6,,7.50,,,
1972-02,7.7,,7.9,,7.9,,7.9,,7.6,,7.4,,7.6,,7.3,,7.30,,,
1972-03,7.8,,7.9,,8.0,,7.9,,7.6,,7.4,,7.7,,7.4,,7.40,,,
1972-04,8.0,,8.1,,8.2,,8.1,,7.8,,7.8,,7.9,,7.7,,7.70,,,
1972-05,8.2,,8.3,,8.4,,8.3,,7.9,,8.0,,8.1,,7.8,,7.80,,,
1972-06,8.3,,8.4,,8.4,,8.3,,8.0,,8.1,,8.2,,7.9,,7.90,,,
1972-07,8.4,,8.5,,8.5,,8.4,,8.1,,8.2,,8.2,,8.0,,8.00,,,
1972-08,8.3,,8.4,,8.5,,8.4,,8.0,,8.2,,8.0,,7.9,,7.90,,,
1972-09,8.3,,8.4,,8.5,,8.4,,8.0,,8.2,,8.0,,7.9,,7.80,,,
1972-10,8.4,,8.4,,8.5,,8.4,,8.1,,8.3,,8.2,,8.0,,8.10,,,
1972-11,8.6,,8.6,,8.7,,8.6,,8.4,,8.6,,8.5,,8.4,,8.40,,,
1972-12,8.7,,8.7,,8.7,comment,8.6,,8.5,,8.8,,8.7,,8.6,,8.60,comment,,
1973-01,8.6,,8.5,,8.7,,8.6,,8.6,,8.7,,8.9,,8.6,,8.60,,,
1973-02,8.6,,8.7,,8.8,,8.7,,8.6,,8.8,,8.8,,8.5,,8.50,,,
