"",BBDP1.M.DE.Y.EPG.G.GP09SA000000.I15.A,BBDP1.M.DE.Y.EPG.G.GP09SA000000.I15.A_FLAGS,BBDP1.M.DE.Y.EPG.G.GP09SA001500.I15.A,BBDP1.M.DE.Y.EPG.G.GP09SA001500.I15.A_FLAGS,BBDP1.M.DE.Y.EPL.L.L1A00000000.I15.A,BBDP1.M.DE.Y.EPL.L.L1A00000000.I15.A_FLAGS
1974-06,,,,,80.4,
1974-07,,,,,79.3,
1974-08,,,,,79.6,
1974-09,,,,,82.4,
1974-10,,,,,83.1,
1974-11,,,,,84.3,
1974-12,,,,,82.7,
1975-01,,,,,82.7,
1975-02,,,,,83.8,
1975-03,,,,,85.5,
1975-04,,,,,87.6,
1975-05,,,,,89.0,
1975-06,,,,,89.7,
1975-07,,,,,91.7,
1975-08,,,,,94.1,
1975-09,,,,,95.3,
1975-10,,,,,96.2,
1975-11,,,,,98.3,
1975-12,,,,,99.1,
1976-01,,,,,101.9,
1976-02,,,,,103.0,
1976-03,,,,,104.7,
1976-04,,,,,104.6,
1976-05,,,,,101.6,
1976-06,,,,,100.2,
1976-07,,,,,99.9,
1976-08,,,,,106.5,
1976-09,,,,,104.6,
1976-10,,,,,103.5,
1976-11,,,,,102.6,
1976-12,,,,,101.7,
1977-01,,,,,102.1,
1977-02,,,,,102.8,
1977-03,,,,,102.4,
1977-04,,,,,102.6,
1977-05,,,,,102.4,
1977-06,,,,,103.1,
1977-07,,,,,104.1,
1977-08,,,,,105.1,
1977-09,,,,,104.1,
1977-10,,,,,102.6,
1977-11,,,,,102.2,
1977-12,,,,,102.8,
1978-01,,,,,101.6,
1978-02,,,,,101.3,
1978-03,,,,,100.0,
1978-04,,,,,98.1,
1978-05,,,,,98.5,
1978-06,,,,,96.8,
1978-07,,,,,98.0,
1978-08,,,,,98.3,
1978-09,,,,,98.2,
1978-10,,,,,97.2,
1978-11,,,,,97.1,
1978-12,,,,,96.6,
1979-01,,,,,97.3,
1979-02,,,,,97.8,
1979-03,,,,,98.5,
1979-04,,,,,98.7,
1979-05,,,,,98.9,
1979-06,,,,,99.2,
1979-07,,,,,100.1,
1979-08,,,,,101.1,
1979-09,,,,,102.1,
1979-10,,,,,102.2,
1979-11,,,,,102.5,
1979-12,,,,,102.7,
1980-01,,,,,102.9,
1980-02,,,,,102.9,
1980-03,,,,,102.3,
1980-04,,,,,101.0,
1980-05,,,,,100.9,
1980-06,,,,,100.4,
1980-07,,,,,100.6,
1980-08,,,,,100.1,
1980-09,,,,,100.8,
1980-10,,,,,101.5,
1980-11,,,,,102.8,
1980-12,,,,,103.4,
1981-01,,,,,103.3,
1981-02,,,,,103.4,
1981-03,,,,,104.2,
1981-04,,,,,104.9,
1981-05,,,,,105.3,
1981-06,,,,,105.1,
1981-07,,,,,107.1,
1981-08,,,,,108.4,
1981-09,,,,,111.8,
1981-10,,,,,112.9,
1981-11,,,,,114.0,
1981-12,,,,,113.9,
1982-01,,,,,114.2,
1982-02,,,,,112.2,
1982-03,,,,,112.0,
1982-04,,,,,112.3,
1982-05,,,,,113.7,
1982-06,,,,,113.3,
1982-07,,,,,113.7,
1982-08,,,,,115.3,
1982-09,,,,,114.1,
1982-10,,,,,113.4,
1982-11,,,,,113.2,
1982-12,,,,,113.1,
1983-01,,,,,111.1,
1983-02,,,,,110.2,
1983-03,,,,,109.8,
1983-04,,,,,108.8,
1983-05,,,,,108.6,
1983-06,,,,,109.0,
1983-07,,,,,108.8,
1983-08,,,,,111.5,
1983-09,,,,,112.6,
1983-10,,,,,112.5,
1983-11,,,,,111.9,
1983-12,,,,,111.3,
1984-01,,,,,109.7,
1984-02,,,,,112.8,
1984-03,,,,,113.8,
1984-04,,,,,112.5,
1984-05,,,,,110.5,
1984-06,,,,,112.3,
1984-07,,,,,111.0,
1984-08,,,,,109.9,
1984-09,,,,,110.0,
1984-10,,,,,109.0,
1984-11,,,,,107.6,
1984-12,,,,,106.5,
1985-01,,,,,106.1,
1985-02,,,,,105.4,
1985-03,,,,,105.0,
1985-04,,,,,104.8,
1985-05,,,,,105.2,
1985-06,,,,,104.6,
1985-07,,,,,105.3,
1985-08,,,,,105.3,
1985-09,,,,,104.4,
1985-10,,,,,102.9,
1985-11,,,,,103.9,
1985-12,,,,,103.4,
1986-01,,,,,102.2,
1986-02,,,,,101.7,
1986-03,,,,,100.2,
1986-04,,,,,98.8,
1986-05,,,,,98.3,
1986-06,,,,,98.9,
1986-07,,,,,99.4,
1986-08,,,,,99.5,
1986-09,,,,,99.7,
1986-10,,,,,98.5,
1986-11,,,,,97.3,
1986-12,,,,,95.5,
1987-01,,,,,94.8,
1987-02,,,,,95.6,
1987-03,,,,,96.2,
1987-04,,,,,96.7,
1987-05,,,,,95.4,
1987-06,,,,,94.9,
1987-07,,,,,94.3,
1987-08,,,,,96.2,
1987-09,,,,,96.1,
1987-10,,,,,96.6,
1987-11,,,,,97.2,
1987-12,,,,,97.3,
1988-01,,,,,96.6,
1988-02,,,,,95.4,
1988-03,,,,,95.0,
1988-04,,,,,93.8,
1988-05,,,,,93.1,
1988-06,,,,,93.8,
1988-07,,,,,95.0,
1988-08,,,,,95.6,
1988-09,,,,,97.4,
1988-10,,,,,99.1,
1988-11,,,,,100.0,
1988-12,,,,,100.6,
1989-01,,,,,100.5,
1989-02,,,,,101.1,
1989-03,,,,,101.3,
1989-04,,,,,101.4,
1989-05,,,,,101.7,
1989-06,,,,,103.8,
1989-07,,,,,106.0,
1989-08,,,,,109.2,
1989-09,,,,,110.2,
1989-10,,,,,108.2,
1989-11,,,,,106.3,
1989-12,,,,,105.0,
1990-01,,,,,101.1,
1990-02,,,,,101.0,
1990-03,,,,,100.9,
1990-04,,,,,101.5,
1990-05,,,,,101.9,
1990-06,,,,,101.7,
1990-07,,,,,102.2,
1990-08,,,,,99.4,
1990-09,,,,,98.0,
1990-10,,,,,95.9,
1990-11,,,,,95.9,
1990-12,,,,,96.1,
1991-01,74.7,,,,96.0,
1991-02,74.8,,,,98.1,
1991-03,74.7,,,,97.2,
1991-04,75.3,,,,97.3,
1991-05,75.4,,,,98.7,
1991-06,75.5,,,,98.1,
1991-07,76.0,,,,98.7,
1991-08,76.1,,,,99.1,
1991-09,76.3,,,,100.3,
1991-10,76.2,,,,100.7,
1991-11,76.3,,,,102.0,
1991-12,76.3,,,,102.3,
1992-01,75.9,,,,103.0,
1992-02,76.3,,,,102.6,
1992-03,76.5,,,,101.6,
1992-04,76.8,,,,101.3,
1992-05,76.7,,,,101.5,
1992-06,77.0,,,,100.3,
1992-07,76.8,,,,98.6,
1992-08,76.8,,,,97.2,
1992-09,76.7,,,,96.2,
1992-10,76.6,,,,95.2,
1992-11,76.7,,,,94.6,
1992-12,76.7,,,,91.8,
1993-01,76.6,,,,91.8,
1993-02,76.8,,,,91.6,
1993-03,76.8,,,,92.5,
1993-04,76.6,,,,91.0,
1993-05,76.6,,,,89.8,
1993-06,76.6,,,,90.2,
1993-07,76.7,,,,90.4,
1993-08,76.7,,,,88.7,
1993-09,76.4,,,,87.3,
1993-10,76.4,,,,86.7,
1993-11,76.5,,,,89.0,
1993-12,76.6,,,,90.0,
1994-01,76.7,,,,88.7,
1994-02,76.8,,,,89.0,
1994-03,76.9,,,,89.0,
1994-04,76.8,,,,88.8,
1994-05,76.9,,,,89.8,
1994-06,76.9,,,,89.2,
1994-07,76.9,,,,88.8,
1994-08,77.0,,,,90.8,
1994-09,76.9,,,,91.0,
1994-10,77.1,,,,91.5,
1994-11,77.5,,,,91.0,
1994-12,77.7,,,,90.7,
1995-01,78.0,,83.8,,92.1,
1995-02,78.3,,84.0,,93.1,
1995-03,78.5,,84.2,,92.3,
1995-04,78.3,,84.2,,92.2,
1995-05,78.3,,84.2,,91.1,
1995-06,78.4,,84.3,,90.3,
1995-07,78.3,,84.3,,87.1,
1995-08,78.3,,84.5,,88.1,
1995-09,78.4,,84.6,,89.2,
1995-10,78.4,,84.6,,89.3,
1995-11,78.4,,84.5,,89.6,
1995-12,78.6,,84.5,,90.0,
1996-01,77.4,,84.4,,89.2,
1996-02,77.4,,84.2,,89.0,
1996-03,77.3,,84.2,,89.4,
1996-04,77.2,,84.1,,89.7,
1996-05,77.3,,84.2,,90.9,
1996-06,77.2,,84.2,,89.8,
1996-07,77.1,,84.0,,91.5,
1996-08,77.1,,84.0,,91.2,
1996-09,77.4,,84.1,,89.6,
1996-10,77.7,,84.2,,88.6,
1996-11,77.8,,84.2,,86.9,
1996-12,77.9,,84.3,,87.2,
1997-01,77.9,,84.2,,87.5,
1997-02,78.0,,84.2,,87.0,
1997-03,77.9,,84.2,,87.3,
1997-04,78.0,,84.3,,90.2,
1997-05,78.2,,84.6,,91.5,
1997-06,78.2,,84.6,,89.5,
1997-07,78.3,,84.8,,89.3,
1997-08,78.6,,84.9,,90.5,
1997-09,78.6,,85.0,,92.0,
1997-10,78.6,,85.1,,91.1,
1997-11,78.6,,85.1,,91.5,
1997-12,78.7,,85.2,,91.0,
1998-01,78.5,,85.1,,92.7,
1998-02,78.5,,85.2,,89.8,
1998-03,78.6,,85.2,,88.4,
1998-04,78.3,,85.0,,87.9,
1998-05,78.3,,85.0,,85.9,
1998-06,78.2,,85.0,,85.5,
1998-07,78.1,,85.0,,86.3,
1998-08,78.0,,85.0,,86.1,
1998-09,77.9,,84.9,,85.5,
1998-10,77.5,,84.7,,84.2,
1998-11,77.1,,84.5,,83.2,
1998-12,77.1,,84.5,,85.7,
1999-01,76.7,,84.2,,83.1,
1999-02,76.6,,84.1,,82.4,
1999-03,76.6,,84.0,,82.1,
1999-04,76.9,,84.0,,81.7,
1999-05,76.8,,83.9,,81.8,
1999-06,77.0,,84.0,,82.4,
1999-07,77.3,,84.2,,82.0,
1999-08,77.4,,84.2,,82.2,
1999-09,77.5,,84.3,,81.5,
1999-10,77.7,,84.5,,81.5,
1999-11,77.8,,84.7,,82.0,
1999-12,77.9,,84.6,,82.2,
2000-01,78.3,,84.9,,81.7,
2000-02,78.1,,85.0,,82.3,
2000-03,78.2,,85.0,,83.4,
2000-04,78.4,,85.3,,83.7,
2000-05,78.7,,85.5,,84.3,
2000-06,79.0,,85.6,,85.5,
2000-07,79.6,,85.8,,86.6,
2000-08,79.9,,86.0,,86.4,
2000-09,80.6,,86.2,,86.2,
2000-10,80.9,,86.2,,88.4,
2000-11,81.4,,86.5,,88.7,
2000-12,81.4,,86.6,,88.1,
2001-01,81.6,,86.8,,87.2,
2001-02,81.6,,86.8,,88.1,
2001-03,81.8,,87.0,,91.4,
2001-04,82.2,,87.1,,92.8,
2001-05,82.4,,87.1,,93.3,
2001-06,82.4,,87.1,,90.2,
2001-07,82.0,,87.0,,91.4,
2001-08,82.1,,87.2,,92.4,
2001-09,82.2,,87.1,,92.0,
2001-10,81.4,,87.0,,91.7,
2001-11,81.4,,87.0,,90.3,
2001-12,81.4,,86.9,,89.7,
2002-01,81.4,,87.1,,89.3,
2002-02,81.3,,86.9,,89.1,
2002-03,81.6,,87.1,,89.1,
2002-04,81.3,,87.1,,86.5,
2002-05,81.3,,87.1,,85.7,
2002-06,81.3,,87.2,,84.0,
2002-07,81.2,,87.3,,85.3,
2002-08,81.2,,87.3,,84.1,
2002-09,81.3,,87.3,,84.5,
2002-10,81.5,,87.3,,84.8,
2002-11,81.5,,87.3,,84.6,
2002-12,81.9,,87.4,,83.9,
2003-01,82.7,,87.5,,85.1,
2003-02,82.9,,87.5,,85.3,
2003-03,83.0,,87.5,,83.3,
2003-04,82.6,,87.4,,84.4,
2003-05,82.5,,87.4,,83.4,
2003-06,82.4,,87.3,,85.7,
2003-07,82.6,,87.3,,83.9,
2003-08,82.8,,87.3,,85.3,
2003-09,82.9,,87.4,,88.8,
2003-10,82.9,,87.4,,88.4,
2003-11,83.2,,87.6,,89.0,
2003-12,83.4,,87.6,,87.7,
2004-01,82.7,,87.4,,88.5,
2004-02,82.8,,87.6,,88.7,
2004-03,83.1,,88.0,,88.4,
2004-04,83.4,,88.3,,88.6,
2004-05,83.8,,88.4,,88.6,
2004-06,83.7,,88.5,,90.7,
2004-07,84.2,,88.9,,89.9,
2004-08,84.6,,89.0,,84.5,
2004-09,84.7,,89.2,,83.8,
2004-10,85.6,,89.4,,83.1,
2004-11,85.5,,89.6,,83.4,
2004-12,85.8,,90.0,,83.9,
2005-01,86.2,,90.3,,83.8,
2005-02,86.4,,90.4,,83.5,
2005-03,86.7,,90.4,,83.9,
2005-04,87.1,,90.1,,83.6,
2005-05,87.0,,90.0,,83.6,
2005-06,87.4,,90.0,,83.4,
2005-07,87.9,,89.9,,82.0,
2005-08,88.3,,89.9,,82.5,
2005-09,88.6,,90.1,,82.5,
2005-10,89.1,,90.4,,82.8,
2005-11,89.3,,90.5,,83.7,
2005-12,89.8,,90.7,,84.8,
2006-01,91.0,,90.8,,85.2,
2006-02,91.5,,91.0,,85.4,
2006-03,91.7,,91.0,,86.8,
2006-04,92.4,,91.5,,88.9,
2006-05,92.5,,91.7,,89.6,
2006-06,92.5,,91.7,,89.9,
2006-07,93.0,,92.2,,89.4,
2006-08,93.5,,92.4,,91.5,
2006-09,93.1,,92.4,,90.7,
2006-10,93.1,,92.9,,90.0,
2006-11,93.3,,93.0,,91.5,
2006-12,93.6,,93.3,,92.0,
2007-01,93.4,,93.4,,92.1,
2007-02,93.4,,93.4,,92.4,
2007-03,93.2,,93.4,,92.6,
2007-04,93.1,,93.7,,92.7,
2007-05,93.6,,93.9,,93.2,
2007-06,93.6,,94.0,,94.4,
2007-07,93.5,,94.1,,99.2,
2007-08,93.6,,94.3,,102.7,
2007-09,93.7,,94.2,,107.7,
2007-10,94.2,,94.7,,110.6,
2007-11,95.3,,94.8,,110.6,
2007-12,95.4,,94.8,,111.6,
2008-01,95.9,,95.0,,112.7,
2008-02,96.4,,95.4,,112.1,
2008-03,96.7,,95.7,,112.8,
2008-04,97.5,,95.9,,108.9,
2008-05,98.5,,96.3,,108.2,
2008-06,99.4,,96.5,,108.5,
2008-07,101.1,,97.0,,108.9,
2008-08,100.8,,97.2,,105.5,
2008-09,101.1,,97.0,,102.0,
2008-10,101.1,,96.9,,98.3,
2008-11,99.7,,96.3,,93.7,
2008-12,99.3,,95.9,,91.2,
2009-01,97.7,,95.2,,89.4,
2009-02,97.1,,94.8,,88.7,
2009-03,96.4,,94.3,,86.8,
2009-04,94.8,,94.1,,85.7,
2009-05,94.9,,93.9,,85.3,
2009-06,94.7,,93.8,,85.5,
2009-07,93.4,,93.7,,84.4,
2009-08,93.8,,94.0,,83.0,
2009-09,93.5,,93.9,,81.4,
2009-10,93.5,,93.9,,81.9,
2009-11,93.9,,94.1,,84.1,
2009-12,94.0,,94.1,,85.3,
2010-01,94.3,,94.2,,86.9,
2010-02,94.2,,94.4,,86.8,
2010-03,94.6,,94.5,,88.1,
2010-04,95.4,,95.1,,87.7,
2010-05,95.9,,95.7,,90.0,
2010-06,96.4,,95.9,,91.4,
2010-07,96.8,,96.1,,92.7,
2010-08,96.7,,96.3,,97.7,
2010-09,97.0,,96.6,,99.1,
2010-10,97.3,,96.7,,100.5,
2010-11,97.7,,97.1,,101.8,
2010-12,98.3,,97.5,,105.9,
2011-01,99.3,,98.1,,107.5,
2011-02,99.9,,98.9,,109.5,
2011-03,100.5,,98.9,,109.3,
2011-04,101.3,,99.2,,110.8,
2011-05,101.3,,99.4,,112.4,
2011-06,101.4,,99.5,,111.4,
2011-07,101.9,,99.7,,109.6,
2011-08,101.8,,99.6,,108.1,
2011-09,102.0,,99.7,,108.5,
2011-10,102.2,,99.5,,107.9,
2011-11,102.2,,99.5,,107.9,
2011-12,101.7,,99.5,,107.1,
2012-01,102.2,,99.7,,107.1,
2012-02,102.6,,100.1,,108.3,
2012-03,103.1,,100.3,,110.3,
2012-04,103.2,,100.4,,110.7,
2012-05,102.9,,100.4,,109.5,
2012-06,102.6,,100.4,,108.0,
2012-07,102.5,,100.1,,109.6,
2012-08,102.9,,100.2,,112.8,
2012-09,103.3,,100.6,,116.2,
2012-10,103.4,,100.8,,118.0,
2012-11,103.5,,100.9,,119.1,
2012-12,103.2,,100.9,,118.6,
2013-01,103.8,,101.1,,118.8,
2013-02,103.5,,101.0,,118.1,
2013-03,103.2,,100.9,,117.0,
2013-04,103.0,,100.7,,117.4,
2013-05,102.8,,100.7,,117.9,
2013-06,102.6,,100.6,,115.9,
2013-07,102.5,,100.4,,113.9,
2013-08,102.5,,100.4,,113.7,
2013-09,102.8,,100.5,,115.1,
2013-10,102.6,,100.6,,116.1,
2013-11,102.6,,100.6,,115.8,
2013-12,102.8,,100.8,,116.2,
2014-01,102.6,,100.7,,114.4,
2014-02,102.6,,100.8,,113.4,
2014-03,102.2,,100.6,,113.6,
2014-04,102.0,,100.6,,114.0,
2014-05,101.8,,100.5,,112.5,
2014-06,101.8,,100.5,,111.8,
2014-07,101.7,,100.6,,108.7,
2014-08,101.6,,100.6,,106.4,
2014-09,101.7,,100.6,,102.6,
2014-10,101.6,,100.6,,99.1,
2014-11,101.7,,100.5,,98.1,
2014-12,101.1,,100.4,,97.5,
2015-01,100.4,,100.2,,98.2,
2015-02,100.4,,100.0,,99.4,
2015-03,100.5,,100.1,,99.3,
2015-04,100.5,,100.1,,99.8,
2015-05,100.5,,100.2,,99.4,
2015-06,100.4,,100.2,,100.1,
2015-07,100.4,,100.3,,99.6,
2015-08,100.0,,100.1,,97.8,
2015-09,99.7,,100.0,,100.9,
2015-10,99.4,,99.8,,101.5,
2015-11,99.1,,99.6,,100.0,
2015-12,98.8,,99.6,,99.5,
2016-01,98.0,,99.3,,99.7,
2016-02,97.6,,99.3,,98.0,
2016-03,97.5,,99.0,,96.5,
2016-04,97.5,,99.0,,95.2,
2016-05,98.0,,99.5,,96.3,
2016-06,98.3,,99.6,,96.6,
2016-07,98.5,,99.8,,100.0,
2016-08,98.5,,99.9,,99.6,
2016-09,98.4,,100.0,,99.5,
2016-10,98.9,,100.1,,101.7,
2016-11,99.4,,100.7,,103.5,
2016-12,99.9,,101.1,,105.1,
2017-01,100.3,,101.3,,107.0,
2017-02,100.5,,101.7,,107.2,
2017-03,100.5,,102.0,,107.3,
2017-04,100.7,,102.2,,108.7,
2017-05,100.7,,102.3,,111.3,
2017-06,100.7,,102.4,,111.4,
2017-07,100.9,,102.6,,111.7,
2017-08,101.1,,102.8,,112.7,
2017-09,101.6,,103.1,,111.1,
2017-10,101.7,,103.2,,110.5,
2017-11,101.9,,103.2,,109.7,
2017-12,102.1,,103.3,,109.0,
2018-01,102.4,,103.6,,106.0,
2018-02,102.3,,103.6,,104.9,
2018-03,102.3,,103.7,,104.8,
2018-04,102.6,,103.8,,104.4,
2018-05,103.1,,104.0,,103.9,
2018-06,103.6,,104.4,,103.7,
2018-07,103.8,,104.4,,106.9,
2018-08,104.2,,104.6,,110.8,
2018-09,104.7,,104.7,,113.0,
2018-10,105.0,,104.7,,112.6,
2018-11,105.3,,104.9,,112.2,
2018-12,104.9,,104.9,,111.7,
2019-01,105.1,,104.9,,112.1,
2019-02,105.0,,104.8,,112.1,
2019-03,104.8,,104.9,,112.1,
2019-04,105.2,,105.1,,114.0,
2019-05,105.1,,105.2,,115.1,
2019-06,104.8,,105.2,,114.3,
2019-07,104.9,,105.2,,114.0,
2019-08,104.5,,105.2,,112.8,
2019-09,104.7,,105.3,,111.1,
2019-10,104.4,,105.0,,111.4,
2019-11,104.6,,105.2,,112.6,
2019-12,104.7,,105.4,,114.6,
2020-01,105.3,,105.5,,113.9,
2020-02,104.9,,105.5,,114.3,
2020-03,103.9,,105.3,,112.6,
2020-04,103.2,,105.0,,111.2,
2020-05,102.8,,104.8,,108.5,
2020-06,102.9,,104.8,,109.1,
2020-07,103.1,,104.7,,107.2,
2020-08,103.2,,104.8,,105.0,
2020-09,103.6,,105.0,,104.9,
2020-10,103.9,,105.2,,105.1,
2020-11,104.2,,105.5,,104.7,
2020-12,104.9,,105.7,,104.5,
2021-01,106.2,,106.5,,107.3,Provisional value
2021-02,106.8,,106.9,,108.9,Provisional value
2021-03,107.8,,107.8,,112.7,Provisional value
2021-04,108.7,,108.8,,114.1,Provisional value
2021-05,110.3,,110.0,,117.7,Provisional value
2021-06,111.7,,111.1,,116.7,Provisional value
2021-07,113.8,,112.4,,117.0,Provisional value
2021-08,115.6,,113.5,,119.1,Provisional value
2021-09,118.4,,114.0,,119.2,Provisional value
2021-10,122.9,,114.9,,122.3,Provisional value
2021-11,124.1,,115.9,,,
"",Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,
