"",BBK01.SUD021,BBK01.SUD021_FLAGS,BBK01.SUD022,BBK01.SUD022_FLAGS,BBK01.SUD023,BBK01.SUD023_FLAGS,BBK01.SUD024,BBK01.SUD024_FLAGS,BBK01.SUD026,BBK01.SUD026_FLAGS,BBK01.SUD027,BBK01.SUD027_FLAGS,BBK01.SUD028,BBK01.SUD028_FLAGS,BBK01.SUD029,BBK01.SUD029_FLAGS,BBK01.SUD030,BBK01.SUD030_FLAGS,BBK01.SUD031,BBK01.SUD031_FLAGS,BBK01.SUD032,BBK01.SUD032_FLAGS,BBK01.SUD033,BBK01.SUD033_FLAGS,BBK01.SUD034,BBK01.SUD034_FLAGS,BBK01.SUD201,BBK01.SUD201_FLAGS,BBK01.SUD202,BBK01.SUD202_FLAGS,BBK01.SUD203,BBK01.SUD203_FLAGS,BBK01.SUD204,BBK01.SUD204_FLAGS,BBK01.SUD205,BBK01.SUD205_FLAGS,BBK01.SUD206,BBK01.SUD206_FLAGS,BBK01.SUD207,BBK01.SUD207_FLAGS,BBK01.SUD208,BBK01.SUD208_FLAGS,BBK01.SUD209,BBK01.SUD209_FLAGS,BBK01.SUD210,BBK01.SUD210_FLAGS,BBK01.SUD212,BBK01.SUD212_FLAGS,BBK01.SUD213,BBK01.SUD213_FLAGS,BBK01.SUD214,BBK01.SUD214_FLAGS,BBK01.SUD215,BBK01.SUD215_FLAGS,BBK01.SUD216,BBK01.SUD216_FLAGS,BBK01.SUD217,BBK01.SUD217_FLAGS,BBK01.SUD218,BBK01.SUD218_FLAGS,BBK01.SUD219,BBK01.SUD219_FLAGS,BBK01.SUD220,BBK01.SUD220_FLAGS,BBK01.SUD221,BBK01.SUD221_FLAGS,BBK01.SUD222,BBK01.SUD222_FLAGS,BBK01.SUD223,BBK01.SUD223_FLAGS,BBK01.SUD224,BBK01.SUD224_FLAGS,BBK01.SUD225,BBK01.SUD225_FLAGS,BBK01.SUD226,BBK01.SUD226_FLAGS,BBK01.SUD227,BBK01.SUD227_FLAGS,BBK01.SUD228,BBK01.SUD228_FLAGS,BBK01.SUD229,BBK01.SUD229_FLAGS
2003-07,137602,,187705,,77253,,28346,,7736,,32615,,876079,,89462,,71054,,332010,,193324,,87142,,487467,,389222,,29175,,665,,1689,,488133,,90491,,120786,,61029,,109,,424,,63287,,1913,,5969,,4405,,2805,,3589,,6864,,3973,,9268,,1802,,2654,,88185,,7881,,1575,,1620,,33140,,2885,,6336,
2003-08,135705,,187639,,80491,,28452,,7963,,32704,,877703,,87858,,71010,,333301,,189533,,88284,,489025,,394794,,25650,,627,,1378,,490805,,88948,,118994,,40582,,187,,2473,,63305,,1388,,4844,,3658,,1695,,2701,,5441,,3600,,7060,,1461,,2316,,86025,,5782,,1626,,1714,,27749,,2478,,4873,
2003-09,133458,,187511,,77051,,29069,,8021,,32866,,879027,,90940,,70957,,333056,,193572,,87681,,486554,,393137,,28352,,679,,1891,,491693,,88197,,124565,,34584,,210,,1179,,64592,,1785,,5374,,4575,,2033,,3166,,6143,,3584,,9281,,1693,,2684,,88489,,7119,,1205,,1671,,34013,,3239,,4921,
2003-10,131553,,187892,,80075,,29052,,7771,,33141,,882461,,89087,,70809,,332150,,189229,,87840,,487458,,394958,,28477,,986,,3332,,492668,,88289,,127129,,40008,,156,,4523,,63212,,2631,,5096,,4398,,2463,,3292,,6201,,3200,,11515,,3368,,2543,,85930,,7345,,1471,,1868,,34631,,3284,,5125,
2003-11,129649,,186957,,80795,,29633,,7751,,33163,,884556,,84598,,70975,,331728,,191175,,88049,,489036,,412862,,24839,,1065,,3325,,493279,,88529,,129086,,35693,,256,,1160,,59790,,1532,,5631,,3851,,1866,,2903,,5368,,3108,,7820,,1440,,2004,,88429,,7001,,1146,,1215,,35610,,3669,,4434,
2003-12,128564,,190465,,74309,,29363,,7756,,33048,,886169,,88554,,70446,,329923,,188219,,87592,,488674,,400936,,29428,,1512,,2519,,502167,,89528,,138713,,36247,,360,,1075,,62675,,1541,,5234,,3701,,2878,,3710,,7473,,3380,,12315,,2578,,3978,,87201,,6976,,1613,,1850,,41204,,5084,,7639,
2004-01,126519,,191301,,65515,,29816,,7640,,32903,,885887,,84971,,69872,,328717,,182177,,88083,,487039,,405052,,30791,,1542,,3852,,503431,,88506,,136443,,35633,,174,,823,,59768,,1427,,4233,,3746,,2827,,3280,,5978,,3201,,8611,,1992,,1998,,84562,,6495,,1152,,1579,,32666,,4274,,4169,
2004-02,124617,,191935,,72633,,29775,,7521,,32805,,884830,,83630,,69586,,328975,,181746,,87493,,488125,,411617,,23387,,1056,,2340,,504560,,88115,,128210,,38596,,197,,697,,57555,,1308,,4963,,3539,,1999,,2457,,4262,,2628,,5613,,1588,,2112,,86480,,6151,,1510,,1068,,26802,,2681,,3317,
2004-03,122662,,192728,,71568,,29211,,7690,,32177,,880991,,84312,,69587,,331219,,183875,,87176,,487176,,410717,,28021,,840,,2357,,504583,,87863,,130095,,34914,,201,,1274,,57884,,1553,,5806,,4494,,2504,,3240,,5417,,2983,,8974,,2037,,3549,,87095,,7140,,1262,,1385,,35662,,3509,,5627,
2004-04,119413,,192985,,71450,,29591,,7401,,32145,,881844,,82907,,70267,,331529,,180087,,87126,,489085,,412968,,32020,,1243,,2061,,505420,,86706,,134285,,30589,,222,,1075,,56755,,1664,,6345,,4074,,2706,,3127,,5106,,2964,,9264,,1658,,2903,,84844,,6733,,1419,,1211,,30662,,3034,,5536,
2004-05,118543,,192822,,73261,,29523,,7500,,32264,,882819,,81290,,70585,,331606,,175146,,89512,,491759,,418859,,30506,,1097,,2404,,505649,,85838,,131703,,32753,,115,,1535,,55144,,1147,,5257,,3147,,2079,,2736,,4497,,2865,,5901,,1552,,1725,,81810,,6616,,987,,1186,,26670,,3403,,4593,
2004-06,115574,,193431,,71355,,29376,,7635,,33003,,886330,,83189,,70478,,331008,,177223,,89732,,488794,,419073,,25696,,838,,1725,,505366,,85480,,134255,,31971,,163,,1273,,56024,,1402,,5371,,3794,,2314,,3479,,5292,,2934,,8704,,2816,,3278,,84291,,7185,,1268,,1509,,32704,,3754,,5444,
2004-07,113816,,193684,,72644,,29709,,7576,,33069,,888750,,81272,,71133,,331661,,171503,,89660,,487138,,418729,,25693,,1071,,2113,,505800,,85562,,131254,,32273,,334,,2601,,54012,,1492,,5020,,3792,,3233,,3279,,5963,,2873,,9119,,1908,,2018,,80484,,7193,,1360,,1171,,35348,,4012,,4475,
2004-08,112858,,194631,,70573,,29760,,7478,,33200,,890900,,80994,,71477,,331005,,170506,,90327,,487929,,416996,,24546,,701,,2459,,506415,,85491,,135739,,30356,,102,,1823,,53601,,1090,,5187,,3038,,2071,,2291,,3844,,2648,,8837,,1379,,1365,,77547,,6177,,1030,,1098,,28221,,3766,,3971,
2004-09,111909,,194950,,69114,,29936,,7597,,33358,,894803,,83011,,70959,,329454,,171397,,89634,,485502,,418189,,23981,,913,,2724,,506492,,85177,,138157,,30538,,274,,2033,,55219,,1365,,4878,,3058,,2058,,2371,,4139,,2551,,9097,,1474,,2577,,81220,,7522,,1207,,1216,,31752,,4204,,5135,
2004-10,111286,,195397,,72291,,28853,,7648,,33772,,895426,,80411,,71660,,330623,,169803,,87490,,485765,,421839,,22905,,960,,2649,,506856,,85738,,137992,,29266,,258,,1151,,53107,,1210,,4579,,2927,,3091,,2343,,4077,,2730,,7395,,1590,,1415,,79457,,7213,,1238,,1200,,30755,,3246,,4502,
2004-11,110334,,194704,,69413,,29239,,7586,,33276,,896527,,77965,,70560,,328974,,174494,,86874,,486378,,434898,,23384,,856,,2839,,506807,,86549,,142752,,29259,,176,,2678,,50788,,1251,,4159,,3133,,1887,,2131,,3961,,3164,,8436,,1164,,1989,,80969,,6218,,1336,,1141,,30886,,3855,,4913,
2004-12,112266,,199018,,73428,,29684,,7637,,33188,,897842,,80594,,70107,,331675,,167276,,86655,,483968,,428606,,25470,,929,,2791,,515840,,87804,,144569,,51843,,211,,2215,,52435,,1550,,4551,,2846,,2292,,2682,,5217,,3598,,10026,,2853,,2967,,76804,,6458,,1520,,2147,,43091,,7061,,8560,
2005-01,109623,,198936,,71982,,28809,,7201,,32928,,896181,,79147,,69562,,330621,,163420,,86606,,483290,,429342,,26734,,1647,,4284,,516803,,87540,,140648,,39113,,181,,1526,,50978,,1347,,4289,,2847,,2467,,2321,,4631,,3507,,9059,,1578,,2251,,74567,,5388,,1205,,1497,,34508,,4041,,4889,
2005-02,109099,,198918,,70218,,28550,,7107,,32850,,895887,,77209,,69135,,329685,,164919,,85838,,483090,,434050,,22719,,1089,,1796,,517068,,88103,,140178,,33053,,134,,1055,,50158,,1531,,3720,,2743,,1668,,1962,,3504,,2816,,4633,,1182,,1653,,78066,,5232,,1094,,1160,,26543,,3928,,5083,
2005-03,107152,,198059,,69433,,28190,,7152,,33787,,894891,,77972,,69154,,327553,,164845,,84992,,480284,,436542,,24402,,958,,4236,,516937,,88481,,140864,,36334,,236,,996,,50933,,1648,,4173,,3353,,2078,,2210,,4901,,3655,,7213,,1700,,2224,,74692,,7033,,1298,,1341,,44390,,5771,,6314,
2005-04,106627,,198127,,71680,,23890,,7115,,31174,,897764,,76042,,70594,,329216,,163578,,83694,,481143,,439717,,21835,,743,,4268,,517005,,88013,,144016,,35595,,314,,907,,48690,,1405,,4809,,3627,,2786,,2376,,5023,,3484,,7385,,1415,,2157,,71303,,6588,,1121,,1329,,49798,,4657,,5827,
2005-05,106379,,195384,,71741,,23881,,6982,,30994,,898429,,75994,,71125,,328703,,162808,,83006,,481875,,442889,,22796,,1067,,1225,,516455,,87517,,144622,,35025,,194,,636,,48565,,1324,,3972,,3085,,2075,,2204,,4412,,3324,,8078,,1488,,1620,,71559,,6289,,1065,,1835,,42311,,5578,,5733,
2005-06,105056,,195073,,69719,,24559,,7117,,30946,,899589,,77151,,71355,,328307,,164697,,82855,,478629,,448210,,25674,,994,,1031,,515200,,86665,,148194,,48861,,235,,1211,,49871,,1515,,4707,,3779,,2196,,2449,,5527,,4262,,8095,,2177,,2597,,72936,,7080,,1346,,1308,,45170,,5302,,6020,
2005-07,104577,,194330,,72105,,25296,,7032,,30816,,902665,,75085,,71641,,328179,,161000,,84208,,481204,,450961,,22781,,1060,,2043,,515042,,85918,,149050,,36761,,128,,1113,,47624,,1180,,4978,,3699,,3353,,2699,,6315,,4226,,8413,,1941,,2397,,69329,,6987,,1242,,1542,,42996,,4692,,5191,
2005-08,104573,,194000,,74930,,24961,,6792,,30940,,904568,,74725,,71854,,328907,,156777,,86193,,479818,,449144,,23949,,1060,,1469,,514260,,84891,,151273,,41006,,98,,596,,48289,,1085,,4073,,3487,,2010,,2439,,5789,,4615,,8483,,1550,,2399,,67834,,6317,,1737,,1350,,40536,,4520,,5272,
2005-09,104938,,193451,,74966,,24849,,6929,,30914,,906453,,76914,,70880,,328564,,162995,,86690,,477772,,450970,,23194,,1123,,2960,,514247,,83344,,152999,,46851,,234,,1419,,50075,,1203,,5262,,3081,,2095,,2331,,5388,,4390,,9626,,1858,,2490,,71180,,7229,,1284,,1533,,41690,,4177,,5925,
2005-10,105488,,192845,,78275,,22472,,6746,,30686,,908403,,76279,,70156,,328285,,160153,,86739,,479095,,453497,,22812,,1346,,3124,,513181,,82864,,157054,,39509,,308,,1433,,49007,,1295,,4314,,2752,,2603,,2395,,5674,,3873,,6797,,1415,,2295,,70819,,6822,,1371,,1375,,42531,,3182,,5831,
2005-11,105875,,192758,,76669,,22497,,6778,,30699,,911037,,73790,,70584,,327731,,157607,,86362,,480108,,465158,,26107,,1372,,2962,,512020,,83107,,162669,,44866,,301,,993,,46684,,1102,,4327,,2993,,2062,,2620,,6669,,4629,,5719,,1500,,2844,,69640,,6735,,1075,,1545,,38132,,3327,,6858,
2005-12,109209,,195206,,78779,,22543,,6674,,30825,,913054,,76432,,70566,,326566,,155305,,85136,,480503,,463399,,31326,,1124,,3036,,518955,,83921,,164748,,50870,,501,,1070,,49066,,1443,,4631,,2778,,2522,,3138,,8514,,5545,,9234,,2336,,5586,,69127,,7716,,1321,,2155,,55247,,5163,,11083,
2006-01,110140,,194850,,78905,,22655,,6339,,30239,,920568,,74652,,70143,,326773,,155882,,84670,,490282,,462356,,31502,,2112,,7533,,517768,,84615,,156885,,47599,,203,,866,,47574,,1652,,4330,,2942,,3199,,2857,,8266,,5913,,9920,,1922,,3668,,68636,,6725,,1206,,1513,,44581,,5404,,6838,
2006-02,112180,,194806,,78055,,22895,,6296,,30128,,921360,,73960,,69578,,326413,,151729,,85576,,492526,,464324,,27206,,1715,,4571,,517281,,84898,,153233,,41033,,296,,1366,,47294,,1090,,4294,,2987,,2049,,2275,,6081,,4479,,6990,,1316,,2340,,67921,,5966,,1106,,1787,,38352,,6422,,6126,
2006-03,114677,,195260,,79671,,22943,,6205,,29958,,921405,,74500,,68683,,323749,,154024,,86780,,490818,,465115,,32612,,1401,,1823,,515333,,85689,,153285,,47007,,392,,948,,48233,,1368,,5483,,3733,,2204,,2588,,6849,,5710,,8250,,2132,,3635,,68216,,8373,,1470,,2130,,48056,,4699,,6675,
2006-04,115934,,195181,,83245,,23474,,6108,,29513,,922080,,73502,,68536,,324310,,157643,,87124,,492731,,469686,,28341,,1529,,2024,,513543,,85904,,156243,,45185,,446,,859,,46939,,1449,,5435,,3316,,3072,,2364,,6204,,4470,,10032,,1610,,3212,,69334,,7905,,1140,,1793,,36866,,5379,,4994,
2006-05,117353,,194825,,82547,,23648,,5999,,29957,,922574,,72922,,69049,,324789,,154245,,87648,,494537,,469841,,29853,,1548,,1690,,509976,,87032,,157638,,51722,,252,,529,,46390,,933,,7186,,3338,,2074,,2435,,6381,,4871,,8538,,1890,,3161,,69129,,8997,,1433,,2132,,36909,,5659,,6865,
2006-06,119134,,194457,,82607,,23866,,6142,,29878,,923635,,74252,,69155,,324018,,158351,,90025,,495030,,470361,,31399,,1592,,1922,,507349,,88337,,157582,,50441,,321,,1133,,47657,,1283,,5319,,3105,,2338,,2395,,6108,,4902,,10126,,2119,,3148,,70516,,9035,,1210,,1897,,52421,,5165,,7267,
2006-07,123786,,193837,,84840,,23381,,6019,,29697,,925015,,73382,,69214,,323339,,159617,,93063,,493908,,465849,,33301,,2190,,2150,,503445,,89399,,158281,,46614,,554,,1292,,46654,,1271,,5564,,3048,,2561,,2415,,6106,,4363,,11070,,1793,,2500,,68078,,8108,,1232,,1895,,46079,,4567,,5697,
2006-08,129030,,193804,,87864,,23319,,6020,,29598,,927057,,72343,,69593,,323239,,156742,,91613,,496947,,460404,,34694,,1347,,3537,,498932,,90923,,162279,,54472,,280,,641,,45734,,1007,,4718,,3119,,2229,,2398,,5777,,4498,,11083,,1394,,2530,,66594,,7170,,1514,,2188,,42375,,2537,,4578,
2006-09,133242,,192264,,89398,,23918,,6431,,29571,,929116,,73806,,69626,,322580,,159034,,94005,,495729,,457935,,31948,,1691,,2121,,495091,,92142,,160811,,51870,,488,,797,,46945,,1046,,5422,,2858,,2122,,1964,,4855,,4191,,10978,,1861,,2323,,67633,,8144,,1185,,1677,,46903,,5533,,7369,
2006-10,137322,,191665,,93649,,22303,,5995,,29456,,929900,,72872,,69199,,322390,,158156,,93783,,494652,,456615,,35094,,2495,,2531,,490334,,94253,,161921,,61003,,315,,985,,46782,,1662,,7074,,3092,,2781,,2254,,5609,,4527,,11899,,1815,,2727,,65477,,8234,,1720,,1731,,45975,,4751,,7482,
2006-11,141570,,191012,,91322,,22310,,5846,,29155,,931077,,70529,,69530,,322034,,158866,,94523,,497355,,467261,,34218,,2240,,1897,,484245,,96851,,167499,,56101,,256,,1290,,45132,,940,,6222,,3030,,2111,,2295,,5434,,4580,,10908,,1407,,2379,,67111,,7461,,1243,,2014,,40795,,3452,,5945,
2006-12,147707,,193277,,90662,,22252,,6043,,29537,,930843,,71504,,67374,,320387,,154692,,92788,,497540,,465228,,39250,,2069,,1582,,487476,,98851,,175389,,58936,,229,,690,,46268,,1288,,5931,,2734,,2315,,2494,,5664,,4528,,16567,,2326,,3524,,65780,,8528,,1440,,2414,,55961,,5963,,9312,
2007-01,154215,,192300,,93632,,22342,,5651,,29312,,928597,,69352,,66956,,319198,,155330,,93985,,499002,,460252,,47561,,2974,,1639,,481378,,100630,,170634,,61502,,700,,1021,,44820,,1472,,4034,,2872,,2619,,2744,,6651,,5200,,11776,,1793,,3064,,65849,,7463,,1389,,2675,,45112,,6013,,5322,
2007-02,157913,,191354,,93871,,21929,,5803,,29069,,928131,,68720,,66427,,318738,,155248,,93562,,500623,,465012,,37779,,3178,,1389,,477454,,102659,,167001,,56356,,331,,908,,44645,,1072,,3680,,2501,,1824,,2009,,4898,,4032,,6720,,1468,,2194,,66262,,7165,,1055,,2402,,35257,,3117,,4820,
2007-03,163774,,191196,,94996,,22215,,6269,,28582,,927743,,69695,,66595,,317765,,156406,,93729,,501149,,466577,,40365,,2715,,1316,,474191,,104158,,167475,,59631,,447,,898,,45010,,1589,,5349,,3973,,2506,,2565,,6003,,5329,,13362,,2087,,2622,,68119,,9581,,1375,,1958,,47651,,5945,,7272,
2007-04,167316,,190215,,95725,,22243,,5892,,28304,,926996,,69316,,65832,,317182,,158261,,94173,,501379,,469364,,41888,,2647,,1547,,470120,,104368,,174310,,54853,,248,,900,,44326,,1121,,5126,,3213,,2286,,2315,,6525,,5131,,15958,,1488,,2556,,66910,,7609,,1217,,1981,,37983,,6685,,5430,
