"",BBDG1.M.HWWI.N.EURO.ENERGY00.I15.EUR.A,BBDG1.M.HWWI.N.EURO.ENERGY00.I15.EUR.A_FLAGS,BBDG1.M.HWWI.N.EURO.TOTNXNGY.I15.EUR.A,BBDG1.M.HWWI.N.EURO.TOTNXNGY.I15.EUR.A_FLAGS
1990-06,28.6,,58.7,
1990-07,30.5,,56.8,
1990-08,41.5,,56.3,
1990-09,52.0,,58.0,
1990-10,53.3,,54.4,
1990-11,48.0,,50.5,
1990-12,41.5,,50.0,
1991-01,36.1,,50.0,
1991-02,28.8,,49.0,
1991-03,31.3,,52.7,
1991-04,33.9,,55.0,
1991-05,34.7,,53.8,
1991-06,34.3,,55.1,
1991-07,36.2,,55.1,
1991-08,35.9,,53.9,
1991-09,36.0,,53.1,
1991-10,38.3,,52.0,
1991-11,35.6,,50.3,
1991-12,30.5,,48.3,
1992-01,29.8,,48.8,
1992-02,30.6,,50.5,
1992-03,31.0,,51.9,
1992-04,32.6,,51.6,
1992-05,33.4,,50.7,
1992-06,34.3,,49.6,
1992-07,31.5,,47.5,
1992-08,30.1,,46.1,
1992-09,31.1,,46.2,
1992-10,32.5,,46.8,
1992-11,32.9,,49.3,
1992-12,31.4,,49.8,
1993-01,31.0,,50.1,
1993-02,32.9,,49.8,
1993-03,33.7,,50.4,
1993-04,32.7,,48.6,
1993-05,32.5,,48.7,
1993-06,32.0,,49.9,
1993-07,31.5,,54.4,
1993-08,31.7,,54.1,
1993-09,29.6,,51.2,
1993-10,30.9,,50.8,
1993-11,29.5,,53.7,
1993-12,26.3,,55.7,
1994-01,27.2,,57.2,
1994-02,26.6,,57.9,
1994-03,25.6,,57.2,
1994-04,28.0,,57.7,
1994-05,29.6,,59.8,
1994-06,30.4,,61.6,
1994-07,30.9,,63.1,
1994-08,30.0,,62.6,
1994-09,28.3,,65.5,
1994-10,28.2,,64.5,
1994-11,29.4,,67.1,
1994-12,28.8,,68.3,
1995-01,28.9,,69.0,
1995-02,29.1,,67.2,
1995-03,27.8,,64.9,
1995-04,29.5,,63.5,
1995-05,29.9,,63.0,
1995-06,28.0,,63.0,
1995-07,26.1,,63.1,
1995-08,27.2,,64.7,
1995-09,28.0,,64.4,
1995-10,26.6,,63.0,
1995-11,27.4,,63.9,
1995-12,29.4,,63.8,
1996-01,29.2,,63.0,
1996-02,29.2,,62.8,
1996-03,31.4,,62.5,
1996-04,34.1,,64.8,
1996-05,32.3,,66.5,
1996-06,31.3,,62.5,
1996-07,32.6,,60.6,
1996-08,33.6,,60.2,
1996-09,37.5,,60.0,
1996-10,40.2,,58.2,
1996-11,37.8,,58.2,
1996-12,39.7,,59.1,
1997-01,40.5,,62.3,
1997-02,37.8,,66.9,
1997-03,36.6,,70.7,
1997-04,34.2,,70.9,
1997-05,35.8,,73.5,
1997-06,34.0,,71.4,
1997-07,35.5,,70.0,
1997-08,37.3,,72.5,
1997-09,36.3,,69.9,
1997-10,38.2,,67.9,
1997-11,36.2,,66.5,
1997-12,33.8,,66.9,
1998-01,30.9,,66.8,
1998-02,29.2,,66.8,
1998-03,27.7,,65.8,
1998-04,28.3,,64.6,
1998-05,28.3,,62.8,
1998-06,26.7,,60.8,
1998-07,25.8,,60.4,
1998-08,24.5,,58.4,
1998-09,25.6,,55.5,
1998-10,24.0,,52.9,
1998-11,22.2,,54.7,
1998-12,19.4,,53.2,
1999-01,20.9,,52.4,
1999-02,20.8,,52.5,
1999-03,25.7,,53.2,
1999-04,30.8,,54.7,
1999-05,31.5,,55.1,
1999-06,33.2,,55.6,
1999-07,37.9,,55.1,
1999-08,40.1,,55.4,
1999-09,45.1,,57.2,
1999-10,43.0,,56.1,
1999-11,48.4,,58.8,
1999-12,50.9,,61.2,
2000-01,51.2,,62.8,
2000-02,56.6,,64.5,
2000-03,58.3,,65.5,
2000-04,50.9,,65.8,
2000-05,62.5,,69.2,
2000-06,64.3,,64.5,
2000-07,62.8,,64.6,
2000-08,68.5,,66.3,
2000-09,76.4,,70.3,
2000-10,75.7,,69.9,
2000-11,77.8,,69.3,
2000-12,61.0,,67.8,
2001-01,57.3,,65.0,
2001-02,62.3,,64.6,
2001-03,58.8,,63.8,
2001-04,61.9,,64.0,
2001-05,67.7,,65.7,
2001-06,68.0,,66.0,
2001-07,61.4,,65.4,
2001-08,59.8,,61.6,
2001-09,60.0,,58.9,
2001-10,50.2,,57.7,
2001-11,45.6,,60.3,
2001-12,45.1,,60.0,
2002-01,47.3,,61.3,
2002-02,48.9,,62.5,
2002-03,57.1,,64.0,
2002-04,60.6,,63.5,
2002-05,57.6,,61.5,
2002-06,53.1,,61.0,
2002-07,53.1,,60.5,
2002-08,55.1,,61.2,
2002-09,59.1,,62.3,
2002-10,57.3,,62.1,
2002-11,50.4,,61.8,
2002-12,55.3,,60.8,
2003-01,58.1,,59.5,
2003-02,61.1,,60.4,
2003-03,56.3,,59.3,
2003-04,47.0,,58.7,
2003-05,45.3,,56.2,
2003-06,47.9,,54.8,
2003-07,51.2,,55.4,
2003-08,54.5,,57.4,
2003-09,49.7,,58.6,
2003-10,51.3,,59.8,
2003-11,51.1,,61.4,
2003-12,50.3,,59.9,
2004-01,50.9,,62.1,
2004-02,50.3,,64.6,
2004-03,56.1,,69.6,
2004-04,58.1,,71.3,
2004-05,64.8,,68.6,
2004-06,62.5,,66.7,
2004-07,65.0,,65.1,
2004-08,71.8,,63.1,
2004-09,73.3,,63.0,
2004-10,81.6,,62.0,
2004-11,71.6,,61.4,
2004-12,62.5,,59.7,
2005-01,69.5,,64.8,
2005-02,72.6,,67.1,
2005-03,82.8,,69.6,
2005-04,85.0,,69.3,
2005-05,81.3,,68.4,
2005-06,93.8,,71.1,
2005-07,98.9,,72.3,
2005-08,106.2,,71.5,
2005-09,104.4,,71.4,
2005-10,98.8,,72.9,
2005-11,95.1,,75.4,
2005-12,97.5,,78.1,
2006-01,105.6,,81.4,
2006-02,103.0,,84.5,
2006-03,105.8,,83.9,
2006-04,116.8,,87.5,
2006-05,111.1,,90.7,
2006-06,110.7,,87.6,
2006-07,118.1,,91.3,
2006-08,116.1,,90.3,
2006-09,98.9,,89.9,
2006-10,93.7,,94.4,
2006-11,93.2,,93.6,
2006-12,96.5,,92.9,
2007-01,84.8,,95.3,
2007-02,90.2,,97.5,
2007-03,96.1,,99.1,
2007-04,101.8,,101.1,
2007-05,101.3,,102.1,
2007-06,108.6,,100.7,
2007-07,114.6,,98.3,
2007-08,106.6,,95.3,
2007-09,113.1,,96.3,
2007-10,119.1,,96.7,
2007-11,129.7,,93.5,
2007-12,128.4,,94.5,
2008-01,129.0,,107.0,
2008-02,134.5,,113.9,
2008-03,138.6,,112.7,
2008-04,143.1,,110.5,
2008-05,164.3,,111.9,
2008-06,176.6,,114.7,
2008-07,176.2,,112.4,
2008-08,158.5,,108.3,
2008-09,143.7,,104.0,
2008-10,112.3,,91.7,
2008-11,87.9,,88.6,
2008-12,65.8,,79.6,
2009-01,70.6,,78.8,
2009-02,71.5,,79.7,
2009-03,74.3,,78.2,
2009-04,79.5,,82.4,
2009-05,87.1,,84.8,
2009-06,100.7,,85.7,
2009-07,94.7,,83.4,
2009-08,104.5,,88.3,
2009-09,95.2,,84.3,
2009-10,101.0,,85.3,
2009-11,105.6,,87.2,
2009-12,104.7,,92.5,
2010-01,102.5,,96.1,
2010-02,103.3,,96.9,
2010-03,107.9,,100.9,
2010-04,117.0,,114.3,
2010-05,115.0,,116.6,
2010-06,118.9,,118.5,
2010-07,117.6,,121.4,
2010-08,115.9,,125.5,
2010-09,116.1,,127.8,
2010-10,117.0,,123.0,
2010-11,123.1,,128.1,
2010-12,138.4,,137.6,
2011-01,143.5,,144.6,
2011-02,147.8,,146.2,
2011-03,158.2,,139.4,
2011-04,164.6,,141.7,
2011-05,154.5,,139.2,
2011-06,152.7,,137.2,
2011-07,156.5,,137.8,
2011-08,147.6,,136.1,
2011-09,161.0,,138.2,
2011-10,157.6,,125.9,
2011-11,160.1,,122.2,
2011-12,158.3,,123.4,
2012-01,163.1,,130.3,
2012-02,172.1,,130.0,
2012-03,179.2,,131.3,
2012-04,173.2,,131.1,
2012-05,164.6,,129.7,
2012-06,147.6,,128.0,
2012-07,160.7,,135.7,
2012-08,173.3,,130.2,
2012-09,169.0,,126.3,
2012-10,167.0,,124.6,
2012-11,166.7,,123.5,
2012-12,164.8,,123.3,
2013-01,166.0,,125.6,
2013-02,168.0,,126.5,
2013-03,163.5,,126.0,
2013-04,154.9,,121.5,
2013-05,154.9,,119.3,
2013-06,152.7,,115.1,
2013-07,159.9,,115.3,
2013-08,161.4,,114.3,
2013-09,162.7,,113.1,
2013-10,157.9,,110.7,
2013-11,159.1,,112.1,
2013-12,160.8,,111.9,
2014-01,157.3,,110.3,
2014-02,154.4,,111.0,
2014-03,150.0,,110.3,
2014-04,147.3,,112.8,
2014-05,148.7,,111.1,
2014-06,151.0,,108.4,
2014-07,144.3,,107.1,
2014-08,141.8,,107.2,
2014-09,144.6,,105.0,
2014-10,135.8,,105.7,
2014-11,126.7,,106.7,
2014-12,108.2,,104.9,
2015-01,92.1,,106.8,
2015-02,108.0,,105.9,
2015-03,109.0,,107.1,
2015-04,115.5,,105.6,
2015-05,116.8,,104.7,
2015-06,113.3,,103.4,
2015-07,106.0,,101.6,
2015-08,91.5,,96.0,
2015-09,90.8,,94.1,
2015-10,91.6,,93.4,
2015-11,89.6,,92.7,
2015-12,77.5,,89.4,
2016-01,64.5,,88.2,
2016-02,64.0,,88.6,
2016-03,72.3,,93.6,
2016-04,75.1,,95.5,
2016-05,82.6,,97.2,
2016-06,87.9,,98.9,
2016-07,84.4,,100.2,
2016-08,83.9,,98.6,
2016-09,83.9,,97.0,
2016-10,96.2,,99.8,
2016-11,95.4,,108.5,
2016-12,106.6,,114.0,
2017-01,108.9,,115.9,
2017-02,110.2,,118.9,
2017-03,99.7,,116.4,
2017-04,100.4,,110.1,
2017-05,93.1,,104.2,
2017-06,85.7,,100.4,
2017-07,86.5,,102.9,
2017-08,90.1,,103.3,
2017-09,96.3,,102.8,
2017-10,101.6,,102.7,
2017-11,110.3,,103.8,
2017-12,113.7,,103.6,
2018-01,115.9,,105.4,
2018-02,108.7,,106.0,
2018-03,109.5,,104.9,
2018-04,116.7,,106.1,
2018-05,129.9,,112.5,
2018-06,130.5,,111.3,
2018-07,129.9,,105.8,
2018-08,130.5,,105.7,
2018-09,140.8,,102.7,
2018-10,144.7,,105.5,
2018-11,123.7,,105.2,
2018-12,111.4,,103.2,
2019-01,112.3,,104.4,
2019-02,114.3,,109.4,
2019-03,115.2,,108.3,
2019-04,119.2,,108.8,
2019-05,116.6,,106.6,
2019-06,102.8,,108.6,
2019-07,105.7,,113.0,
2019-08,100.2,,106.0,
2019-09,105.9,,107.5,
2019-10,105.7,,107.1,
2019-11,110.5,,106.9,
2019-12,112.5,,110.4,
2020-01,107.4,,112.2,
2020-02,94.3,,108.7,
2020-03,61.3,,104.9,
2020-04,49.7,,101.0,
2020-05,55.5,,102.1,
2020-06,65.2,,105.1,
2020-07,68.3,,107.5,
2020-08,71.2,,111.7,
2020-09,70.4,,117.9,
2020-10,73.4,,118.9,
2020-11,77.8,,120.4,
2020-12,86.6,,128.9,
2021-01,99.1,,140.0,
2021-02,104.7,,143.4,
2021-03,109.1,,150.1,
2021-04,110.8,,154.5,
2021-05,118.9,,169.0,
2021-06,129.4,,166.3,
2021-07,141.9,,165.9,
2021-08,147.1,,156.7,
2021-09,169.1,,149.1,
2021-10,223.9,,155.6,
2021-11,197.2,,153.1,
