"",BBNZ1.Q.DE.N.G.0034.A,BBNZ1.Q.DE.N.G.0034.A_FLAGS,BBNZ1.Q.DE.N.G.0036.A,BBNZ1.Q.DE.N.G.0036.A_FLAGS,BBNZ1.Q.DE.N.G.0336.A,BBNZ1.Q.DE.N.G.0336.A_FLAGS,BBNZ1.Q.DE.N.G.0342.A,BBNZ1.Q.DE.N.G.0342.A_FLAGS,BBNZ1.Q.DE.N.G.0325.A,BBNZ1.Q.DE.N.G.0325.A_FLAGS,BBNZ1.Q.DE.N.G.0326.A,BBNZ1.Q.DE.N.G.0326.A_FLAGS,BBNZ1.Q.DE.N.G.0327.A,BBNZ1.Q.DE.N.G.0327.A_FLAGS
1998-04,201.889,,131.445,,74.440,,205.885,,304.799,,30.444,,10.0,
1998-07,209.962,,142.638,,74.477,,217.115,,309.004,,26.759,,8.7,
1998-10,238.162,,153.446,,74.652,,228.098,,324.716,,28.640,,8.8,
1999-01,198.626,,132.858,,78.646,,211.504,,319.303,,41.247,,12.9,
1999-04,208.664,,136.221,,76.765,,212.986,,314.331,,28.797,,9.2,
1999-07,216.401,,147.798,,77.923,,225.721,,316.544,,26.481,,8.4,
1999-10,245.001,,159.705,,78.768,,238.473,,333.252,,29.534,,8.9,
2000-01,206.897,,140.727,,79.187,,219.914,,327.815,,42.463,,13.0,
2000-04,215.723,,142.771,,77.614,,220.385,,322.047,,28.039,,8.7,
2000-07,224.169,,154.462,,78.051,,232.513,,323.535,,24.545,,7.6,
2000-10,253.267,,167.136,,79.680,,246.816,,336.214,,27.162,,8.1,
2001-01,213.216,,145.997,,82.435,,228.432,,340.244,,45.004,,13.2,
2001-04,220.504,,147.624,,80.817,,228.441,,334.187,,31.145,,9.3,
2001-07,227.127,,158.250,,81.901,,240.151,,336.403,,28.379,,8.4,
2001-10,256.934,,172.187,,83.181,,255.368,,352.062,,31.664,,9.0,
2002-01,215.522,,147.107,,85.758,,232.865,,339.146,,44.698,,13.2,
2002-04,222.276,,148.393,,83.343,,231.736,,332.379,,31.473,,9.5,
2002-07,229.771,,159.818,,85.121,,244.939,,338.489,,29.362,,8.7,
2002-10,258.082,,173.130,,85.213,,258.343,,352.667,,31.877,,9.0,
2003-01,215.911,,145.859,,87.867,,233.726,,350.127,,50.449,,14.4,
2003-04,222.217,,146.584,,86.263,,232.847,,342.076,,33.866,,9.9,
2003-07,229.887,,158.513,,86.787,,245.300,,346.816,,31.127,,9.0,
2003-10,257.049,,171.416,,87.924,,259.340,,357.011,,31.859,,8.9,
2004-01,218.211,,149.006,,89.438,,238.444,,355.697,,50.904,,14.3,
2004-04,224.959,,151.669,,86.451,,238.120,,349.174,,35.395,,10.1,
2004-07,230.534,,161.312,,86.789,,248.101,,350.892,,31.521,,9.0,
2004-10,257.415,,174.563,,86.937,,261.500,,365.477,,33.173,,9.1,
2005-01,218.190,,149.752,,88.627,,238.379,,358.637,,49.953,,13.9,
2005-04,224.539,,151.560,,87.171,,238.731,,356.122,,34.792,,9.8,
2005-07,230.452,,161.224,,86.903,,248.127,,358.859,,31.999,,8.9,
2005-10,257.802,,174.141,,86.936,,261.077,,372.956,,36.053,,9.7,
2006-01,218.920,,148.605,,88.513,,237.118,,368.464,,50.977,,13.8,
2006-04,228.297,,152.147,,87.135,,239.282,,365.620,,37.178,,10.2,
2006-07,235.557,,163.554,,86.460,,250.014,,367.535,,32.966,,9.0,
2006-10,263.260,,176.662,,85.513,,262.175,,384.605,,36.961,,9.6,
2007-01,227.002,,153.790,,87.341,,241.131,,375.784,,54.493,,14.5,
2007-04,237.002,,156.902,,85.867,,242.769,,371.790,,37.624,,10.1,
2007-07,242.270,,166.942,,86.169,,253.111,,374.753,,32.943,,8.8,
2007-10,272.445,,182.192,,85.833,,268.025,,388.911,,36.573,,9.4,
2008-01,237.027,,159.898,,87.671,,247.569,,386.393,,56.082,,14.5,
2008-04,247.229,,162.757,,86.630,,249.387,,387.090,,42.539,,11.0,
2008-07,252.346,,173.170,,86.681,,259.851,,388.203,,37.023,,9.5,
2008-10,282.418,,187.549,,86.713,,274.262,,388.267,,33.483,,8.6,
2009-01,239.932,,160.068,,90.829,,250.897,,386.736,,52.948,,13.7,
2009-04,247.136,,162.868,,92.601,,255.469,,382.890,,38.607,,10.1,
2009-07,252.596,,174.004,,94.207,,268.211,,381.641,,33.573,,8.8,
2009-10,281.788,,189.068,,93.313,,282.381,,388.905,,34.656,,8.9,
2010-01,244.377,,166.690,,96.057,,262.747,,390.363,,54.238,,13.9,
2010-04,255.389,,171.247,,94.056,,265.303,,388.690,,38.932,,10.0,
2010-07,260.574,,181.534,,93.154,,274.688,,392.918,,33.905,,8.6,
2010-10,291.995,,197.986,,92.642,,290.628,,403.630,,35.319,,8.8,
2011-01,256.567,,173.813,,94.924,,268.737,,403.486,,53.558,,13.3,
2011-04,269.390,,178.378,,92.006,,270.384,,402.455,,39.109,,9.7,
2011-07,272.646,,188.284,,92.711,,280.995,,406.815,,34.616,,8.5,
2011-10,304.942,,205.968,,91.437,,297.405,,415.328,,35.863,,8.6,
2012-01,267.202,,180.907,,95.333,,276.240,,420.530,,55.329,,13.2,
2012-04,281.311,,186.091,,93.462,,279.553,,411.808,,38.876,,9.4,
2012-07,283.985,,195.416,,94.481,,289.897,,414.524,,33.710,,8.1,
2012-10,317.459,,213.721,,93.494,,307.215,,421.536,,33.117,,7.9,
2013-01,276.114,,186.694,,97.476,,284.170,,420.129,,51.737,,12.3,
2013-04,289.617,,191.130,,95.403,,286.533,,419.027,,38.134,,9.1,
2013-07,293.065,,201.662,,96.167,,297.829,,423.933,,33.088,,7.8,
2013-10,327.548,,219.867,,94.833,,314.700,,427.758,,34.104,,8.0,
2014-01,287.819,,194.289,,99.718,,294.007,,431.131,,55.500,,12.9,
2014-04,301.534,,199.061,,96.535,,295.596,,427.665,,40.960,,9.6,
2014-07,304.443,,209.114,,98.699,,307.813,,434.646,,36.229,,8.3,
2014-10,340.374,,228.020,,99.069,,327.089,,441.067,,37.921,,8.6,
2015-01,298.078,,200.087,,103.932,,304.019,,441.392,,57.189,,13.0,
2015-04,314.514,,206.660,,101.122,,307.782,,440.216,,43.652,,9.9,
2015-07,317.388,,217.667,,102.627,,320.294,,446.384,,38.072,,8.5,
2015-10,355.476,,238.877,,102.778,,341.655,,454.347,,40.457,,8.9,
2016-01,311.809,,209.093,,106.916,,316.009,,457.550,,61.661,,13.5,
2016-04,325.934,,214.346,,104.981,,319.327,,455.693,,44.442,,9.8,
2016-07,329.676,,225.258,,107.837,,333.095,,459.915,,40.018,,8.7,
2016-10,369.969,,247.594,,106.485,,354.079,,468.320,,41.641,,8.9,
2017-01,325.138,,217.692,,111.689,,329.381,,476.732,,66.513,,14.0,
2017-04,339.922,,222.168,,109.144,,331.312,,468.640,,47.159,,10.1,
2017-07,344.371,,234.889,,110.936,,345.825,,475.662,,42.625,,9.0,
2017-10,385.995,,257.780,,109.983,,367.763,,484.207,,46.479,,9.6,
2018-01,340.643,,227.857,,114.555,,342.412,,496.604,,72.747,,14.6,
2018-04,356.264,,232.560,,112.181,,344.741,,487.035,,52.849,,10.9,
2018-07,362.198,,246.765,,114.256,,361.021,,490.757,,48.087,,9.8,
2018-10,403.541,,269.070,,113.308,,382.378,,501.360,,50.016,,10.0,
2019-01,355.838,,239.396,,118.502,,357.898,,506.770,,72.797,,14.4,
2019-04,372.134,,244.178,,117.230,,361.408,,499.037,,50.676,,10.2,
2019-07,378.710,,259.547,,119.789,,379.336,,504.672,,46.068,,9.1,
2019-10,417.381,,278.883,,118.899,,397.782,,511.113,,49.138,,9.6,
2020-01,366.174,,246.383,,125.036,,371.419,,520.419,,84.200,,16.2,
2020-04,355.860,,234.804,,130.434,,365.238,,491.657,,97.427,,19.8,
2020-07,374.109,,258.096,,132.034,,390.130,,508.133,,66.533,,13.1,
2020-10,417.914,,282.055,,131.282,,413.337,,514.864,,78.935,,15.3,
2021-01,361.978,,245.056,,136.740,,381.796,,517.477,,113.734,,22.0,
2021-04,375.197,,249.986,,135.158,,385.144,,508.252,,82.639,,16.3,
