"",BBK01.WU3140,BBK01.WU3140_FLAGS,BBK01.WU3141,BBK01.WU3141_FLAGS,BBK01.WU001A,BBK01.WU001A_FLAGS,BBK01.WU018A,BBK01.WU018A_FLAGS,BBK01.WU035A,BBK01.WU035A_FLAGS,BBK01.WU046A,BBK01.WU046A_FLAGS,BBK01.WX3041,BBK01.WX3041_FLAGS,BBK01.WX9141,BBK01.WX9141_FLAGS
1974-04,,,,,,,,,90.71,,31.65,,,,,
1974-05,,,,,,,,,89.66,,31.49,,,,,
1974-06,,,,,,,,,89.64,,31.69,,,,,
1974-07,,,,,,,,,89.55,,31.87,,,,,
1974-08,,,,,,,,,89.65,,32.12,,,,,
1974-09,,,,,,,,,89.45,,32.26,,,,,
1974-10,,,,,,,,,89.80,,32.61,,,,,
1974-11,,,,,,,,,92.02,,33.63,,,,,
1974-12,,,,,,,,,93.26,,34.31,,,,,
1975-01,,,,,,,,,96.07,,35.56,,,,,
1975-02,,,,,,,,,97.34,,36.25,,,,,
1975-03,,,,,,,,,97.12,,36.39,,,,,
1975-04,,,,,,,,,98.14,,37.00,,,,,
1975-05,,,,,,,,,99.03,,37.56,,,,,
1975-06,,,,,,,,,98.89,,37.74,,,,,
1975-07,,,,,,,,,99.20,,38.08,,,,,
1975-08,,,,,,,,,99.06,,38.26,,,,,
1975-09,,,,,,,,,98.92,,38.44,,,,,
1975-10,,,,,,,,,97.87,,38.26,,,,,
1975-11,,,,,,,,,98.33,,38.68,,,,,
1975-12,,,,,,,,,98.41,,38.94,,,,,
1976-01,,,,,,,,,99.17,,39.48,,,,,
1976-02,,,,,,,,,100.48,,40.24,,,,,
1976-03,,,,,,,,,100.96,,40.67,,,,,
1976-04,,,,,,,,,100.78,,40.84,,,,,
1976-05,,,,,,,,,99.32,,40.50,,,,,
1976-06,,,,,,,,,98.92,,40.58,,,,,
1976-07,,,,,,,,,98.55,,40.67,,,,,
1976-08,,,,,,,,,99.13,,41.16,,,,,
1976-09,,,,,,,,,99.71,,41.65,,,,,
1976-10,,,,,,,,,100.26,,42.13,,,,,
1976-11,,,,,,,,,102.04,,43.13,,,,,
1976-12,,,,,,,,,101.80,,43.28,,,,,
1977-01,,,,,,,,,102.51,,43.84,,,,,
1977-02,,,,,,,,,102.64,,44.15,,,,,
1977-03,,,,,,,,,104.36,,45.15,,,,,
1977-04,,,,,,,,,105.68,,45.98,,,,,
1977-05,,,,,,,,,105.74,,46.27,,,,,
1977-06,,,,,,,,,105.90,,46.60,,,,,
1977-07,,,,,,,,,106.73,,47.23,,,,,
1977-08,,,,,,,,,107.28,,47.74,,,,,
1977-09,,,,,,,,,107.46,,48.09,,,,,
1977-10,,,,,,,,,107.52,,48.38,,,,,
1977-11,,,,,,,,,107.45,,48.62,,,,,
1977-12,,,,,,,,,108.01,,49.15,,,,,
1978-01,,,,,,,,,108.71,,49.73,,,,,
1978-02,,,,,,,,,109.64,,50.43,,,,,
1978-03,,,,,,,,,109.65,,50.71,,,,,
1978-04,,,,,,,,,109.21,,50.79,,,,,
1978-05,,,,,,,,,108.47,,50.73,,,,,
1978-06,,,,,,,,,107.38,,50.49,,,,,
1978-07,,,,,,,,,105.39,,49.84,,,,,
1978-08,,,,,,,,,105.47,,50.16,,,,,
1978-09,,,,,,,,,106.00,,50.70,,,,,
1978-10,,,,,,,,,105.45,,50.73,,,,,
1978-11,,,,,,,,,105.07,,50.83,,,,,
1978-12,,,,,,,,,104.81,,50.99,,,,,
1979-01,,,,,,,,,103.71,,50.75,,,,,
1979-02,,,,,,,,,102.66,,50.53,,,,,
1979-03,,,,,,,,,102.30,,50.65,,,,,
1979-04,,,,,,,,,100.78,,50.20,,,,,
1979-05,,,,,,,,,98.60,,49.41,,,,,
1979-06,,,,,,,,,98.31,,49.56,,,,,
1979-07,,,,,,,,,99.10,,50.26,,,,,
1979-08,,,,,,,,,99.72,,50.88,,,,,
1979-09,,,,,,,,,99.51,,51.08,,,,,
1979-10,,,,,,,,,97.33,,50.27,,,,,
1979-11,,,,,,,,,97.92,,50.89,,,,,
1979-12,,,,,,,,,98.02,,51.25,,,,,
1980-01,,,,,,,,,96.85,,50.95,,,,,
1980-02,,,,,,,,,94.04,,49.79,,,,,
1980-03,,,,,,,,,90.66,,48.32,,,,,
1980-04,,,,,,,,,93.92,,50.37,,,,,
1980-05,,,,,,,,,96.14,,51.88,,,,,
1980-06,,,,,,,,,97.64,,53.02,,,,,
1980-07,,,,,,,,,98.66,,53.90,,,,,
1980-08,,,,,,,,,97.90,,53.81,,,,,
1980-09,,,,,,,,,96.57,,53.41,,,,,
1980-10,,,,,,,,,95.50,,53.15,,,,,
1980-11,,,,,,,,,95.03,,53.22,,,,,
1980-12,,,,,,,,,93.75,,52.84,,,,,
1981-01,,,,,,,,,93.06,,52.79,,,,,
1981-02,,,,,,,,,88.42,,50.50,,,,,
1981-03,,,,,,,,,89.83,,51.65,,,,,
1981-04,,,,,,,,,88.88,,51.45,,,,,
1981-05,,,,,,,,,86.02,,50.14,,,,,
1981-06,,,,,,,,,87.63,,51.43,,,,,
1981-07,,,,,,,,,86.70,,51.23,,,,,
1981-08,,,,,,,,,85.88,,51.11,,,,,
1981-09,,,,,,,,,87.34,,52.33,,,,,
1981-10,,,,,,,,,88.86,,53.60,,,,,
1981-11,,,,,,,,,91.13,,55.33,,,,,
1981-12,,,,,,,,,90.85,,55.52,,,,,
1982-01,,,,,,,,,90.80,,55.86,,,,,
1982-02,,,,,,,,,91.06,,56.39,,,,,
1982-03,,,,,,,,,92.86,,57.88,,,,,
1982-04,,,,,,,,,95.01,,59.59,,,,,
1982-05,,,,,,,,,94.77,,59.82,,,,,
1982-06,,,,,,,,,92.55,,58.79,,,,,
1982-07,,,,,,,,,93.41,,59.72,,,,,
1982-08,,,,,,,,,94.83,,61.01,,,,,
1982-09,,,,,,,,,96.39,,62.40,,,,,
1982-10,,,,,,,,,97.92,,63.78,,,,,
1982-11,,,,,,,,,98.07,,64.27,,,,,
1982-12,,,,,,,,,99.86,,65.83,,,,,
1983-01,,,,,,,,,99.93,,66.28,,,,,
1983-02,,,,,,,,,100.43,,67.01,,,,,
1983-03,,,,,,,,,101.20,,67.92,,,,,
1983-04,,,,,,,,,100.56,,67.89,,,,,
1983-05,,,,,,,,,97.93,,66.52,,,,,
1983-06,,,,,,,,,98.42,,67.27,,,,,
1983-07,,,,,,,,,97.82,,67.27,,,,,
1983-08,,,,,,,,,96.84,,67.00,,,,,
1983-09,,,,,,,,,97.27,,67.72,,,,,
1983-10,,,,,,,,,97.93,,68.60,,,,,
1983-11,,,,,,,,,97.48,,68.70,,,,,
1983-12,,,,,,,,,97.40,,69.06,,,,,
1984-01,,,,,,,,,97.68,,69.69,,,,,
1984-02,,,,,,,,,98.84,,70.94,,,,,
1984-03,,,,,,,,,98.71,,71.28,,,,,
1984-04,,,,,,,,,98.65,,71.67,,,,,
1984-05,,,,,,,,,97.91,,71.57,,,,,
1984-06,,,,,,,,,98.08,,72.13,,,,,
1984-07,,,,,,,,,97.85,,72.40,,,,,
1984-08,,,,,,,,,99.32,,73.94,,,,,
1984-09,,,,,,,,,100.07,,74.95,,,,,
1984-10,,,,,,,,,101.37,,76.36,,,,,
1984-11,,,,,,,,,102.43,,77.61,,,,,
1984-12,,,,,,,,,102.56,,78.17,,,,,
1985-01,,,,,,,,,101.69,,77.96,,,,,
1985-02,,,,,,,,,99.96,,77.10,,,,,
1985-03,,,,,,,,,100.72,,78.15,,,,,
1985-04,,,,,,,,,101.42,,79.15,,,,,
1985-05,,,,,,,,,102.40,,80.39,,,,,
1985-06,,,,,,,,,102.97,,81.31,,,,,
1985-07,,,,,,,,,103.94,,82.55,,,,,
1985-08,,,,,,,,,105.56,,84.31,,,,,
1985-09,,,,,,,,,105.74,,84.93,,,,,
1985-10,,,,,,,,,103.91,,83.94,,,,,
1985-11,,,,,,,,,104.61,,85.00,,,,,
1985-12,,,,,,,,,105.49,,86.19,,,,,
1986-01,,,,,,,,,105.61,,86.78,,,,,
1986-02,,,,,,,,,107.16,,88.56,,,,,
1986-03,,,,,,,,,108.30,,89.99,,,,,
1986-04,,,,,,,,,109.15,,91.20,,,,,
1986-05,,,,,,,,,107.08,,89.97,,,,,
1986-06,,,,,,,,,107.43,,90.77,,,,,
1986-07,,,,,,,,,107.88,,91.66,,,,,
1986-08,,,,,,,,,108.63,,92.80,,,,,
1986-09,,,,,,,,,107.34,,92.21,,,,,
1986-10,,,,,,,,,106.40,,91.91,,,,,
1986-11,,,,,,,,,107.24,,93.16,,,,,
1986-12,,,,,,,,,107.17,,93.62,,,,,
1987-01,,,,,,,,,108.28,,95.11,,,,,
1987-02,,,,,,,,,108.07,,95.46,,,,,
1987-03,,,,,,,,,109.23,,97.01,,,,,
1987-04,,,,,,,,,109.58,,97.86,,,,,
1987-05,,,,,,,,,109.99,,98.76,,,,,
1987-06,,,,,,,,,108.27,,97.75,,,,,
1987-07,,,,,,,,,109.12,,99.07,,,,,
1987-08,,,,,,,,,106.43,,97.17,,,,,
1987-09,,,,,,,,,105.11,,96.51,,,,,
1987-10,,,,,,,,,106.13,,98.00,,,,,
1987-11,,,,,,,,,107.43,,99.75,Estimated value,,,,
1987-12,1000.00,,1000.00,,,,,,107.10,,100.00,,,,,
1988-01,935.73,,935.57,,,,,,107.34,,101.00,,,,,
1988-02,1077.79,,1079.55,,,,,,108.44,,102.55,,,,,
1988-03,1058.09,,1063.17,,,,,,108.20,,102.82,,,,,
1988-04,1048.82,,1054.46,,,,,,107.00,,102.19,,,,,
1988-05,1070.74,,1083.36,,,,,,106.26,,102.19,,,,,
1988-06,1117.00,,1140.49,,,,,,105.64,,102.18,,,,,
1988-07,1148.27,,1181.72,,,,,,104.12,,101.30,,,,,
1988-08,1132.15,,1165.36,,,,,,104.18,,101.73,,,,,
1988-09,1217.34,,1252.69,,,,,,105.26,,103.53,,,,,
1988-10,1263.49,,1300.79,,,,,,106.71,,105.31,,,,,
1988-11,1239.37,,1275.99,,,,,,105.67,,105.06,,,,,
1988-12,1289.80,,1327.87,,,,,,105.03,,104.95,Corrected value,,,,
1989-01,1274.77,,1312.73,,,,,,103.47,,103.85,,,,,
1989-02,1249.72,,1288.66,,,,,,101.75,,103.01,,,,,
1989-03,1278.73,,1322.66,,,,,,102.09,,103.93,,,,,
1989-04,1324.78,,1370.90,,,,,,102.46,,104.61,,,,,
1989-05,1353.48,,1407.29,,,,,,101.39,,104.35,,,,,
1989-06,1404.60,,1473.72,,,,,,102.41,,106.14,,,,,
1989-07,1475.10,,1554.16,,,,,,103.23,,107.62,,,,,
1989-08,1516.28,,1597.85,,,,,,102.21,,106.92,,,,,
1989-09,1494.04,,1574.37,,,,,,101.06,,106.31,,,,,
1989-10,1396.82,,1472.76,,,,,,100.40,,106.30,,,,,
1989-11,1496.07,,1577.43,,,,,,99.03,,105.83,,,,,
1989-12,1698.07,,1790.37,,,,,,99.46,,106.64,,,,,
1990-01,1726.59,,1822.78,,,,,,97.59,,105.29,,,,,
1990-02,1714.24,,1809.92,,,,,,94.20,,102.23,,,,,
1990-03,1859.92,,1968.55,,,,,,94.88,,103.67,,,,,
1990-04,1713.18,,1813.25,,,,,,93.84,,103.18,,,,,
1990-05,1735.44,,1844.81,,,,,,94.07,,104.10,,,,,
1990-06,1755.10,,1879.90,,,,,,94.41,,105.12,,,,,
1990-07,1783.68,,1919.12,,,,,,95.28,,106.78,,,,,
1990-08,1514.34,,1629.51,,,,,,93.63,,105.61,,,,,
1990-09,1240.55,,1334.89,,,,,,93.12,,105.65,,,,,
1990-10,1331.25,,1433.82,,,,,,93.66,,106.99,,,,,
1990-11,1338.12,,1441.23,,,,,,93.82,,107.87,,,,,
1990-12,1295.71,,1398.23,,,,,,93.50,,108.14,,,,,
1991-01,1315.96,,1420.08,,,,,,94.28,,109.78,,,,,
1991-02,1429.02,,1542.09,,,,,,95.73,,112.13,,,,,
1991-03,1409.83,,1522.80,,,,,,95.24,,112.26,,,,,
1991-04,1483.24,,1605.79,,,,,,95.62,,113.46,,,,,
1991-05,1564.03,,1704.11,,,,,,96.10,,114.77,,,,,
1991-06,1476.01,,1622.18,,,,,,95.23,,114.39,,,,,
1991-07,1469.37,,1622.31,,,,,,94.34,,114.09,,,,,
1991-08,1494.81,,1650.50,,,,,,95.30,,115.97,,,,,
1991-09,1455.28,,1607.03,,,,,,95.36,,116.78,,,,,
1991-10,1431.59,,1582.06,,,,,,95.31,,117.45,,,,,
1991-11,1417.51,,1566.57,,,,,,95.49,,118.39,,,,,
1991-12,1424.79,,1577.98,,,,,,96.35,,120.22,,,,,
1992-01,1523.84,,1687.49,,,,,,97.59,,122.52,,,,,
1992-02,1575.80,,1745.13,,,,,,97.70,,123.37,,,,,
1992-03,1546.62,,1717.86,,,,,,96.90,,123.16,,,,,
1992-04,1554.18,,1734.03,,,,,,96.76,,123.79,,,,,
1992-05,1602.91,,1803.22,,,,,,97.00,,124.79,,,,,
1992-06,1552.40,,1752.63,,,,,,96.51,,124.96,,,,,
1992-07,1426.37,,1615.42,,,,,,96.04,,125.13,,,,,
1992-08,1360.61,,1541.25,,,,,,96.69,,126.75,,,,,
1992-09,1294.64,,1466.36,,,,,,98.98,,130.54,,,,,
1992-10,1316.34,,1492.32,,,,,,100.47,,133.31,,,,,
1992-11,1362.21,,1544.34,,,,,,100.74,,134.46,,,,,
1992-12,1359.55,,1545.05,,,,,,101.54,,136.34,,,,,
1993-01,1383.12,,1571.85,,,,,,102.11,,137.87,,,,,
1993-02,1482.21,,1684.35,,,,,,104.17,,141.40,,,,,
1993-03,1477.88,,1684.21,,,,,,104.19,,142.34,,,,,
1993-04,1419.58,,1627.19,,,,,,103.61,,142.37,,,,,
1993-05,1408.41,,1631.85,,,,,,103.50,,142.98,,,,,
1993-06,1464.90,,1697.63,,,,,,104.25,,144.79,,,,,
1993-07,1553.59,,1803.23,,,,,,104.97,,146.57,,,,,
1993-08,1676.08,,1944.89,,,,,,106.27,,149.10,,,,,
1993-09,1650.86,,1915.71,,,,,,106.82,,150.64,,,,,
1993-10,1781.81,,2069.00,,,,,,108.05,,153.01,,,,,
1993-11,1772.12,,2057.77,,,,,,108.45,,154.29,,,,,
1993-12,1948.66,,2266.68,,,,,,109.36,,156.33,,,,,
1994-01,1872.05,,2177.45,,,,,,108.92,,156.37,,,,,
1994-02,1798.35,,2091.57,,,,,,106.10,,153.22,,,,,
1994-03,1830.26,,2133.11,,,,,,105.77,,153.45,,,,,
1994-04,1920.27,,2245.98,,,,,,104.53,,152.34,,,,,
1994-05,1804.33,,2127.70,,,,,,103.44,,151.55,,,,,
1994-06,1716.89,,2025.34,,174.27,,201.87,,103.22,,152.10,,,,,
1994-07,1817.36,,2146.64,,181.37,,210.51,,103.38,,153.12,,,,,
1994-08,1873.28,,2212.85,,186.02,,215.99,,102.03,,151.97,,,,,
1994-09,1703.03,,2011.75,,172.24,,200.00,,100.57,,150.78,,,,,
1994-10,1749.21,,2071.63,,175.20,,203.57,,100.68,,151.76,,,,,
1994-11,1729.25,,2048.26,,173.04,,201.10,,101.16,,153.38,,,,,
1994-12,1774.95,,2106.58,,176.87,,205.92,,99.90,,152.40,,,,,
1995-01,1703.25,,2021.27,,169.53,,197.38,,100.92,,154.84,,,,,
1995-02,1768.07,,2102.18,,175.10,,204.09,,101.49,,156.64,,,,,
1995-03,1615.74,,1922.59,,161.62,,188.50,,102.97,,159.90,,,,,
1995-04,1688.28,,2015.94,,168.53,,197.01,,103.73,,161.96,,,,,
1995-05,1731.83,,2092.17,,173.58,,204.66,,105.73,,165.93,,,,,
1995-06,1724.25,,2083.93,,174.13,,205.90,,103.82,,163.86,,,,,
1995-07,1832.79,,2218.74,,183.03,,216.92,,104.74,,166.14,,,,,
1995-08,1849.10,,2238.31,,183.37,,217.38,,105.43,,168.19,,,,,
1995-09,1806.82,,2187.04,,179.58,,212.88,,105.85,,169.78,,,,,
1995-10,1789.71,,2167.91,,175.93,,208.71,,106.84,,172.24,,,,,
1995-11,1851.50,,2242.83,,179.30,,212.72,,108.34,,175.62,,,,,
1995-12,1857.29,,2253.88,,181.47,,215.70,,109.18,,177.84,,,,,
1996-01,2035.49,,2470.14,,194.88,,231.65,,109.94,,179.93,,,,,
1996-02,2035.50,,2473.55,,193.87,,230.67,,107.60,,177.06,,,,,
1996-03,2043.72,,2485.87,,193.63,,230.60,,107.48,,177.76,,,,,
1996-04,2055.81,,2505.25,,193.39,,230.65,,108.26,,180.03,,,,,
1996-05,2064.84,,2542.80,,195.83,,235.52,,107.69,,180.06,,,,,
1996-06,2078.25,,2561.39,,200.01,,241.12,,106.73,,179.37,,,,,
1996-07,2003.64,,2473.35,,192.98,,233.20,,107.56,,181.73,,,,,
1996-08,2060.68,,2543.83,,197.77,,239.02,,107.85,,183.21,,,,,
1996-09,2148.18,,2651.85,,204.40,,247.11,,109.04,,186.17,,,,,
1996-10,2152.90,,2659.25,,204.37,,247.19,,109.34,,187.69,,,,,
1996-11,2303.75,,2845.52,,214.38,,259.30,,110.65,,190.83,,,,,
1996-12,2334.95,,2888.69,,217.47,,263.46,,110.37,,191.26,,,,,
1997-01,2453.25,,3035.15,,229.12,,277.59,,110.73,,192.84,,,,,
1997-02,2631.59,,3259.64,,243.73,,295.55,,111.70,,195.44,,,,,
1997-03,2760.06,,3429.05,,255.74,,310.29,,110.02,,193.35,,,,,
1997-04,2773.71,,3438.07,,256.62,,311.46,,110.35,,194.98,,,,,
1997-05,2837.48,,3547.84,,264.45,,323.38,,109.99,,195.01,,,,,
1997-06,3021.64,,3785.77,,279.16,,342.39,,110.96,,198.27,,,,,
1997-07,3538.62,,4438.93,,317.59,,390.13,,111.05,,199.41,,,,,
1997-08,3113.46,,3906.03,,285.09,,350.31,,110.18,,198.66,,,,,
1997-09,3322.16,,4167.85,,300.37,,369.15,,110.69,,200.08,,,,,
1997-10,2970.52,,3726.69,,273.04,,335.60,,110.09,,199.67,,,,,
1997-11,3147.83,,3949.14,,284.95,,350.22,,110.43,,201.22,,,,,
1997-12,3383.21,,4249.69,,301.47,,371.02,,111.01,,203.81,,,,,
1998-01,3535.02,,4440.38,,314.55,,387.12,,112.53,,207.20,,,,,
1998-02,3746.61,,4709.83,,333.65,,410.88,,112.89,,208.97,,,,,
1998-03,4057.23,,5102.35,,358.88,,442.15,,112.76,,209.22,,,,,
1998-04,4061.42,,5107.44,,360.80,,444.55,,112.29,,208.80,,,,,
1998-05,4397.83,,5569.08,,385.43,,477.84,,113.05,,211.38,,,,,
1998-06,4648.07,,5897.44,,400.13,,497.50,,113.40,,213.03,,,,,
1998-07,4626.47,,5873.92,,400.02,,497.86,,113.83,,214.80,,,,,
1998-08,3806.54,,4833.89,,334.70,,416.74,,116.13,,220.09,,,,,
1998-09,3522.76,,4474.51,,311.18,,387.60,,117.23,,222.59,,,,,
1998-10,3677.55,,4671.12,,322.83,,402.20,,116.72,,222.53,,,,,
1998-11,3950.60,,5022.70,,343.90,,428.87,,117.57,,224.53,,,,,
1998-12,3933.96,,5002.39,,343.64,,428.66,,118.18,,226.72,,100.00,,100.00,
1999-01,4057.43,,5159.96,,354.47,,442.21,,119.48,,229.95,,100.99,,101.39,
1999-02,3859.88,,4911.81,,341.57,,426.38,,117.60,,226.98,,99.11,,99.96,
1999-03,3835.66,,4884.20,,337.39,,421.39,,118.20,,228.61,,99.30,,100.63,
1999-04,4229.93,,5393.11,,364.29,,455.50,,118.98,,231.69,,99.98,,101.75,
1999-05,3934.06,,5069.83,,344.69,,434.94,,117.83,,229.99,,98.76,,100.99,
1999-06,4188.30,,5378.52,,363.10,,457.72,,115.22,,225.62,,96.61,,99.30,
1999-07,3969.39,,5101.87,,349.38,,441.12,,113.65,,223.94,,95.28,,98.41,
1999-08,4100.66,,5270.77,,357.19,,451.08,,113.19,,223.25,,94.77,,98.37,
1999-09,4006.44,,5149.83,,347.58,,439.07,,112.33,,222.11,,94.03,,98.06,
1999-10,4298.62,,5525.40,,367.98,,464.84,,111.45,,221.59,,93.40,,97.84,
1999-11,4584.13,,5896.04,,391.41,,494.70,,111.64,,222.57,,93.46,,98.37,
1999-12,5409.33,,6958.14,,445.95,,564.44,,110.60,,222.31,,92.52,,97.87,
2000-01,5314.07,,6835.60,,445.21,,563.51,,109.61,,220.63,,91.74,,97.52,
2000-02,5939.29,,7644.55,,506.08,,640.82,,109.74,,222.25,,91.94,,98.15,
2000-03,5904.71,,7599.39,,499.99,,633.16,,110.77,,225.43,,93.00,,99.71,
2000-04,5739.40,,7414.68,,486.69,,617.99,,110.15,,225.09,,92.54,,99.65,
2000-05,5475.93,,7109.67,,461.09,,588.83,,109.83,,225.62,,92.57,,100.17,
2000-06,5300.34,,6898.21,,449.31,,574.76,,109.97,,227.33,,92.49,,100.52,
2000-07,5519.15,,7190.37,,460.77,,590.13,,109.62,,227.46,,92.37,,100.85,
2000-08,5539.47,,7216.45,,463.12,,593.24,,109.50,,227.59,,91.95,,100.87,
2000-09,5218.27,,6798.12,,437.41,,560.39,,110.09,,229.65,,92.22,,101.60,
2000-10,5432.67,,7077.44,,443.97,,568.80,,110.20,,230.78,,92.22,,102.06,
2000-11,4888.22,,6372.33,,396.27,,508.00,,111.31,,234.25,,92.90,,103.25,
2000-12,4934.85,,6433.61,,396.59,,508.49,,112.48,,237.55,,94.11,,104.99,
2001-01,5212.04,,6795.14,,414.59,,531.61,,112.74,,239.32,,94.27,,105.66,
2001-02,4757.29,,6208.24,,384.17,,493.02,,112.81,,240.68,,94.38,,106.20,
2001-03,4465.23,,5829.95,,360.41,,462.78,,113.31,,242.49,,94.69,,107.00,
2001-04,4769.96,,6264.51,,381.73,,492.45,,111.46,,239.85,,92.93,,105.53,
2001-05,4627.06,,6123.26,,373.26,,484.95,,111.20,,240.17,,92.64,,105.69,
2001-06,4567.89,,6058.38,,368.48,,480.19,,111.91,,242.72,,93.02,,106.54,
