"",BBFB1.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.D76._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D76._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D61._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D61._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
1974-09,220.210,,1669.327,,-1449.117,,140.270,,82.394,,782.760,,126.700,,231.854,,-642.490,,79.940,,886.567,,750.000,,750.000,,8.319,,-806.627,
1974-10,287.649,,1555.722,,-1268.073,,205.583,,166.376,,714.813,,183.200,,93.436,,-509.230,,82.066,,840.909,,650.000,,650.000,,8.776,,-758.843,
1974-11,227.300,,1916.245,,-1688.945,,131.894,,91.318,,1061.654,,387.600,,256.805,,-929.760,,95.406,,854.591,,700.000,,700.000,,8.883,,-759.185,
1974-12,269.153,,1753.556,,-1484.403,,178.846,,138.269,,837.726,,124.000,,234.318,,-658.880,,90.307,,915.830,,750.000,,750.000,,9.992,,-825.523,
1975-01,289.418,,1486.482,,-1197.064,,224.605,,148.167,,782.081,,115.600,,95.635,,-557.476,,64.813,,704.401,,500.000,,500.000,,10.171,,-639.588,
1975-02,230.106,,1392.708,,-1162.602,,146.793,,111.066,,686.347,,113.400,,94.909,,-539.554,,83.313,,706.361,,550.000,,550.000,,9.226,,-623.048,
1975-03,340.167,,1352.882,,-1012.715,,250.141,,133.860,,651.476,,111.700,,249.225,,-401.335,,90.026,,701.406,,550.000,,550.000,,8.529,,-611.380,
1975-04,298.429,,1552.404,,-1253.975,,213.359,,177.822,,760.329,,286.200,,110.121,,-546.970,,85.070,,792.075,,650.000,,650.000,,9.577,,-707.005,
1975-05,273.872,,1557.059,,-1283.187,,203.382,,167.500,,816.923,,296.200,,151.375,,-613.541,,70.490,,740.136,,600.000,,600.000,,11.889,,-669.646,
1975-06,358.137,,1631.341,,-1273.204,,270.037,,234.156,,836.749,,202.400,,252.333,,-566.712,,88.100,,794.592,,650.000,,650.000,,12.583,,-706.492,
1975-07,325.933,,1824.943,,-1499.010,,246.181,,204.719,,830.662,,205.600,,114.984,,-584.481,,79.752,,994.281,,800.000,,800.000,,8.497,,-914.529,
1975-08,266.638,,1771.041,,-1504.403,,189.372,,148.410,,708.107,,218.900,,124.394,,-518.735,,77.266,,1062.934,,850.000,,850.000,,9.542,,-985.668,
1975-09,215.157,,1865.421,,-1650.264,,111.137,,69.137,,950.688,,272.400,,269.070,,-839.551,,104.020,,914.733,,750.000,,750.000,,10.507,,-810.713,
1975-10,256.785,,1775.930,,-1519.145,,178.274,,136.313,,934.663,,364.900,,148.318,,-756.389,,78.511,,841.267,,650.000,,650.000,,10.485,,-762.756,
1975-11,211.179,,1652.646,,-1441.467,,135.357,,94.537,,813.215,,238.300,,186.590,,-677.858,,75.822,,839.431,,650.000,,650.000,,9.480,,-763.609,
1975-12,357.465,,1982.764,,-1625.299,,255.326,,212.966,,1124.661,,330.200,,242.218,,-869.335,,102.139,,858.103,,700.000,,700.000,,10.776,,-755.964,
1976-01,306.388,,1741.471,,-1435.083,,222.932,,156.641,,985.274,,74.900,,154.950,,-762.342,,83.456,,756.197,,550.000,,550.000,,11.106,,-672.741,
1976-02,207.534,,1389.437,,-1181.903,,121.324,,84.103,,630.856,,131.900,,169.338,,-509.532,,86.210,,758.581,,550.000,,550.000,,10.185,,-672.371,
1976-03,261.547,,1502.677,,-1241.130,,163.884,,126.422,,740.680,,167.700,,269.450,,-576.796,,97.663,,761.997,,600.000,,600.000,,10.118,,-664.334,
1976-04,278.069,,1682.731,,-1404.662,,195.453,,158.405,,836.672,,176.000,,155.702,,-641.219,,82.616,,846.059,,650.000,,650.000,,10.081,,-763.443,
1976-05,249.094,,2135.905,,-1886.811,,169.088,,131.624,,1290.301,,233.300,,676.872,,-1121.213,,80.006,,845.604,,650.000,,650.000,,11.158,,-765.598,
1976-06,419.914,,1825.204,,-1405.290,,322.507,,211.445,,973.846,,367.800,,213.774,,-651.339,,97.407,,851.358,,700.000,,700.000,,11.039,,-753.951,
1976-07,392.758,,2072.973,,-1680.215,,298.144,,254.045,,1118.441,,188.000,,226.156,,-820.297,,94.614,,954.532,,750.000,,750.000,,11.886,,-859.918,
1976-08,233.414,,1943.149,,-1709.735,,150.725,,105.869,,916.070,,412.500,,204.225,,-765.345,,82.689,,1027.079,,850.000,,850.000,,11.503,,-944.390,
1976-09,250.631,,1801.651,,-1551.020,,161.239,,114.542,,839.975,,311.900,,250.268,,-678.736,,89.392,,961.676,,800.000,,800.000,,12.050,,-872.284,
1976-10,270.690,,1810.266,,-1539.576,,179.355,,134.674,,937.391,,270.100,,230.186,,-758.036,,91.335,,872.875,,700.000,,700.000,,11.722,,-781.540,
1976-11,283.587,,1685.384,,-1401.797,,199.070,,154.972,,797.021,,212.200,,262.967,,-597.951,,84.517,,888.363,,650.000,,650.000,,11.566,,-803.846,
1976-12,580.526,,1951.855,,-1371.329,,490.870,,445.947,,1022.241,,321.800,,239.236,,-531.371,,89.656,,929.614,,750.000,,750.000,,12.982,,-839.958,
1977-01,491.839,,2126.179,,-1634.340,,374.908,,196.466,,1371.941,,401.200,,264.889,,-997.033,,116.931,,754.238,,500.000,,500.000,,10.363,,-637.307,
1977-02,340.549,,1746.025,,-1405.476,,248.922,,208.964,,1055.314,,248.900,,219.772,,-806.392,,91.627,,690.711,,500.000,,500.000,,8.965,,-599.084,
1977-03,332.384,,1653.136,,-1320.752,,199.508,,159.352,,928.228,,308.400,,238.167,,-728.720,,132.876,,724.908,,500.000,,500.000,,10.368,,-592.032,
1977-04,314.870,,1958.148,,-1643.278,,225.533,,184.374,,1111.844,,409.400,,219.501,,-886.311,,89.337,,846.304,,600.000,,600.000,,9.884,,-756.967,
1977-05,343.924,,2137.431,,-1793.507,,250.820,,209.662,,1276.700,,267.200,,682.586,,-1025.880,,93.104,,860.731,,600.000,,600.000,,10.001,,-767.627,
1977-06,482.798,,1618.208,,-1135.410,,374.499,,334.343,,826.880,,233.900,,208.171,,-452.381,,108.299,,791.328,,600.000,,600.000,,9.939,,-683.029,
1977-07,428.576,,2372.173,,-1943.597,,321.323,,276.081,,1361.411,,394.000,,275.863,,-1040.088,,107.253,,1010.762,,750.000,,750.000,,11.586,,-903.509,
1977-08,271.983,,2336.754,,-2064.771,,176.387,,122.926,,1198.436,,586.400,,223.598,,-1022.049,,95.596,,1138.318,,850.000,,850.000,,10.134,,-1042.722,
1977-09,806.519,,1938.783,,-1132.264,,685.074,,627.417,,1048.426,,373.500,,250.395,,-363.352,,121.445,,890.357,,700.000,,700.000,,10.264,,-768.912,
1977-10,347.708,,1949.706,,-1601.998,,238.210,,188.551,,1091.209,,338.700,,259.350,,-852.999,,109.498,,858.497,,600.000,,600.000,,11.171,,-748.999,
1977-11,300.447,,1940.901,,-1640.454,,185.089,,133.128,,1125.499,,479.600,,303.235,,-940.410,,115.358,,815.402,,600.000,,600.000,,10.756,,-700.044,
1977-12,468.362,,1917.268,,-1448.906,,358.486,,312.528,,1014.726,,175.000,,252.772,,-656.240,,109.876,,902.542,,650.000,,650.000,,11.497,,-792.666,
1978-01,502.992,,2706.996,,-2204.004,,365.139,,232.403,,1905.179,,868.100,,284.986,,-1540.040,,137.853,,801.817,,550.000,,550.000,,10.573,,-663.964,
1978-02,263.403,,1749.843,,-1486.440,,156.972,,104.031,,982.108,,349.500,,224.209,,-825.136,,106.431,,767.735,,500.000,,500.000,,13.167,,-661.304,
1978-03,275.453,,1900.934,,-1625.481,,174.722,,132.285,,1108.502,,407.900,,223.899,,-933.780,,100.731,,792.432,,550.000,,550.000,,11.940,,-691.701,
1978-04,337.494,,2129.857,,-1792.363,,205.543,,163.102,,1274.598,,364.000,,248.541,,-1069.055,,131.951,,855.259,,600.000,,600.000,,10.746,,-723.308,
1978-05,329.879,,2431.031,,-2101.152,,200.899,,156.758,,1530.007,,480.500,,724.232,,-1329.108,,128.980,,901.024,,600.000,,600.000,,10.746,,-772.044,
1978-06,382.895,,2013.158,,-1630.263,,246.295,,203.858,,1107.808,,367.600,,258.222,,-861.513,,136.600,,905.350,,650.000,,650.000,,12.442,,-768.750,
1978-07,569.291,,2095.858,,-1526.567,,431.671,,383.537,,1012.128,,367.600,,292.002,,-580.457,,137.620,,1083.730,,800.000,,800.000,,11.432,,-946.110,
1978-08,303.833,,2270.273,,-1966.440,,193.597,,103.958,,1126.133,,443.700,,244.231,,-932.536,,110.236,,1144.140,,900.000,,900.000,,11.743,,-1033.904,
1978-09,247.686,,1903.611,,-1655.925,,134.822,,87.485,,967.584,,366.400,,294.886,,-832.762,,112.864,,936.027,,700.000,,700.000,,11.529,,-823.163,
1978-10,953.789,,2287.023,,-1333.234,,818.224,,172.385,,1395.311,,725.200,,238.064,,-577.087,,135.565,,891.712,,600.000,,600.000,,12.162,,-756.147,
1978-11,412.363,,1750.241,,-1337.878,,291.951,,240.737,,855.033,,148.000,,269.370,,-563.082,,120.412,,895.208,,650.000,,650.000,,12.410,,-774.796,
1978-12,390.867,,2370.455,,-1979.588,,280.226,,189.390,,1340.618,,359.800,,357.119,,-1060.392,,110.641,,1029.837,,700.000,,700.000,,13.206,,-919.196,
1979-01,430.952,,2275.134,,-1844.182,,313.969,,262.359,,1525.718,,414.300,,293.598,,-1211.749,,116.983,,749.416,,500.000,,500.000,,14.684,,-632.433,
1979-02,331.310,,2188.004,,-1856.694,,197.458,,126.549,,1409.262,,635.600,,244.288,,-1211.804,,133.852,,778.742,,500.000,,500.000,,14.291,,-644.890,
1979-03,303.727,,1998.078,,-1694.351,,170.984,,113.074,,1171.144,,427.600,,279.400,,-1000.160,,132.743,,826.934,,550.000,,550.000,,15.199,,-694.191,
1979-04,484.231,,2111.857,,-1627.626,,369.222,,317.256,,1244.363,,429.100,,251.556,,-875.141,,115.009,,867.494,,600.000,,600.000,,17.564,,-752.485,
1979-05,354.453,,2235.233,,-1880.780,,240.933,,181.466,,1330.861,,558.200,,273.451,,-1089.928,,113.520,,904.372,,600.000,,600.000,,17.741,,-790.852,
1979-06,414.637,,2183.715,,-1769.078,,319.523,,243.456,,1303.093,,455.100,,269.319,,-983.570,,95.114,,880.622,,600.000,,600.000,,18.188,,-785.508,
1979-07,604.723,,2427.252,,-1822.529,,476.013,,424.082,,1236.693,,444.800,,288.786,,-760.680,,128.710,,1190.559,,800.000,,800.000,,18.498,,-1061.849,
1979-08,427.778,,2529.264,,-2101.486,,318.871,,267.639,,1329.067,,539.000,,262.196,,-1010.196,,108.907,,1200.197,,900.000,,900.000,,16.652,,-1091.290,
1979-09,235.270,,2095.360,,-1860.090,,134.801,,85.072,,1135.920,,445.900,,305.951,,-1001.119,,100.469,,959.440,,650.000,,650.000,,21.279,,-858.971,
1979-10,459.857,,2140.285,,-1680.428,,331.915,,248.653,,1210.733,,441.800,,234.268,,-878.818,,127.942,,929.552,,650.000,,650.000,,16.877,,-801.610,
1979-11,356.603,,2271.880,,-1915.277,,232.549,,155.187,,1330.104,,582.200,,313.161,,-1097.555,,124.054,,941.776,,600.000,,600.000,,18.065,,-817.722,
1979-12,428.958,,2780.472,,-2351.514,,298.762,,226.671,,1757.262,,752.600,,262.976,,-1458.500,,130.196,,1023.210,,700.000,,700.000,,18.341,,-893.014,
1980-01,444.492,,3109.589,,-2665.097,,314.324,,241.396,,2186.462,,929.800,,286.304,,-1872.138,,130.168,,923.127,,550.000,,550.000,,17.538,,-792.959,
1980-02,494.735,,2235.242,,-1740.507,,362.172,,314.245,,1331.323,,584.000,,272.641,,-969.151,,132.563,,903.919,,550.000,,550.000,,16.553,,-771.356,
1980-03,341.338,,1724.218,,-1382.880,,177.005,,124.077,,821.229,,-,Nothing exists,292.260,,-644.224,,164.333,,902.989,,550.000,,550.000,,17.104,,-738.656,
1980-04,480.896,,2192.314,,-1711.418,,334.028,,251.746,,1357.518,,468.100,,269.506,,-1023.490,,146.868,,834.796,,550.000,,550.000,,18.465,,-687.928,
1980-05,327.412,,2190.978,,-1863.566,,190.351,,114.070,,1240.503,,471.500,,284.049,,-1050.152,,137.061,,950.475,,650.000,,650.000,,20.486,,-813.414,
1980-06,430.966,,2145.638,,-1714.672,,288.843,,217.264,,1113.419,,469.200,,269.200,,-824.576,,142.123,,1032.219,,650.000,,650.000,,19.886,,-890.096,
1980-07,688.730,,2941.376,,-2252.646,,550.528,,498.213,,1699.913,,618.700,,288.481,,-1149.385,,138.202,,1241.463,,900.000,,900.000,,20.160,,-1103.261,
1980-08,425.021,,2720.403,,-2295.382,,271.697,,198.681,,1322.118,,701.300,,288.283,,-1050.421,,153.324,,1398.285,,1000.000,,1000.000,,19.367,,-1244.961,
1980-09,311.069,,2242.950,,-1931.881,,178.437,,120.022,,1298.537,,495.300,,340.398,,-1120.100,,132.632,,944.413,,650.000,,650.000,,20.322,,-811.781,
