Exp or Imp,Year & Month,Grand Total,FOODSTUFF,, FISH AND FISH PREPARATION,," (SHRIMPS, PRAWNS, LOBSTERS)",, MEAT AND MEAT PREPARATION,," CEREALS, CEREAL PREPARATION",, VEGETABLES,, FRUITS,,RAW MATERIALS,, WOOD,, ORE OF NONFERROUS,, IRON ORE AND CONCENTRATES,, SOY BEANS,,MINERAL FUELS,, PETROLEUM,, PETROLEUM PRODUCTS,, (PETROLEUM SPIRITS),, LNG,, LPG,, COAL,, (COAL N.E.S),,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, WOOD & CORK MANUFACTURED,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, AUDIO AND VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, PARTS OF MOTOR VEHICLES,, AIRCRAFT,,OTHERS,," SCIENTIFIC, OPTICAL INST",, CLOTHING AND ACCESSORIES,, FURNITURE,, BAGS,
2,2015 Jan.-Mar.,20371414473,0,1648761414,465818,346904833,28228,38480457,562328,311926729,6087305,236870348,677738,131903436,538982,112492572,0,1332104072,0,100180159,2862,384695952,33476,341915193,854833,57086103,0,5416137865,50705,2134126473,0,486830859,7162,324750354,24300,2017239781,3484,223509086,48271,532830035,29669,303315872,0,1803737485,0,399540005,23062424,605055792,0,1782418829,1928870,223096489,815953,441455407,0,323438016,0,235208435,0,187752017,0,199374543,0,1810256866,0,287240920,22988,529827688,0,130193209,0,3006919130,0,776937036,4559,482412001,0,304790308,5781,71227054,0,165850384,0,704101267,0,185927372,0,780008214,83858,282162592,0,224039437,0,174589728,0,2791070598,0,421751344,0,832630992,0,198896977,0,148953444
2,2015 Apr.-Jun.,19125931017,0,1829168687,559591,397921094,32964,45012281,677728,363383454,6057055,222018963,765855,146762248,712754,164464141,0,1291284870,0,104661798,3408,389990846,31164,282346798,803225,53778307,0,4272976510,45402,2054843027,0,474861330,7730,366930574,18986,1099732504,2496,157079205,43564,472345653,24371,242748994,0,1901630523,0,424414081,24153815,678696218,0,1831820060,1847368,216997308,852821,473186117,0,323587335,0,239567378,0,197174390,0,205066096,0,1777150488,0,275262488,20159,465845214,0,120303562,0,2838086441,0,718392320,5445,493188723,0,296411401,6150,68076372,0,166129534,0,643520616,0,163794339,0,768943940,75950,255065966,0,202390184,0,220960031,0,2614869498,0,399797559,0,706179722,0,180969328,0,139705397
2,2015 Jul.-Sep.,19906575940,0,1737683912,513070,394297430,46110,60331889,667086,351674267,5788264,202482816,639134,133699954,615340,136218167,0,1178224782,0,94370756,3129,353875183,32087,254018178,790180,49812294,0,4628558325,50777,2282175599,0,462578957,7533,346627530,20930,1226916989,2218,122755214,50710,515906350,30476,289562589,0,2012780151,0,446655904,23704741,750500127,0,1737997807,1919083,205530458,695962,390914179,0,324849043,0,251081103,0,193636547,0,197786560,0,1761724881,0,272907153,20548,499202366,0,125537949,0,3049721967,0,756375409,5475,539694549,0,301845155,5546,66529820,0,156754997,0,775036020,0,180885118,0,774004834,90389,299564680,0,222669188,0,162060819,0,3025879281,0,415510560,0,1024591655,0,195347494,0,148074300
2,2015 Oct.-Dec.,19001614363,0,1786489066,592335,436163719,50067,63226597,678112,353802350,6077035,209688682,644603,134374162,538712,121070551,0,1051461271,0,96518328,2904,252371105,34228,246036997,794381,45544160,0,3900472936,48614,1713609590,0,397317991,7814,308182575,20828,1170231302,2788,147311750,48100,453217587,29325,260031829,0,2029724582,0,379249666,24456209,889863713,0,1686767141,1986528,198014401,721173,377124044,0,308673387,0,251663924,0,188046627,0,198263715,0,1719328249,0,298542368,20849,477830129,0,122117952,0,3119751094,0,744515113,5064,523583734,0,317759708,6580,72230134,0,157365528,0,810111041,0,181371142,0,803303724,89350,302967644,0,227939558,0,182735686,0,2904316300,0,443732366,0,851975704,0,202308450,0,153162248
2,(Ratio to ST),86.1,-,100.2,102.7,99.4,92.3,81.0,102.5,97.1,104.0,101.3,102.5,106.5,99.5,105.2,-,76.9,-,101.0,96.7,65.1,97.7,62.9,143.1,125.6,-,58.6,97.5,54.2,-,60.6,102.4,62.7,94.3,56.6,99.5,62.9,102.5,87.6,110.2,95.0,-,118.1,-,95.1,96.2,169.8,-,92.6,95.6,82.2,84.5,81.2,-,98.2,-,99.8,-,99.7,-,102.4,-,100.1,-,119.8,92.2,87.5,-,97.6,-,94.4,-,99.5,110.8,111.4,-,94.1,104.7,87.3,-,97.5,-,80.4,-,109.6,-,91.4,91.7,91.1,-,106.7,-,74.9,-,102.9,-,107.4,-,98.2,-,104.9,-,106.4
2,2014 Dec.,7557385451,0,611024664,210681,159434063,16711,23775470,199542,113964879,1921230,70913693,231540,46717344,172431,37992828,0,465172827,0,32362888,935,131397195,12053,132888805,228926,14016945,0,2419154281,18785,1104312018,0,234996711,2759,166009987,8258,797148978,1084,85930270,16553,187074272,9373,98181580,0,559323183,0,127628724,8791459,164641515,0,611703795,698956,82424856,267322,156111772,0,106515387,0,82963154,0,63419139,0,65365051,0,597798116,0,88440996,7532,187308789,0,44243081,0,1062336370,0,250679977,1556,155273187,0,120735177,2236,31230613,0,54672257,0,273552382,0,58491393,0,290061892,32940,114745757,0,69411701,0,79434288,0,940810323,0,138892584,0,272296597,0,63841735,0,49932591
2,2015 Jan.,7301351693,0,576411589,177165,135427210,11198,15514691,189940,105001075,2006293,81243976,217265,44829895,161821,34362581,0,484660451,0,38641990,1065,156351384,11029,118774347,239583,15857530,0,2076125254,17523,832613713,0,188668928,2468,124188611,8433,774075730,1104,75728763,17744,198724182,11194,117189668,0,611818164,0,138649397,7767162,194299005,0,638614415,712550,82384962,292957,151646580,0,119213541,0,86400776,0,63552133,0,75242829,0,635263917,0,103925034,8748,185750839,0,44181770,0,1034153913,0,265167511,1538,163315385,0,106911186,2005,23552423,0,60272532,0,236681514,0,59781464,0,284504958,29594,98883266,0,77832691,0,76134951,0,959799032,0,132009837,0,293833398,0,68794585,0,54302383
2,2015 Feb.,6366783655,0,514567117,147062,108204588,9174,12502009,185744,101092355,1790914,68984736,217804,42842821,178792,37291916,0,404773015,0,28228794,880,109590351,10857,109584894,244122,16086249,0,1580073502,15464,569437747,0,138626266,2187,95657355,7730,628615240,1176,71053555,15136,164107557,8983,88657893,0,566163519,0,126346123,8162437,184640333,0,575178987,598312,68591219,271444,145071275,0,108768967,0,79023235,0,57532496,0,62112735,0,574717933,0,88556612,7546,164813452,0,47097826,0,962211122,0,244235696,1362,151276499,0,100728565,2047,24698636,0,54633146,0,215374758,0,60209792,0,214860786,22571,72730910,0,70415526,0,39196044,0,974237674,0,137569011,0,306636728,0,72098045,0,54832454
2,2015 Mar.,6703279125,0,557782708,141591,103273035,7856,10463757,186644,105833299,2290098,86641636,242669,44230720,198369,40838075,0,442670606,0,33309375,917,118754217,11590,113555952,371128,25142324,0,1759939109,17718,732075013,0,159535665,2508,104904388,8137,614548811,1203,76726768,15391,169998296,9491,97468311,0,625755802,0,134544485,7132825,226116454,0,568625427,618008,72120308,251552,144737552,0,95455508,0,69784424,0,66667388,0,62018979,0,600275016,0,94759274,6694,179263397,0,38913613,0,1010554095,0,267533829,1660,167820117,0,97150557,1728,22975995,0,50944706,0,252044995,0,65936116,0,280642470,31693,110548416,0,75791220,0,59258733,0,857033892,0,152172496,0,232160866,0,58004347,0,39818607
2,2015 Apr.,6607111017,0,635921228,202500,141241847,10806,15154118,245175,134000730,2088649,78116210,270057,51662870,238595,52009763,0,440722792,0,35718282,1148,126016160,11091,104298043,245414,16620947,0,1552122377,17285,732881259,0,162987386,2726,123982811,6598,417910483,968,61865892,15311,169674360,9034,91995010,0,653327855,0,141673916,8518940,242222563,0,633737437,625021,74368407,291782,168914987,0,107651299,0,84967373,0,66585651,0,69765721,0,581250996,0,95294914,6454,156738034,0,38756450,0,941703787,0,245091791,1569,161561754,0,96029824,2067,23611212,0,50911345,0,211198149,0,55622536,0,244360863,23124,79480534,0,64786368,0,66854138,0,923963682,0,132029183,0,279061771,0,63022562,0,50284550
2,2015 May.,5953220724,0,583537208,174502,124084912,9963,13702210,213364,113093443,1870636,68666866,248559,47336232,225378,54541572,0,408830170,0,33429169,1133,126056081,9605,83275437,260630,17558843,0,1301267203,14515,647693495,0,155664359,2646,123619252,5755,315402229,731,45409953,12331,132941808,5980,58294609,0,587998104,0,133450062,7894401,201438414,0,578344806,608585,69656987,266823,147888296,0,100842355,0,74773032,0,60318168,0,68590562,0,561684869,0,83655353,6203,144322250,0,35814542,0,894904475,0,219781170,1993,150264984,0,89948718,1967,21157062,0,58137809,0,211481794,0,48264911,0,245593822,25853,84584728,0,64663260,0,66056115,0,791060067,0,125078702,0,199146843,0,57353685,0,41328821
2,2015 Jun.,6565599276,0,609710251,182589,132594335,12195,16155953,219189,116289281,2097770,75235887,247239,47763146,248781,57912806,0,441731908,0,35514347,1127,137918605,10468,94773318,297181,19598517,0,1419586930,13601,674268273,0,156209585,2358,119328511,6633,366419792,797,49803360,15922,169729485,9356,92459375,0,660304564,0,149290103,7740474,235035241,0,619737817,613762,72971914,294216,156382834,0,115093681,0,79826973,0,70270571,0,66709813,0,634214623,0,96312221,7502,164784930,0,45732570,0,1001478179,0,253519359,1884,181361985,0,110432859,2115,23308098,0,57080380,0,220840673,0,59906892,0,278989255,26973,91000704,0,72940556,0,88049778,0,899845749,0,142689674,0,227971108,0,60593081,0,48092026
2,2015 Jul.,6924262173,0,610824036,171099,133080624,14888,19667960,234627,125123059,1941780,67251307,239921,48340204,232511,51649628,0,418051275,0,30934244,1071,130166369,10589,88165473,324384,20727716,0,1669842075,17856,881271525,0,158041235,2327,116084780,6953,395912867,720,41508824,17934,187519131,10872,105111370,0,728507639,0,181247324,8199220,267647731,0,610350778,606339,70284189,258515,145599354,0,114815703,0,84442221,0,66531926,0,67749178,0,627720042,0,95116031,6780,170103810,0,42458813,0,1034661003,0,265098962,1731,187369454,0,105991382,2045,24969329,0,55713888,0,243494534,0,66493397,0,262121822,27123,87401387,0,74942550,0,73472659,0,962183503,0,142139153,0,284520237,0,62699775,0,53370017
2,2015 Aug.,6447725756,0,560474166,163749,125997883,15192,20156725,211271,111575549,1916236,69905567,202000,42360936,191389,43067182,0,387976835,0,33052871,996,112622099,10770,86255323,232513,14807781,0,1554265434,16577,763776758,0,153869688,2517,117925838,7062,414892034,796,45301948,16525,170696380,9826,94945170,0,669893245,0,127063490,7279110,287796473,0,554921528,639873,68143072,216117,123638536,0,103549079,0,79464117,0,60143514,0,64958457,0,556253955,0,88734736,6540,159372510,0,41484432,0,896774089,0,233001976,1893,168441695,0,96656425,1813,22735699,0,49861697,0,175354567,0,57980195,0,269982595,33162,111131284,0,67388639,0,62706872,0,997183909,0,133014711,0,346757247,0,63028500,0,48954024
2,2015 Sep.,6534588011,0,566385710,178222,135218923,16030,20507204,221188,114975659,1930248,65325942,197214,42998814,191439,41501357,0,372196672,0,30383641,1062,111086715,10728,79597382,233283,14276797,0,1404450816,16345,637127316,0,150668034,2689,112616912,6915,416112088,702,35944442,16251,157690839,9778,89506049,0,614379267,0,138345090,8226411,195055923,0,572725501,672871,67103197,221330,121676289,0,106484261,0,87174765,0,66961107,0,65078925,0,577750884,0,89056386,7228,169726046,0,41594704,0,1118286875,0,258274471,1851,183883400,0,99197348,1689,18824792,0,51179412,0,356186919,0,56411526,0,241900417,30104,101032009,0,80337999,0,25881288,0,1066511869,0,140356696,0,393314171,0,69619219,0,45750259
2,2015 Oct.,6436503596,0,615146289,191243,142532249,19363,24412492,247538,126672877,2403859,79416717,213572,44535398,189519,42034624,0,360281743,0,31043374,961,88388578,12101,87717603,303226,17399704,0,1232318914,15150,547893349,0,126534834,2508,99920643,6057,357023822,841,41233672,15940,151964971,9315,82604455,0,661760964,0,117956120,7471097,274223715,0,578185741,670038,68785113,243985,123060913,0,107027890,0,87459916,0,64559782,0,70067694,0,562373993,0,99527878,6438,150675162,0,39431726,0,1110541000,0,256559328,1661,181749596,0,101520504,2048,22050158,0,52380467,0,342976977,0,58406436,0,287334863,28848,98654273,0,79385653,0,80714143,0,1028560089,0,161174884,0,317250734,0,70730036,0,50178156
2,2015 Nov.,6366212005,0,576933796,192173,140559320,15361,19348551,216469,114040660,1767658,63303618,207542,43112945,177853,40791081,0,329911029,0,34552373,878,64762205,10639,77046116,247422,14208149,0,1297661203,15935,577070150,0,127439453,2612,101695294,6694,379385420,994,52540706,16458,155357011,10005,89174535,0,720370102,0,128447440,8798835,338037646,0,562868320,649403,64414252,233699,124855342,0,103887164,0,83185056,0,60896924,0,69980208,0,590063889,0,104417686,7377,158410376,0,41457400,0,1064998423,0,247918050,1835,174289347,0,114448566,2294,25172762,0,53708562,0,269533372,0,62217976,0,284005145,30680,106009071,0,79124303,0,67053699,0,939400098,0,142349130,0,269047767,0,67586109,0,51395630
2,2015 Dec.,6198898762,0,594408981,208919,153072150,15342,19465554,214105,113088813,1905518,66968347,223488,46725819,171341,38244846,0,361268499,0,30922581,1065,99220322,11489,81273278,243733,13936307,0,1370492819,17529,588646091,0,143343704,2694,106566638,8078,433822060,954,53537372,15702,145895605,10005,88252839,0,647593516,0,132846106,8186277,277602352,0,545713080,667087,64815036,243489,129207789,0,97758333,0,81018952,0,62589921,0,58215813,0,566890367,0,94596804,7035,168744591,0,41228826,0,944211671,0,240037735,1568,167544791,0,101790638,2239,25007214,0,51276499,0,197600692,0,60746730,0,231963716,29822,98304300,0,69429602,0,34967844,0,936356113,0,140208352,0,265677203,0,63992305,0,51588462
2,(Ratio to SM),82.0,-,97.3,99.2,96.0,91.8,81.9,107.3,99.2,99.2,94.4,96.5,100.0,99.4,100.7,-,77.7,-,95.5,113.9,75.5,95.3,61.2,106.5,99.4,-,56.7,93.3,53.3,-,61.0,97.6,64.2,97.8,54.4,87.9,62.3,94.9,78.0,106.7,89.9,-,115.8,-,104.1,93.1,168.6,-,89.2,95.4,78.6,91.1,82.8,-,91.8,-,97.7,-,98.7,-,89.1,-,94.8,-,107.0,93.4,90.1,-,93.2,-,88.9,-,95.8,100.8,107.9,-,84.3,100.1,80.1,-,93.8,-,72.2,-,103.9,-,80.0,90.5,85.7,-,100.0,-,44.0,-,99.5,-,100.9,-,97.6,-,100.2,-,103.3
