Exp or Imp,Year & Month,Grand Total,FOODSTUFF,, FISH AND FISH PREPARATION,," (SHRIMPS, PRAWNS, LOBSTERS)",, MEAT AND MEAT PREPARATION,," CEREALS, CEREAL PREPARATION",, VEGETABLES,, FRUITS,,RAW MATERIALS,, WOOD,, ORE OF NONFERROUS,, IRON ORE AND CONCENTRATES,, SOY BEANS,,MINERAL FUELS,, PETROLEUM,, PETROLEUM PRODUCTS,, (PETROLEUM SPIRITS),, LNG,, LPG,, COAL,, (COAL N.E.S),,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, WOOD & CORK MANUFACTURED,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, INSULATED WIRE AND CABLE,, AUDIO AND VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, (TELEPHONE SETS),, ELECTRICAL MEASURING,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, PARTS OF MOTOR VEHICLES,, AIRCRAFT,,OTHERS,," SCIENTIFIC, OPTICAL INST",, CLOTHING AND ACCESSORIES,, FURNITURE,, BAGS,
2,2019 Jan.-Mar.,19739986761,0,1676357823,477748,376790082,,,676689,338653256,6110687,203774495,735221,128644901,568547,114229422,0,1140063159,0,90982130,2813,340815407,28692,247334080,773258,39184545,0,4556424206,43355,1909577706,0,413875247,6850,273088960,22193,1384667437,2954,156603865,46311,683742455,29553,387009126,0,2100879892,0,447326865,24999440,760691206,0,1767811136,2209653,254813916,805531,433416917,0,316595379,0,230629852,0,176243311,0,198970227,0,1936212489,99282,311079338,25880,579186080,30065,130308454,0,3001665051,0,632887719,4542,488797334,94269,206974304,0,336510297,,,0,161466889,0,718881734,8951553,443851240,0,202318264,0,808117829,79447,304788370,0,230206387,0,192076924,0,2752455176,0,431718717,0,790947562,406622,198155610,0,161055921
2,2019 Apr.-Jun.,19405532709,0,1880201454,546438,418872525,,,796235,402421676,6273791,197031783,793377,141881180,753261,168108742,0,1244839875,0,98690187,2937,360512445,30456,290477823,941546,47760806,0,4143890091,42300,2101322140,0,370263633,6609,292238166,16395,893209932,2468,139102047,42992,628176753,24435,308182477,0,2019747742,0,410961240,27166980,740306446,0,1820036322,2117246,245762429,872089,459650782,0,332179085,0,239685251,0,179084177,0,194291414,0,1919968157,94866,305308024,24700,534190882,29012,125491519,0,2860056514,0,636647862,4900,493333794,93882,207881410,0,324099863,,,0,175481147,0,600869464,6962821,337227418,0,188451520,0,905998165,91602,345827845,0,218094019,0,240319494,0,2610794389,0,456758367,0,674913858,385058,194074141,0,152027945
2,2019 Jul.-Sep.,19686340677,0,1807466827,486067,382405097,,,804539,407045915,6023045,194890065,712722,131553469,653553,135983579,0,1217705432,0,87659795,2857,336512692,30462,307907326,836292,40328923,0,4113722158,43907,1966357887,0,352916158,7269,288206548,19362,1046094726,2550,113357328,48273,626123640,28273,316340910,0,2058695983,0,415771939,26660831,810878679,0,1747659823,1942249,222733013,794183,411899640,0,331362290,0,236537533,0,177452799,0,187727784,0,1883261175,88829,310946581,29509,535587858,32473,138828954,0,2952749533,0,658430859,5476,517575209,95337,204728802,0,337177345,,,0,168674238,0,666993956,7142555,369130155,0,185741455,0,905931729,103790,384381600,0,225894670,0,201318959,0,2999148017,0,475758301,0,940587790,382357,194603454,0,159402033
2,2019 Oct.-Dec.,19767649804,0,1827554446,570712,431114139,,,766739,391958454,6359897,201650023,718403,134785023,603116,120310477,0,1258586404,0,79977328,2895,340095561,29951,342583779,841058,40041502,0,4136611201,44301,1991788461,0,400233341,7543,305513800,19378,1025807059,2546,123688002,48602,590200035,28656,301265263,0,1984126462,0,417084994,26200775,780000513,0,1732904129,2047493,224696822,837072,445188532,0,319708050,0,240138004,0,161594118,0,183814991,0,1843175166,83451,303901394,28347,561867108,32667,129359384,0,3177529097,0,653384224,5604,508573693,93812,204883171,0,370769341,,,0,158480449,0,859522127,10155365,544096622,0,186312264,0,940658222,89605,373353354,0,216427247,0,271581135,0,2866504677,0,453663847,0,798088399,412795,201078317,0,171222479
2,(Ratio to ST),88.1,-,95.5,97.3,88.6,,,98.1,97.8,98.8,95.7,94.3,93.8,100.3,90.5,-,103.2,-,81.8,96.7,96.8,97.2,132.3,110.2,106.1,-,76.9,97.1,79.5,-,65.2,87.4,67,96.2,78.8,94.5,67,100.1,77.9,101.4,76.1,-,87.8,-,79.3,96.4,100,-,88.1,95.1,82.6,90.4,87.6,-,92.2,-,88.8,-,83.9,-,87,-,87.5,72.5,77.8,108.3,102.1,108.8,94.1,-,89.6,-,86,102.8,85.2,93.4,90.9,-,101.5,,,-,92.5,-,84,90.2,76.4,-,87.1,-,98.3,89.4,100.2,-,80.3,-,118.6,-,92.6,-,91.5,-,90.7,99.9,94.7,-,100.3
2,2018 Dec.,7077529424,0,611862153,208217,170337458,,,243871,124532908,2115944,68635693,252612,45810864,190575,40873574,0,366694998,0,29158694,932,100528708,9624,79148766,233995,11669953,0,1808406734,16253,825669686,0,197448564,2929,143268049,7254,474325137,981,59587573,15762,247698443,8933,124010991,0,697153576,0,157420652,8642483,242627598,0,604561624,635221,80336112,279077,155776956,0,107941711,0,82153350,0,63867592,0,64210273,0,669146350,36210,128840429,8873,182610552,10137,44245845,0,1027878083,0,226767857,1861,174925192,32030,71958713,0,123438096,,,0,56501891,0,227106346,2714886,130762669,0,69432712,0,342653244,34525,121014631,0,80385249,0,117670784,0,949172662,0,161949709,0,244032700,132329,64987005,0,58994651
2,2019 Jan.,6998477150,0,577067508,191646,149427677,,,229175,111836111,1924550,65986889,245175,44597804,183342,36537707,0,396811889,0,31471858,1105,130361016,9175,73296540,234228,11593333,0,1563468495,14811,638504683,0,145292719,2254,92105809,7547,477781057,1073,57088387,16175,239946030,10700,142386055,0,772141800,0,159121699,9329953,287763509,0,640145823,782757,93045228,308302,148659783,0,118604795,0,85703913,0,66718636,0,70435151,0,687001390,36871,113224792,9284,201622545,11031,45272190,0,1118049435,0,220717941,1679,172146241,34647,75862034,0,114273102,,,0,56936448,0,316181293,3785213,218566141,0,67821930,0,256702046,23578,87904004,0,87262607,0,50680139,0,987088764,0,143706713,0,289854864,150438,71293362,0,63194610
2,2019 Feb.,6056654309,0,527480328,141006,110359021,,,230936,114450876,2073432,66425272,228377,38183911,180070,35424993,0,359461742,0,28295730,897,105861300,9710,87800635,210174,10980907,0,1451016587,13660,586868173,0,130497737,2157,82724165,7350,462222599,1172,60612125,14451,209279721,9292,119179485,0,635960968,0,143653794,8047058,217053047,0,529941861,715433,79703138,251404,139809261,0,89804345,0,66123665,0,45703029,0,63184404,0,592957155,30234,102940511,7882,173214348,9237,41156914,0,893333029,0,187714551,1366,143163845,27007,59106713,0,106701738,,,0,41963823,0,218643134,2695018,133280108,0,62087560,0,241671063,26836,108243981,0,68046378,0,42377037,0,824831576,0,131274885,0,236594957,124030,60012498,0,47494217
2,2019 Mar.,6684855302,0,571809987,145096,117003384,,,216578,112366269,2112705,71362334,261669,45863186,205135,42266722,0,383789528,0,31214542,811,104593091,9807,86236905,328856,16610305,0,1541939124,14884,684204850,0,138084791,2438,98258986,7295,444663781,709,38903353,15685,234516704,9561,125443586,0,692777124,0,144551372,7622429,255874650,0,597723452,711463,82065550,245825,144947873,0,108186239,0,78802274,0,63821646,0,65350672,0,656253944,32177,94914035,8713,204349187,9796,43879350,0,990282587,0,224455227,1497,173487248,32615,72005557,0,115535457,,,0,62566618,0,184057307,2471322,92004991,0,72408774,0,309744720,29033,108640385,0,74897402,0,99019748,0,940534836,0,156737119,0,264497741,132155,66849750,0,50367094
2,2019 Apr.,6605306456,0,674908965,200423,159815577,,,300769,151475171,2082827,65822806,288325,51231705,256344,55476866,0,418460335,0,33398376,1153,122606785,9993,97218622,255372,13069157,0,1469858733,15760,758844159,0,122142744,2326,100316295,5627,312891827,744,42915430,15076,230217563,8450,111382593,0,667031814,0,143740937,9219363,230187372,0,599753418,772825,89222748,299092,145069372,0,106116752,0,81471604,0,56878694,0,67650236,0,644394480,30774,99385553,8196,192119096,9422,40091904,0,949274175,0,205867148,1553,159797112,30559,67254382,0,98638530,,,0,58892526,0,224818722,2527631,142539163,0,56893482,0,264677315,28240,103821981,0,68519545,0,38098679,0,916947221,0,147557107,0,262395474,136182,67199589,0,53842462
2,2019 May.,6803248902,0,619396228,184708,136572691,,,257702,130123582,1959694,63092848,256378,47001999,249705,57822336,0,457102965,0,33773524,980,139328076,11342,107912448,400916,20226466,0,1452689831,14791,754886081,0,134858216,2308,104067507,5568,304361356,880,51468561,13911,202387572,7930,98417700,0,691925429,0,139518258,9691430,245302328,0,648570668,710892,83975979,306429,166292285,0,122641529,0,84212936,0,62777630,0,67390421,0,683020114,33999,107747189,8759,185234729,10079,43569059,0,1000654146,0,213906987,1669,163792801,33400,74399983,0,117305356,,,0,60833664,0,200857390,2342896,105872492,0,71920722,0,375447865,38916,144556898,0,77320537,0,126871810,0,874441656,0,159380330,0,216796188,133228,67475533,0,51162782
2,2019 Jun.,5996977351,0,585896261,161307,122484257,,,237764,120822923,2231270,68116129,248674,43647476,247212,54809540,0,369276575,0,31518287,804,98577584,9121,85346753,285258,14465183,0,1221341527,11748,587591900,0,113262673,1975,87854364,5200,275956749,844,44718056,14005,195571618,8056,98382184,0,660790499,0,127702045,8256187,264816746,0,571712236,633529,72563702,266568,148289125,0,103420804,0,74000711,0,59427853,0,59250757,0,592553563,30093,98175282,7746,156837057,9511,41830556,0,910128193,0,216873727,1678,169743881,29924,66227045,0,108155977,,,0,55754957,0,175193352,2092294,88815763,0,59637316,0,265872985,24446,97448966,0,72253937,0,75349005,0,819405512,0,149820930,0,195722196,115648,59399019,0,47022701
2,2019 Jul.,6897340870,0,643762826,170285,138750299,,,285252,145556433,1916067,64295208,270124,48987375,244018,52467283,0,426530555,0,30912842,1075,124367644,10574,101056945,329564,16062302,0,1452261768,15026,687284256,0,119202689,2398,97175725,6822,363591988,806,39723992,17800,237092866,10265,117565370,0,729377249,0,155626280,10357518,274002246,0,630797683,704965,82577034,290716,147542940,0,122448822,0,83870755,0,62124736,0,66885182,0,699724426,33775,115124528,10529,185991905,11853,49519060,0,1007292380,0,210011661,1875,163220773,34818,74987979,0,119942378,,,0,63093184,0,210624439,2202060,106744922,0,67277200,0,302275234,29074,104265978,0,80717285,0,83135047,0,1005318749,0,167328077,0,290068077,129535,66338840,0,60592035
2,2019 Aug.,6290930402,0,586185202,154786,121960777,,,264484,134789781,2013484,64614569,223153,40768877,214365,44281223,0,399459983,0,29807194,940,109708410,9797,102875269,265479,12618780,0,1379111797,14822,672732820,0,118167335,2528,100540553,6101,341961409,968,41092442,15613,203591635,8884,100184319,0,639195023,0,120035608,7571968,251312030,0,550148006,609379,69458609,247885,130097303,0,103374833,0,74220716,0,50982902,0,64435922,0,569122826,26774,88186786,9135,170748036,9862,41540701,0,873516711,0,200545350,1767,157724414,29185,63035375,0,108192858,,,0,53458702,0,159370215,1624732,70760536,0,57954888,0,326799471,41829,154298658,0,68664063,0,75061907,0,967391383,0,151973500,0,322343208,124007,62258036,0,49745675
2,2019 Sep.,6498069405,0,577518799,160996,121694021,,,254803,126699701,2093494,65980288,219445,41797217,195171,39235073,0,391714894,0,26939759,842,102436638,10091,103975112,241249,11647841,0,1282348593,14060,606340811,0,115546134,2343,90490270,6439,340541329,776,32540894,14860,185439139,9125,98591221,0,690123711,0,140110051,8731345,285564403,0,566714134,627905,70697370,255582,134259397,0,105538635,0,78446062,0,64345161,0,56406680,0,614413923,28280,107635267,9845,178847917,10758,47769193,0,1071940442,0,247873848,1834,196630022,31334,66705448,0,109042109,,,0,52122352,0,296999302,3315763,191624697,0,60509367,0,276857024,32887,125816964,0,76513322,0,43122005,0,1026437885,0,156456724,0,328176505,128816,66006578,0,49064323
2,2019 Oct.,6565009115,0,609820531,177871,133362611,,,269502,138409665,2072786,67121189,231215,44484107,213211,42594311,0,421085244,0,26865316,1125,120417313,10148,112805333,319712,14943031,0,1267748438,13463,594171147,0,114964826,2265,87543402,6300,329570187,687,30787410,15592,196436684,9158,99276926,0,664794711,0,135382791,8781269,257626556,0,586499033,687720,75615072,289652,145153603,0,108973027,0,82628417,0,54833722,0,64242323,0,616146784,31186,101937110,9051,180492557,10501,43019382,0,1100928198,0,230204859,1944,182981224,31792,68744593,0,120319534,,,0,52575766,0,321794925,3742914,217687054,0,62104661,0,311373945,26369,111723214,0,75932652,0,98802793,0,986612231,0,149968905,0,311554794,134213,67886885,0,56833882
2,2019 Nov.,6467394442,0,614632004,189193,142947191,,,253778,129035455,2215036,70005769,237959,44851520,200244,42450800,0,420334436,0,26363798,818,97938563,10024,116734788,303753,14271627,0,1317274130,14200,631002510,0,127857247,2388,96090551,6271,333181951,725,34117760,15581,189508364,8752,92686045,0,682109616,0,139820549,8436940,278738987,0,588619678,708690,76199883,284248,153015467,0,108949723,0,81757968,0,51854711,0,62598469,0,607528785,26951,94370841,9568,185004229,11412,44315392,0,1031354748,0,201553481,1821,152440411,31253,67685001,0,123911958,,,0,51773230,0,275364141,3072122,168204233,0,63039845,0,280235868,30149,125642673,0,76201859,0,51103384,0,925305177,0,148327862,0,241078908,138633,68192519,0,54366259
2,2019 Dec.,6735246247,0,603101911,203648,154804337,,,243459,124513334,2072075,64523065,249230,45449396,189660,35265366,0,417166724,0,26748214,953,121739685,9780,113043658,217593,10826844,0,1551588633,16638,766614804,0,157411268,2890,121879847,6807,363054921,1133,58782832,17429,204254987,10746,109302292,0,637222135,0,141881654,8982566,243634970,0,557785418,651083,72881867,263172,147019462,0,101785300,0,75751619,0,54905685,0,56974199,0,619499597,25314,107593443,9728,196370322,10754,42024610,0,1045246151,0,221625884,1839,173152058,30766,68453577,0,126537849,,,0,54131453,0,262363061,3340329,158205335,0,61167758,0,349048409,33087,135987467,0,64292736,0,121674958,0,954587269,0,155367080,0,245454697,139948,64998913,0,60022338
2,(Ratio to SM),95.2,-,98.6,97.8,90.9,,,99.8,100,97.9,94,98.7,99.2,99.5,86.3,-,113.8,-,91.7,102.3,121.1,101.6,142.8,93,92.8,-,85.8,102.4,92.8,-,79.7,98.7,85.1,93.8,76.5,115.6,98.6,110.6,82.5,120.3,88.1,-,91.4,-,90.1,103.9,100.4,-,92.3,102.5,90.7,94.3,94.4,-,94.3,-,92.2,-,86,-,88.7,-,92.6,69.9,83.5,109.6,107.5,106.1,95,-,101.7,-,97.7,98.8,99,96.1,95.1,-,102.5,,,-,95.8,-,115.5,123,121,-,88.1,-,101.9,95.8,112.4,-,80,-,103.4,-,100.6,-,95.9,-,100.6,105.8,100,-,101.7
