2015=100
Exp or Imp,Year,Indexes Area,Commodity,,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Summary Indexes,,,,,,,,,,,,,,,,,
1,2013,WORLD," Thickness of less than 3mm",Quantum Index,96.89,93.86,104.11,111.28,99.1,108.7,96.71,95.51,100.21,90.27,88.61,81.08,93.13
1,2013,WORLD," Iron & Steel Tubes,Pipes",Value Index,119.46,89.54,109.19,137.42,115.14,107.49,107.88,122.45,122.55,120.8,140.26,108.57,152.24
1,2013,WORLD," Iron & Steel Tubes,Pipes",Unit Index,98.27,92.6,93.23,97.23,101.36,93.71,93.79,97.58,100.01,97.94,104.41,102.44,103.13
1,2013,WORLD," Iron & Steel Tubes,Pipes",Quantum Index,121.55,96.69,117.12,141.32,113.58,114.69,115.01,125.48,122.53,123.33,134.33,105.98,147.61
1,2013,WORLD," Non-Ferrous Metals",Value Index,99.63,92.98,103.8,122.84,100.93,101.65,100.79,93.68,99.8,99.08,96.36,85.12,98.54
1,2013,WORLD," Non-Ferrous Metals",Unit Index,100.54,96.62,101,102.7,104.01,103.74,102.88,97.73,98.7,98.27,98.8,99.33,102.41
1,2013,WORLD," Non-Ferrous Metals",Quantum Index,99.09,96.22,102.77,119.61,97.03,97.99,97.96,95.85,101.11,100.82,97.52,85.69,96.22
1,2013,WORLD," Copper and Copper alloys",Value Index,102.24,92.23,113.92,139.73,104.63,109.16,104.72,97.53,99.23,101.04,92.01,79.36,93.34
1,2013,WORLD," Copper and Copper alloys",Unit Index,101.09,97.63,101.24,102.55,102.07,102.37,102.85,99.22,99.17,100.61,100.63,102.11,102.27
1,2013,WORLD," Copper and Copper alloys",Quantum Index,101.14,94.46,112.52,136.24,102.5,106.62,101.81,98.29,100.06,100.42,91.43,77.72,91.27
1,2013,WORLD," Metal Products",Value Index,93.27,72.39,83.5,101.16,93.53,91.89,95.59,97,94.39,94.03,98.81,97.78,99.12
1,2013,WORLD," Metal Products",Unit Index,92.83,90.35,93.18,92.87,92.02,94.15,94.84,92.63,93.79,91.3,93.14,92.92,92.54
1,2013,WORLD," Metal Products",Quantum Index,100.47,80.12,89.61,108.93,101.63,97.6,100.79,104.71,100.63,102.99,106.08,105.22,107.1
1,2013,WORLD," Hand Tools,Machinery Tools",Value Index,85.49,66.41,71.62,86.2,81.05,83.55,85.3,94.12,89.58,88.01,92.52,95.37,92.19
1,2013,WORLD," Hand Tools,Machinery Tools",Unit Index,89.7,86.22,91.89,92.21,93.2,93.03,88.03,88.47,91.45,87.51,87.75,89.9,86.59
1,2013,WORLD," Hand Tools,Machinery Tools",Quantum Index,95.31,77.02,77.94,93.48,86.96,89.8,96.9,106.38,97.94,100.57,105.44,106.08,106.46
1,2013,WORLD,"Machinery & Equipment",Value Index,91.15,74.53,82.89,99.03,89.26,88.07,95.04,94.25,89.13,94.83,96.03,94.28,96.42
1,2013,WORLD,"Machinery & Equipment",Unit Index,88.88,85.07,88.19,88.12,86.66,88.75,89.95,87.74,89.19,90.02,90.04,90.12,92.39
1,2013,WORLD,"Machinery & Equipment",Quantum Index,102.54,87.61,93.99,112.38,103,99.24,105.65,107.41,99.93,105.34,106.64,104.62,104.35
1,2013,WORLD," Machinery other than Electric",Value Index,92.61,72.19,84.81,106.43,89.7,90.61,97.05,95.53,91.88,92.19,93.57,94.25,103.15
1,2013,WORLD," Machinery other than Electric",Unit Index,91.72,89.16,92.03,90.64,87.78,90.06,92.14,91.27,93.04,94.81,92.17,92.86,94.51
1,2013,WORLD," Machinery other than Electric",Quantum Index,100.97,80.96,92.15,117.42,102.18,100.61,105.33,104.66,98.74,97.23,101.51,101.49,109.13
1,2013,WORLD," Power generating machinery",Value Index,97.22,80.3,93.65,112.82,102.76,91.16,96.67,94.99,94.41,96.16,106.11,96.12,101.52
1,2013,WORLD," Power generating machinery",Unit Index,89.38,87.91,90.36,88.59,86.78,87.01,87.53,89.6,91.19,90.81,90.43,90.47,91.94
1,2013,WORLD," Power generating machinery",Quantum Index,108.77,91.35,103.64,127.35,118.41,104.77,110.44,106.01,103.53,105.89,117.33,106.24,110.41
1,2013,WORLD," Internal Combustion Engines",Value Index,95.97,76.22,92.65,110.29,100.18,93.3,100.45,96.32,87.65,92.07,102.11,97.66,102.69
1,2013,WORLD," Internal Combustion Engines",Unit Index,88.53,85.83,88.85,88.38,86.8,86.81,86.94,88.52,89.78,88.99,90.89,89.46,90.89
1,2013,WORLD," Internal Combustion Engines",Quantum Index,108.4,88.8,104.27,124.79,115.41,107.47,115.54,108.81,97.63,103.46,112.34,109.16,112.98
1,2013,WORLD," Vehicles Engines",Value Index,103.28,82.51,100.03,113.58,110.92,101.33,107.1,105.57,96.93,99.87,109.6,103.67,108.31
1,2013,WORLD," Vehicles Engines",Unit Index,90.36,89.47,90.61,90.09,86.91,87.77,87.14,90.64,92.27,90.7,93.34,92.99,92.59
1,2013,WORLD," Vehicles Engines",Quantum Index,114.3,92.22,110.39,126.06,127.63,115.44,122.89,116.46,105.05,110.1,117.42,111.48,116.97
1,2013,WORLD," Agricultural Machinery",Value Index,85.77,67.1,85,93.63,80.33,70.46,95.94,88.64,81.92,85.14,93.21,89.85,98.08
1,2013,WORLD," Agricultural Machinery",Unit Index,100.69,100.55,103.14,104.51,98.27,98.26,99.62,98.6,105.71,102.98,98.63,98.31,100.1
1,2013,WORLD," Agricultural Machinery",Quantum Index,85.18,66.72,82.42,89.59,81.74,71.7,96.29,89.89,77.49,82.66,94.5,91.39,97.98
1,2013,WORLD," Office machines",Value Index,99.08,87.32,92.72,105.62,89.83,100.03,100.49,100.2,108.07,99.41,95.29,104.39,105.57
1,2013,WORLD," Office machines",Unit Index,93.04,86.3,92.07,91.09,88.19,89.32,93.19,92.44,95.91,99.91,92.45,95.47,100.11
1,2013,WORLD," Office machines",Quantum Index,106.49,101.18,100.69,115.94,101.85,112,107.83,108.39,112.68,99.49,103.07,109.33,105.45
1,2013,WORLD," Computer and Units",Value Index,93.97,73.61,88.83,112.68,86.76,80.67,103.9,99.59,95.84,102.54,86.86,93.28,103.07
1,2013,WORLD," Computer and Units",Unit Index,92.31,89.83,90.39,90.31,84.12,84.46,95.29,89.56,99.73,108.57,86.9,95.3,94.35
1,2013,WORLD," Computer and Units",Quantum Index,101.8,81.94,98.27,124.76,103.13,95.51,109.04,111.19,96.1,94.44,99.95,97.87,109.24
1,2013,WORLD," Parts of Computer",Value Index,99.64,91.11,92.69,102.45,89.88,106.07,97.32,98.63,110.45,97.56,96.21,107.17,106.07
1,2013,WORLD," Parts of Computer",Unit Index,93.27,84.07,92.94,91.65,89.47,90.11,93.12,93.72,94.38,98.6,94.53,94.78,102.19
1,2013,WORLD," Parts of Computer",Quantum Index,106.83,108.37,99.73,111.79,100.45,117.71,104.5,105.24,117.02,98.94,101.77,113.07,103.79
1,2013,WORLD," Office machines (others)",Value Index,117.51,97.28,114.51,121.47,105.91,102.06,136.45,130.78,134,114.21,125.59,117.26,110.62
1,2013,WORLD," Office machines (others)",Unit Index,86.43,91.16,81.79,88.01,87.8,82.47,84.38,84.86,88.96,77.59,81.69,94.73,96.29
1,2013,WORLD," Office machines (others)",Quantum Index,135.96,106.71,140,138,120.62,123.75,161.69,154.1,150.63,147.19,153.74,123.78,114.88
1,2013,WORLD," Metal Working machines",Value Index,88.14,75.41,81.07,114.47,78.21,81.27,87.62,86.03,90.06,92.06,83.38,85.25,102.85
1,2013,WORLD," Metal Working machines",Unit Index,94.94,92.89,102.73,97.25,91.08,92.76,97.52,91.25,98.3,92.65,93.28,92.96,96.34
1,2013,WORLD," Metal Working machines",Quantum Index,92.83,81.18,78.91,117.71,85.86,87.61,89.84,94.27,91.61,99.36,89.38,91.71,106.75
1,2013,WORLD," Machine Tools",Value Index,82.23,75.96,79.11,104.19,70.94,72.95,79.54,81.42,87.48,83.88,76.44,78.8,96.03
1,2013,WORLD," Machine Tools",Unit Index,95.29,98.88,101.16,95.44,94.5,91.33,97.69,93.04,96.22,90.62,93.67,93.01,98.23
1,2013,WORLD," Machine Tools",Quantum Index,86.28,76.81,78.2,109.15,75.06,79.86,81.42,87.51,90.91,92.56,81.6,84.71,97.75
1,2013,WORLD," Textile Mach.",Value Index,116.27,70.06,111.01,127.94,114.42,110.73,118.15,126.08,107.44,118.09,127.96,132.3,131.01
1,2013,WORLD," Textile Mach.",Unit Index,91.81,81.8,93.92,89.31,93.01,94.09,87.8,94.31,90.15,93.91,95.33,95.35,90.99
1,2013,WORLD," Textile Mach.",Quantum Index,126.63,85.65,118.2,143.24,123.01,117.67,134.57,133.68,119.18,125.74,134.23,138.74,143.98
1,2013,WORLD," Construction Machines",Value Index,94.84,63.48,89.4,129.99,90.17,89.6,108.09,103.69,80.62,95.17,85.07,92.67,110.1
1,2013,WORLD," Construction Machines",Unit Index,92.35,87.95,94.82,93.32,91.48,93.01,92.49,91.72,91.81,92.01,91.05,91.95,95.92
1,2013,WORLD," Construction Machines",Quantum Index,102.69,72.18,94.28,139.28,98.56,96.33,116.86,113.05,87.8,103.42,93.42,100.77,114.77
1,2013,WORLD," Excavators",Value Index,92.53,64.63,89.31,121,86.86,85.76,105.05,100.99,78.32,93.75,84.75,92.65,107.29
1,2013,WORLD," Excavators",Unit Index,93.04,87.96,95.82,95.94,91.87,93.31,92.31,92.5,92.6,93.16,91.67,91.71,96.4
1,2013,WORLD," Excavators",Quantum Index,99.45,73.47,93.2,126.11,94.55,91.9,113.8,109.18,84.58,100.63,92.44,101.01,111.28
1,2013,WORLD," Heating or Cooling Machine",Value Index,97.61,71.41,93.74,147.35,92.09,94.71,104.88,96.07,92.42,91.02,89.02,90.18,108.44
1,2013,WORLD," Heating or Cooling Machine",Unit Index,86.15,82.42,82.62,72.11,82.8,87.08,83.76,84.77,88.69,96.3,99.49,92.7,90.65
1,2013,WORLD," Heating or Cooling Machine",Quantum Index,113.3,86.64,113.45,204.32,111.22,108.77,125.21,113.34,104.2,94.51,89.47,97.28,119.63
1,2013,WORLD," Pump Centrifuges",Value Index,94.65,75.98,88.69,103.37,95.31,92.15,96.23,99.72,87.12,101.04,96.25,96.53,103.36
1,2013,WORLD," Pump Centrifuges",Unit Index,93.42,87.86,90.24,93.46,93.34,94.96,98.2,95.31,93.09,91.91,93.64,93.51,94.92
1,2013,WORLD," Pump Centrifuges",Quantum Index,101.3,86.47,98.28,110.6,102.1,97.04,97.99,104.62,93.59,109.93,102.78,103.23,108.88
1,2013,WORLD," Mechanical Handling Equipments",Value Index,91.55,69.53,84.63,99.88,91.41,94.08,102.17,92.62,85.52,87.96,98.02,95.86,96.87
1,2013,WORLD," Mechanical Handling Equipments",Unit Index,89.97,82.93,86.35,91.49,89.72,88.72,91.54,90.47,88.31,92.69,91.56,93.76,91.23
1,2013,WORLD," Mechanical Handling Equipments",Quantum Index,101.75,83.84,98,109.17,101.88,106.04,111.61,102.37,96.83,94.89,107.04,102.23,106.18
1,2013,WORLD," Lifts,Elevators,Hoist",Value Index,90.35,69.7,78.46,97.92,91.62,93.42,99.75,93.55,83.56,86.19,92.52,103.54,93.94
1,2013,WORLD," Lifts,Elevators,Hoist",Unit Index,91.61,91.78,89.08,90.69,88.87,86.75,92.75,92.91,94,93.38,90.35,95.65,93.33
