"",BBEE1.M.I8.AAA.XZE012.A.AABAN.M00,BBEE1.M.I8.AAA.XZE012.A.AABAN.M00_FLAGS,BBEE1.M.I8.AAA.XZE012.S.AACPE.M00,BBEE1.M.I8.AAA.XZE012.S.AACPE.M00_FLAGS,BBEE1.M.I8.AAA.XZE022.A.AABAN.M00,BBEE1.M.I8.AAA.XZE022.A.AABAN.M00_FLAGS,BBEE1.M.I8.AAA.XZE022.S.AACPE.M00,BBEE1.M.I8.AAA.XZE022.S.AACPE.M00_FLAGS
2013-06,101.9503,,99.7645,,112.0461,,96.7670,
2013-07,101.8780,,99.6658,,112.0404,,96.6807,
2013-08,102.6043,,100.2940,,113.5070,,97.8386,
2013-09,102.3565,,99.9372,,113.4276,,97.6065,
2013-10,103.2871,,100.6379,,114.3705,,98.1125,
2013-11,102.9753,,100.2482,,114.2205,,97.8349,
2013-12,104.0991,,101.3763,,115.7473,,99.1534,
2014-01,103.6612,,100.8357,,115.7565,,98.9665,
2014-02,103.8031,,101.0031,,116.2172,,99.3135,
2014-03,104.8775,,101.8697,,117.4263,,100.0592,
2014-04,104.7333,,101.6333,,117.0353,,99.5308,
2014-05,104.0668,,100.7298,,116.0718,,98.4082,
2014-06,103.2015,,99.8588,,115.1387,,97.5335,
2014-07,102.7641,,99.3154,,114.6434,,96.9205,
2014-08,102.0568,,98.6852,,114.0346,,96.3970,
2014-09,100.4175,,97.1135,,112.2882,,94.8975,
2014-10,99.5898,,96.2164,,111.6989,,94.1852,
2014-11,99.3685,,96.0476,,111.7773,,94.1901,
2014-12,99.3483,,95.8574,,112.6954,,94.6536,
2015-01,95.4886,,92.1410,,108.4556,,90.9230,
2015-02,93.5622,,90.5637,,106.6876,,89.5935,
2015-03,90.8724,,87.9418,,103.4915,,86.7638,
2015-04,89.9915,,87.1638,,102.1452,,85.5721,
2015-05,91.7330,,88.8198,,104.3057,,87.3310,
2015-06,92.4507,,89.4336,,105.5496,,88.2620,
2015-07,91.4749,,88.3194,,104.5928,,87.2506,
2015-08,93.0808,,89.8148,,107.4424,,89.4980,
2015-09,93.9514,,90.7042,,109.0378,,90.7873,
2015-10,93.8147,,90.6184,,108.4979,,90.3053,
2015-11,91.2588,,88.1389,,105.3528,,87.6065,
2015-12,92.6262,,89.2914,,107.4025,,89.0570,
2016-01,93.7604,,90.1752,,109.2154,,90.2003,
2016-02,94.9540,,91.1551,,110.7079,,91.2159,
2016-03,94.3576,,90.6165,,109.5104,,90.2502,
2016-04,95.2061,,91.3250,,110.2896,,90.7125,
2016-05,95.3655,,91.6464,,110.6349,,91.1043,
2016-06,95.0971,,91.3799,,110.1677,,90.6702,
2016-07,95.3814,,91.6177,,109.9744,,90.4052,
2016-08,95.7789,,91.9476,,110.5116,,90.8085,
2016-09,95.9108,,92.0569,,110.7373,,90.9745,
2016-10,96.0804,,92.2918,,110.5286,,90.8082,
2016-11,95.3901,,91.5304,,109.9871,,90.2424,
2016-12,94.4322,,90.7053,,108.7762,,89.3144,
2017-01,94.6583,,90.9502,,109.1943,,89.6002,
2017-02,94.1983,,90.6632,,108.4069,,89.0252,
2017-03,94.7506,,91.0077,,108.8277,,89.1474,
2017-04,94.4845,,90.6915,,108.4613,,88.7799,
2017-05,96.3103,,92.2917,,110.7442,,90.4794,
2017-06,97.1362,,92.9972,,111.7710,,91.2090,
2017-07,98.4466,,94.2352,,113.6502,,92.6992,
2017-08,99.9826,,95.6837,,115.5310,,94.2001,
2017-09,99.9708,,95.6366,,115.5709,,94.1965,
2017-10,99.5729,,95.1706,,115.2886,,93.8022,
2017-11,99.5118,,95.1466,,115.4533,,93.9110,
2017-12,99.8285,,95.3755,,115.8025,,94.0660,
2018-01,100.5226,,96.1108,,116.7400,,94.8165,
2018-02,100.7573,,96.1303,,117.2697,,95.0263,
2018-03,100.9054,,96.4548,,117.5117,,95.3487,
2018-04,100.6267,,96.1218,,117.5800,,95.2873,
2018-05,99.2238,,94.9439,,116.1898,,94.2946,
2018-06,98.9625,,94.6529,,116.1003,,94.0858,
2018-07,100.0932,,95.7596,,117.3637,,95.1046,
2018-08,99.7978,,95.3111,,117.8053,,95.2466,
2018-09,100.2391,,95.8103,,119.0922,,96.2162,
2018-10,99.6188,,95.2493,,117.7955,,95.1190,
2018-11,99.0681,,94.7195,,116.7738,,94.2917,
2018-12,99.1954,,94.6028,,116.9485,,94.1740,
2019-01,98.6904,,94.1313,,116.3047,,93.6108,
2019-02,98.2695,,93.6272,,115.6089,,92.9260,
2019-03,97.7346,,93.0346,,115.1543,,92.4485,
2019-04,97.5801,,92.8029,,115.0040,,92.2177,
2019-05,98.1235,,93.2237,,115.7279,,92.6612,
2019-06,98.6527,,93.7022,,116.1891,,92.9987,
2019-07,98.2744,,93.2719,,115.3452,,92.2275,
2019-08,98.8321,,93.7247,,116.2267,,92.8328,
2019-09,98.0502,,92.9083,,115.2521,,91.9539,
2019-10,97.9625,,92.6320,,115.2364,,91.7153,
2019-11,97.3612,,91.9329,,114.6310,,91.0794,
2019-12,97.3130,,91.9052,,114.6317,,91.0033,
2020-01,96.8773,,91.2240,,114.1497,,90.3471,
2020-02,96.2135,,90.5045,,113.4923,,89.7345,
2020-03,98.8402,,92.9003,,117.8111,,93.0115,
2020-04,98.0824,,92.4702,,117.4892,,92.9520,
2020-05,98.2763,,92.5630,,117.5320,,92.8689,
2020-06,99.6826,,93.8011,,119.0541,,93.9467,
2020-07,100.4010,,94.3971,,120.2975,,94.7699,
2020-08,101.4987,,94.8843,,122.4027,,95.8363,
2020-09,101.5204,,94.7983,,122.4351,,95.6887,
2020-10,101.2684,,94.6386,,122.3908,,95.6016,
2020-11,100.5760,,94.1160,,121.5908,,94.9886,
2020-12,101.7951,,95.1209,,122.9315,,95.8661,
2021-01,101.3175,,95.2482,,122.3797,,95.9997,
2021-02,100.6493,,94.5439,,121.4912,,95.1551,
2021-03,100.3122,,94.0879,,121.2465,,94.7767,
2021-04,100.5823,,94.2070,,121.9221,,95.1018,
2021-05,100.7819,,94.2867,,122.2620,,95.2160,
2021-06,100.2204,,93.7023,,121.4954,,94.5193,
2021-07,99.6827,,93.5007,Provisional value,120.8164,,94.2412,Provisional value
2021-08,99.3436,,93.1915,Provisional value,120.3768,,93.8771,Provisional value
2021-09,99.4164,,93.2278,Provisional value,120.3771,,93.7665,Provisional value
2021-10,98.4342,,92.3591,Provisional value,119.4618,,93.0977,Provisional value
2021-11,97.5833,,91.9568,Provisional value,118.7863,,92.9126,Provisional value
"",Source: Deutsche Bundesbank. Published in the ECB's SDW: EXR.M.E5.EUR.EN00.A,,Source: Deutsche Bundesbank. Published in the ECB's SDW: EXR.M.E5.EUR.ERC0.A,,Source: Deutsche Bundesbank. Published in the ECB's SDW: EXR.M.E7.EUR.EN00.A,,Source: Deutsche Bundesbank. Published in the ECB's SDW: EXR.M.E7.EUR.ERC0.A,
"","Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro vis-à-vis the currencies of the following countries: Australia, Bulgaria, Canada, China, Croatia, Czechia, Denmark, Hong Kong, Hungary, Japan, Norway, Poland, Romania, Singapore, South Korea, Sweden, Switzerland, the United Kingdom and the United States.                       Weighting scheme drawn up on the basis of foreign trade in the field of manufacturing (SITC 5-8) as well as services. Starting with the period between 1995 and 1997, the weighting is updated every three years. The final respected weighting period until the current date: years between 2016 and 2018. In order to capture third-market effects, export shares were derived on the basis of the principle of ""double weighting"".                                For details of the methodology, see the ECB's website as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",,"Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro vis-à-vis the currencies of the following countries: Australia, Bulgaria, Canada, China, Croatia, Czechia, Denmark, Hong Kong, Hungary, Japan, Norway, Poland, Romania, Singapore, South Korea, Sweden, Switzerland, the United Kingdom and the United States.                       Where current consumer price indices were not yet available, estimates have been used.                                                        Weighting scheme drawn up on the basis of foreign trade in the field of manufacturing (SITC 5-8) as well as services. Starting with the period between 1995 and 1997, the weighting is updated every three years. The final respected weighting period until the current date: years between 2016 and 2018. In order to capture third-market effects, export shares were derived on the basis of the principle of ""double weighting"".                               For details of the methodology, see the ECB's website as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",,"Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro vis-à-vis the currencies of the following countries: Algeria, Argentina, Australia, Brazil, Bulgaria, Canada, Chile, China, Colombia, Croatia, Czechia, Denmark, Hong Kong, Hungary, Iceland, India, Indonesia, Israel, Japan, Malaysia, Mexico, Morocco, New Zealand, Norway, Peru, Philippines, Poland, Romania, the Russian Federation, Saudi Arabia, Singapore, South Africa, South Korea, Sweden, Switzerland, Taiwan, Thailand, Turkey, Ukraine, the United Arab Emirates, the United Kingdom and the United States.                                  Weighting scheme drawn up on the basis of foreign trade in the field of manufacturing (SITC 5-8) as well as services. Starting with the period between 1995 and 1997, the weighting is updated every three years. The final respected weighting period until the current date: years between 2016 and 2018. In order to capture third-market effects, export shares were derived on the basis of the principle of ""double weighting"".                                 For details of the methodology, see the ECB's website as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",,"Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro vis-à-vis the currencies of the following countries: Algeria, Argentina, Australia, Brazil, Bulgaria, Canada, Chile, China, Colombia, Croatia, Czechia, Denmark, Hong Kong, Hungary, Iceland, India, Indonesia, Israel, Japan, Malaysia, Mexico, Morocco, New Zealand, Norway, Peru, Philippines, Poland, Romania, the Russian Federation, Saudi Arabia, Singapore, South Africa, South Korea, Sweden, Switzerland, Taiwan, Thailand, Turkey, Ukraine, the United Arab Emirates, the United Kingdom and the United States..                                   Where current consumer price indices were not yet available, estimates have been used.                                                           Weighting scheme drawn up on the basis of foreign trade in the field of manufacturing (SITC 5-8) as well as services. Starting with the period between 1995 and 1997, the weighting is updated every three years. The final respected weighting period until the current date: years between 2016 and 2018. In order to capture third-market effects, export shares were derived on the basis of the principle of ""double weighting"".                            For details of the methodology, see the ECB's website as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",
