"",BBK01.OU0115,BBK01.OU0115_FLAGS,BBK01.OU0116,BBK01.OU0116_FLAGS,BBK01.OU0123,BBK01.OU0123_FLAGS,BBK01.OU0175,BBK01.OU0175_FLAGS,BBK01.OU0176,BBK01.OU0176_FLAGS,BBK01.OU0355,BBK01.OU0355_FLAGS,BBK01.OU0138,BBK01.OU0138_FLAGS,BBK01.OU0139,BBK01.OU0139_FLAGS,BBK01.OU0142,BBK01.OU0142_FLAGS,BBK01.OUA185,BBK01.OUA185_FLAGS,BBK01.OUA186,BBK01.OUA186_FLAGS,BBK01.OV0115,BBK01.OV0115_FLAGS,BBK01.OV0116,BBK01.OV0116_FLAGS,BBK01.OV0123,BBK01.OV0123_FLAGS,BBK01.OV0175,BBK01.OV0175_FLAGS,BBK01.OV0176,BBK01.OV0176_FLAGS,BBK01.OV0355,BBK01.OV0355_FLAGS,BBK01.OV0138,BBK01.OV0138_FLAGS,BBK01.OV0139,BBK01.OV0139_FLAGS,BBK01.OV0142,BBK01.OV0142_FLAGS,BBK01.OVA185,BBK01.OVA185_FLAGS,BBK01.OVA186,BBK01.OVA186_FLAGS,BBK01.OUA187,BBK01.OUA187_FLAGS,BBK01.OU0184,BBK01.OU0184_FLAGS,BBK01.OU0178,BBK01.OU0178_FLAGS,BBK01.OUA188,BBK01.OUA188_FLAGS,BBK01.OU0179,BBK01.OU0179_FLAGS,BBK01.OUA189,BBK01.OUA189_FLAGS,BBK01.OUA190,BBK01.OUA190_FLAGS,BBK01.OU0144,BBK01.OU0144_FLAGS,BBK01.OU0149,BBK01.OU0149_FLAGS,BBK01.OU0337,BBK01.OU0337_FLAGS,BBK01.OU0307,BBK01.OU0307_FLAGS,BBK01.OU0150,BBK01.OU0150_FLAGS,BBK01.OVA187,BBK01.OVA187_FLAGS,BBK01.OV0184,BBK01.OV0184_FLAGS,BBK01.OV0178,BBK01.OV0178_FLAGS,BBK01.OVA188,BBK01.OVA188_FLAGS,BBK01.OV0179,BBK01.OV0179_FLAGS,BBK01.OVA189,BBK01.OVA189_FLAGS,BBK01.OVA190,BBK01.OVA190_FLAGS,BBK01.OV0144,BBK01.OV0144_FLAGS,BBK01.OV0149,BBK01.OV0149_FLAGS,BBK01.OV0337,BBK01.OV0337_FLAGS,BBK01.OV0307,BBK01.OV0307_FLAGS,BBK01.OV0150,BBK01.OV0150_FLAGS
1949-06,13.347,,8.033,,6.452,,6.343,,6.242,,0.101,Estimated value,0.109,,0.101,,0.008,Estimated value,,,,,0.335,,0.148,,0.272,,0.253,,0.215,,0.038,,0.019,,0.019,,-,Nothing exists,,,,,,,,,,,,,,,,,,,,,,,,,5.205,,,,,,,,,,,,,,,,,,,,,,,,0.149,,,
1949-07,13.779,,8.470,,6.854,,6.732,,6.636,,0.096,Estimated value,0.122,,0.114,,0.008,Estimated value,,,,,0.432,,0.437,,0.402,,0.389,,0.394,,-0.005,,0.013,,0.013,,-,Nothing exists,,,,,,,,,,,,,,,,,,,,,,,,,5.205,,,,,,,,,,,,,,,,,,,,,,,,-,Nothing exists,,
1949-08,14.520,,9.167,,7.656,,7.520,,7.367,,0.153,Estimated value,0.136,,0.123,,0.013,Estimated value,,,,,0.571,,0.527,,0.502,,0.488,,0.431,,0.057,,0.014,,0.009,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,5.187,,,,,,,,,,,,,,,,,,,,,,,,-0.018,,,
1949-09,15.473,,9.922,,8.216,,8.065,,7.935,,0.130,Estimated value,0.151,,0.138,,0.013,Estimated value,,,,,0.793,,0.675,,0.480,,0.465,,0.488,,-0.023,,0.015,,0.015,,-,Nothing exists,,,,,,,,,,,,,,,,,,,,,,,,,5.408,,,,,,,,,,,,,,,,,,,,,,,,0.141,,,
1949-10,16.746,,11.015,,9.043,,8.856,,8.736,,0.120,Estimated value,0.187,,0.153,,0.034,Estimated value,,,,,1.273,,1.093,,0.827,,0.791,,0.801,,-0.010,,0.036,,0.015,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,5.577,,,,,,,,,,,,,,,,,,,,,,,,0.169,,,
1949-11,17.705,,11.844,,9.710,,9.360,,9.203,,0.157,Estimated value,0.350,,0.270,,0.080,Estimated value,,,,,0.959,,0.829,,0.667,,0.504,,0.467,,0.037,,0.163,,0.117,,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,5.624,,,,,,,,,,,,,,,,,,,,,,,,0.047,,,
1949-12,18.327,,12.520,,10.135,,9.582,,9.492,,0.090,Estimated value,0.553,,0.367,,0.186,Estimated value,,,,,0.622,,0.676,,0.425,,0.222,,0.289,,-0.067,,0.203,,0.097,,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,5.531,,,,,,,,,,,,,,,,,,,,,,,,-0.093,,,
1950-01,19.080,,13.159,,10.510,,10.075,,9.955,,0.120,Estimated value,0.435,,0.268,,0.167,Estimated value,,,,,0.593,,0.579,,0.375,,0.493,,0.463,,0.030,,-0.118,,-0.099,,-0.019,,,,,,,,,,,,,,,,,,,,,,,,,,5.634,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,
1950-02,19.876,,13.866,,10.899,,10.405,,10.268,,0.137,Estimated value,0.494,,0.330,,0.164,Estimated value,,,,,0.796,,0.707,,0.389,,0.330,,0.313,,0.017,,0.059,,0.062,,-0.003,,,,,,,,,,,,,,,,,,,,,,,,,,5.709,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,
1950-03,20.636,,14.519,,11.299,,10.754,,10.522,,0.232,Estimated value,0.545,,0.381,,0.164,Estimated value,,,,,0.760,,0.653,,0.400,,0.349,,0.254,,0.095,,0.051,,0.051,,-,Nothing exists,,,,,,,,,,,,,,,,,,,,,,,,,5.721,,,,,,,,,,,,,,,,,,,,,,,,0.012,,,
1950-04,21.130,,14.898,,11.458,,10.958,,10.666,,0.292,Estimated value,0.500,,0.341,,0.159,Estimated value,,,,,0.494,,0.379,,0.159,,0.204,,0.144,,0.060,,-0.045,,-0.040,,-0.005,,,,,,,,,,,,,,,,,,,,,,,,,,5.781,,,,,,,,,,,,,,,,,,,,,,,,0.060,,,
1950-05,21.568,,15.217,,11.558,,11.050,,10.750,,0.300,Estimated value,0.508,,0.328,,0.180,Estimated value,,,,,0.438,,0.319,,0.100,,0.092,,0.084,,0.008,,0.008,,-0.013,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,5.871,,,,,,,,,,,,,,,,,,,,,,,,0.090,,,
1950-06,22.658,,15.966,,11.755,,11.371,,11.040,,0.331,,0.384,,0.199,,0.185,,,,,,0.819,,0.749,,0.197,,0.321,,0.290,,0.031,,-0.124,,-0.129,,0.005,,,,,,,,0.702,,3.177,,,,0.305,,,,,,0.094,,0.427,,,,5.905,,0.022,,,,,,,,,,,,,,,,,,,,,,0.034,,,
1950-07,23.267,,16.539,,12.048,,11.633,,11.255,,0.378,,0.415,,0.203,,0.212,,,,,,0.609,,0.573,,0.293,,0.262,,0.215,,0.047,,0.031,,0.004,,0.027,,,,,,,,0.735,,3.461,,,,0.318,,,,,,0.099,,0.445,,,,5.862,,0.023,,,,0.033,,0.284,,,,0.013,,,,,,0.005,,0.018,,,,-0.043,,0.001,
1950-08,24.076,,17.291,,12.264,,11.818,,11.484,,0.334,,0.446,,0.226,,0.220,,,,,,0.809,,0.752,,0.216,,0.185,,0.229,,-0.044,,0.031,,0.023,,0.008,,,,,,,,0.779,,3.818,,,,0.373,,,,,,0.100,,0.488,,,,5.907,,0.023,,,,0.044,,0.357,,,,0.055,,,,,,0.001,,0.043,,,,0.045,,-,Nothing exists
1950-09,25.286,,18.514,,13.014,,12.561,,12.255,,0.306,,0.453,,0.233,,0.220,,,,,,1.029,,1.044,,0.617,,0.610,,0.638,,-0.028,,0.007,,0.007,,-,Nothing exists,,,,,,,0.833,,4.110,,,,0.418,,,,,,0.108,,0.532,,,,5.916,,0.025,,,,0.008,,0.292,,,,0.045,,,,,,0.008,,0.044,,,,0.007,,0.002,
1950-10,26.562,,19.750,,13.700,,13.307,,12.998,,0.309,,0.393,,0.232,,0.161,,,,,,1.276,,1.236,,0.686,,0.746,,0.743,,0.003,,-0.060,,-0.001,,-0.059,,,,,,,,0.883,,4.410,,,,0.472,,,,,,0.109,,0.620,,,,5.999,,0.026,,,,0.050,,0.300,,,,0.054,,,,,,0.001,,0.088,,,,0.083,,0.001,
1950-11,27.333,,20.508,,14.059,,13.658,,13.347,,0.311,,0.401,,0.238,,0.163,,,,,,0.771,,0.758,,0.359,,0.351,,0.349,,0.002,,0.008,,0.006,,0.002,,,,,,,,0.916,,4.816,,,,0.415,,,,,,0.108,,0.650,,,,6.003,,0.018,,,,0.033,,0.406,,,,-0.057,,,,,,-0.001,,0.030,,,,0.004,,-0.008,
1950-12,28.243,,21.365,,14.426,,14.065,,13.723,,0.342,,0.361,,0.174,,0.187,,,,,,0.910,,0.857,,0.367,,0.407,,0.376,,0.031,,-0.040,,-0.064,,0.024,,,,,,,,0.961,,5.182,,,,0.492,,,,,,0.110,,0.704,,,,5.992,,0.019,,,,0.045,,0.366,,,,0.077,,,,,,0.002,,0.054,,,,-0.011,,0.001,
1951-01,28.704,,21.839,,14.545,,14.170,,13.845,,0.325,,0.375,,0.229,,0.146,,,,,,0.461,,0.474,,0.119,,0.105,,0.122,,-0.017,,0.014,,0.055,,-0.041,,,,,,,,0.990,,5.389,,,,0.530,,,,,,0.111,,0.732,,,,6.018,,0.013,,,,0.029,,0.207,,,,0.038,,,,,,0.001,,0.028,,,,0.026,,-0.006,
1951-02,29.489,,22.568,,14.998,,14.601,,14.295,,0.306,,0.397,,0.205,,0.192,,,,,,0.785,,0.729,,0.453,,0.431,,0.450,,-0.019,,0.022,,-0.024,,0.046,,,,,,,,1.040,,5.566,,,,0.573,,,,,,0.105,,0.771,,,,6.039,,0.013,,,,0.050,,0.177,,,,0.043,,,,,,-0.006,,0.039,,,,0.021,,-,Nothing exists
1951-03,29.414,,22.412,,14.499,,14.069,,13.696,,0.373,,0.430,,0.193,,0.237,,,,,,-0.075,,-0.156,,-0.499,,-0.532,,-0.599,,0.067,,0.033,,-0.012,,0.045,,,,,,,,1.165,,5.826,,,,0.619,,,,,,0.104,,0.795,,,,6.000,,0.014,,,,0.125,,0.260,,,,0.046,,,,,,-0.001,,0.024,,,,-0.039,,0.001,
1951-04,29.419,,22.406,,14.151,,13.698,,13.291,,0.407,,0.453,,0.206,,0.247,,,,,,0.005,,-0.006,,-0.348,,-0.371,,-0.405,,0.034,,0.023,,0.013,,0.010,,,,,,,,1.221,,6.083,,,,0.663,,,,,,0.107,,0.821,,,,5.979,,0.014,,,,0.056,,0.257,,,,0.044,,,,,,0.003,,0.026,,,,-0.021,,-,Nothing exists
1951-05,29.721,,22.772,,14.181,,13.718,,13.363,,0.355,,0.463,,0.233,,0.230,,,,,,0.302,,0.366,,0.030,,0.020,,0.072,,-0.052,,0.010,,0.027,,-0.017,,,,,,,,1.257,,6.247,,,,0.695,,,,,,0.116,,0.847,,,,5.975,,0.014,,,,0.036,,0.164,,,,0.032,,,,,,0.009,,0.026,,,,-0.004,,-,Nothing exists
1951-06,30.454,,23.497,,14.493,,14.043,,13.680,,0.363,,0.450,,0.215,,0.235,,,,,,0.733,,0.725,,0.312,,0.325,,0.317,,0.008,,-0.013,,-0.018,,0.005,,,,,,,,1.316,,6.541,,,,0.732,,,,,,0.122,,0.877,,,,5.957,,0.014,,,,0.059,,0.294,,,,0.037,,,,,,0.006,,0.030,,,,-0.018,,-,Nothing exists
1951-07,31.065,,24.000,,14.763,,14.291,,13.900,,0.391,,0.472,,0.198,,0.274,,,,,,0.611,,0.503,,0.270,,0.248,,0.220,,0.028,,0.022,,-0.017,,0.039,,,,,,,,1.344,,6.760,,,,0.759,,,,,,0.126,,0.899,,,,5.972,,0.014,,,,0.028,,0.219,,,,0.027,,,,,,0.004,,0.022,,,,0.015,,-,Nothing exists
1951-08,31.749,,24.572,,15.088,,14.511,,14.108,,0.403,,0.577,,0.232,,0.345,,,,,,0.684,,0.572,,0.325,,0.220,,0.208,,0.012,,0.105,,0.034,,0.071,,,,,,,,1.362,,6.967,,,,0.786,,,,,,0.136,,0.967,,,,5.981,,0.014,,,,0.018,,0.207,,,,0.027,,,,,,0.010,,0.068,,,,0.009,,-,Nothing exists
1951-09,32.716,,25.618,,15.761,,15.150,,14.873,,0.277,,0.611,,0.217,,0.394,,,,,,0.967,,1.046,,0.673,,0.639,,0.765,,-0.126,,0.034,,-0.015,,0.049,,,,,,,,1.404,,7.140,,,,0.830,,,,,,0.132,,1.008,,,,5.984,,0.014,,,,0.042,,0.173,,,,0.044,,,,,,-0.004,,0.041,,,,0.003,,-,Nothing exists
1951-10,33.639,,25.920,,16.165,,15.192,,14.713,,0.479,,0.973,,0.270,,0.703,,,,,,0.613,,0.102,,0.294,,-0.048,,-0.250,,0.202,,0.342,,0.053,,0.289,,,,,,,,1.427,,7.412,,,,0.861,,,,,,0.127,,1.095,,,,6.077,,0.015,,,,0.013,,0.232,,,,0.031,,,,,,-0.005,,0.027,,,,0.003,,0.001,
1951-11,34.428,,26.903,,16.569,,15.634,,15.312,,0.322,,0.935,,0.275,,0.660,,,,,,0.789,,0.983,,0.404,,0.442,,0.599,,-0.157,,-0.038,,0.005,,-0.043,,,,,,,,1.470,,7.622,,,,0.901,,,,,,0.166,,1.142,,,,6.071,,0.015,,,,0.043,,0.210,,,,0.040,,,,,,0.039,,0.047,,,,-0.006,,-,Nothing exists
1951-12,35.555,,28.054,,17.266,,16.318,,16.113,,0.205,,0.948,,0.208,,0.740,,,,,,1.127,,1.151,,0.697,,0.684,,0.801,,-0.117,,0.013,,-0.067,,0.080,,,,,,,,1.504,,7.847,,,,1.011,,,,,,0.147,,1.201,,,,6.074,,0.023,,,,0.034,,0.225,,,,0.110,,,,,,-0.019,,0.059,,,,0.003,,0.008,
1952-01,36.454,,28.736,,17.846,,16.904,,16.534,,0.370,,0.942,,0.201,,0.741,,,,,,0.899,,0.682,,0.580,,0.586,,0.421,,0.165,,-0.006,,-0.007,,0.001,,,,,,,,1.489,,8.143,,,,0.973,,,,,,0.143,,1.230,,,,6.096,,0.023,,,,-0.015,,0.206,,,,0.052,,,,,,-0.004,,0.029,,,,0.022,,-,Nothing exists
1952-02,37.120,,29.548,,18.258,,17.448,,17.100,,0.348,,0.810,,0.212,,0.598,,,,,,0.666,,0.812,,0.412,,0.544,,0.566,,-0.022,,-0.132,,0.011,,-0.143,,,,,,,,1.504,,8.292,,,,1.013,,,,,,0.152,,1.252,,,,6.104,,0.023,,,,0.015,,0.149,,,,0.040,,,,,,0.009,,0.022,,,,0.008,,-,Nothing exists
