"",BBFI1.M.N.DE.W1.S121.S1.LE.A.FA._T.F._Z._T._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA._T.F._Z._T._X.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F._Z.X1._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F._Z.X1._X.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F11._Z.XAU.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F11._Z.XAU.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1N.LE.A.FA.R.F12.T.XDR.M.N,BBFI1.M.N.DE.W1.S121.S1N.LE.A.FA.R.F12.T.XDR.M.N_FLAGS,BBFI1.M.N.DE.1C.S121.S121.LE.A.FA.R.FK._Z.XDR.M.N,BBFI1.M.N.DE.1C.S121.S121.LE.A.FA.R.FK._Z.XDR.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F2.T.X1.N.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F2.T.X1.N.N_FLAGS,BBFI1.M.N.DE.W1.S121.S122.LE.A.FA.R.F2.T.X1.N.N,BBFI1.M.N.DE.W1.S121.S122.LE.A.FA.R.F2.T.X1.N.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.FR1._Z.X1.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.FR1._Z.X1.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F3.L.X1.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F3.L.X1.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F._Z._T._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F._Z._T._X.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F519._Z._T.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F519._Z._T.M.N_FLAGS,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F519._Z._T.M.N,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F519._Z._T.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F2_F4.T._T.N.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F2_F4.T._T.N.N_FLAGS,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F2.L._T.N.N,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F2.L._T.N.N_FLAGS,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F2.S._T.N.N,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F2.S._T.N.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.P.F.T._T.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.P.F.T._T.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.L.FA._T.F._Z._T._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.L.FA._T.F._Z._T._X.N_FLAGS,BBFI1.M.N.DE.U4.S121.S1.LE.L.FA.O.F2.T._T.N.N,BBFI1.M.N.DE.U4.S121.S1.LE.L.FA.O.F2.T._T.N.N_FLAGS,BBFI1.M.N.DE.U2.S121.S1.LE.L.FA.O.F2.T._T.N.N,BBFI1.M.N.DE.U2.S121.S1.LE.L.FA.O.F2.T._T.N.N_FLAGS,BBFI1.M.N.DE.U2.S121.S1.LE.L.FA.O.F21___F221C.S.EUR.N.N,BBFI1.M.N.DE.U2.S121.S1.LE.L.FA.O.F21___F221C.S.EUR.N.N_FLAGS,BBFI1.M.N.DE.W1.S1.S1N.LE.L.FA.O.F12.T._T._X.N,BBFI1.M.N.DE.W1.S1.S1N.LE.L.FA.O.F12.T._T._X.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.N.FA._T.F._Z._T._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.N.FA._T.F._Z._T._X.N_FLAGS
2013-10,785449,,154486,,106477,,12941,,7981,,3416,,2300,,23670,,22471,,574449,,2080,,2031,,572369,,10872,,561497,,56514,,425957,,54716,,357644,,326648,,13597,,359492,
2013-11,761730,,148010,,99631,,12962,,7945,,2791,,2217,,24682,,23633,,557441,,2080,,2031,,555361,,10872,,544488,,56278,,412241,,52804,,345820,,328226,,13617,,349489,
2013-12,721741,,143753,,94876,,12837,,7961,,3818,,1217,,24261,,23117,,523153,,2080,,2031,,521073,,10872,,510201,,54834,,401524,,52083,,335955,,330825,,13486,,320217,
2014-01,716868,,149930,,100432,,13030,,8080,,3463,,1306,,24925,,23983,,512785,,1998,,1948,,510787,,10430,,500357,,54153,,405407,,46046,,345673,,337753,,13688,,311461,
2014-02,718317,,152432,,104678,,12862,,7728,,2458,,1139,,24707,,23765,,511660,,1998,,1948,,509662,,10430,,499232,,54225,,394008,,33685,,346813,,336709,,13510,,324309,
2014-03,687557,,150615,,102179,,12866,,7720,,2845,,2210,,25005,,23944,,482503,,1998,,1948,,480505,,10430,,470075,,54440,,382737,,27707,,341516,,334789,,13514,,304820,
2014-04,692956,,150048,,101564,,13057,,7893,,3154,,2193,,24380,,22939,,490117,,1998,,1948,,488119,,10430,,477688,,52792,,403523,,28396,,361634,,336990,,13493,,289433,
2014-05,680888,,148949,,100274,,13213,,7912,,2291,,1428,,25259,,23680,,479290,,1998,,1948,,477292,,10430,,466862,,52649,,406407,,29442,,363313,,340007,,13652,,274481,
2014-06,678136,,153017,,104600,,13213,,7582,,2617,,1710,,25006,,24530,,474245,,1998,,1948,,472247,,10430,,461817,,50874,,399778,,26059,,360067,,342859,,13652,,278358,
2014-07,660521,,154885,,105317,,13497,,7665,,4279,,3380,,24127,,23051,,455977,,1998,,1948,,453979,,10430,,443548,,49659,,378111,,4356,,359952,,347054,,13803,,282410,
2014-08,681324,,156411,,106079,,13794,,7339,,4619,,3854,,24580,,22914,,476732,,1998,,1948,,474734,,10430,,464303,,48181,,379994,,4170,,361940,,350413,,13884,,301330,
2014-09,696802,,156367,,104629,,14113,,7751,,3697,,2664,,26176,,23636,,492348,,1998,,1948,,490350,,10430,,479920,,48087,,386210,,4648,,367357,,353954,,14205,,310592,
2014-10,681790,,154133,,101929,,14125,,7628,,5081,,4094,,25369,,23718,,481136,,1998,,1948,,479138,,10430,,468708,,46521,,396338,,5011,,377092,,356588,,14235,,285452,
2014-11,682969,,155424,,103245,,14045,,7520,,4830,,3719,,25785,,24304,,480294,,1998,,1948,,478296,,10430,,467866,,47250,,400642,,4530,,381958,,358594,,14154,,282327,
2014-12,678804,,158745,,107475,,14261,,6364,,3740,,2333,,26906,,25295,,473274,,1998,,1948,,471276,,10430,,460846,,46784,,396314,,13050,,368884,,361622,,14380,,282490,
2015-01,751062,,176741,,121607,,14895,,6488,,5115,,4217,,28636,,26808,,527698,,1998,,1948,,525701,,10430,,515266,,46623,,451800,,55450,,381311,,363607,,15039,,299262,
2015-02,744552,,172120,,116647,,14956,,6361,,6218,,5282,,27939,,26700,,525795,,1998,,1948,,523797,,10430,,513365,,46637,,443519,,35939,,392481,,365313,,15099,,301033,
2015-03,767856,,176922,,119988,,15311,,5944,,6509,,4533,,29170,,27964,,544130,,1998,,1948,,542132,,10430,,531701,,46804,,434696,,19126,,400099,,367260,,15471,,333160,
2015-04,762437,,171758,,116812,,14967,,5796,,5597,,4392,,28587,,26980,,544620,,1998,,1948,,542622,,10430,,532192,,46058,,436058,,14889,,406045,,369362,,15123,,326379,
2015-05,758500,,173842,,118141,,15124,,5744,,5058,,4116,,29775,,28150,,538619,,1998,,1948,,536621,,10430,,526191,,46039,,436631,,9291,,412053,,371619,,15286,,321869,
2015-06,756263,,168299,,113838,,15000,,5617,,5276,,3618,,28568,,26971,,543502,,1998,,1948,,541504,,10430,,531074,,44461,,439896,,10493,,414242,,372433,,15161,,316366,
2015-07,763247,,163071,,108872,,15172,,4919,,4527,,2976,,29581,,28397,,555013,,1998,,1948,,553015,,10430,,542585,,45162,,444698,,13016,,416347,,375616,,15336,,318549,
2015-08,781286,,162917,,110012,,14934,,5164,,5112,,3646,,27695,,26894,,573712,,1998,,1948,,571714,,10430,,561284,,44657,,440941,,10504,,415342,,376433,,15094,,340345,
2015-09,774428,,161922,,108959,,14941,,5191,,5260,,3113,,27571,,26626,,567602,,1998,,1948,,565605,,10430,,555174,,44903,,462513,,16657,,430754,,377694,,15101,,311915,
2015-10,786694,,166664,,112836,,15126,,5199,,4771,,2918,,28732,,27624,,575246,,1998,,1948,,573248,,10430,,562818,,44784,,468506,,13176,,440041,,379039,,15290,,318187,
2015-11,813320,,163816,,108820,,15475,,5217,,3020,,941,,31283,,30202,,604946,,1998,,1948,,602948,,10430,,592518,,44558,,482764,,14299,,452823,,379378,,15642,,330555,
2015-12,800709,,159532,,105792,,15185,,5132,,5534,,2072,,27889,,27338,,596638,,1998,,1948,,594640,,10430,,584210,,44539,,481787,,27750,,438689,,380318,,15349,,318921,
2016-01,807971,,164656,,111126,,15055,,5197,,7923,,4751,,25355,,24898,,599427,,1998,,1948,,597429,,10430,,587000,,43888,,473104,,16107,,441751,,378532,,15245,,334867,
2016-02,839336,,177917,,122535,,15109,,6899,,7931,,2883,,25444,,24953,,617434,,1998,,1948,,615436,,10430,,605006,,43985,,489464,,28227,,445938,,378017,,15299,,349871,
2016-03,837375,,171266,,117844,,14730,,6730,,7553,,1187,,24408,,23971,,621617,,1998,,1948,,619619,,10430,,609190,,44491,,492119,,30847,,446349,,379025,,14924,,345256,
2016-04,856266,,175738,,121562,,14793,,6759,,6089,,2090,,26534,,26097,,638201,,1998,,1948,,636203,,10430,,625774,,42327,,495578,,31476,,449114,,378886,,14988,,360688,
2016-05,884887,,173927,,118133,,14970,,6839,,6717,,1838,,27267,,26353,,667972,,1998,,1948,,665974,,10430,,655544,,42988,,501617,,28584,,457866,,380527,,15167,,383270,
2016-06,922232,,184628,,128963,,14746,,6780,,7446,,4580,,26693,,25751,,693498,,1998,,1948,,691500,,10430,,681070,,44106,,518487,,47941,,455377,,383411,,15169,,403745,
2016-07,904044,,186300,,130417,,14698,,6736,,7464,,2373,,26985,,26066,,672748,,1998,,1948,,670750,,10430,,660320,,44996,,518941,,45140,,458682,,384850,,15120,,385103,
2016-08,918692,,183951,,128171,,14685,,6642,,6787,,4109,,27666,,26748,,689906,,1998,,1948,,687909,,10430,,677479,,44834,,525342,,50595,,459642,,384935,,15105,,393349,
2016-09,957860,,183796,,128795,,14657,,6605,,6282,,2366,,27456,,26540,,728554,,1998,,1948,,726556,,10430,,715738,,45510,,549904,,71404,,463423,,387433,,15077,,407956,
2016-10,947718,,181623,,126245,,14708,,6631,,6055,,3862,,27985,,27161,,720795,,1998,,1948,,718797,,10430,,708029,,45300,,542995,,67346,,460513,,388605,,15135,,404723,
2016-11,991108,,177348,,121032,,14917,,6572,,3819,,1058,,31007,,29096,,766905,,1998,,1948,,764907,,10430,,754057,,46855,,552558,,75758,,461449,,388453,,15350,,438550,
2016-12,990450,,175765,,119253,,14938,,6581,,6620,,1221,,28373,,27901,,767128,,1998,,1948,,765130,,10430,,754263,,47557,,592723,,118233,,459119,,389714,,15371,,397727,
2017-01,1034804,,177256,,121656,,14806,,6523,,8523,,590,,25747,,24895,,809862,,1998,,1948,,807864,,10430,,795621,,47687,,577903,,101109,,461559,,389600,,15236,,456901,
2017-02,1060894,,184666,,128507,,14976,,6248,,8130,,902,,26805,,24365,,828264,,1998,,1948,,826266,,10430,,814375,,47964,,609131,,122169,,471555,,390162,,15407,,451763,
2017-03,1075039,,181898,,126158,,14886,,6183,,8295,,476,,26376,,24867,,843892,,1998,,1948,,841894,,10430,,829751,,49249,,623397,,131756,,476326,,390805,,15315,,451642,
2017-04,1089144,,180726,,126011,,14697,,6055,,11006,,628,,22958,,22030,,858281,,1998,,1948,,856284,,10430,,843439,,50137,,601362,,126515,,459719,,392516,,15127,,487782,
2017-05,1098879,,175958,,122486,,14459,,5907,,9967,,597,,23140,,22155,,871724,,1998,,1948,,869726,,10430,,857272,,51197,,600960,,119988,,466094,,393838,,14877,,497919,
2017-06,1098880,,171295,,118235,,14349,,5695,,8434,,1090,,24581,,23614,,875312,,1998,,1948,,873314,,10430,,860764,,52273,,623777,,141517,,467553,,396956,,14707,,475103,
2017-07,1092769,,169735,,117330,,14124,,5531,,8249,,1626,,24501,,23907,,871752,,1998,,1948,,869754,,10430,,856510,,51282,,612732,,131672,,466584,,396906,,14476,,480038,
2017-08,1089883,,171044,,119770,,14071,,5530,,11109,,1051,,20564,,19975,,867696,,1998,,1948,,865698,,10430,,852511,,51143,,620130,,140925,,464791,,398405,,14414,,469753,
2017-09,1115200,,169937,,118208,,14089,,5471,,9192,,1713,,22977,,22193,,894441,,1998,,1948,,892443,,10430,,878888,,50821,,618351,,142647,,461271,,399701,,14433,,496848,
2017-10,1085916,,172047,,118569,,14208,,5446,,8603,,2262,,25221,,24222,,862772,,1998,,1948,,860775,,10430,,848443,,51097,,600278,,129620,,456102,,401044,,14555,,485638,
2017-11,1091832,,169539,,117208,,14069,,5168,,8097,,2165,,24997,,23898,,869988,,1998,,1948,,867990,,10430,,855548,,52305,,576418,,106023,,455989,,401484,,14406,,515414,
2017-12,1142845,,166842,,117347,,13987,,4294,,6583,,1010,,24631,,23711,,923765,,1998,,1948,,921767,,10430,,906941,,52238,,668527,,200821,,453384,,404541,,14322,,474318,
2018-01,1114774,,164944,,117008,,13776,,4166,,5231,,1017,,24763,,24056,,896665,,1998,,1948,,894668,,10430,,882043,,53165,,616933,,146661,,456166,,401537,,14106,,497841,
2018-02,1147979,,166370,,117138,,13949,,4138,,7648,,1520,,23498,,23031,,928275,,1998,,1948,,926277,,10430,,913989,,53333,,636660,,162415,,459969,,400548,,14276,,511319,
2018-03,1158983,,165830,,116630,,13906,,4114,,8167,,1974,,23014,,22160,,939229,,1998,,1948,,937231,,10430,,923466,,53924,,678806,,200000,,464575,,404419,,14231,,480178,
2018-04,1139056,,166970,,117867,,14043,,4150,,5573,,2481,,25338,,24155,,917971,,1998,,1948,,915974,,10430,,902364,,54115,,633590,,163110,,456122,,404609,,14358,,505466,
2018-05,1198995,,171469,,120871,,14287,,4172,,5151,,2491,,26988,,25476,,973323,,1998,,1948,,971326,,10430,,956150,,54203,,656352,,173425,,468324,,408933,,14602,,542644,
2018-06,1213511,,167078,,116291,,14245,,4983,,6177,,1764,,25382,,24035,,991577,,1998,,1948,,989579,,10430,,976266,,54857,,700855,,213616,,472680,,411438,,14560,,512656,
2018-07,1147878,,163308,,112693,,14131,,4881,,5849,,2208,,25754,,24641,,930107,,1998,,1948,,928109,,10430,,913270,,54463,,666166,,177437,,474293,,413046,,14436,,481712,
2018-08,1145283,,162346,,111986,,14208,,4879,,6144,,3421,,25129,,23236,,929073,,1998,,1948,,927075,,10430,,912448,,53864,,644477,,166269,,463702,,416818,,14505,,500806,
2018-09,1189175,,161078,,110755,,14236,,4889,,6717,,401,,24482,,23481,,973380,,1998,,1948,,971382,,10430,,956487,,54717,,686207,,191422,,480251,,419173,,14534,,502968,
2018-10,1167004,,168272,,116314,,14440,,5259,,7081,,3597,,25177,,24165,,943644,,1998,,1948,,941646,,10430,,927555,,55089,,664444,,175359,,474359,,420663,,14727,,502560,
2018-11,1184703,,168198,,116409,,14405,,5244,,7455,,5083,,24685,,23609,,960478,,1998,,1948,,958481,,10430,,941130,,56026,,674283,,179184,,480415,,420874,,14684,,510420,
2018-12,1209982,,173138,,121445,,14378,,5518,,11060,,1,,20737,,18911,,980560,,1998,,1948,,978562,,10430,,966190,,56284,,770519,,280798,,475065,,422494,,14656,,439462,
2019-01,1123169,,176720,,124811,,14424,,5486,,8167,,3650,,23832,,21641,,890410,,2038,,1988,,888372,,10644,,868142,,56039,,624893,,173617,,436572,,391495,,14704,,498277,
2019-02,1127455,,178016,,125793,,14496,,5510,,6526,,3291,,25691,,21582,,894226,,2303,,2254,,891923,,10644,,872698,,55214,,608231,,154055,,439409,,394396,,14768,,519224,
2019-03,1190416,,178088,,125302,,14629,,5561,,5530,,2006,,27066,,21978,,958243,,2303,,2254,,955940,,10644,,941310,,54086,,627666,,173030,,439733,,396910,,14903,,562750,
2019-04,1167188,,177378,,124046,,14622,,6228,,8331,,1071,,24151,,22337,,935563,,2303,,2254,,933260,,10644,,919696,,54247,,600474,,139072,,446506,,400778,,14897,,566713,
2019-05,1186394,,180073,,126092,,14637,,6150,,7747,,2063,,25447,,22115,,952038,,2303,,2254,,949735,,10644,,934640,,54283,,593187,,134893,,443397,,404778,,14898,,593206,
2019-06,1201041,,187401,,134470,,14473,,6081,,7783,,1759,,24594,,22061,,960158,,2303,,2254,,957855,,10644,,942319,,53482,,625504,,162349,,448425,,407776,,14731,,575537,
2019-07,1134349,,193244,,139163,,14613,,6391,,7400,,5053,,25676,,24552,,888584,,2303,,2254,,886281,,10644,,870903,,52521,,599986,,138350,,446761,,411408,,14875,,534363,
2019-08,1173640,,205331,,149696,,14703,,6379,,8178,,5116,,26374,,25445,,915546,,2303,,2254,,913243,,10644,,897901,,52763,,619050,,147329,,456770,,417190,,14952,,554590,
2019-09,1185142,,202285,,147611,,14831,,6396,,6949,,741,,26498,,25268,,930892,,2303,,2254,,928589,,10644,,915342,,51965,,608856,,132916,,460859,,422061,,15082,,576286,
2019-10,1103094,,199858,,146284,,14663,,6287,,5789,,3265,,26835,,25537,,852754,,2303,,2254,,850450,,10644,,837377,,50482,,582482,,97731,,469838,,426338,,14914,,520612,
2019-11,1134129,,197047,,143253,,14799,,6116,,4374,,1586,,28505,,26087,,885524,,2303,,2254,,883221,,10644,,870520,,51558,,579285,,102819,,461427,,430834,,15039,,554845,
2019-12,1160971,,199295,,146562,,14642,,6051,,3701,,135,,28338,,24517,,909645,,2303,,2254,,907342,,10644,,895219,,52031,,663320,,179986,,468454,,435764,,14880,,497651,
2020-01,1090725,,209432,,154867,,14785,,6110,,7031,,3621,,26641,,22993,,828120,,2303,,2254,,825816,,10644,,811435,,53173,,580866,,90554,,475287,,443062,,15025,,509859,
2020-02,1106033,,215748,,159889,,14857,,5989,,7638,,5272,,27376,,23211,,836782,,2306,,2256,,834476,,10635,,821562,,53503,,577011,,90407,,471516,,445341,,15087,,529022,
2020-03,1218815,,213722,,158677,,14812,,5965,,5317,,2,,28951,,25077,,952781,,2306,,2256,,950475,,10635,,935126,,52312,,617919,,108864,,494029,,454967,,15027,,600896,
2020-04,1214851,,226903,,170359,,14935,,6857,,4333,,178,,30420,,24898,,934333,,2306,,2256,,932028,,10635,,918814,,53615,,616319,,123074,,478093,,458170,,15151,,598532,
2020-05,1209328,,223125,,167780,,14650,,6787,,3870,,1699,,30038,,24977,,931521,,2306,,2256,,929215,,10635,,916145,,54682,,612403,,112460,,485085,,458492,,14858,,596925,
2020-06,1294167,,226135,,170728,,14603,,6955,,3867,,1000,,29982,,23286,,1012982,,2306,,2256,,1010676,,10635,,995083,,55050,,618825,,122311,,481704,,458075,,14810,,675342,
2020-07,1323691,,233547,,180400,,14179,,7465,,3221,,1387,,28282,,21745,,1034282,,2306,,2256,,1031976,,10635,,1019214,,55862,,599189,,99659,,485147,,460479,,14383,,724503,
2020-08,1358137,,230309,,177973,,14129,,7423,,2434,,671,,28350,,22786,,1071521,,2306,,2256,,1069216,,10635,,1056231,,56307,,600390,,96157,,489902,,464325,,14331,,757747,
2020-09,1414933,,227150,,173979,,14293,,7632,,3148,,260,,28098,,22776,,1131686,,2306,,2256,,1129380,,10635,,1115189,,56097,,649781,,139364,,495920,,467007,,14498,,765151,
2020-10,1346367,,227767,,174433,,14346,,7656,,3381,,1496,,27951,,22926,,1061498,,2306,,2256,,1059192,,10635,,1047327,,57102,,619445,,103800,,501094,,469447,,14552,,726922,
2020-11,1347202,,212286,,159737,,14193,,7535,,3075,,301,,27745,,22613,,1078270,,2306,,2256,,1075964,,10635,,1060263,,56647,,625921,,112661,,498865,,470698,,14395,,721282,
2020-12,1429236,,219127,,166904,,14014,,8143,,3094,,2,,26972,,22298,,1152757,,2306,,2256,,1150451,,10635,,1136002,,57353,,781339,,256804,,510322,,473098,,14213,,647898,
2021-01,1348921,,219860,,166494,,14115,,8061,,4133,,1032,,27057,,21590,,1072140,,2306,,2256,,1069834,,10635,,1054994,,56921,,638042,,119926,,503800,,474243,,14317,,710879,
2021-02,1328303,,210619,,157313,,14119,,8047,,3476,,375,,27664,,21564,,1060378,,2306,,2256,,1058072,,10635,,1043746,,57306,,616473,,93173,,508981,,476538,,14319,,711830,
2021-03,1364046,,209400,,155323,,14367,,7966,,4251,,90,,27493,,22962,,1098486,,2306,,2256,,1096180,,10635,,1081989,,56160,,647647,,126344,,506733,,479007,,14570,,716400,
2021-04,1307161,,210799,,158143,,14085,,7836,,3200,,170,,27536,,22640,,1041472,,2306,,2256,,1039166,,10635,,1024734,,54890,,604863,,83498,,507033,,479710,,14332,,702299,
2021-05,1370231,,221201,,168678,,14037,,7809,,4105,,2,,26572,,21316,,1093721,,2306,,2256,,1091416,,10635,,1076918,,55309,,621827,,93316,,514228,,482756,,14283,,748404,
2021-06,1384834,,213600,,159995,,14326,,8094,,4470,,2,,26714,,23233,,1115447,,2306,,2256,,1113142,,10635,,1101897,,55787,,670632,,137428,,518732,,485871,,14471,,714202,
2021-07,1319694,,219775,,165984,,14345,,8104,,5987,,2,,25356,,21973,,1042015,,2306,,2256,,1039710,,10635,,1024970,,57903,,657905,,124576,,518839,,490035,,14490,,661789,
2021-08,1360722,,250742,,165757,,45091,,8174,,5819,,174,,25901,,22043,,1053653,,2306,,2256,,1051347,,10635,,1037259,,56327,,699773,,136021,,518516,,492912,,45236,,660949,
2021-09,1431909,,246908,,160943,,45606,,8267,,3427,,2,,28665,,23456,,1130558,,2306,,2256,,1128252,,10635,,1115126,,54443,,746128,,175573,,524802,,497515,,45752,,685781,
2021-10,1388160,,250340,,164602,,45719,,8449,,5481,,307,,26088,,23446,,1083141,,2306,,2256,,1080836,,10635,,1066604,,54678,,735595,,158139,,531773,,500797,,45683,,652564,
2021-11,1456861,,258815,,170460,,46375,,8405,,5748,,679,,27827,,25058,,1142719,,2306,,2256,,1140413,,10635,,1127545,,55327,,773217,,196327,,530552,,504517,,46337,,683644,
2021-12,1592822,,261387,,173821,,46491,,8426,,5857,,2,,26792,,23873,,1276150,,2467,,2417,,1273684,,10635,,1260673,,55285,,1009488,,404338,,558697,,509840,,46454,,583334,
2022-01,1479694,,261965,,173362,,46931,,8504,,6103,,2,,27065,,24297,,1163561,,2467,,2417,,1161094,,10635,,1149868,,54168,,807889,,221500,,539495,,511127,,46894,,671805,
2022-02,1491552,,273726,,184255,,46854,,8711,,8136,,361,,25769,,23487,,1164098,,2467,,2417,,1161631,,10635,,1149722,,53729,,774786,,190423,,537549,,514163,,46815,,716766,
