"",BBFI1.M.N.DE.W1.S121.S1.LE.A.FA._T.F._Z._T._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA._T.F._Z._T._X.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F._Z.X1._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F._Z.X1._X.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F11._Z.XAU.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F11._Z.XAU.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1N.LE.A.FA.R.F12.T.XDR.M.N,BBFI1.M.N.DE.W1.S121.S1N.LE.A.FA.R.F12.T.XDR.M.N_FLAGS,BBFI1.M.N.DE.1C.S121.S121.LE.A.FA.R.FK._Z.XDR.M.N,BBFI1.M.N.DE.1C.S121.S121.LE.A.FA.R.FK._Z.XDR.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F2.T.X1.N.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F2.T.X1.N.N_FLAGS,BBFI1.M.N.DE.W1.S121.S122.LE.A.FA.R.F2.T.X1.N.N,BBFI1.M.N.DE.W1.S121.S122.LE.A.FA.R.F2.T.X1.N.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.FR1._Z.X1.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.FR1._Z.X1.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F3.L.X1.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F3.L.X1.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F._Z._T._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F._Z._T._X.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F519._Z._T.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F519._Z._T.M.N_FLAGS,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F519._Z._T.M.N,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F519._Z._T.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F2_F4.T._T.N.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F2_F4.T._T.N.N_FLAGS,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F2.L._T.N.N,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F2.L._T.N.N_FLAGS,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F2.S._T.N.N,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F2.S._T.N.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.P.F.T._T.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.P.F.T._T.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.L.FA._T.F._Z._T._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.L.FA._T.F._Z._T._X.N_FLAGS,BBFI1.M.N.DE.U4.S121.S1.LE.L.FA.O.F2.T._T.N.N,BBFI1.M.N.DE.U4.S121.S1.LE.L.FA.O.F2.T._T.N.N_FLAGS,BBFI1.M.N.DE.U2.S121.S1.LE.L.FA.O.F2.T._T.N.N,BBFI1.M.N.DE.U2.S121.S1.LE.L.FA.O.F2.T._T.N.N_FLAGS,BBFI1.M.N.DE.U2.S121.S1.LE.L.FA.O.F21___F221C.S.EUR.N.N,BBFI1.M.N.DE.U2.S121.S1.LE.L.FA.O.F21___F221C.S.EUR.N.N_FLAGS,BBFI1.M.N.DE.W1.S1.S1N.LE.L.FA.O.F12.T._T._X.N,BBFI1.M.N.DE.W1.S1.S1N.LE.L.FA.O.F12.T._T._X.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.N.FA._T.F._Z._T._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.N.FA._T.F._Z._T._X.N_FLAGS
2001-03,116133,,93187,,32710,,1964,,5788,,7464,,6621,,45261,,42507,,22946,,1237,,1225,,21709,,12247,,9154,,-,Nothing exists,8497,,6735,,34,,-,Nothing exists,1728,,107636,
2001-04,106430,,91768,,33100,,1929,,5688,,6822,,5168,,44230,,41693,,14662,,1237,,1225,,13425,,12247,,866,,-,Nothing exists,8412,,6673,,12,,-,Nothing exists,1727,,98018,
2001-05,111162,,95808,,34994,,2055,,5901,,6031,,5608,,46827,,44622,,15354,,1237,,1225,,14117,,12247,,1563,,-,Nothing exists,8607,,6807,,9,,-,Nothing exists,1791,,102555,
2001-06,99773,,95817,,35494,,2019,,6139,,6355,,5920,,45810,,43719,,3956,,1237,,1225,,2719,,12247,,-9835,,-,Nothing exists,8619,,6790,,50,,-,Nothing exists,1779,,91154,
2001-07,107437,,92879,,33708,,1971,,6009,,7575,,7079,,43617,,41628,,14559,,1237,,1225,,13322,,12247,,769,,-,Nothing exists,8746,,6838,,167,,-,Nothing exists,1741,,98691,
2001-08,109011,,89890,,33414,,1974,,5791,,6085,,5753,,42626,,40723,,19121,,1237,,1225,,17884,,12247,,5331,,-,Nothing exists,8563,,6844,,16,,-,Nothing exists,1703,,100448,
2001-09,112045,,94538,,35399,,1977,,7012,,6942,,6456,,43208,,41285,,17507,,1237,,1225,,16270,,12247,,3718,,-,Nothing exists,10367,,8631,,27,,-,Nothing exists,1709,,101678,
2001-10,115487,,95552,,34531,,1972,,6671,,8972,,8450,,43406,,41430,,19935,,1237,,1225,,18698,,12247,,6145,,-,Nothing exists,12494,,10654,,129,,-,Nothing exists,1711,,102993,
2001-11,108934,,95395,,34309,,2030,,6716,,9111,,8635,,43230,,41023,,13539,,1237,,1225,,12302,,12247,,-254,,-,Nothing exists,12816,,11054,,39,,-,Nothing exists,1723,,96118,
2001-12,76147,,93215,,35005,,2032,,6689,,6884,,6092,,42604,,40264,,-17068,,1237,,1225,,-18305,,12247,,-30857,,-,Nothing exists,10477,,8703,,49,,-,Nothing exists,1725,,65670,
2002-01,98116,,97392,,36220,,2001,,6855,,11630,,10993,,40686,,38686,,724,,1237,,1225,,-513,,12247,,-13063,,-,Nothing exists,57455,,10429,,45285,,45259,,1741,,40661,
2002-02,98392,,99230,,38095,,2032,,6842,,12879,,12174,,39382,,37437,,-837,,1237,,1225,,-2074,,12247,,-14623,,-,Nothing exists,49888,,10250,,37900,,37796,,1738,,48504,
2002-03,99489,,98130,,38505,,2024,,6816,,11955,,11241,,38830,,36935,,1359,,1237,,1225,,122,,12247,,-12426,,-,Nothing exists,48902,,10069,,37103,,37095,,1730,,50587,
2002-04,106936,,94779,,38072,,1950,,6255,,10180,,9542,,38322,,36595,,12157,,1237,,1225,,10920,,12247,,-1629,,-,Nothing exists,49517,,9287,,38526,,38515,,1704,,57419,
2002-05,100886,,91942,,38649,,1929,,6111,,9136,,8367,,36118,,34402,,8944,,1237,,1225,,7707,,12247,,-4842,,-,Nothing exists,51628,,8429,,41534,,41516,,1665,,49258,
2002-06,88199,,86649,,35435,,1868,,6980,,9110,,8455,,33257,,31573,,1550,,1237,,1225,,313,,12247,,-12235,,-,Nothing exists,53536,,9205,,42716,,42702,,1615,,34663,
2002-07,105187,,87718,,34596,,1893,,7004,,11231,,10601,,32995,,31171,,17469,,1237,,1225,,16232,,12247,,3684,,-,Nothing exists,55880,,10153,,44090,,44080,,1637,,49307,
2002-08,110682,,87466,,35197,,1931,,6867,,11878,,11225,,31593,,29868,,23216,,1237,,1225,,21979,,12247,,9431,,-,Nothing exists,57684,,9416,,46633,,46617,,1635,,52998,
2002-09,108889,,88937,,36225,,1921,,6831,,12752,,12002,,31209,,29539,,19952,,1237,,1225,,18715,,12247,,6167,,-,Nothing exists,59719,,9959,,48136,,48129,,1624,,49170,
2002-10,112748,,87441,,35530,,1916,,6678,,12919,,12102,,30398,,28738,,25307,,1237,,1225,,24070,,12247,,11522,,-,Nothing exists,62108,,9465,,51021,,51014,,1622,,50640,
2002-11,108615,,87610,,35517,,1942,,6600,,12454,,11876,,31097,,29075,,21005,,1237,,1225,,19768,,12247,,7217,,-,Nothing exists,65209,,10240,,53354,,53322,,1615,,43406,
2002-12,103948,,85002,,36208,,1888,,6384,,10528,,9861,,29994,,27973,,18780,,1237,,1225,,17543,,12247,,4995,,166,,66278,,8973,,55735,,55702,,1570,,37670,
2003-01,98272,,85235,,37934,,1797,,6225,,10861,,10233,,28417,,26670,,12551,,1237,,1225,,11314,,12247,,-1235,,486,,66597,,9877,,55179,,55158,,1541,,31675,
