実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
10-12.,"506,440.7 ","282,701.3 ","277,299.8 ","231,014.2 ","22,273.3 ","81,263.9 ","7,081.0 ","93,597.0 ","25,564.1 ",52.0 ,"-5,672.2 ","77,459.3 ","83,131.5 ",-419.8 ,,"1,559.4 ","508,000.1 ","12,328.1 ","17,482.0 ","5,153.9 ","520,328.2 ",,"512,810.5 ","393,527.8 ","119,184.8 ",,"129,080.7 ",,"498,856.3 ",,,
2009/ 1- 3.,"482,065.3 ","281,326.2 ","275,827.1 ","229,361.0 ","20,322.5 ","76,334.5 ","-3,457.4 ","93,943.7 ","26,351.3 ",-92.3 ,"-12,034.8 ","57,711.5 ","69,746.3 ",-628.5 ,,"7,261.2 ","489,326.5 ","11,657.0 ","16,105.7 ","4,448.7 ","500,983.5 ",,"494,659.1 ","374,524.8 ","120,107.9 ",,"122,948.3 ",,"485,532.2 ",,,
4- 6.,"491,624.4 ","283,860.9 ","278,268.8 ","231,675.9 ","18,335.8 ","73,967.2 ","-4,342.4 ","95,242.3 ","28,360.8 ",7.8 ,"-3,658.1 ","62,977.6 ","66,635.7 ",-149.8 ,,"7,373.2 ","498,997.7 ","13,117.1 ","17,076.1 ","3,959.0 ","512,114.8 ",,"495,382.4 ","371,901.8 ","123,495.2 ",,"120,569.2 ",,"495,834.4 ",,,
7- 9.,"491,459.1 ","285,938.8 ","280,278.7 ","233,565.7 ","17,063.4 ","71,961.5 ","-6,348.6 ","96,216.6 ","27,880.3 ",4.5 ,"-1,081.0 ","69,098.1 ","70,179.1 ",-176.4 ,,"5,364.6 ","496,823.7 ","12,532.1 ","16,396.2 ","3,864.1 ","509,355.8 ",,"492,677.3 ","368,701.6 ","124,003.8 ",,"116,831.5 ",,"497,732.5 ",,,
10-12.,"497,401.7 ","287,741.7 ","282,018.4 ","235,174.3 ","16,558.5 ","71,280.7 ","-4,967.4 ","96,436.8 ","28,259.7 ",28.7 ,"2,196.5 ","73,995.5 ","71,798.9 ",-133.5 ,,"4,061.4 ","501,463.2 ","12,510.5 ","16,104.4 ","3,593.9 ","513,973.7 ",,"495,363.4 ","370,766.9 ","124,621.1 ",,"116,016.0 ",,"502,210.9 ",,,
2010/ 1- 3.,"502,619.1 ","288,816.4 ","283,034.5 ","236,047.4 ","17,449.5 ","71,742.6 ","-3,537.3 ","95,609.3 ","28,379.5 ",93.6 ,"4,525.9 ","78,394.4 ","73,868.6 ",-460.2 ,,"3,572.1 ","506,191.2 ","13,551.8 ","17,520.6 ","3,968.8 ","519,743.0 ",,"498,506.8 ","374,557.2 ","123,961.0 ",,"117,465.4 ",,"505,994.1 ",,,
4- 6.,"508,738.3 ","290,954.5 ","285,146.5 ","238,028.1 ","17,578.5 ","72,562.2 ",-897.6 ,"97,357.1 ","26,910.3 ",-15.2 ,"4,654.0 ","82,177.0 ","77,522.9 ",-365.7 ,,"3,140.1 ","511,878.4 ","13,213.5 ","17,505.0 ","4,291.5 ","525,091.9 ",,"504,438.3 ","380,236.8 ","124,202.6 ",,"116,997.0 ",,"509,668.1 ",,,
7- 9.,"518,010.9 ","295,313.7 ","289,481.7 ","242,254.5 ","17,767.4 ","73,432.1 ","2,305.4 ","97,762.5 ","26,621.9 ",-146.8 ,"5,483.9 ","84,481.9 ","78,998.0 ",-529.4 ,,"2,413.6 ","520,424.5 ","13,993.9 ","18,113.8 ","4,119.9 ","534,418.4 ",,"513,024.8 ","388,813.2 ","124,197.9 ",,"117,783.8 ",,"515,959.1 ",,,
10-12.,"513,675.5 ","290,352.2 ","284,412.7 ","236,947.1 ","18,354.3 ","73,329.7 ","2,566.5 ","98,273.4 ","26,055.9 ",-51.3 ,"5,245.3 ","84,770.3 ","79,525.1 ",-450.4 ,,"1,090.3 ","514,765.9 ","14,272.7 ","18,611.1 ","4,338.4 ","529,038.6 ",,"508,847.2 ","384,572.4 ","124,269.3 ",,"117,702.5 ",,"511,255.2 ",,,
2011/ 1- 3.,"508,253.7 ","285,598.3 ","279,473.0 ","231,865.5 ","18,971.8 ","75,038.1 ","1,034.8 ","98,801.5 ","25,616.6 ",-44.4 ,"3,454.5 ","84,020.8 ","80,566.3 ",-217.5 ,,"-1,199.9 ","507,053.8 ","14,995.3 ","19,291.5 ","4,296.2 ","522,049.1 ",,"505,003.8 ","380,607.1 ","124,390.4 ",,"119,611.5 ",,"507,322.8 ",,,
4- 6.,"503,920.9 ","287,683.7 ","281,361.0 ","233,827.0 ","18,616.4 ","73,670.8 ",592.0 ,"99,266.6 ","26,334.1 ",-5.7 ,"-2,465.2 ","77,682.7 ","80,147.9 ",228.1 ,,"-3,819.9 ","500,101.0 ","14,937.9 ","19,053.9 ","4,116.0 ","515,038.9 ",,"506,152.4 ","380,554.3 ","125,591.4 ",,"118,574.4 ",,"503,369.2 ",,,
7- 9.,"516,203.0 ","292,174.3 ","285,686.0 ","238,023.9 ","19,392.9 ","75,403.6 ","1,845.1 ","99,641.1 ","25,553.4 ",48.7 ,"2,209.6 ","84,995.6 ","82,786.0 ",-65.7 ,,"-5,066.6 ","511,136.5 ","14,868.0 ","19,003.8 ","4,135.8 ","526,004.4 ",,"514,081.3 ","388,802.4 ","125,280.5 ",,"120,327.4 ",,"514,331.7 ",,,
10-12.,"515,380.6 ","293,841.4 ","287,218.8 ","239,392.0 ","19,059.8 ","78,358.8 ",715.9 ,"99,966.1 ","24,711.6 ",-19.9 ,"-1,510.2 ","82,713.9 ","84,224.1 ",257.1 ,,"-5,478.4 ","509,902.2 ","14,056.1 ","18,209.0 ","4,152.9 ","523,958.3 ",,"516,698.3 ","391,978.8 ","124,726.3 ",,"122,179.5 ",,"514,713.7 ",,,
2012/ 1- 3.,"522,590.0 ","295,110.4 ","288,391.2 ","240,386.8 ","18,789.9 ","78,474.4 ","3,453.9 ","100,946.3 ","26,113.4 ",-1.0 ,-426.0 ,"85,267.0 ","85,693.0 ",128.6 ,,"-5,698.0 ","516,891.9 ","14,020.1 ","18,253.3 ","4,233.1 ","530,912.1 ",,"522,983.1 ","395,899.6 ","127,086.9 ",,"123,400.5 ",,"519,089.6 ",,,
4- 6.,"517,813.4 ","295,644.3 ","288,796.4 ","240,611.6 ","19,267.5 ","78,307.5 ",325.0 ,"100,704.9 ","26,489.8 ",53.8 ,"-3,099.6 ","84,502.7 ","87,602.3 ",120.3 ,,"-5,840.7 ","511,972.7 ","14,004.8 ","18,666.4 ","4,661.6 ","525,977.5 ",,"520,781.9 ","393,512.7 ","127,269.5 ",,"124,064.2 ",,"517,482.5 ",,,
7- 9.,"515,894.1 ","295,516.4 ","288,523.2 ","240,170.4 ","19,637.1 ","77,708.9 ","1,405.0 ","101,020.9 ","25,958.3 ",80.0 ,"-5,837.8 ","81,502.6 ","87,340.4 ",405.3 ,,"-4,131.2 ","511,762.9 ","14,381.2 ","18,504.4 ","4,123.2 ","526,144.0 ",,"521,352.1 ","394,248.5 ","127,106.3 ",,"123,296.8 ",,"514,420.4 ",,,
10-12.,"515,462.5 ","296,781.2 ","289,726.4 ","241,198.4 ","20,083.0 ","77,518.3 ",-254.0 ,"101,716.9 ","25,476.5 ",2.1 ,"-6,400.0 ","78,712.7 ","85,112.7 ",538.5 ,,"-4,845.4 ","510,617.1 ","14,635.8 ","19,360.0 ","4,724.1 ","525,253.0 ",,"521,303.9 ","394,057.2 ","127,248.6 ",,"123,066.7 ",,"515,794.2 ",,,
2013/ 1- 3.,"522,647.6 ","301,227.0 ","294,196.0 ","245,512.5 ","20,297.3 ","77,507.2 ",347.4 ,"101,508.7 ","25,846.1 ",-130.6 ,"-4,337.4 ","81,200.6 ","85,538.0 ",382.0 ,,"-6,039.6 ","516,607.9 ","15,992.6 ","21,149.2 ","5,156.7 ","532,600.5 ",,"526,538.0 ","399,322.0 ","127,224.8 ",,"123,627.0 ",,"522,529.7 ",,,
4- 6.,"527,285.8 ","303,492.7 ","296,427.9 ","247,574.6 ","20,480.9 ","80,122.5 ","-2,408.1 ","102,863.2 ","26,792.7 ",41.3 ,"-4,389.0 ","83,926.7 ","88,315.8 ",289.5 ,,"-5,512.3 ","521,773.6 ","19,816.4 ","25,778.2 ","5,961.8 ","541,590.0 ",,"531,326.0 ","401,605.1 ","129,722.1 ",,"127,382.5 ",,"529,754.7 ",,,
7- 9.,"532,384.3 ","305,111.9 ","297,978.6 ","248,932.2 ","21,281.3 ","81,261.2 ",-476.2 ,"102,882.8 ","28,275.5 ",-86.5 ,"-6,178.9 ","83,862.8 ","90,041.8 ",313.2 ,,"-5,837.8 ","526,546.5 ","17,867.5 ","24,618.5 ","6,751.0 ","544,414.0 ",,"538,121.0 ","407,106.7 ","131,017.4 ",,"130,774.2 ",,"533,035.8 ",,,
10-12.,"531,760.8 ","304,582.8 ","297,522.8 ","248,354.5 ","22,032.4 ","81,838.3 ",67.9 ,"103,111.8 ","28,764.0 ",78.6 ,"-9,114.4 ","83,565.4 ","92,679.8 ",399.5 ,,"-7,249.3 ","524,511.6 ","18,089.7 ","24,447.1 ","6,357.4 ","542,601.3 ",,"540,377.7 ","408,443.0 ","131,935.7 ",,"132,574.3 ",,"531,636.6 ",,,
2014/ 1- 3.,"536,169.9 ","310,633.3 ","303,795.9 ","254,635.4 ","22,335.1 ","84,014.3 ","-2,336.6 ","103,416.8 ","28,106.6 ",74.3 ,"-9,905.9 ","88,637.5 ","98,543.4 ",-168.0 ,,"-8,799.2 ","527,370.8 ","18,080.9 ","25,413.4 ","7,332.5 ","545,451.7 ",,"546,091.3 ","414,494.2 ","131,605.6 ",,"134,424.2 ",,"538,568.7 ",,,
4- 6.,"526,273.2 ","295,341.1 ","288,837.4 ","239,529.9 ","20,448.7 ","82,272.7 ","2,475.1 ","103,082.6 ","27,090.6 ",92.6 ,"-4,647.3 ","89,797.9 ","94,445.2 ",117.0 ,,"-7,335.8 ","518,937.3 ","17,957.9 ","25,559.1 ","7,601.2 ","536,895.3 ",,"530,920.2 ","400,608.4 ","130,310.3 ",,"129,809.2 ",,"523,577.9 ",,,
7- 9.,"526,807.0 ","297,919.4 ","291,686.3 ","242,391.9 ","19,413.7 ","82,758.0 ",-88.6 ,"103,769.3 ","27,889.4 ",137.8 ,"-4,886.4 ","91,192.3 ","96,078.7 ",-105.6 ,,"-7,408.1 ","519,398.9 ","19,803.8 ","27,580.4 ","7,776.7 ","539,202.7 ",,"531,856.2 ","399,998.9 ","131,850.8 ",,"130,064.1 ",,"526,734.8 ",,,
10-12.,"529,390.1 ","298,463.6 ","292,226.6 ","242,914.6 ","19,453.7 ","83,381.8 ","-1,318.5 ","104,021.2 ","28,057.1 ",4.3 ,"-2,446.3 ","93,960.6 ","96,407.0 ",-226.7 ,,"-6,371.9 ","523,018.2 ","22,383.0 ","30,743.6 ","8,360.6 ","545,401.1 ",,"532,021.7 ","399,932.0 ","132,082.9 ",,"130,894.4 ",,"530,796.0 ",,,
2015/ 1- 3.,"537,590.1 ","299,994.3 ","293,487.5 ","244,150.1 ","19,956.3 ","87,668.2 ",19.1 ,"105,004.0 ","26,737.6 ",92.0 ,"-1,817.7 ","95,306.6 ","97,124.3 ",-63.8 ,,"-1,939.8 ","535,650.3 ","20,309.9 ","28,682.8 ","8,372.8 ","555,960.3 ",,"539,490.3 ","407,613.8 ","131,875.4 ",,"134,366.7 ",,"537,479.4 ",,,
4- 6.,"538,067.4 ","300,257.2 ","293,460.9 ","244,102.2 ","20,361.3 ","86,393.1 ","2,383.4 ","105,125.5 ","26,474.1 ",-76.8 ,"-3,007.0 ","92,053.9 ","95,060.9 ",156.5 ,,-349.9 ,"537,717.5 ","21,433.2 ","29,927.6 ","8,494.3 ","559,150.7 ",,"540,943.0 ","409,433.5 ","131,510.8 ",,"133,228.6 ",,"535,718.6 ",,,
7- 9.,"538,655.7 ","301,072.0 ","294,093.3 ","244,722.2 ","20,462.3 ","87,558.7 ","1,042.2 ","105,624.0 ","26,516.2 ",-105.4 ,"-3,429.9 ","94,353.4 ","97,783.3 ",-84.4 ,,921.5 ,"539,577.3 ","21,078.5 ","30,199.8 ","9,121.3 ","560,655.8 ",,"542,143.8 ","410,129.7 ","132,015.6 ",,"134,536.1 ",,"537,745.1 ",,,
10-12.,"538,153.4 ","299,115.2 ","292,004.1 ","242,606.7 ","20,440.5 ","87,425.6 ","1,097.3 ","106,490.2 ","27,199.0 ",-77.0 ,"-3,528.9 ","93,597.4 ","97,126.2 ",-8.3 ,,"1,486.0 ","539,639.3 ","22,035.5 ","31,427.3 ","9,391.8 ","561,674.8 ",,"541,673.0 ","408,069.6 ","133,601.7 ",,"135,061.5 ",,"537,148.8 ",,,
2016/ 1- 3.,"542,010.7 ","299,368.9 ","292,177.6 ","242,751.3 ","20,420.2 ","87,004.7 ","1,176.9 ","107,766.4 ","27,964.0 ",19.0 ,"-1,713.8 ","94,169.7 ","95,883.6 ",4.6 ,,"5,378.0 ","547,388.7 ","20,386.4 ","29,596.8 ","9,210.4 ","567,775.1 ",,"543,702.2 ","407,958.0 ","135,743.3 ",,"135,387.1 ",,"540,834.4 ",,,
4- 6.,"540,776.8 ","297,506.1 ","290,201.5 ","240,753.0 ","21,030.7 ","87,105.6 ","2,709.9 ","106,837.9 ","27,109.2 ",-201.6 ,"-1,328.9 ","93,506.7 ","94,835.6 ",7.8 ,,"5,810.7 ","546,587.5 ","19,061.2 ","28,797.1 ","9,735.9 ","565,648.7 ",,"542,087.3 ","408,343.4 ","133,743.7 ",,"135,245.1 ",,"538,281.6 ",,,
7- 9.,"541,814.1 ","298,542.4 ","291,108.7 ","241,642.6 ","21,383.5 ","87,283.3 ",344.5 ,"107,218.6 ","27,221.1 ",-273.2 ,92.4 ,"95,381.4 ","95,289.0 ",1.5 ,,"5,857.1 ","547,671.1 ","18,344.4 ","28,399.4 ","10,055.0 ","566,015.5 ",,"541,723.9 ","407,555.5 ","134,168.6 ",,"135,888.5 ",,"541,739.8 ",,,
10-12.,"543,442.4 ","299,403.1 ","291,911.7 ","242,422.9 ","21,500.0 ","88,205.1 ","-1,390.3 ","107,204.0 ","27,225.7 ",-342.2 ,"1,651.4 ","98,099.4 ","96,447.9 ",-14.6 ,,"3,987.8 ","547,430.2 ","18,565.6 ","28,622.0 ","10,056.4 ","565,995.8 ",,"541,830.8 ","407,737.8 ","134,093.3 ",,"136,932.3 ",,"545,145.2 ",,,
2017/ 1- 3.,"547,500.0 ","301,075.2 ","293,613.7 ","244,094.9 ","21,275.4 ","88,570.3 ",-434.5 ,"107,505.3 ","27,459.3 ",-278.5 ,"2,451.1 ","100,072.2 ","97,621.1 ",-123.7 ,,"1,077.0 ","548,577.0 ","21,094.2 ","31,577.2 ","10,483.0 ","569,671.2 ",,"545,184.9 ","410,497.5 ","134,687.9 ",,"137,306.0 ",,"548,196.6 ",,,
4- 6.,"548,857.5 ","302,651.9 ","295,172.2 ","245,628.1 ","21,522.0 ","89,119.1 ",-380.3 ,"107,023.9 ","27,772.2 ",86.8 ,"1,076.3 ","100,007.1 ","98,930.8 ",-14.5 ,,"1,618.7 ","550,476.2 ","19,664.2 ","30,260.5 ","10,596.3 ","570,140.4 ",,"547,791.0 ","412,943.1 ","134,849.2 ",,"138,414.4 ",,"549,144.3 ",,,
7- 9.,"553,202.6 ","301,353.0 ","293,807.5 ","244,244.0 ","21,315.6 ","89,505.4 ","2,727.4 ","107,407.8 ","27,272.7 ",79.6 ,"3,977.5 ","101,991.6 ","98,014.0 ",-436.4 ,,"3,119.7 ","556,322.3 ","21,044.2 ","31,406.1 ","10,361.9 ","577,366.5 ",,"549,564.7 ","414,832.6 ","134,734.2 ",,"138,092.4 ",,"550,500.8 ",,,
10-12.,"555,488.1 ","302,648.1 ","295,182.7 ","245,597.1 ","20,695.5 ","90,825.0 ","3,093.6 ","107,391.2 ","27,280.4 ",85.7 ,"3,779.8 ","104,352.2 ","100,572.4 ",-311.3 ,,487.0 ,"555,975.1 ","20,440.6 ","31,466.6 ","11,025.9 ","576,415.7 ",,"551,922.2 ","417,189.7 ","134,735.4 ",,"138,794.2 ",,"552,407.7 ",,,
2018/ 1- 3.,"555,381.1 ","302,476.2 ","295,246.6 ","245,635.4 ","20,183.6 ","91,271.6 ","1,804.6 ","108,197.5 ","27,492.3 ",78.0 ,"4,147.3 ","105,426.6 ","101,279.3 ",-270.0 ,,"-1,108.7 ","554,272.3 ","20,064.8 ","32,066.8 ","12,002.0 ","574,337.1 ",,"551,428.8 ","415,679.9 ","135,750.4 ",,"138,931.7 ",,"553,561.2 ",,,
4- 6.,"555,628.9 ","302,938.7 ","296,055.2 ","246,419.6 ","19,617.7 ","91,866.8 ",985.7 ,"108,220.6 ","28,148.8 ",-49.5 ,"4,146.5 ","106,288.2 ","102,141.6 ",-246.4 ,,"-2,178.6 ","553,450.3 ","21,589.1 ","33,297.4 ","11,708.3 ","575,039.4 ",,"551,660.2 ","415,360.0 ","136,301.0 ",,"139,609.7 ",,"554,738.0 ",,,
7- 9.,"551,894.1 ","302,471.8 ","295,873.5 ","246,220.1 ","19,592.6 ","88,600.2 ","2,604.0 ","108,271.2 ","27,693.4 ",-29.9 ,"2,907.4 ","103,981.0 ","101,073.6 ",-216.6 ,,"-3,192.2 ","548,701.9 ","21,195.3 ","33,131.6 ","11,936.3 ","569,897.3 ",,"549,130.4 ","413,216.2 ","135,914.5 ",,"135,871.2 ",,"549,379.0 ",,,
10-12.,"554,353.7 ","302,813.4 ","296,221.4 ","246,545.7 ","19,915.6 ","92,314.4 ","2,856.1 ","108,985.2 ","27,133.2 ",-51.1 ,490.0 ,"105,998.8 ","105,508.8 ",-103.0 ,,"-4,513.0 ","549,840.7 ","21,977.6 ","34,307.8 ","12,330.2 ","571,818.3 ",,"553,875.7 ","417,837.7 ","136,039.3 ",,"139,330.6 ",,"551,610.3 ",,,
2019/ 1- 3.,"555,995.4 ","302,499.6 ","295,636.1 ","245,933.4 ","20,448.4 ","91,518.3 ","3,065.2 ","109,308.3 ","27,730.2 ",-145.3 ,"1,681.4 ","103,782.3 ","102,100.8 ",-110.7 ,,"-2,111.0 ","553,884.4 ","21,714.5 ","33,755.3 ","12,040.8 ","575,598.9 ",,"554,330.7 ","417,480.9 ","136,850.8 ",,"139,682.9 ",,"553,157.9 ",,,
4- 6.,"557,125.0 ","303,856.2 ","296,740.7 ","247,010.7 ","20,774.5 ","91,718.2 ","2,967.3 ","110,251.8 ","27,728.4 ",-29.0 ,-33.8 ,"104,172.5 ","104,206.4 ",-108.6 ,,"-2,793.8 ","554,331.2 ","21,932.0 ","34,155.9 ","12,223.9 ","576,263.2 ",,"557,193.3 ","419,272.0 ","137,922.2 ",,"140,210.2 ",,"554,248.5 ",,,
7- 9.,"557,793.9 ","305,498.7 ","298,243.1 ","248,490.5 ","20,785.6 ","92,583.8 ","1,838.2 ","111,011.9 ","28,089.6 ",-80.0 ,"-1,838.1 ","103,640.6 ","105,478.8 ",-95.7 ,,"-1,686.4 ","556,107.5 ","21,809.1 ","34,597.9 ","12,788.8 ","577,916.6 ",,"559,648.4 ","420,666.3 ","138,983.2 ",,"141,446.6 ",,"556,106.3 ",,,
10-12.,"546,996.9 ","296,015.0 ","288,566.9 ","238,849.9 ","20,394.1 ","88,479.6 ","1,427.9 ","111,287.1 ","28,147.5 ",21.2 ,"1,410.1 ","103,980.5 ","102,570.5 ",-185.4 ,,"-1,560.0 ","545,436.9 ","21,064.0 ","33,440.0 ","12,376.0 ","566,500.9 ",,"545,726.1 ","406,293.1 ","139,434.3 ",,"137,034.0 ",,"545,594.6 ",,,
2020/ 1- 3.,"543,795.8 ","293,589.0 ","285,898.1 ","236,175.5 ","19,634.1 ","89,461.4 ","2,455.1 ","110,904.3 ","28,161.7 ",43.9 ,-415.6 ,"99,072.9 ","99,488.5 ",-38.2 ,,"-1,381.4 ","542,414.4 ","22,211.8 ","33,587.1 ","11,375.2 ","564,626.2 ",,"544,169.7 ","405,076.7 ","139,095.1 ",,"137,247.9 ",,"541,354.5 ",,,
4- 6.,"500,660.3 ","269,336.3 ","261,356.1 ","211,789.8 ","19,747.5 ","84,100.0 ","2,856.0 ","111,652.9 ","29,015.0 ",-11.7 ,"-17,149.3 ","81,686.0 ","98,835.3 ","1,113.6 ",,"4,172.4 ","504,832.7 ","19,800.1 ","30,356.8 ","10,556.7 ","524,632.7 ",,"516,657.2 ","376,014.3 ","140,649.2 ",,"132,925.1 ",,"497,885.0 ",,,
7- 9.,"527,515.6 ","283,550.9 ","275,292.0 ","225,619.2 ","18,618.7 ","82,356.5 ","1,807.2 ","114,756.2 ","29,196.9 ",0.4 ,"-3,051.4 ","87,675.0 ","90,726.4 ",280.1 ,,"4,304.5 ","531,820.1 ","19,648.0 ","30,528.1 ","10,880.1 ","551,468.1 ",,"530,224.2 ","386,297.4 ","143,933.3 ",,"130,233.0 ",,"525,750.9 ",,,
10-12.,"542,543.5 ","289,932.3 ","281,520.0 ","231,787.4 ","18,625.8 ","85,890.1 ",-977.5 ,"116,954.8 ","29,472.8 ",-44.7 ,"2,840.2 ","97,957.5 ","95,117.3 ",-150.4 ,,"4,203.0 ","546,746.4 ","21,952.9 ","31,661.3 ","9,708.4 ","568,699.3 ",,"539,828.7 ","393,486.5 ","146,348.9 ",,"134,020.2 ",,"543,557.0 ",,,
2021/ 1- 3.,"536,804.8 ","286,283.3 ","277,847.3 ","228,113.4 ","18,803.6 ","84,811.5 ","1,395.6 ","114,936.1 ","29,159.8 ",10.7 ,"1,394.5 ","100,272.3 ","98,877.8 ",9.6 ,,419.4 ,"537,224.2 ","22,204.8 ","33,014.2 ","10,809.5 ","559,428.9 ",,"535,264.7 ","391,190.9 ","144,076.3 ",,"132,819.8 ",,"535,535.1 ",,,
4- 6.,"539,309.3 ","288,940.3 ","280,484.4 ","230,710.7 ","19,189.4 ","86,753.5 ",-409.2 ,"116,458.0 ","28,674.0 ",-9.7 ,-698.6 ,"103,100.7 ","103,799.3 ",411.6 ,,"-1,663.9 ","537,645.4 ","22,485.1 ","33,253.7 ","10,768.5 ","560,130.5 ",,"539,533.2 ","394,471.5 ","145,063.6 ",,"134,634.7 ",,"539,755.6 ",,,
＊年率で表示している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊開差＝国内総生産(支出側)－国内総生産(支出側)の内訳項目計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊財貨・サービスの純輸出は連鎖方式での計算ができないため、財貨・サービスの輸出－財貨・サービスの輸入により求めている。このため寄与度とは符号が一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
