Date;4189 - Interest rate - Selic accumulated in the month in annual terms (basis 252) - % p.y.;4390 - Interest rate - Selic accumulated in the month - % p.m.;7813 - Base financial rate (TBF) - First day of the month - % p.m.;7815 - Interest rate - TJLP in monthly terms - % p.m.
02/2016;14.15 ;1.00 ;0.9265 ;0.60
03/2016;14.15 ;1.16 ;1.0586 ;0.60
04/2016;14.15 ;1.06 ;0.9815 ;0.60
05/2016;14.15 ;1.11 ;1.0246 ;0.60
06/2016;14.15 ;1.16 ;1.0360 ;0.60
07/2016;14.15 ;1.11 ;1.0435 ;0.60
08/2016;14.15 ;1.22 ;1.1067 ;0.60
09/2016;14.15 ;1.11 ;1.0289 ;0.60
10/2016;14.05 ;1.05 ;0.9714 ;0.60
11/2016;13.90 ;1.04 ;0.9439 ;0.60
12/2016;13.65 ;1.12 ;1.0164 ;0.60
01/2017;13.17 ;1.09 ;0.9914 ;0.60
02/2017;12.82 ;0.87 ;0.7804 ;0.60
03/2017;12.15 ;1.05 ;0.9631 ;0.60
04/2017;11.59 ;0.79 ;0.7210 ;0.57
05/2017;11.15 ;0.93 ;0.8370 ;0.57
06/2017;10.15 ;0.81 ;0.7240 ;0.57
07/2017;10.01 ;0.80 ;0.7627 ;0.57
08/2017;9.15 ;0.80 ;0.7212 ;0.57
09/2017;8.35 ;0.64 ;0.5528 ;0.57
10/2017;8.01 ;0.64 ;0.5918 ;0.57
11/2017;7.40 ;0.57 ;0.5016 ;0.57
12/2017;7.00 ;0.54 ;0.4744 ;0.57
01/2018;6.90 ;0.58 ;0.5227 ;0.55
02/2018;6.72 ;0.47 ;0.4302 ;0.55
03/2018;6.58 ;0.53 ;0.4989 ;0.55
04/2018;6.40 ;0.52 ;0.4650 ;0.53
05/2018;6.40 ;0.52 ;0.4672 ;0.53
06/2018;6.40 ;0.52 ;0.4859 ;0.53
07/2018;6.40 ;0.54 ;0.5070 ;0.53
08/2018;6.40 ;0.57 ;0.5279 ;0.53
09/2018;6.40 ;0.47 ;0.4418 ;0.53
10/2018;6.40 ;0.54 ;0.5132 ;0.56
11/2018;6.40 ;0.49 ;0.4609 ;0.56
12/2018;6.40 ;0.49 ;0.4614 ;0.56
01/2019;6.40 ;0.54 ;0.5021 ;0.57
02/2019;6.40 ;0.49 ;0.4572 ;0.57
03/2019;6.40 ;0.47 ;0.4380 ;0.57
04/2019;6.40 ;0.52 ;0.4728 ;0.51
05/2019;6.40 ;0.54 ;0.5062 ;0.51
06/2019;6.40 ;0.47 ;0.4375 ;0.51
07/2019;6.40 ;0.57 ;0.5160 ;0.48
08/2019;5.90 ;0.50 ;0.4705 ;0.48
09/2019;5.71 ;0.46 ;0.4360 ;0.48
10/2019;5.38 ;0.48 ;0.4189 ;0.45
11/2019;4.90 ;0.38 ;0.3452 ;0.45
12/2019;4.59 ;0.37 ;0.3595 ;0.45
01/2020;4.40 ;0.38 ;0.3447 ;0.41
02/2020;4.19 ;0.29 ;0.2754 ;0.41
03/2020;3.95 ;0.34 ;0.3322 ;0.41
04/2020;3.65 ;0.28 ;0.2488 ;0.40
05/2020;3.01 ;0.24 ;0.2292 ;0.40
06/2020;2.58 ;0.21 ;0.2051 ;0.40
07/2020;2.15 ;0.19 ;0.1721 ;0.40
08/2020;1.94 ;0.16 ;0.1503 ;0.40
09/2020;1.90 ;0.16 ;0.1485 ;0.40
10/2020;1.90 ;0.16 ;0.1485 ;0.37
11/2020;1.90 ;0.15 ;0.1612 ;0.37
12/2020;1.90 ;0.16 ;0.1713 ;0.37
01/2021;1.90 ;0.15 ;0.1468 ;0.36
02/2021;1.90 ;0.13 ;0.1348 ;0.36
03/2021;2.23 ;0.20 ;0.1835 ;0.36
04/2021;2.65 ;0.21 ;0.2404 ;0.38
05/2021;3.29 ;0.27 ;0.2737 ;0.38
06/2021;3.76 ;0.31 ;0.2891 ;0.38
07/2021;4.15 ;0.36 ;0.3798 ;0.40
08/2021;5.01 ;0.43 ;0.4248 ;0.40
09/2021;5.43 ;0.44 ;0.4221 ;0.40
10/2021;6.30 ;0.49 ;0.5046 ;0.43
11/2021;7.65 ;0.59 ;0.5927 ;0.43
12/2021;8.67 ;0.63 ;0.7191 ;0.43
Source;BCB-Demab;BCB-Demab;BCB-Demab;BCB-DSTAT
