Date;27786 - Money supply - Currency outside banks (working day balance average) - New - c.m.u. (thousand);27787 - Money supply - Demand deposits (working day balance average) - New - c.m.u. (thousand);27788 - Money supply - M1 (working day balance average) - New - c.m.u. (thousand);27789 - Money supply - Currency outside banks (end-of-period balance) - New - c.m.u. (thousand);27790 - Money supply - Demand deposits (end-of-period balance) - New - c.m.u. (thousand);27791 - Money supply - M1 (end-of-period balance) - New - c.m.u. (thousand);27810 - Broad money supply - M2 (end-of-periodo balance) - New - c.m.u. (thousand);27813 - Broad money supply - M3 (end-of-period balance) - New - c.m.u. (thousand);27815 - Broad money supply - M4 (end-of-period balance) - New - c.m.u. (thousand)
12/2015;183,458,345 ;161,692,071 ;345,150,416 ;185,280,417 ;161,940,172 ;347,220,589 ;2,334,143,094 ;4,854,978,073 ;5,312,283,123
01/2016;176,975,826 ;154,074,182 ;331,050,008 ;171,047,425 ;150,475,360 ;321,522,785 ;2,300,666,103 ;4,829,018,658 ;5,291,768,650
02/2016;173,041,585 ;150,042,473 ;323,084,058 ;167,812,051 ;151,449,785 ;319,261,836 ;2,301,159,340 ;4,884,235,641 ;5,331,795,004
03/2016;171,144,860 ;146,901,357 ;318,046,218 ;165,467,548 ;148,210,093 ;313,677,641 ;2,301,406,917 ;4,953,973,835 ;5,389,752,466
04/2016;170,185,401 ;147,484,149 ;317,669,550 ;166,404,931 ;150,235,933 ;316,640,864 ;2,298,824,612 ;4,975,614,007 ;5,419,606,850
05/2016;169,680,053 ;147,648,385 ;317,328,438 ;164,768,800 ;149,595,843 ;314,364,643 ;2,312,333,789 ;5,008,017,964 ;5,453,699,716
06/2016;169,098,167 ;144,587,709 ;313,685,875 ;165,291,611 ;150,166,522 ;315,458,133 ;2,328,060,305 ;5,042,395,159 ;5,492,324,102
07/2016;170,163,589 ;148,135,406 ;318,298,994 ;166,709,749 ;147,268,307 ;313,978,056 ;2,335,393,825 ;5,093,742,194 ;5,548,744,457
08/2016;169,002,416 ;147,242,296 ;316,244,712 ;165,551,959 ;147,823,688 ;313,375,647 ;2,348,937,566 ;5,158,943,154 ;5,607,068,135
09/2016;174,313,641 ;148,877,456 ;323,191,097 ;171,980,674 ;151,306,402 ;323,287,076 ;2,351,620,449 ;5,205,671,446 ;5,652,149,886
10/2016;173,729,952 ;152,180,553 ;325,910,505 ;168,861,921 ;154,121,852 ;322,983,773 ;2,356,477,212 ;5,228,485,955 ;5,681,511,504
11/2016;173,276,871 ;152,240,197 ;325,517,068 ;173,840,340 ;158,865,851 ;332,706,192 ;2,387,236,146 ;5,264,955,221 ;5,743,868,110
12/2016;189,935,167 ;166,171,505 ;356,106,672 ;191,973,469 ;171,055,078 ;363,028,546 ;2,446,065,748 ;5,370,570,893 ;5,831,877,727
01/2017;183,147,251 ;156,412,635 ;339,559,886 ;174,445,554 ;151,990,251 ;326,435,805 ;2,390,710,458 ;5,403,067,549 ;5,842,419,766
02/2017;179,467,870 ;151,297,548 ;330,765,419 ;176,310,064 ;157,535,566 ;333,845,630 ;2,401,311,628 ;5,428,196,722 ;5,861,693,498
03/2017;176,195,007 ;151,341,754 ;327,536,761 ;172,723,627 ;152,547,049 ;325,270,676 ;2,413,002,766 ;5,507,791,836 ;5,936,525,988
04/2017;177,127,792 ;153,779,926 ;330,907,717 ;172,972,070 ;154,598,729 ;327,570,800 ;2,428,356,121 ;5,474,967,657 ;5,925,396,119
05/2017;176,391,497 ;153,249,355 ;329,640,852 ;171,805,084 ;154,731,915 ;326,537,000 ;2,462,036,268 ;5,495,565,318 ;5,947,255,664
06/2017;178,331,875 ;153,986,840 ;332,318,715 ;176,529,399 ;157,053,070 ;333,582,469 ;2,497,091,464 ;5,518,949,598 ;5,978,559,446
07/2017;180,207,469 ;156,798,025 ;337,005,494 ;176,190,151 ;157,343,278 ;333,533,428 ;2,492,501,008 ;5,543,482,574 ;5,978,280,665
08/2017;178,840,079 ;153,406,806 ;332,246,885 ;175,511,748 ;154,505,115 ;330,016,863 ;2,513,003,631 ;5,626,754,248 ;6,054,119,494
09/2017;182,636,287 ;154,891,468 ;337,527,755 ;178,674,701 ;156,549,485 ;335,224,186 ;2,529,390,340 ;5,677,639,428 ;6,092,331,523
10/2017;181,262,134 ;155,957,072 ;337,219,206 ;177,180,596 ;156,944,793 ;334,125,389 ;2,516,324,798 ;5,708,275,173 ;6,143,765,572
11/2017;182,524,932 ;157,864,933 ;340,389,865 ;183,392,581 ;165,505,188 ;348,897,769 ;2,542,372,506 ;5,713,739,945 ;6,167,287,138
12/2017;200,801,742 ;176,316,782 ;377,118,524 ;203,909,637 ;179,929,926 ;383,839,562 ;2,581,696,299 ;5,770,354,874 ;6,226,509,348
01/2018;194,690,927 ;164,804,704 ;359,495,631 ;186,287,413 ;161,528,707 ;347,816,120 ;2,540,195,151 ;5,774,734,690 ;6,206,921,935
02/2018;189,931,504 ;162,421,755 ;352,353,259 ;184,131,049 ;165,472,077 ;349,603,126 ;2,555,764,990 ;5,800,302,433 ;6,226,461,110
03/2018;188,746,438 ;164,339,313 ;353,085,750 ;185,031,942 ;170,388,005 ;355,419,947 ;2,610,244,305 ;5,858,214,642 ;6,285,845,760
04/2018;186,720,895 ;168,577,701 ;355,298,596 ;183,399,668 ;175,792,371 ;359,192,039 ;2,610,320,393 ;5,862,418,608 ;6,301,712,173
05/2018;186,836,833 ;168,253,661 ;355,090,493 ;184,227,154 ;173,902,943 ;358,130,097 ;2,639,056,258 ;5,875,957,544 ;6,393,646,561
06/2018;189,207,364 ;168,872,820 ;358,080,184 ;187,373,801 ;171,743,091 ;359,116,892 ;2,687,682,367 ;5,937,930,939 ;6,476,692,981
07/2018;190,461,894 ;173,103,800 ;363,565,694 ;186,413,087 ;170,376,496 ;356,789,583 ;2,687,705,607 ;5,952,652,635 ;6,473,910,303
08/2018;191,333,202 ;172,765,848 ;364,099,050 ;191,594,630 ;174,125,250 ;365,719,880 ;2,722,687,661 ;6,051,069,562 ;6,588,892,467
09/2018;197,900,212 ;175,323,325 ;373,223,537 ;195,138,475 ;176,292,220 ;371,430,695 ;2,768,549,987 ;6,107,351,558 ;6,642,738,040
10/2018;197,271,006 ;171,684,630 ;368,955,636 ;192,513,618 ;170,343,570 ;362,857,188 ;2,758,971,123 ;6,137,916,038 ;6,629,067,471
11/2018;197,300,035 ;171,975,871 ;369,275,906 ;199,870,050 ;176,328,775 ;376,198,825 ;2,767,462,368 ;6,150,787,765 ;6,639,977,745
12/2018;215,208,418 ;187,988,857 ;403,197,275 ;218,156,668 ;192,069,571 ;410,226,239 ;2,851,295,642 ;6,327,699,486 ;6,760,860,118
01/2019;208,106,375 ;174,941,030 ;383,047,405 ;199,849,865 ;172,986,831 ;372,836,696 ;2,782,890,822 ;6,247,917,656 ;6,701,921,956
02/2019;202,173,903 ;171,481,423 ;373,655,326 ;198,300,738 ;178,104,350 ;376,405,088 ;2,789,368,553 ;6,261,466,804 ;6,709,137,534
03/2019;200,625,740 ;174,510,156 ;375,135,896 ;197,339,506 ;180,041,402 ;377,380,908 ;2,826,921,482 ;6,316,011,118 ;6,786,532,799
04/2019;199,813,832 ;177,425,039 ;377,238,871 ;194,784,239 ;180,887,251 ;375,671,489 ;2,837,567,785 ;6,329,039,326 ;6,802,015,276
05/2019;197,707,946 ;173,609,876 ;371,317,822 ;195,382,098 ;176,189,112 ;371,571,210 ;2,858,260,568 ;6,413,435,285 ;6,851,178,385
06/2019;199,208,518 ;174,595,617 ;373,804,135 ;196,040,586 ;180,590,314 ;376,630,901 ;2,882,284,876 ;6,462,185,630 ;6,884,678,511
07/2019;199,297,932 ;177,482,679 ;376,780,611 ;195,600,066 ;176,853,266 ;372,453,332 ;2,887,325,914 ;6,514,147,980 ;6,915,631,701
08/2019;199,551,720 ;175,014,183 ;374,565,903 ;197,966,794 ;178,777,150 ;376,743,944 ;2,910,838,022 ;6,552,928,340 ;7,022,462,550
09/2019;205,294,884 ;178,057,353 ;383,352,236 ;201,707,888 ;185,853,835 ;387,561,723 ;2,954,813,223 ;6,646,055,953 ;7,092,243,208
10/2019;205,909,705 ;179,998,819 ;385,908,524 ;201,432,938 ;180,496,056 ;381,928,994 ;2,966,159,632 ;6,666,132,060 ;7,090,277,775
11/2019;207,918,975 ;183,841,185 ;391,760,160 ;211,615,347 ;194,625,989 ;406,241,336 ;3,006,693,123 ;6,705,196,896 ;7,159,558,180
12/2019;226,897,121 ;206,521,037 ;433,418,158 ;228,309,144 ;219,412,639 ;447,721,783 ;3,099,422,442 ;6,813,474,032 ;7,256,443,849
01/2020;220,000,793 ;188,453,325 ;408,454,118 ;212,568,631 ;191,981,511 ;404,550,142 ;3,032,056,110 ;6,750,429,150 ;7,195,871,247
02/2020;215,559,135 ;193,373,345 ;408,932,481 ;210,226,771 ;199,681,037 ;409,907,807 ;3,043,035,747 ;6,787,939,129 ;7,215,768,079
03/2020;213,589,103 ;202,819,367 ;416,408,470 ;214,205,638 ;221,617,254 ;435,822,892 ;3,209,501,552 ;6,874,426,696 ;7,333,256,201
04/2020;227,407,684 ;221,445,930 ;448,853,614 ;237,659,783 ;233,661,053 ;471,320,836 ;3,392,903,309 ;7,041,714,154 ;7,472,991,203
05/2020;251,571,585 ;232,548,564 ;484,120,149 ;256,972,280 ;246,472,095 ;503,444,375 ;3,538,699,264 ;7,210,605,349 ;7,627,555,239
06/2020;269,879,085 ;244,571,924 ;514,451,009 ;270,241,798 ;263,802,708 ;534,044,506 ;3,633,595,533 ;7,400,929,374 ;7,832,931,679
07/2020;277,192,301 ;255,822,091 ;533,014,391 ;279,811,158 ;266,621,350 ;546,432,508 ;3,718,433,395 ;7,560,493,317 ;7,957,422,496
08/2020;284,606,670 ;261,456,131 ;546,062,801 ;286,098,526 ;279,222,044 ;565,320,570 ;3,757,567,018 ;7,689,525,475 ;8,097,711,101
09/2020;290,084,543 ;275,662,244 ;565,746,786 ;287,734,762 ;298,269,629 ;586,004,391 ;3,842,696,583 ;7,752,745,912 ;8,229,714,368
10/2020;293,787,918 ;285,667,020 ;579,454,938 ;292,631,994 ;297,646,164 ;590,278,158 ;3,892,841,631 ;7,792,807,281 ;8,289,635,769
11/2020;297,097,240 ;286,986,902 ;584,084,142 ;297,459,982 ;310,057,487 ;607,517,470 ;3,922,090,546 ;7,835,982,778 ;8,343,589,906
12/2020;308,522,243 ;311,254,787 ;619,777,029 ;308,889,418 ;332,218,129 ;641,107,547 ;3,998,221,163 ;8,035,557,724 ;8,446,332,255
01/2021;300,613,433 ;291,628,958 ;592,242,390 ;292,285,678 ;298,617,922 ;590,903,600 ;3,886,076,220 ;7,988,869,455 ;8,454,294,566
02/2021;293,117,121 ;287,949,490 ;581,066,612 ;285,085,392 ;302,761,271 ;587,846,663 ;3,883,410,796 ;8,004,776,613 ;8,526,838,222
03/2021;285,707,009 ;293,260,957 ;578,967,966 ;280,168,637 ;312,936,670 ;593,105,306 ;3,935,393,883 ;8,062,170,326 ;8,657,345,746
04/2021;282,734,489 ;299,891,885 ;582,626,374 ;279,333,836 ;319,354,076 ;598,687,912 ;3,941,404,119 ;8,132,092,713 ;8,686,640,837
05/2021;281,004,608 ;301,198,044 ;582,202,651 ;278,817,574 ;323,597,448 ;602,415,023 ;3,959,086,827 ;8,217,877,065 ;8,772,215,183
06/2021;285,547,967 ;309,296,034 ;594,844,001 ;282,029,985 ;354,110,906 ;636,140,891 ;4,061,317,241 ;8,345,682,829 ;8,905,135,045
07/2021;289,553,656 ;338,348,017 ;627,901,673 ;284,730,060 ;360,402,855 ;645,132,915 ;4,111,578,695 ;8,447,830,940 ;9,028,343,889
08/2021;285,347,868 ;338,628,517 ;623,976,385 ;279,483,687 ;357,486,665 ;636,970,352 ;4,150,515,916 ;8,531,334,851 ;9,164,711,643
09/2021;282,478,605 ;331,665,179 ;614,143,783 ;276,577,198 ;353,060,999 ;629,638,197 ;4,195,671,424 ;8,583,398,277 ;9,280,648,380
10/2021;280,117,992 ;324,279,564 ;604,397,556 ;275,959,703 ;343,087,956 ;619,047,658 ;4,177,585,149 ;8,561,880,135 ;9,333,664,154
11/2021;277,923,102 ;321,817,188 ;599,740,290 ;275,334,797 ;349,378,685 ;624,713,482 ;4,188,712,913 ;8,692,510,658 ;9,430,060,877
12/2021;285,422,091 ;334,986,390 ;620,408,481 ;287,294,398 ;343,504,914 ;630,799,312 ;4,297,546,569 ;8,792,344,294 ;9,532,613,592
01/2022;279,003,317 ;317,048,299 ;596,051,616 ;273,244,713 ;316,735,677 ;589,980,390 ;4,195,196,246 ;8,701,044,515 ;9,476,938,404
02/2022;275,451,540 ;313,785,341 ;589,236,882 ;272,382,886 ;320,242,403 ;592,625,289 ;4,230,504,435 ;8,701,522,277 ;9,507,393,087
Source;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
