類・品目,持家の帰属家賃を除く総合
196211,20.1
196212,20.4
196301,20.7
196302,21.0
196303,21.2
196304,21.4
196305,21.7
196306,21.9
196307,22.0
196308,21.4
196309,21.7
196310,21.8
196311,21.8
196312,21.8
196401,21.8
196402,21.8
196403,22.0
196404,22.4
196405,22.4
196406,22.4
196407,22.4
196408,22.4
196409,22.5
196410,23.0
196411,22.8
196412,22.8
196501,23.5
196502,23.5
196503,23.8
196504,24.2
196505,24.0
196506,24.0
196507,23.8
196508,23.9
196509,24.2
196510,24.6
196511,24.4
196512,24.5
196601,24.7
196602,24.8
196603,25.0
196604,25.4
196605,25.0
196606,25.2
196607,25.3
196608,25.0
196609,25.4
196610,25.5
196611,25.4
196612,25.5
196701,26.0
196702,26.0
196703,26.1
196704,26.1
196705,25.8
196706,25.7
196707,25.6
196708,25.9
196709,26.5
196710,26.9
196711,26.9
196712,27.0
196801,27.2
196802,27.3
196803,27.4
196804,27.5
196805,27.7
196806,27.2
196807,27.4
196808,27.3
196809,28.4
196810,28.2
196811,28.3
196812,28.1
196901,28.3
196902,28.3
196903,28.6
196904,29.0
196905,28.9
196906,28.9
196907,29.6
196908,29.5
196909,29.9
196910,29.9
196911,29.9
196912,29.9
197001,30.7
197002,30.8
197003,31.1
197004,31.3
197005,31.1
197006,31.1
197007,30.9
197008,30.8
197009,31.5
197010,32.0
197011,32.1
197012,32.4
197101,32.6
197102,32.6
197103,32.6
197104,33.1
197105,33.1
197106,33.3
197107,33.2
197108,32.9
197109,34.3
197110,34.2
197111,33.9
197112,33.9
197201,33.9
197202,34.1
197203,34.3
197204,34.6
197205,34.8
197206,34.8
197207,34.8
197208,35.1
197209,35.5
197210,35.6
197211,35.5
197212,35.8
197301,36.2
197302,36.6
197303,37.4
197304,38.0
197305,38.7
197306,38.9
197307,39.2
197308,39.5
197309,40.5
197310,40.2
197311,40.7
197312,42.0
197401,43.8
197402,45.2
197403,45.5
197404,46.9
197405,47.0
197406,47.3
197407,48.2
197408,48.5
197409,49.4
197410,50.5
197411,50.8
197412,51.0
197501,51.5
197502,51.5
197503,52.1
197504,53.1
197505,53.6
197506,53.4
197507,53.6
197508,53.4
197509,54.7
197510,55.7
197511,55.4
197512,55.3
197601,56.6
197602,57.0
197603,57.2
197604,58.6
197605,58.6
197606,58.4
197607,58.8
197608,58.2
197609,59.8
197610,60.3
197611,60.6
197612,61.2
197701,62.0
197702,62.2
197703,62.5
197704,63.5
197705,64.1
197706,63.7
197707,63.5
197708,63.7
197709,64.7
197710,64.9
197711,64.3
197712,64.3
197801,64.7
197802,64.9
197803,65.5
197804,66.4
197805,66.8
197806,66.0
197807,66.6
197808,66.6
197809,67.6
197810,67.6
197811,66.7
197812,66.8
197901,67.0
197902,66.6
197903,67.2
197904,68.1
197905,68.7
197906,68.4
197907,69.3
197908,68.4
197909,69.3
197910,70.4
197911,70.2
197912,70.4
198001,71.2
198002,71.4
198003,72.0
198004,73.3
198005,74.0
198006,74.4
198007,74.5
198008,74.1
198009,75.4
198010,75.6
198011,75.7
198012,75.4
198101,76.3
198102,76.3
198103,76.7
198104,77.0
198105,77.8
198106,77.9
198107,77.7
198108,76.8
198109,78.2
198110,78.5
198111,78.7
198112,78.7
198201,78.8
198202,78.7
198203,79.0
198204,79.6
198205,79.8
198206,79.9
198207,79.3
198208,79.9
198209,81.3
198210,81.6
198211,80.5
198212,80.6
198301,80.9
198302,80.6
198303,81.1
198304,81.2
198305,82.0
198306,81.4
198307,81.2
198308,81.1
198309,81.9
198310,82.7
198311,82.6
198312,82.2
198401,82.7
198402,83.5
198403,83.6
198404,83.8
198405,84.1
198406,83.3
198407,83.5
198408,82.9
198409,84.1
198410,84.7
198411,84.3
198412,84.5
198501,85.1
198502,84.7
198503,85.2
198504,85.6
198505,85.7
198506,85.7
198507,86.1
198508,85.7
198509,85.9
198510,86.6
198511,85.9
198512,86.0
198601,86.5
198602,86.5
198603,86.4
198604,86.7
198605,86.9
198606,86.2
198607,86.0
198608,85.8
198609,86.3
198610,86.3
198611,85.9
198612,85.9
198701,85.6
198702,85.4
198703,85.9
198704,86.6
198705,86.7
198706,86.6
198707,86.0
198708,86.1
198709,86.9
198710,87.0
198711,86.5
198712,86.6
198801,86.5
198802,86.4
198803,86.7
198804,87.1
198805,87.1
198806,86.9
198807,86.8
198808,86.8
198809,87.7
198810,88.5
198811,88.1
198812,87.7
198901,87.7
198902,87.6
198903,88.0
198904,89.4
198905,90.0
198906,89.8
198907,89.6
198908,89.4
198909,90.3
198910,91.1
198911,90.1
198912,90.3
199001,90.7
199002,90.9
199003,91.4
199004,92.0
199005,92.7
199006,92.1
199007,92.0
199008,92.2
199009,92.8
199010,93.7
199011,93.5
199012,93.5
199101,94.4
199102,94.1
199103,94.6
199104,95.0
199105,95.4
199106,95.1
199107,95.1
199108,95.3
199109,95.4
199110,96.5
199111,96.9
199112,96.3
199201,96.2
199202,96.0
199203,96.4
199204,97.5
199205,97.5
199206,97.5
199207,97.0
199208,97.1
199209,97.5
199210,97.5
199211,97.1
199212,96.9
199301,96.9
199302,97.0
199303,97.5
199304,97.9
199305,98.1
199306,97.9
199307,98.2
199308,98.4
199309,98.4
199310,98.3
199311,97.5
199312,97.6
199401,97.8
199402,97.9
199403,98.4
199404,98.3
199405,98.4
199406,98.2
199407,97.5
199408,98.1
199409,98.4
199410,99.0
199411,98.6
199412,98.1
199501,98.2
199502,97.8
199503,97.8
199504,98.0
199505,98.2
199506,98.0
199507,97.4
199508,97.6
199509,98.4
199510,98.0
199511,97.6
199512,97.7
199601,97.7
199602,97.6
199603,97.7
199604,98.3
199605,98.5
199606,98.0
199607,98.0
199608,97.7
199609,97.9
199610,98.1
199611,97.7
199612,97.9
199701,97.7
199702,97.6
199703,97.6
199704,99.7
199705,99.9
199706,100.0
199707,99.5
199708,99.5
199709,100.4
199710,100.7
199711,99.9
199712,99.7
199801,99.9
199802,99.8
199803,100.1
199804,100.4
199805,100.8
199806,100.3
199807,99.3
199808,99.3
199809,100.3
199810,101.1
199811,100.9
199812,100.7
199901,100.0
199902,99.4
199903,99.6
199904,100.0
199905,100.1
199906,99.7
199907,99.1
199908,99.5
199909,99.9
199910,99.9
199911,99.3
199912,98.9
200001,98.6
200002,98.3
200003,98.6
200004,98.9
200005,99.0
200006,98.7
200007,98.5
200008,98.7
200009,98.7
200010,98.5
200011,98.2
200012,98.4
200101,98.4
200102,97.8
200103,97.7
200104,98.0
200105,98.1
200106,97.8
200107,97.5
200108,97.9
200109,97.6
200110,97.5
200111,96.9
200112,96.8
200201,96.5
200202,95.9
200203,96.3
200204,96.6
200205,97.0
200206,96.9
200207,96.6
200208,96.9
200209,96.9
200210,96.8
200211,96.8
200212,96.7
200301,96.3
200302,95.9
200303,96.2
200304,96.6
200305,96.7
200306,96.6
200307,96.1
200308,96.4
200309,96.5
200310,96.5
200311,96.0
200312,96.3
200401,95.8
200402,95.8
200403,96.2
200404,96.3
200405,96.5
200406,96.6
200407,96.0
200408,96.3
200409,96.4
200410,96.9
200411,96.7
200412,96.3
200501,95.8
200502,95.5
200503,95.9
200504,96.0
200505,96.2
200506,95.7
200507,95.5
200508,95.5
200509,95.7
200510,95.8
200511,95.5
200512,95.5
200601,95.6
200602,95.2
200603,95.5
200604,95.7
200605,96.1
200606,96.1
200607,95.6
200608,96.4
200609,96.4
200610,96.3
200611,95.7
200612,95.8
200701,95.5
200702,95.1
200703,95.5
200704,95.9
200705,96.1
200706,95.8
200707,95.5
200708,96.1
200709,96.2
200710,96.3
200711,95.9
200712,96.1
200801,95.8
200802,95.5
200803,96.2
200804,96.6
200805,97.1
200806,97.4
200807,97.3
200808,97.5
200809,97.7
200810,97.7
200811,97.2
200812,97.1
200901,96.5
200902,96.2
200903,96.5
200904,96.5
200905,96.3
200906,95.8
200907,95.3
200908,95.6
200909,95.5
200910,95.0
200911,94.8
200912,94.7
201001,94.4
201002,94.5
201003,95.1
201004,95.4
201005,95.1
201006,94.8
201007,94.1
201008,94.5
201009,94.7
201010,95.3
201011,95.0
201012,94.5
201101,94.0
201102,94.1
201103,94.4
201104,94.6
201105,94.5
201106,94.2
201107,94.2
201108,94.3
201109,94.5
201110,94.7
201111,94.0
201112,94.1
201201,93.9
201202,94.0
201203,94.4
201204,94.4
201205,94.1
201206,93.7
201207,93.5
201208,93.7
201209,93.8
201210,94.0
201211,93.5
201212,93.6
201301,93.4
201302,93.0
201303,93.4
201304,93.8
201305,93.9
201306,93.8
201307,94.1
201308,94.4
201309,94.6
201310,94.8
201311,94.8
201312,94.9
201401,94.4
201402,94.5
201403,95.0
201404,97.3
201405,97.7
201406,97.5
201407,97.4
201408,97.7
201409,98.0
201410,97.8
201411,97.4
201412,97.5
201501,97.3
201502,97.2
201503,97.6
201504,98.3
201505,98.4
201506,98.1
201507,97.8
201508,97.9
201509,98.0
201510,98.0
201511,97.5
201512,97.6
201601,97.1
201602,97.4
201603,97.7
201604,97.9
201605,97.8
201606,97.7
201607,97.3
201608,97.4
201609,97.5
201610,98.3
201611,98.2
201612,97.8
201701,97.3
201702,97.2
201703,97.4
201704,97.9
201705,98.1
201706,97.8
201707,97.6
201708,98.0
201709,98.2
201710,98.2
201711,98.6
201712,99.0
201801,98.9
201802,98.9
201803,98.6
201804,98.5
201805,98.6
201806,98.6
201807,98.6
201808,99.4
201809,99.5
201810,99.9
201811,99.6
201812,99.3
201901,99.4
201902,99.5
201903,99.5
201904,100.0
201905,99.8
201906,99.7
201907,99.6
201908,100.1
201909,100.0
201910,100.4
201911,100.5
201912,100.5
202001,100.3
202002,100.2
202003,100.2
202004,100.4
202005,100.4
202006,100.0
202007,100.2
202008,100.2
202009,99.8
202010,99.8
202011,99.4
202012,99.0
202101,99.6
202102,99.7
202103,99.7
202104,98.9
202105,99.3
202106,99.4
202107,99.7
202108,99.7
202109,100.1
202110,99.9
202111,100.0
202112,100.0
202201,100.3
202202,100.8
202203,101.3
