SGS Prices and Yields - Benchmark Issues (2005 to 2007)

Jan 1988 to Dec 2022 (Monthly)

,,Average Buying Rates of Govt Securities Dealers 5-Year Bond Yield
,Nov,3.96
,Dec,3.89
1998,Jan,4.01
,Feb,3.92
,Mar,3.98
,Apr,3.89
,May,3.95
,Jun,3.94
,Jul,4.04
,Aug,4.76
,Sep,4.88
,Oct,3.95
,Nov,4.16
,Dec,3.8
1999,Jan,3.54
,Feb,3.66
,Mar,3.43
,Apr,3.03
,May,3.66
,Jun,3.79
,Jul,4.14
,Aug,3.93
,Sep,3.54
,Oct,3.77
,Nov,3.67
,Dec,3.7
2000,Jan,3.96
,Feb,3.75
,Mar,3.73
,Apr,3.72
,May,3.83
,Jun,3.86
,Jul,3.88
,Aug,3.84
,Sep,3.72
,Oct,3.7
,Nov,3.5
,Dec,3.44
2001,Jan,3.16
,Feb,3.01
,Mar,3.11
,Apr,3.04
,May,2.96
,Jun,2.97
,Jul,2.92
,Aug,2.88
,Sep,2.9
,Oct,2.35
,Nov,2.98
,Dec,3.42
2002,Jan,3.36
,Feb,3.11
,Mar,3.2
,Apr,2.97
,May,2.95
,Jun,2.78
,Jul,2.6
,Aug,2.46
,Sep,2.43
,Oct,2.0
,Nov,1.89
,Dec,1.74
2003,Jan,1.58
,Feb,1.43
,Mar,1.48
,Apr,1.48
,May,1.32
,Jun,1.41
,Jul,2.06
,Aug,2.58
,Sep,2.5
,Oct,3.1
,Nov,3.11
,Dec,2.74
2004,Jan,2.35
,Feb,2.25
,Mar,2.11
,Apr,2.26
,May,2.34
,Jun,2.4
,Jul,2.27
,Aug,2.28
,Sep,2.42
,Oct,2.31
,Nov,2.21
,Dec,2.07
2005,Jan,2.26
,Feb,2.46
,Mar,2.7
,Apr,2.45
,May,2.33
,Jun,2.25
,Jul,2.2
,Aug,2.39
,Sep,2.59
,Oct,2.8
,Nov,3.08
,Dec,3.01
2006,Jan,3.18
,Feb,3.29
,Mar,3.35
,Apr,3.23
,May,3.21
,Jun,3.38
,Jul,3.3
,Aug,3.27
,Sep,3.1
,Oct,3.11
,Nov,3.01
,Dec,3.03
2007,Jan,3.07
,Feb,2.99
,Mar,2.7
,Apr,2.47
,May,2.62
,Jun,2.58
,Jul,2.7
,Aug,2.65
,Sep,2.53
,Oct,2.54
,Nov,2.44
,Dec,2.33
2008,Jan,1.58
,Feb,1.65
,Mar,1.64
,Apr,1.82
,May,2.62
,Jun,2.64
,Jul,2.01
,Aug,2.19
,Sep,2.4
,Oct,2.02
,Nov,1.53
,Dec,1.4
2009,Jan,1.4
,Feb,1.08
,Mar,1.42
,Apr,1.34
,May,1.29
,Jun,1.45
,Jul,1.32
,Aug,1.32
,Sep,1.43
,Oct,1.33
,Nov,1.31
,Dec,1.28
2010,Jan,1.26
,Feb,1.3
,Mar,1.28
,Apr,1.08
,May,0.91
,Jun,0.76
,Jul,0.59
,Aug,0.68
,Sep,0.88
,Oct,0.89
,Nov,1.18
,Dec,1.4
2011,Jan,1.16
,Feb,1.15
,Mar,1.19
,Apr,1.1
,May,1.14
,Jun,0.99
,Jul,0.59
,Aug,0.5
,Sep,0.53
,Oct,0.59
,Nov,0.58
,Dec,0.6
2012,Jan,0.49
,Feb,0.62
,Mar,0.64
,Apr,0.54
,May,0.55
,Jun,0.42
,Jul,0.43
,Aug,0.4
,Sep,0.42
,Oct,0.38
,Nov,0.41
,Dec,0.31
2013,Jan,0.4
,Feb,0.37
,Mar,0.54
,Apr,0.47
,May,0.96
,Jun,1.17
,Jul,0.88
,Aug,1.08
,Sep,0.92
,Oct,0.69
,Nov,0.63
,Dec,1.08
2014,Jan,1.57
,Feb,1.43
,Mar,1.54
,Apr,1.45
,May,1.3
,Jun,1.19
,Jul,1.27
,Aug,1.3
,Sep,1.67
,Oct,1.47
,Nov,1.44
,Dec,1.6
2015,Jan,1.37
,Feb,1.62
,Mar,1.83
,Apr,1.59
,May,1.7
,Jun,2.0
,Jul,2.04
,Aug,2.17
,Sep,2.0
,Oct,1.86
,Nov,1.95
,Dec,1.9
2016,Jan,1.89
,Feb,1.85
,Mar,1.45
,Apr,1.61
,May,1.79
,Jun,1.51
,Jul,1.43
,Aug,1.32
,Sep,1.32
,Oct,1.34
,Nov,1.7
,Dec,1.85
2017,Jan,1.73
,Feb,1.59
,Mar,1.76
,Apr,1.59
,May,1.56
,Jun,1.51
,Jul,1.54
,Aug,1.56
,Sep,1.65
,Oct,1.66
,Nov,1.72
,Dec,1.68
2018,Jan,1.88
,Feb,2.02
,Mar,2.05
,Apr,2.18
,May,2.3
,Jun,2.28
,Jul,2.19
,Aug,2.1
,Sep,2.24
,Oct,2.3
,Nov,2.12
,Dec,1.9
2019,Jan,2.0
,Feb,2.06
,Mar,1.93
,Apr,1.98
,May,1.92
,Jun,1.77
,Jul,1.77
,Aug,1.68
,Sep,1.66
,Oct,1.64
,Nov,1.62
,Dec,1.56
2020,Jan,1.44
,Feb,1.28
,Mar,0.99
,Apr,0.54
,May,0.44
,Jun,0.54
,Jul,0.5
,Aug,0.54
,Sep,0.45
,Oct,0.5
,Nov,0.5
,Dec,0.46
2021,Jan,0.51
,Feb,0.69
,Mar,0.93
,Apr,0.77
,May,0.86
,Jun,0.91
,Jul,0.75
,Aug,0.79
,Sep,0.94
,Oct,1.46
,Nov,1.28
,Dec,1.36
2022,Jan,1.57
,Feb,1.69
,Mar,2.29
,Apr,2.4
,May,2.5

"* Data reflects bid rates quoted by SGS Primary Dealers to each other based on standard market lot transactions as specified in the Rules and Market Practices of the SGS Market. Prices quoted to non-Primary Dealers may be different, subject to factors such as transaction size and administrative costs."
"* Figures before 2000 are the modes of closing bid prices quoted by SGS primary dealers."
"* Figures after 2000 are the average of closing bid rates quoted by SGS primary dealers."
"* Overnight repo rates are closing offer rates quoted by SGS primary dealers."
"* The 7-year benchmark was discontinued on 1 February 2011."
"* The final 3-month T-bill was issued on 20th June 2013."
"* Issuance of 6-month T-bills ceased on 27th December 2013 and resumed on 2nd July 2019."
"* The SGS Overnight Repo rate was discontinued on 1 January 2014."
"* Yield is quoted as % p.a."
"* Bond price is quoted in S$ per S$100 of principal amount, excluding any applicable accrued interest (i.e. on clean basis)."
