Date;1389 - Petroleum derivatives production - Crude oil - Barrels/day (thousand)
04/2003;1,520
05/2003;1,488
06/2003;1,372
07/2003;1,491
08/2003;1,541
09/2003;1,523
10/2003;1,499
11/2003;1,481
12/2003;1,481
01/2004;1,457
02/2004;1,452
03/2004;1,480
04/2004;1,449
05/2004;1,421
06/2004;1,482
07/2004;1,513
08/2004;1,502
09/2004;1,523
10/2004;1,501
11/2004;1,452
12/2004;1,494
01/2005;1,498
02/2005;1,493
03/2005;1,538
04/2005;1,676
05/2005;1,689
06/2005;1,698
07/2005;1,680
08/2005;1,626
09/2005;1,667
10/2005;1,671
11/2005;1,674
12/2005;1,685
01/2006;1,688
02/2006;1,692
03/2006;1,696
04/2006;1,737
05/2006;1,748
06/2006;1,630
07/2006;1,725
08/2006;1,703
09/2006;1,733
10/2006;1,762
11/2006;1,766
12/2006;1,787
01/2007;1,736
02/2007;1,758
03/2007;1,769
04/2007;1,739
05/2007;1,726
06/2007;1,784
07/2007;1,774
08/2007;1,758
09/2007;1,726
10/2007;1,687
11/2007;1,711
12/2007;1,806
01/2008;1,776
02/2008;1,772
03/2008;1,750
04/2008;1,797
05/2008;1,815
06/2008;1,830
07/2008;1,825
08/2008;1,841
09/2008;1,857
10/2008;1,833
11/2008;1,807
12/2008;1,842
01/2009;1,889
02/2009;1,908
03/2009;1,943
04/2009;1,941
05/2009;1,955
06/2009;1,918
07/2009;1,919
08/2009;1,960
09/2009;1,993
10/2009;1,990
11/2009;1,986
12/2009;1,999
01/2010;1,997
02/2010;2,017
03/2010;2,037
04/2010;2,077
05/2010;2,075
06/2010;2,051
07/2010;2,056
08/2010;2,078
09/2010;1,998
10/2010;1,998
11/2010;2,089
12/2010;2,180
01/2011;2,122
02/2011;2,062
03/2011;2,082
04/2011;2,052
05/2011;2,072
06/2011;2,137
07/2011;2,077
08/2011;2,052
09/2011;2,099
10/2011;2,105
11/2011;2,188
12/2011;2,214
01/2012;2,231
02/2012;2,205
03/2012;2,087
04/2012;2,022
05/2012;2,048
06/2012;2,033
07/2012;2,023
08/2012;2,004
09/2012;1,924
10/2012;2,011
11/2012;2,045
12/2012;2,105
01/2013;2,054
02/2013;2,017
03/2013;1,853
04/2013;1,923
05/2013;1,993
06/2013;2,101
07/2013;1,974
08/2013;2,011
09/2013;2,094
10/2013;2,079
11/2013;2,081
12/2013;2,109
01/2014;2,053
02/2014;2,090
03/2014;2,119
04/2014;2,146
05/2014;2,189
06/2014;2,246
07/2014;2,267
08/2014;2,326
09/2014;2,358
10/2014;2,393
11/2014;2,358
12/2014;2,497
01/2015;2,469
02/2015;2,431
03/2015;2,413
04/2015;2,394
05/2015;2,412
06/2015;2,396
07/2015;2,466
08/2015;2,547
09/2015;2,395
10/2015;2,406
11/2015;2,380
12/2015;2,532
01/2016;2,353
02/2016;2,335
03/2016;2,264
04/2016;2,290
05/2016;2,487
06/2016;2,558
07/2016;2,584
08/2016;2,609
09/2016;2,671
10/2016;2,624
11/2016;2,609
12/2016;2,730
01/2017;2,687
02/2017;2,676
03/2017;2,550
04/2017;2,539
05/2017;2,653
06/2017;2,675
07/2017;2,623
08/2017;2,576
09/2017;2,653
10/2017;2,627
11/2017;2,595
12/2017;2,612
01/2018;2,615
02/2018;2,617
03/2018;2,557
04/2018;2,597
05/2018;2,607
06/2018;2,590
07/2018;2,575
08/2018;2,522
09/2018;2,486
10/2018;2,614
11/2018;2,567
12/2018;2,691
01/2019;2,631
02/2019;2,489
03/2019;2,560
04/2019;2,604
05/2019;2,731
06/2019;2,557
07/2019;2,775
08/2019;2,989
09/2019;2,927
10/2019;2,964
11/2019;3,090
12/2019;3,107
01/2020;3,168
02/2020;2,972
03/2020;2,973
04/2020;2,958
05/2020;2,765
06/2020;3,013
07/2020;3,078
08/2020;3,087
09/2020;2,907
10/2020;2,874
11/2020;2,755
12/2020;2,726
01/2021;2,873
02/2021;2,819
03/2021;2,844
04/2021;2,974
05/2021;2,932
06/2021;2,903
07/2021;3,045
08/2021;2,997
09/2021;3,001
Source;ANP
